Open,High,Low,Close,Volume
123.44,123.94,123.44,123.94,8593.0
123.44,123.62,123.44,123.59,900.0
123.43,123.46,123.25,123.46,2046.0
123.44,123.44,123.44,123.44,100.0
123.55,123.55,123.55,123.55,100.0
123.84,123.84,123.445,123.555,800.0
123.91,123.91,123.73,123.74,900.0
123.915,124.03,123.78,123.78,821.0
123.795,124.0,123.7056,123.85,950.0
123.715,123.72,123.67,123.67,300.0
123.78,123.78,123.76,123.76,400.0
123.82,123.82,123.76,123.76,200.0
123.8,123.86,123.655,123.655,1635.0
123.75,123.75,123.75,123.75,100.0
123.77,123.77,123.74,123.74,601.0
123.91,123.95,123.79,123.79,1100.0
124.15,124.15,124.08,124.08,400.0
124.17,124.2,124.02,124.2,2690.0
124.08,124.08,124.02,124.07,900.0
124.14,124.24,124.12,124.12,1700.0
124.095,124.12,124.02,124.12,1872.0
124.01,124.1,124.01,124.06,1400.0
123.92,124.01,123.92,124.01,600.0
123.88,123.92,123.88,123.91,500.0
123.74,123.74,123.74,123.74,100.0
124.05,124.15,123.82,123.89,4413.0
124.01,124.105,124.01,124.03,700.0
124.15,124.15,124.15,124.15,101.0
124.02,124.23,124.02,124.23,1050.0
123.835,123.97,123.83,123.95,700.0
123.98,123.98,123.86,123.91,800.0
123.73,123.855,123.73,123.85,1000.0
123.77,123.79,123.77,123.78,600.0
123.83,123.87,123.78,123.83,1600.0
123.73,123.84,123.73,123.84,700.0
123.79,123.9,123.79,123.8,2600.0
123.69,123.69,123.54,123.62,1500.0
123.72,123.72,123.72,123.72,500.0
123.7,123.71,123.7,123.7,300.0
123.77,123.77,123.7,123.7,400.0
123.88,123.885,123.69,123.69,2100.0
123.88,123.88,123.81,123.85,1600.0
123.81,123.82,123.76,123.8,1500.0
123.8175,123.89,123.8175,123.84,910.0
123.81,123.83,123.81,123.83,300.0
123.78,123.78,123.78,123.78,200.0
123.8,123.8,123.78,123.78,300.0
123.87,123.87,123.83,123.83,400.0
124.0,124.0,123.92,123.92,200.0
123.96,124.05,123.95,124.05,1183.0
124.08,124.08,123.945,123.96,900.0
123.85,124.0749,123.84,124.0749,10034.0
124.0,124.0,123.91,123.93,4900.0
124.075,124.12,123.94,124.0,10913.0
124.315,124.315,124.07,124.13,4100.0
124.13,124.17,124.12,124.17,700.0
124.17,124.2,124.14,124.14,700.0
124.12,124.12,124.06,124.11,700.0
123.93,124.04,123.93,124.04,300.0
123.8,123.83,123.49,123.8,8200.0
123.8,123.81,123.8,123.8,400.0
123.875,123.875,123.875,123.875,100.0
123.79,123.79,123.74,123.79,1188.0
123.87,123.87,123.82,123.83,500.0
123.68,123.79,123.68,123.79,400.0
123.67,123.67,123.67,123.67,3264.0
123.45,123.59,123.37,123.59,3100.0
123.37,123.39,123.37,123.39,200.0
123.36,123.36,123.36,123.36,100.0
123.4825,123.52,123.4825,123.5,1100.0
123.78,123.78,123.53,123.53,1400.0
123.785,123.785,123.785,123.785,100.0
123.58,123.76,123.57,123.76,1500.0
123.37,123.6,123.37,123.6,2100.0
123.53,123.53,123.53,123.53,100.0
123.45,123.4756,123.4,123.44,900.0
123.43,123.46,123.41,123.46,1000.0
123.33,123.4,123.33,123.37,724.0
123.44,123.49,123.31,123.31,3550.0
123.45,123.53,123.45,123.45,1600.0
123.29,123.4,123.27,123.39,700.0
123.15,123.22,122.87,123.22,8535.0
123.275,123.28,123.19,123.19,1000.0
122.9,123.14,122.9,123.14,1700.0
122.95,122.99,122.79,122.99,3025.0
122.93,123.01,122.93,123.01,600.0
122.99,123.05,122.92,122.92,1600.0
122.926,122.96,122.84,122.96,1352.0
122.8712,122.8712,122.8712,122.8712,667.0
122.84,122.89,122.84,122.89,300.0
122.875,122.965,122.875,122.91,500.0
122.915,123.06,122.88,122.9,4500.0
122.987,122.987,122.86,122.86,947.0
122.78,122.94,122.78,122.94,750.0
122.65,122.7519,122.65,122.72,500.0
122.65,122.68,122.65,122.68,700.0
122.55,122.6,122.55,122.6,500.0
122.55,122.62,122.51,122.57,4729.0
122.43,122.55,122.43,122.55,4204.0
122.55,122.55,122.5,122.52,400.0
122.44,122.49,122.44,122.49,800.0
122.435,122.48,122.34,122.42,1000.0
122.37,122.37,122.37,122.37,100.0
122.41,122.44,122.375,122.4,2416.0
122.34,122.35,122.3,122.35,1600.0
122.09,122.34,122.06,122.34,11085.0
122.295,122.31,122.165,122.165,4255.0
122.23,122.27,122.23,122.27,600.0
122.18,122.23,122.18,122.23,600.0
122.13,122.24,122.13,122.14,900.0
122.13,122.13,122.04,122.05,2600.0
121.8,122.13,121.8,122.11,6047.0
121.8,121.8,121.69,121.79,1130.0
121.6,121.81,121.56,121.81,3400.0
121.5407,121.5407,121.5,121.53,1600.0
121.51,121.59,121.44,121.545,2418.0
121.38,121.505,121.38,121.45,1239.0
121.5,121.54,121.44,121.46,3901.0
121.41,121.54,121.4,121.54,2750.0
121.24,121.3593,121.125,121.34,700.0
121.428,121.428,121.26,121.26,3017.0
121.63,121.63,121.48,121.48,1225.0
121.73,121.73,121.64,121.68,975.0
121.7513,121.81,121.7513,121.7999,3180.0
121.875,121.885,121.755,121.81,1920.0
121.9,121.9,121.82,121.82,300.0
121.9,122.06,121.9,121.93,1400.0
121.8,121.9,121.8,121.89,1250.0
121.8,121.854,121.8,121.854,300.0
121.88,121.88,121.81,121.83,1000.0
121.77,121.79,121.77,121.78,399.0
121.58,121.71,121.58,121.71,700.0
121.54,121.54,121.54,121.54,100.0
121.36,121.5,121.36,121.48,1950.0
121.44,121.44,121.31,121.36,2300.0
121.67,121.67,121.44,121.44,1700.0
121.665,121.72,121.665,121.72,1100.0
121.59,121.705,121.58,121.67,2000.0
121.32,121.57,121.32,121.57,1000.0
121.33,121.33,121.33,121.33,110.0
121.55,121.55,121.3426,121.3426,5900.0
121.47,121.53,121.42,121.53,2000.0
