Open,High,Low,Close,Volume
43.39,43.39,43.39,43.39,40770.0
43.35,43.39,43.33,43.39,6100.0
43.3,43.32,43.29,43.32,1900.0
43.19,43.27,43.19,43.27,11314.0
43.25,43.26,43.2,43.2,2946.0
43.29,43.3,43.27,43.28,4436.0
43.23,43.31,43.2,43.31,9900.0
43.2,43.23,43.2,43.21,6950.0
43.18,43.21,43.175,43.195,5470.0
43.195,43.21,43.17,43.18,9720.0
43.2,43.23,43.19,43.2,6947.0
43.19,43.23,43.19,43.2,10558.0
43.22,43.22,43.2,43.2,6313.0
43.21,43.235,43.2,43.225,5828.0
43.21,43.23,43.2,43.22,4120.0
43.24,43.24,43.205,43.21,3109.0
43.24,43.245,43.23,43.24,9739.0
43.23,43.24,43.21,43.24,6865.0
43.2634,43.2634,43.23,43.23,5162.0
43.26,43.27,43.26,43.27,5374.0
43.28,43.28,43.255,43.27,5806.0
43.25,43.285,43.25,43.28,4920.0
43.23,43.245,43.22,43.245,12634.0
43.25,43.26,43.22,43.22,6019.0
43.27,43.27,43.25,43.25,6795.0
43.29,43.31,43.28,43.28,5663.0
43.27,43.295,43.27,43.295,5857.0
43.27,43.28,43.26,43.27,4029.0
43.29,43.31,43.275,43.275,6035.0
43.31,43.31,43.28,43.29,2352.0
43.31,43.315,43.3,43.315,2651.0
43.29,43.31,43.28,43.31,4148.0
43.27,43.29,43.27,43.29,2400.0
43.27,43.285,43.27,43.27,4417.0
43.27,43.28,43.265,43.27,3976.0
43.31,43.31,43.28,43.28,2438.0
43.33,43.335,43.29,43.305,3522.0
43.325,43.33,43.32,43.32,1800.0
43.32,43.33,43.32,43.33,2856.0
43.3354,43.34,43.32,43.33,5080.0
43.36,43.36,43.34,43.34,2553.0
43.36,43.38,43.35,43.37,4806.0
43.39,43.405,43.37,43.37,5006.0
43.36,43.39,43.36,43.39,3573.0
43.37,43.37,43.35,43.35,1896.0
43.38,43.385,43.38,43.38,1616.0
43.39,43.39,43.365,43.38,2800.0
43.39,43.41,43.39,43.4,6560.0
43.4,43.405,43.395,43.4,849.0
43.39,43.41,43.39,43.4,4219.0
43.4,43.415,43.37,43.39,8145.0
43.395,43.425,43.395,43.4,3772.0
43.41,43.41,43.4,43.4,1541.0
43.42,43.43,43.4,43.4,1876.0
43.435,43.44,43.42,43.43,2300.0
43.42,43.43,43.42,43.43,2511.0
43.42,43.43,43.41,43.41,17262.0
43.44,43.44,43.42,43.42,3440.0
43.46,43.47,43.445,43.445,9510.0
43.47,43.47,43.455,43.46,2510.0
43.48,43.48,43.46,43.46,5533.0
43.495,43.495,43.475,43.48,3701.0
43.47,43.5,43.47,43.495,4190.0
43.44,43.465,43.44,43.46,3182.0
43.44,43.46,43.44,43.44,4316.0
43.44,43.46,43.43,43.45,4951.0
43.44,43.45,43.42,43.43,6237.0
43.46,43.46,43.44,43.44,5691.0
43.4501,43.46,43.44,43.45,3677.0
43.48,43.485,43.44,43.4532,7428.0
43.46,43.48,43.45,43.47,6609.0
43.445,43.47,43.44,43.46,5278.0
43.43,43.45,43.42,43.4403,4468.0
43.41,43.43,43.4,43.43,4731.0
43.4,43.41,43.4,43.41,300.0
43.405,43.41,43.39,43.4,4905.0
43.39,43.4,43.385,43.4,3755.0
43.4,43.41,43.4,43.4,3584.0
