Open,High,Low,Close,Volume
58.94,59.04,58.91,58.915,1644.0
58.8,58.99,58.761,58.94,5603.0
58.87,58.9,58.66,58.75,24564.0
58.78,58.87,58.78,58.87,2617.0
58.86,58.86,58.74,58.78,6751.0
58.9,59.05,58.8,58.8275,15869.0
59.0,59.02,58.89,58.98,4580.0
58.9378,59.0453,58.91,59.0453,2285.0
58.87,58.93,58.87,58.93,600.0
58.8576,58.89,58.83,58.865,2150.0
58.89,58.93,58.84,58.86,1300.0
58.95,58.96,58.93,58.93,1100.0
59.0,59.0,58.99,58.99,1200.0
59.018,59.02,58.99,59.005,1550.0
58.985,59.05,58.94,59.01,2861.0
58.99,58.99,58.93,58.98,2900.0
59.0299,59.0299,58.99,59.0,900.0
59.07,59.07,59.02,59.03,2620.0
59.02,59.06,59.0,59.06,1100.0
58.95,58.99,58.95,58.99,600.0
58.96,59.0,58.95,58.97,1400.0
58.99,58.99,58.97,58.97,500.0
58.97,58.9786,58.94,58.9786,1400.0
58.86,58.95,58.85,58.95,2700.0
58.88,58.88,58.83,58.84,1266.0
58.84,58.86,58.83,58.86,1000.0
58.8,58.85,58.79,58.82,3963.0
58.81,58.84,58.8,58.82,3300.0
58.8,58.83,58.8,58.83,900.0
58.75,58.8,58.75,58.8,1500.0
58.8,58.81,58.72,58.76,3749.0
58.8,58.83,58.78,58.8,3785.0
58.83,58.83,58.77,58.8,7529.0
58.84,58.87,58.825,58.85,3862.0
58.81,58.83,58.79,58.83,800.0
58.81,58.84,58.81,58.82,2676.0
58.82,58.835,58.8,58.82,4971.0
58.83,58.85,58.82,58.83,1900.0
58.8,58.81,58.78,58.8,2576.0
58.86,58.87,58.81,58.81,2238.0
58.86,58.88,58.85,58.88,1300.0
58.84,58.85,58.83,58.84,3400.0
58.87,58.88,58.82,58.85,8216.0
58.89,58.89,58.87,58.87,1166.0
58.92,58.93,58.89,58.89,1000.0
58.965,58.99,58.93,58.93,3050.0
58.95,58.97,58.95,58.97,2070.0
58.93,58.94,58.93,58.94,900.0
58.96,58.96,58.94,58.94,1400.0
58.94,58.97,58.94,58.95,800.0
59.0,59.0,58.94,58.96,1900.0
59.02,59.06,58.995,58.995,5150.0
59.01,59.01,59.001,59.01,2611.0
58.96,59.04,58.95,59.03,5087.0
58.95,58.95,58.93,58.95,700.0
58.91,58.94,58.91,58.94,900.0
58.92,58.93,58.92,58.92,1100.0
58.92,58.93,58.92,58.93,600.0
58.915,58.93,58.915,58.93,400.0
58.9,58.91,58.9,58.91,1900.0
58.87,58.9,58.86,58.9,1600.0
58.8,58.85,58.79,58.85,2400.0
58.82,58.85,58.82,58.83,1500.0
58.84,58.855,58.83,58.83,1400.0
58.85,58.89,58.83,58.83,2301.0
58.89,58.9,58.84,58.84,5009.0
58.9,58.927,58.9,58.91,1200.0
58.96,58.97,58.9,58.91,2600.0
58.945,58.97,58.945,58.96,1300.0
58.94,58.97,58.93,58.96,1520.0
58.95,58.97,58.93,58.93,3300.0
58.93,58.95,58.92,58.95,2200.0
58.93,58.94,58.92,58.94,1500.0
58.91,58.93,58.89,58.93,2600.0
58.9,58.92,58.9,58.91,1700.0
58.89,58.89,58.87,58.87,1200.0
58.89,58.89,58.86,58.89,1600.0
58.95,58.95,58.92,58.92,700.0
58.96,58.96,58.93,58.94,2559.0
58.94,58.97,58.94,58.96,600.0
58.94,58.94,58.93,58.94,2500.0
58.92,58.93,58.915,58.92,1700.0
58.95,58.96,58.94,58.94,1800.0
58.96,58.96,58.94,58.95,600.0
58.965,58.99,58.955,58.955,2200.0
58.98,58.98,58.95,58.96,2405.0
58.98,58.98,58.95,58.975,2109.0
58.98,58.98,58.97,58.97,400.0
59.02,59.06,58.99,58.99,4850.0
59.06,59.06,59.03,59.03,2800.0
59.05,59.055,59.04,59.05,1000.0
59.03,59.04,59.03,59.04,1902.0
59.0,59.01,59.0,59.0,1600.0
59.0,59.0,58.98,58.98,5972.0
59.02,59.03,58.98,59.0,3914.0
59.04,59.04,59.03,59.03,6200.0
59.03,59.05,59.03,59.045,2300.0
59.09,59.09,59.04,59.04,4561.0
59.08,59.1,59.08,59.095,3000.0
59.09,59.11,59.09,59.09,1857.0
59.08,59.09,59.06,59.09,2000.0
59.06,59.1,59.04,59.095,2933.0
59.05,59.06,59.05,59.05,600.0
59.01,59.045,59.01,59.045,1879.0
59.03,59.04,58.98,58.98,1400.0
59.18,59.18,59.06,59.06,3800.0
59.18,59.18,59.13,59.18,5300.0
59.16,59.18,59.16,59.18,2200.0
59.2,59.23,59.15,59.16,4237.0
59.18,59.21,59.16,59.21,1500.0
59.17,59.2,59.16,59.18,2300.0
59.24,59.25,59.16,59.16,1900.0
59.21,59.25,59.2,59.25,2821.0
59.23,59.24,59.2,59.22,3856.0
59.25,59.25,59.22,59.22,2870.0
59.21,59.24,59.21,59.24,3150.0
59.22,59.225,59.2,59.225,1600.0
59.22,59.23,59.21,59.215,1400.0
59.2297,59.23,59.215,59.22,3519.0
59.23,59.24,59.205,59.22,2500.0
59.22,59.265,59.22,59.23,3000.0
59.19,59.22,59.19,59.22,2882.0
59.21,59.21,59.18,59.19,1409.0
59.18,59.2,59.17,59.2,2330.0
59.18,59.21,59.18,59.185,2800.0
59.185,59.19,59.18,59.18,300.0
59.2,59.2,59.17,59.19,4960.0
59.21,59.22,59.18,59.19,2703.0
59.22,59.22,59.19,59.2,2394.0
59.22,59.22,59.22,59.22,700.0
59.25,59.25,59.22,59.22,3286.0
59.225,59.25,59.225,59.25,700.0
59.23,59.2384,59.215,59.23,3525.0
59.245,59.245,59.22,59.23,2211.0
59.26,59.26,59.2457,59.2457,1500.0
59.29,59.3,59.25,59.26,1300.0
59.29,59.29,59.29,59.29,900.0
59.24,59.28,59.24,59.28,1400.0
59.25,59.25,59.23,59.24,1200.0
59.26,59.27,59.26,59.26,1452.0
59.245,59.26,59.245,59.26,353.0
59.24,59.24,59.22,59.23,500.0
59.22,59.24,59.22,59.24,400.0
59.23,59.25,59.21,59.215,2569.0
59.23,59.23,59.22,59.23,600.0
