Open,High,Low,Close,Volume
63.86,64.17,63.8,64.12,20095.0
63.91,63.93,63.85,63.9099,7461.0
63.9,63.9,63.88,63.89,1132.0
63.85,63.85,63.85,63.85,200.0
63.9,63.91,63.83,63.84,5480.0
63.89,63.89,63.85,63.86,2667.0
63.91,63.92,63.87,63.89,2599.0
63.89,63.89,63.82,63.87,4375.0
63.9053,63.91,63.89,63.89,2300.0
63.91,63.93,63.9,63.92,2136.0
63.91,63.94,63.89,63.91,4886.0
63.96,63.98,63.92,63.92,11391.0
63.965,63.98,63.96,63.9799,2558.0
63.975,64.0,63.95,63.965,3900.0
63.99,63.99,63.97,63.98,2402.0
63.96,64.0,63.96,64.0,4109.0
63.88,63.95,63.87,63.95,10000.0
63.9299,63.93,63.9,63.91,3400.0
63.945,63.945,63.92,63.93,6400.0
63.93,63.94,63.92,63.94,5838.0
63.94,63.95,63.93,63.93,6062.0
63.92,63.95,63.91,63.95,4593.0
63.93,63.93,63.911,63.92,4440.0
63.93,63.93,63.91,63.93,5226.0
63.895,63.95,63.895,63.94,4414.0
63.88,63.89,63.88,63.885,3200.0
63.92,63.95,63.8875,63.89,6500.0
63.89,63.92,63.89,63.92,5620.0
63.8899,63.9,63.88,63.89,7300.0
63.93,63.93,63.89,63.89,3812.0
63.97,63.98,63.93,63.93,5847.0
63.9575,63.965,63.95,63.965,6026.0
63.95,63.95,63.93,63.95,4909.0
63.97,63.97,63.955,63.955,3398.0
64.0,64.0,63.98,63.98,1501.0
64.01,64.01,63.98,63.99,6594.0
64.04,64.04,64.02,64.02,3019.0
64.03,64.05,64.02,64.03,2346.0
64.02,64.04,64.02,64.03,3812.0
64.01,64.02,64.01,64.02,3300.0
63.98,64.01,63.98,64.01,2600.0
63.99,64.01,63.99,63.99,3250.0
63.98,63.99,63.97,63.99,3534.0
63.95,63.98,63.95,63.98,8585.0
63.93,63.95,63.92,63.94,4136.0
63.9399,63.9399,63.92,63.93,4000.0
63.935,63.95,63.93,63.94,3817.0
63.95,63.95,63.94,63.94,2600.0
63.96,63.96,63.95,63.95,3938.0
63.98,63.98,63.95,63.955,2238.0
63.98,63.98,63.97,63.98,5008.0
63.94,63.98,63.94,63.98,4646.0
63.9548,63.9548,63.94,63.94,2958.0
63.97,63.98,63.95,63.95,3512.0
63.97,63.98,63.96,63.97,2052.0
63.96,63.97,63.96,63.96,2464.0
63.96,63.9644,63.96,63.96,3115.0
63.951,63.96,63.93,63.95,6778.0
63.96,63.97,63.95,63.96,3109.0
63.98,63.99,63.96,63.96,1903.0
63.98,63.98,63.965,63.98,4534.0
63.97,63.98,63.97,63.98,3694.0
63.96,63.975,63.96,63.97,3800.0
63.96,63.98,63.96,63.96,3500.0
63.96,63.97,63.95,63.97,1400.0
63.99,64.01,63.96,63.96,6216.0
63.97,63.99,63.97,63.98,1411.0
63.96,63.96,63.95,63.96,4390.0
63.95,63.96,63.95,63.96,1317.0
63.94,63.95,63.94,63.95,2818.0
63.94,63.954,63.93,63.94,3689.0
63.93,63.95,63.93,63.94,4199.0
63.94,63.94,63.93,63.94,2914.0
63.94,63.95,63.94,63.94,3776.0
63.95,63.96,63.94,63.95,1800.0
63.975,63.975,63.96,63.96,2854.0
63.99,63.99,63.96,63.98,3775.0
63.98,63.99,63.96,63.99,4360.0
64.01,64.01,63.97,63.97,2802.0
64.01,64.02,64.01,64.01,1300.0
64.0,64.01,63.99,64.01,4439.0
64.005,64.01,63.995,63.995,4583.0
64.005,64.0101,63.99,64.0101,4090.0
63.99,64.0,63.99,64.0,300.0
63.97,63.99,63.97,63.99,1356.0
63.96,63.975,63.96,63.97,2900.0
63.99,63.99,63.96,63.96,7311.0
63.98,63.99,63.97,63.99,1801.0
63.98,63.989,63.96,63.97,5928.0
63.991,63.991,63.98,63.98,1096.0
63.97,63.991,63.96,63.99,8100.0
63.91,63.975,63.91,63.975,10444.0
63.92,63.92,63.9,63.91,2868.0
63.91,63.925,63.91,63.925,3674.0
63.92,63.92,63.885,63.9,6743.0
63.91,63.92,63.91,63.92,1952.0
63.91,63.911,63.9,63.91,4213.0
63.92,63.92,63.9062,63.91,1732.0
63.9,63.92,63.89,63.91,4700.0
63.9,63.9,63.88,63.89,1999.0
63.91,63.91,63.9,63.9,1512.0
63.91,63.91,63.9,63.91,4162.0
63.91,63.92,63.91,63.92,1000.0
63.91,63.91,63.9,63.91,4412.0
63.925,63.925,63.91,63.91,1100.0
63.92,63.93,63.92,63.93,3568.0
63.905,63.92,63.905,63.91,3500.0
63.9,63.91,63.89,63.9,3160.0
63.915,63.915,63.9,63.9,2297.0
63.88,63.91,63.88,63.91,5300.0
63.89,63.89,63.88,63.88,2800.0
63.9,63.9,63.88,63.88,3800.0
63.88,63.89,63.88,63.89,2100.0
63.89,63.89,63.88,63.88,1500.0
63.91,63.91,63.88,63.89,5529.0
63.9,63.91,63.89,63.91,1500.0
63.88,63.91,63.87,63.89,54332.0
63.9,63.905,63.87,63.87,4333.0
63.9,63.91,63.89,63.9,3680.0
63.91,63.91,63.9,63.91,1867.0
63.89,63.91,63.89,63.9,6600.0
63.89,63.89,63.88,63.89,2611.0
63.89,63.89,63.885,63.89,4168.0
63.88,63.88,63.87,63.88,3258.0
63.88,63.89,63.88,63.88,3060.0
63.88,63.88,63.88,63.88,1700.0
63.88,63.88,63.88,63.88,700.0
63.835,63.88,63.835,63.88,4500.0
63.86,63.86,63.83,63.83,3844.0
63.87,63.87,63.86,63.86,3300.0
63.87,63.87,63.86,63.86,2300.0
63.87,63.88,63.87,63.87,3700.0
63.87,63.87,63.865,63.87,1795.0
63.87,63.87,63.85,63.87,3307.0
63.87,63.8899,63.86,63.865,30655.0
63.87,63.88,63.865,63.87,5182.0
63.86,63.87,63.86,63.87,1912.0
63.86,63.86,63.85,63.86,3675.0
63.87,63.87,63.86,63.87,2958.0
63.89,63.89,63.88,63.88,600.0
63.87,63.89,63.87,63.89,2900.0
63.87,63.89,63.87,63.875,3111.0
63.88,63.88,63.87,63.87,1416.0
63.89,63.89,63.87,63.88,2287.0
63.8822,63.89,63.88,63.88,701.0
63.87,63.89,63.865,63.88,7414.0
63.88,63.88,63.87,63.87,2497.0
63.88,63.88,63.8799,63.88,1800.0
63.88,63.89,63.87,63.88,1900.0
63.87,63.88,63.87,63.88,2500.0
63.88,63.8838,63.87,63.87,4150.0
63.89,63.89,63.87,63.87,1616.0
63.88,63.89,63.88,63.89,2513.0
63.88,63.89,63.87,63.88,3477.0
63.87,63.88,63.87,63.879,2700.0
63.86,63.87,63.86,63.87,3739.0
63.86,63.87,63.85,63.855,1900.0
63.85,63.86,63.85,63.86,3000.0
63.8499,63.85,63.83,63.84,3227.0
63.821,63.84,63.821,63.84,1969.0
63.8322,63.84,63.83,63.83,1250.0
63.84,63.84,63.83,63.83,2934.0
63.83,63.83,63.83,63.83,400.0
63.81,63.83,63.81,63.83,2100.0
63.8361,63.8361,63.81,63.81,2490.0
63.8338,63.85,63.8338,63.84,1873.0
63.85,63.85,63.84,63.84,4395.0
63.86,63.88,63.85,63.85,2943.0
63.87,63.87,63.86,63.86,3150.0
63.86,63.87,63.86,63.86,1100.0
63.8563,63.86,63.85,63.86,1826.0
63.88,63.88,63.86,63.86,3167.0
63.8725,63.88,63.87,63.88,4910.0
63.8599,63.87,63.855,63.87,3045.0
63.88,63.88,63.855,63.855,3561.0
63.9,63.9,63.89,63.89,1951.0
63.92,63.92,63.9,63.9,5148.0
63.92,63.92,63.9199,63.92,3548.0
63.92,63.92,63.915,63.915,8264.0
63.94,63.95,63.92,63.92,5100.0
63.95,63.95,63.948,63.9499,2242.0
63.95,63.95,63.95,63.95,2103.0
63.95,63.955,63.94,63.945,8255.0
63.94,63.95,63.94,63.94,16937.0
63.93,63.95,63.92,63.95,5999.0
63.915,63.93,63.91,63.92,6268.0
63.93,63.93,63.92,63.92,2398.0
63.93,63.935,63.92,63.933,4859.0
63.94,63.95,63.94,63.94,8649.0
63.93,63.94,63.93,63.94,2797.0
63.93,63.94,63.93,63.94,1013.0
63.935,63.935,63.92,63.935,6301.0
63.97,63.97,63.94,63.94,3430.0
63.97,63.97,63.96,63.96,1300.0
63.98,63.98,63.97,63.97,2866.0
63.97,63.98,63.97,63.98,3222.0
63.97,63.97,63.97,63.97,1227.0
63.98,63.98,63.98,63.98,9891.0
64.0,64.0,63.98,63.98,5769.0
64.02,64.02,64.0,64.0,4891.0
64.0125,64.035,64.01,64.02,10576.0
63.98,64.01,63.98,64.01,2200.0
63.96,63.995,63.95,63.98,39467.0
63.96,63.97,63.96,63.96,3803.0
63.98,63.98,63.96,63.96,2101.0
63.99,63.99,63.98,63.98,1200.0
63.995,64.0,63.99,64.0,1601.0
63.99,63.995,63.98,63.99,6600.0
63.99,64.0,63.985,63.99,7355.0
63.99,63.99,63.98,63.99,2100.0
63.965,64.0,63.965,63.99,4709.0
63.98,63.98,63.96,63.965,3398.0
63.97,63.97,63.96,63.97,1000.0
63.97,63.99,63.96,63.96,5000.0
63.989,63.989,63.97,63.98,1948.0
63.99,63.99,63.99,63.99,1667.0
63.98,64.0,63.98,64.0,4978.0
63.98,63.98,63.98,63.98,700.0
63.99,63.99,63.98,63.98,1800.0
64.0,64.0,63.99,63.99,1121.0
63.97,64.0,63.97,63.99,6350.0
63.98,63.99,63.97,63.97,3736.0
64.0,64.0,63.98,63.99,6960.0
63.99,64.0,63.98,64.0,4650.0
63.99,63.9956,63.99,63.99,725.0
63.99,64.0,63.99,64.0,501.0
63.97,63.99,63.97,63.99,7014.0
63.98,63.98,63.97,63.97,1883.0
63.97,63.98,63.97,63.9701,3482.0
63.94,63.98,63.94,63.97,8133.0
63.93,63.94,63.93,63.935,1730.0
63.94,63.95,63.94,63.94,2771.0
63.96,63.96,63.95,63.95,1800.0
63.97,63.97,63.96,63.96,1500.0
63.97,63.97,63.96,63.96,2210.0
63.95,63.98,63.95,63.9799,3934.0
63.96,63.96,63.94,63.94,7441.0
63.955,63.96,63.9501,63.96,14004.0
63.95,63.96,63.95,63.955,12156.0
63.96,63.96,63.95,63.95,12557.0
63.95,63.96,63.95,63.95,11526.0
63.95,63.95,63.95,63.95,2108.0
63.96,63.96,63.95,63.95,3600.0
63.96,63.96,63.95,63.95,5925.0
63.99,64.0,63.955,63.955,34300.0
63.98,63.99,63.98,63.99,13704.0
63.98,63.99,63.98,63.98,8800.0
63.9899,63.995,63.98,63.99,8457.0
63.99,63.99,63.97,63.98,4900.0
63.98,63.995,63.98,63.98,6403.0
63.98,63.99,63.98,63.98,1396.0
63.9532,63.98,63.95,63.98,4374.0
63.95,63.96,63.95,63.96,600.0
63.96,63.97,63.95,63.95,4631.0
63.955,63.96,63.95,63.959,535.0
63.97,63.97,63.96,63.96,2900.0
63.98,63.98,63.97,63.97,500.0
63.98,63.99,63.98,63.98,1900.0
63.975,63.98,63.97,63.98,1800.0
63.95,63.97,63.94,63.97,8468.0
63.9657,63.9657,63.95,63.955,2129.0
63.98,63.98,63.97,63.97,834.0
63.99,63.995,63.98,63.98,2027.0
63.975,63.99,63.97,63.99,6500.0
63.96,63.98,63.96,63.98,2196.0
63.985,63.99,63.97,63.97,6126.0
63.98,63.99,63.98,63.98,5229.0
63.9699,63.99,63.965,63.99,4493.0
63.94,63.96,63.94,63.96,3100.0
63.95,63.95,63.94,63.94,500.0
63.96,63.965,63.95,63.95,3352.0
