Open,High,Low,Close,Volume
117.56,117.56,117.56,117.56,10581.0
117.78,117.94,117.69,117.69,3432.0
117.92,117.93,117.88,117.88,550.0
117.74,117.86,117.74,117.86,650.0
117.69,117.77,117.69,117.77,500.0
117.6,117.79,117.35,117.79,1300.0
117.6,117.84,117.6,117.6806,550.0
117.86,117.86,117.86,117.86,100.0
117.68,117.96,117.68,117.774,4130.0
117.7,117.7,117.48,117.54,1060.0
117.65,117.87,117.65,117.725,1400.0
117.71,117.8,117.71,117.72,1700.0
117.72,117.72,117.71,117.72,400.0
117.69,117.77,117.68,117.72,1900.0
117.65,117.75,117.65,117.75,1100.0
117.61,117.61,117.61,117.61,100.0
117.62,117.7,117.62,117.65,1822.0
117.72,117.72,117.6201,117.68,1000.0
117.63,117.68,117.63,117.68,600.0
117.54,117.66,117.54,117.66,1700.0
117.62,117.62,117.52,117.52,1150.0
117.7199,117.7199,117.66,117.67,530.0
117.77,117.77,117.72,117.72,900.0
117.89,117.92,117.755,117.76,3000.0
117.83,117.94,117.82,117.85,1045.0
117.9,117.9,117.86,117.86,850.0
117.86,117.8785,117.82,117.8785,500.0
117.81,117.81,117.81,117.81,101.0
117.89,117.89,117.79,117.86,3084.0
117.91,117.95,117.89,117.93,3328.0
117.9,117.95,117.89,117.92,2390.0
117.8,117.8475,117.79,117.83,1000.0
117.83,117.83,117.81,117.82,400.0
117.83,117.86,117.83,117.83,1811.0
117.78,117.8,117.76,117.8,4449.0
117.55,117.72,117.55,117.72,800.0
117.53,117.53,117.53,117.53,100.0
117.51,117.57,117.51,117.53,1502.0
117.58,117.66,117.58,117.59,1946.0
117.68,117.68,117.64,117.64,982.0
117.64,117.78,117.64,117.78,1000.0
117.66,117.75,117.62,117.67,1639.0
117.66,117.66,117.66,117.66,180.0
117.61,117.61,117.61,117.61,100.0
117.69,117.69,117.68,117.689,442.0
117.73,117.73,117.7,117.7,400.0
117.83,117.83,117.76,117.76,3865.0
117.91,117.91,117.86,117.86,400.0
117.87,117.965,117.87,117.92,1900.0
117.83,117.83,117.8,117.8,600.0
117.84,117.84,117.79,117.82,400.0
117.9,117.9,117.815,117.815,1800.0
117.91,117.91,117.91,117.91,100.0
117.75,117.83,117.74,117.83,1200.0
117.76,117.83,117.72,117.81,2600.0
117.8,117.88,117.76,117.81,1900.0
117.7008,117.73,117.64,117.73,400.0
117.66,117.66,117.66,117.66,200.0
