Open,High,Low,Close,Volume
79.5,79.5,79.47,79.47,31456.0
79.54,79.616,79.4301,79.48,9777.0
79.4559,79.52,79.41,79.52,3156.0
79.58,79.59,79.43,79.46,9111.0
79.58,79.59,79.53,79.58,16543.0
79.5,79.59,79.5,79.59,7617.0
79.5551,79.57,79.48,79.48,8133.0
79.47,79.555,79.47,79.54,6700.0
79.49,79.49,79.39,79.45,8142.0
79.52,79.57,79.49,79.49,6710.0
79.49,79.57,79.49,79.51,6500.0
79.58,79.58,79.5,79.5,13149.0
79.61,79.64,79.571,79.571,18090.0
79.61,79.65,79.61,79.61,14106.0
79.59,79.61,79.57,79.61,6373.0
79.56,79.6,79.54,79.6,14878.0
79.56,79.59,79.55,79.56,21385.0
79.63,79.63,79.57,79.57,19571.0
79.69,79.69,79.64,79.64,7303.0
79.69,79.7,79.66,79.68,26945.0
79.7,79.7,79.67,79.69,6033.0
79.68,79.69,79.67,79.69,2400.0
79.73,79.76,79.69,79.69,32056.0
79.75,79.75,79.7,79.73,14717.0
79.74,79.77,79.73,79.75,6797.0
79.74,79.77,79.74,79.74,7231.0
79.78,79.78,79.75,79.77,10278.0
79.77,79.79,79.75,79.77,20570.0
79.8,79.8,79.75,79.77,44850.0
79.8,79.81,79.79,79.8,13148.0
79.77,79.82,79.77,79.79,18470.0
79.8034,79.8034,79.765,79.79,16210.0
79.83,79.86,79.79,79.8,20404.0
79.87,79.8899,79.8,79.85,17173.0
79.8498,79.87,79.79,79.86,29571.0
79.85,79.87,79.84,79.85,6936.0
79.89,79.89,79.86,79.86,7179.0
79.94,79.95,79.89,79.89,11013.0
79.96,79.9699,79.9499,79.95,5500.0
79.98,79.99,79.95,79.96,3783.0
79.96,79.98,79.95,79.98,5988.0
79.99,79.99,79.96,79.96,5107.0
79.97,79.99,79.97,79.99,8239.0
79.9,79.98,79.9,79.98,9504.0
79.85,79.9,79.81,79.9,13278.0
79.88,79.88,79.82,79.85,6370.0
79.9,79.93,79.88,79.88,5660.0
79.88,79.91,79.88,79.89,3632.0
79.87,79.88,79.87,79.88,2588.0
79.86,79.88,79.84,79.87,6880.0
79.84,79.89,79.83,79.86,10575.0
79.775,79.84,79.75,79.84,6384.0
79.78,79.8,79.77,79.78,4927.0
79.83,79.84,79.78,79.78,3206.0
79.83,79.86,79.83,79.85,2789.0
79.86,79.86,79.8237,79.8237,2000.0
79.89,79.89,79.859,79.86,4499.0
79.9,79.92,79.88,79.88,7793.0
79.93,79.9345,79.9,79.91,6361.0
79.94,79.95,79.93,79.93,6853.0
79.91,79.945,79.8999,79.945,7235.0
79.93,79.935,79.92,79.92,3214.0
79.94,79.95,79.93,79.93,6498.0
79.91,79.93,79.91,79.93,5889.0
79.88,79.9,79.88,79.9,4301.0
79.93,79.93,79.89,79.89,7629.0
79.9,79.938,79.9,79.93,5990.0
79.9027,79.9027,79.87,79.89,7205.0
79.86,79.91,79.86,79.91,8737.0
79.89,79.89,79.85,79.86,8924.0
79.88,79.89,79.875,79.88,4532.0
79.85,79.87,79.85,79.87,3497.0
79.8599,79.865,79.83,79.85,6807.0
79.88,79.88,79.86,79.865,4266.0
79.9,79.9,79.87,79.88,4135.0
79.92,79.93,79.87,79.895,23814.0
79.94,79.94,79.9,79.92,17036.0
79.91,79.95,79.9,79.94,4692.0
79.95,79.95,79.88,79.92,21421.0
79.965,79.965,79.93,79.9443,7674.0
79.97,79.99,79.96,79.96,6769.0
79.98,79.995,79.96,79.96,4644.0
79.98,80.0,79.96,79.98,18724.0
80.05,80.06,79.9848,79.9848,41511.0
80.0531,80.06,80.05,80.05,2195.0
80.06,80.0646,80.03,80.055,10766.0
80.03,80.08,80.02,80.06,6431.0
80.02,80.04,80.01,80.031,5753.0
80.045,80.06,79.995,80.02,20127.0
80.06,80.07,80.05,80.05,4655.0
80.09,80.1,80.05,80.06,17085.0
80.04,80.1,80.04,80.09,6478.0
80.04,80.05,80.01,80.03,7095.0
79.92,80.03,79.92,80.03,9627.0
79.88,79.92,79.84,79.92,12266.0
79.79,79.87,79.79,79.87,5540.0
79.86,79.86,79.8,79.8,14505.0
79.87,79.87,79.855,79.86,4103.0
79.83,79.861,79.825,79.86,7358.0
