Open,High,Low,Close,Volume
122.98,122.98,122.98,122.98,14148.0
123.13,123.19,122.97,122.97,1769.0
123.098,123.215,123.02,123.215,1800.0
123.16,123.33,123.1,123.1,1300.0
123.2471,123.2471,123.2,123.2,310.0
123.32,123.32,123.205,123.205,1300.0
123.27,123.35,123.27,123.3,2500.0
123.29,123.29,123.17,123.2885,1701.0
123.25,123.26,123.17,123.23,2000.0
123.3,123.3,123.23,123.25,300.0
123.48,123.48,123.32,123.32,1600.0
123.41,123.52,123.41,123.49,2941.0
123.3,123.35,123.3,123.35,5176.0
123.3027,123.32,123.185,123.185,2900.0
123.25,123.25,123.25,123.25,200.0
123.09,123.24,123.09,123.24,2256.0
123.13,123.13,123.11,123.11,400.0
123.16,123.2,123.16,123.19,850.0
123.23,123.23,123.15,123.16,1100.0
123.16,123.24,123.14,123.2,1200.0
123.17,123.17,123.14,123.14,400.0
123.32,123.32,123.19,123.19,2616.0
123.33,123.35,123.27,123.34,2531.0
123.33,123.33,123.33,123.33,100.0
123.26,123.35,123.24,123.34,3301.0
123.25,123.28,123.23,123.23,4884.0
123.22,123.26,123.22,123.2401,1962.0
123.19,123.23,123.1364,123.22,1537.0
123.15,123.21,123.1101,123.14,3721.0
123.26,123.26,123.18,123.18,400.0
123.26,123.26,123.21,123.25,1983.0
123.27,123.27,123.27,123.27,500.0
123.25,123.265,123.23,123.265,1316.0
123.2,123.25,123.2,123.23,1244.0
123.205,123.25,123.2,123.2,2900.0
123.21,123.24,123.21,123.23,1502.0
123.22,123.24,123.21,123.24,400.0
123.22,123.22,123.18,123.2,1000.0
123.1603,123.2,123.11,123.2,2400.0
123.21,123.22,123.18,123.18,900.0
123.17,123.19,123.14,123.19,2017.0
123.06,123.17,123.06,123.17,2000.0
123.06,123.08,123.0,123.05,1755.0
123.05,123.05,123.01,123.04,1105.0
123.06,123.1,123.06,123.07,1100.0
123.12,123.12,123.09,123.09,200.0
123.03,123.08,123.03,123.08,1200.0
122.99,123.01,122.99,123.01,1300.0
122.96,122.98,122.93,122.96,1400.0
122.86,122.93,122.86,122.93,1490.0
122.83,122.9,122.81,122.81,1900.0
122.9268,122.9268,122.85,122.85,1104.0
122.94,122.96,122.94,122.95,1276.0
122.83,122.89,122.83,122.89,700.0
122.78,122.83,122.78,122.82,809.0
122.865,122.865,122.78,122.78,3709.0
122.89,122.89,122.85,122.85,600.0
122.76,122.89,122.71,122.89,3800.0
122.7599,122.78,122.75,122.76,1401.0
122.75,122.78,122.68,122.76,3200.0
122.73,122.73,122.73,122.73,600.0
122.69,122.73,122.68,122.73,2112.0
122.72,122.729,122.65,122.71,2640.0
122.725,122.76,122.725,122.73,1535.0
122.66,122.69,122.62,122.69,2100.0
122.56,122.66,122.56,122.64,1100.0
122.57,122.6,122.52,122.54,3250.0
122.51,122.5699,122.51,122.55,935.0
122.52,122.52,122.52,122.52,136.0
122.6,122.6,122.5,122.51,3200.0
122.63,122.63,122.6,122.6,932.0
122.58,122.62,122.58,122.61,1945.0
122.71,122.71,122.57,122.57,3470.0
122.74,122.74,122.67,122.7,3596.0
122.68,122.73,122.68,122.72,3801.0
122.75,122.75,122.63,122.68,2217.0
122.81,122.81,122.77,122.77,1611.0
122.8,122.87,122.8,122.87,2000.0
122.83,122.83,122.79,122.8,1900.0
122.85,122.85,122.78,122.8408,2460.0
122.81,122.88,122.81,122.86,2229.0
122.84,122.84,122.75,122.8,5800.0
122.78,122.8568,122.73,122.85,1360.0
122.7694,122.77,122.7694,122.77,305.0
122.68,122.77,122.66,122.73,3914.0
122.78,122.78,122.71,122.71,800.0
122.8,122.8015,122.74,122.785,2331.0
122.82,122.82,122.78,122.81,3812.0
122.77,122.83,122.75,122.83,1900.0
122.71,122.79,122.68,122.79,1200.0
122.68,122.68,122.6,122.68,4333.0
122.64,122.69,122.64,122.69,1100.0
122.68,122.68,122.63,122.66,2952.0
122.65,122.72,122.64,122.7,1823.0
122.64,122.68,122.62,122.62,1000.0
122.65,122.67,122.65,122.65,600.0
122.65,122.67,122.64,122.67,1070.0
122.7,122.7,122.62,122.66,4242.0
122.69,122.71,122.67,122.6901,1312.0
122.695,122.7069,122.67,122.68,1300.0
122.71,122.75,122.7,122.7,3903.0
122.71,122.8,122.7,122.7,10686.0
122.695,122.735,122.68,122.715,9464.0
122.71,122.73,122.695,122.695,3713.0
122.76,122.76,122.72,122.72,1287.0
122.72,122.75,122.72,122.75,2674.0
122.73,122.73,122.7,122.7,800.0
122.6987,122.7,122.63,122.7,2495.0
122.64,122.685,122.64,122.67,700.0
122.66,122.66,122.62,122.62,400.0
122.65,122.67,122.65,122.67,1054.0
122.66,122.7,122.66,122.7,803.0
122.6801,122.69,122.63,122.63,1130.0
122.71,122.71,122.68,122.7,1252.0
122.7,122.71,122.7,122.71,600.0
122.63,122.68,122.63,122.68,1000.0
122.71,122.71,122.65,122.65,700.0
122.68,122.7,122.68,122.7,664.0
122.66,122.67,122.65,122.67,600.0
122.69,122.69,122.67,122.67,400.0
122.63,122.67,122.63,122.67,600.0
122.66,122.66,122.64,122.64,1200.0
122.6,122.64,122.59,122.64,1100.0
122.68,122.68,122.66,122.66,300.0
122.69,122.74,122.69,122.7,2000.0
122.7,122.7,122.67,122.67,616.0
122.75,122.75,122.71,122.71,500.0
122.7,122.71,122.7,122.71,600.0
122.7,122.72,122.68,122.72,800.0
122.73,122.73,122.73,122.73,100.0
122.71,122.73,122.71,122.73,511.0
122.73,122.73,122.7,122.7,1800.0
122.71,122.71,122.71,122.71,200.0
122.76,122.76,122.7,122.7,2100.0
122.78,122.78,122.75,122.75,1000.0
122.8,122.8,122.75,122.76,2900.0
122.78,122.8,122.77,122.8,1706.0
122.79,122.79,122.79,122.79,600.0
122.81,122.81,122.8,122.8,1535.0
122.8513,122.8513,122.82,122.82,1037.0
122.78,122.83,122.78,122.83,1938.0
122.82,122.82,122.81,122.81,500.0
122.78,122.8,122.78,122.79,1476.0
122.79,122.82,122.76,122.78,5400.0
122.8,122.8,122.8,122.8,100.0
122.8,122.84,122.795,122.795,6200.0
122.78,122.79,122.76,122.79,1700.0
122.77,122.78,122.76,122.78,300.0
122.78,122.78,122.73,122.76,1900.0
122.7095,122.76,122.7095,122.76,565.0
122.68,122.73,122.68,122.7,2569.0
122.72,122.72,122.68,122.72,1535.0
122.66,122.72,122.65,122.72,1800.0
122.68,122.68,122.64,122.64,1400.0
122.66,122.66,122.66,122.66,100.0
122.66,122.68,122.655,122.655,1200.0
122.61,122.65,122.61,122.65,2669.0
122.66,122.66,122.61,122.61,1605.0
122.6648,122.69,122.66,122.66,431.0
122.71,122.71,122.67,122.67,1000.0
122.71,122.74,122.7,122.72,1600.0
122.73,122.73,122.73,122.73,100.0
122.75,122.75,122.74,122.74,200.0
122.74,122.78,122.74,122.76,3800.0
122.75,122.75,122.735,122.74,1015.0
122.74,122.74,122.74,122.74,100.0
122.73,122.75,122.715,122.745,4038.0
122.74,122.77,122.725,122.725,1900.0
122.75,122.8,122.75,122.8,1100.0
122.78,122.79,122.78,122.78,851.0
122.8,122.81,122.761,122.761,1401.0
122.8,122.8001,122.77,122.79,4537.0
122.82,122.82,122.78,122.8,3297.0
122.79,122.81,122.78,122.805,1505.0
122.76,122.76,122.76,122.76,200.0
122.77,122.77,122.755,122.755,602.0
122.73,122.77,122.73,122.765,1300.0
122.75,122.75,122.74,122.74,900.0
122.78,122.79,122.75,122.75,995.0
122.78,122.79,122.77,122.79,3890.0
122.76,122.77,122.76,122.77,909.0
122.74,122.76,122.74,122.74,300.0
122.72,122.745,122.72,122.74,700.0
122.7078,122.74,122.7078,122.74,1541.0
122.77,122.77,122.72,122.72,1600.0
122.76,122.76,122.75,122.755,1747.0
122.74,122.75,122.74,122.75,500.0
122.71,122.745,122.68,122.745,2000.0
122.74,122.74,122.73,122.73,300.0
122.765,122.765,122.75,122.75,700.0
122.79,122.8,122.78,122.78,500.0
122.82,122.82,122.76,122.78,2700.0
122.8,122.8,122.8,122.8,100.0
122.79,122.8,122.76,122.78,3339.0
122.848,122.88,122.7712,122.7712,12842.0
122.81,122.84,122.81,122.83,1410.0
122.78,122.8001,122.76,122.8001,1900.0
122.77,122.78,122.77,122.78,400.0
122.74,122.76,122.73,122.76,1804.0
122.72,122.7383,122.72,122.73,815.0
122.725,122.73,122.71,122.71,423.0
122.725,122.725,122.725,122.725,100.0
122.75,122.76,122.71,122.715,4300.0
122.76,122.76,122.74,122.75,2497.0
122.78,122.78,122.76,122.76,800.0
122.79,122.8,122.79,122.7999,503.0
122.78,122.79,122.74,122.77,3440.0
122.76,122.77,122.74,122.77,2465.0
122.735,122.735,122.73,122.73,300.0
122.72,122.72,122.72,122.72,100.0
122.75,122.75,122.74,122.75,300.0
122.71,122.74,122.71,122.74,700.0
122.69,122.725,122.69,122.71,800.0
122.7,122.72,122.68,122.69,3103.0
122.67,122.7024,122.63,122.69,3030.0
122.69,122.69,122.67,122.67,200.0
122.67,122.6814,122.67,122.67,300.0
122.6923,122.6923,122.67,122.685,1301.0
122.72,122.73,122.68,122.69,2400.0
122.7,122.7,122.68,122.7,2236.0
122.71,122.71,122.68,122.7,4041.0
122.73,122.73,122.71,122.71,765.0
122.7161,122.7161,122.7161,122.7161,467.0
122.71,122.71,122.69,122.69,1190.0
122.74,122.74,122.71,122.72,1800.0
122.75,122.75,122.74,122.74,1700.0
122.73,122.74,122.72,122.74,2003.0
122.71,122.73,122.71,122.72,1800.0
122.72,122.72,122.69,122.7,1000.0
122.71,122.71,122.7,122.71,900.0
122.69,122.7,122.69,122.7,1511.0
122.7,122.71,122.67,122.67,2000.0
122.71,122.71,122.6974,122.7,671.0
122.76,122.78,122.7,122.7,2443.0
122.71,122.77,122.71,122.77,1300.0
122.71,122.71,122.67,122.7,1780.0
