Open,High,Low,Close,Volume
71.34,71.34,71.34,71.34,300.0
71.59,71.625,71.3,71.3,192677.0
71.56,71.89,71.5,71.61,65908.0
71.66,71.67,71.56,71.57,22819.0
71.94,71.94,71.62,71.6599,60020.0
71.92,72.13,71.92,71.94,87414.0
71.77,71.94,71.77,71.94,42997.0
71.745,71.8489,71.68,71.77,80161.0
71.74,71.81,71.71,71.73,40454.0
71.76,71.8,71.72,71.74,12726.0
71.87,71.9,71.76,71.79,44711.0
71.92,71.99,71.87,71.89,59286.0
71.93,71.95,71.87,71.93,25225.0
72.02,72.04,71.89,71.93,47726.0
71.97,72.03,71.95,72.02,20649.0
71.93,72.01,71.93,71.98,41845.0
71.92,71.95,71.9,71.93,28281.0
71.96,71.96,71.91,71.92,28648.0
71.98,71.99,71.94,71.95,31814.0
71.96,72.0,71.96,71.99,24062.0
72.0,72.005,71.89,71.96,29549.0
71.94,72.0,71.93,71.99,28428.0
71.81,71.96,71.81,71.935,30854.0
71.72,71.82,71.71,71.81,31642.0
71.76,71.77,71.65,71.71,23874.0
71.71,71.8,71.71,71.76,24719.0
71.75,71.76,71.71,71.71,24524.0
71.755,71.76,71.67,71.75,34229.0
71.75,71.8,71.74,71.76,28843.0
71.8,71.84,71.77,71.77,19163.0
71.89,71.9,71.81,71.8134,12373.0
71.86,71.92,71.86,71.88,36463.0
71.8,71.9,71.775,71.88,21399.0
71.63,71.8,71.62,71.8,32321.0
71.66,71.66,71.57,71.6328,29836.0
71.67,71.69,71.62,71.67,10561.0
71.7134,71.73,71.62,71.67,34670.0
71.7,71.74,71.69,71.71,16295.0
71.7,71.71,71.68,71.7,10536.0
71.68,71.72,71.66,71.7,14682.0
71.62,71.69,71.62,71.68,12900.0
71.61,71.66,71.61,71.62,20847.0
71.62,71.63,71.53,71.61,32219.0
71.69,71.71,71.63,71.63,30124.0
71.66,71.69,71.62,71.69,18707.0
71.62,71.68,71.58,71.66,26789.0
71.545,71.64,71.545,71.62,37487.0
71.58,71.625,71.54,71.56,28055.0
71.645,71.65,71.56,71.59,19203.0
71.63,71.65,71.6,71.65,23071.0
71.64,71.72,71.63,71.64,30653.0
71.65,71.669,71.64,71.64,10599.0
71.6762,71.71,71.64,71.66,14924.0
71.67,71.72,71.67,71.68,10182.0
71.56,71.68,71.56,71.68,17081.0
71.58,71.58,71.45,71.56,36884.0
71.7,71.72,71.58,71.58,17951.0
71.65,71.7,71.64,71.7,14737.0
71.636,71.665,71.61,71.65,12366.0
71.64,71.66,71.61,71.64,15926.0
71.6,71.66,71.58,71.64,19959.0
71.59,71.61,71.55,71.59,12133.0
71.59,71.63,71.57,71.6,16352.0
71.575,71.6168,71.56,71.59,16069.0
71.65,71.65,71.58,71.58,18263.0
71.7,71.72,71.645,71.645,32240.0
71.69,71.71,71.67,71.7,15771.0
71.77,71.77,71.685,71.685,34215.0
71.79,71.8,71.76,71.765,10504.0
71.74,71.82,71.73,71.795,36603.0
71.7653,71.8,71.72,71.74,72496.0
71.77,71.795,71.76,71.76,29977.0
71.755,71.79,71.75,71.77,14505.0
71.73,71.76,71.73,71.75,10054.0
71.72,71.75,71.72,71.73,16050.0
71.725,71.74,71.715,71.72,17858.0
71.71,71.73,71.71,71.725,12078.0
71.71,71.72,71.67,71.71,24437.0
71.66,71.7,71.66,71.7,16990.0
71.67,71.67,71.64,71.665,15350.0
71.69,71.71,71.66,71.675,17358.0
71.79,71.79,71.69,71.69,19938.0
71.84,71.84,71.75,71.79,31897.0
71.82,71.87,71.81,71.84,39904.0
71.865,71.8675,71.83,71.84,9714.0
71.76,71.87,71.75,71.865,19044.0
71.771,71.78,71.7201,71.76,29737.0
71.82,71.82,71.77,71.78,7766.0
71.85,71.855,71.8,71.82,23353.0
71.8,71.855,71.8,71.85,20124.0
71.835,71.84,71.78,71.8,7330.0
71.82,71.8469,71.82,71.835,24168.0
71.88,71.885,71.82,71.82,8581.0
71.8761,71.92,71.86,71.8861,31835.0
71.9,71.9,71.845,71.875,65769.0
71.88,71.9,71.84,71.9,41085.0
71.8628,71.91,71.8628,71.88,43860.0
71.86,71.88,71.845,71.865,26765.0
71.86,71.88,71.8,71.86,94846.0
71.878,71.9,71.85,71.86,14844.0
71.8,71.88,71.8,71.88,18668.0
71.815,71.82,71.79,71.8,30319.0
71.83,71.87,71.81,71.815,19913.0
71.82,71.8357,71.79,71.83,13749.0
71.81,71.84,71.775,71.82,16088.0
71.75,71.8099,71.72,71.8,41432.0
71.805,71.805,71.745,71.745,11612.0
71.85,71.88,71.805,71.805,28666.0
71.91,71.92,71.8554,71.8554,13000.0
71.91,71.93,71.9,71.9,18522.0
71.85,71.91,71.85,71.91,14366.0
71.81,71.855,71.81,71.85,10405.0
71.795,71.84,71.795,71.81,20979.0
71.875,71.875,71.8,71.8,11261.0
71.9,71.905,71.88,71.88,17103.0
71.85,71.91,71.85,71.905,15664.0
71.88,71.8975,71.86,71.86,9178.0
71.91,71.91,71.87,71.8787,13480.0
71.925,71.925,71.88,71.91,20308.0
71.97,71.97,71.91,71.9262,10360.0
71.97,71.97,71.95,71.9692,19429.0
71.905,71.965,71.905,71.96,13641.0
71.87,71.91,71.84,71.9,23626.0
71.82,71.8654,71.81,71.8654,22426.0
71.83,71.83,71.78,71.82,16523.0
71.88,71.89,71.83,71.84,14493.0
71.85,71.905,71.84,71.885,32678.0
71.895,71.895,71.86,71.86,15622.0
71.85,71.9,71.85,71.9,11655.0
71.83,71.87,71.83,71.855,9659.0
71.86,71.86,71.82,71.835,19900.0
71.89,71.89,71.86,71.86,7370.0
71.87,71.9,71.86,71.89,13570.0
71.88,71.88,71.86,71.8645,14214.0
