Open,High,Low,Close,Volume
82.13,82.2,82.1,82.16,8550.0
82.1,82.16,82.07,82.15,149808.0
82.13,82.18,82.11,82.11,37272.0
82.12,82.13,82.08,82.12,20150.0
82.15,82.16,82.1,82.11,28245.0
82.18,82.195,82.115,82.14,28019.0
82.24,82.24,82.15,82.1854,55416.0
82.235,82.28,82.23,82.24,34457.0
82.3233,82.33,82.22,82.23,87838.0
82.275,82.33,82.27,82.315,15945.0
82.29,82.3,82.22,82.2762,32961.0
82.327,82.33,82.2666,82.28,93308.0
82.21,82.35,82.21,82.32,80268.0
82.18,82.24,82.18,82.2187,17705.0
82.145,82.18,82.13,82.17,15992.0
82.05,82.15,82.05,82.15,26844.0
82.005,82.069,82.0,82.04,26988.0
82.0,82.02,81.9675,82.01,44195.0
82.03,82.045,81.97,81.98,17102.0
82.08,82.085,82.015,82.0258,29902.0
82.06,82.09,82.05,82.08,17239.0
82.09,82.09,82.0343,82.0525,22789.0
82.0934,82.12,82.08,82.09,22201.0
82.07,82.09,82.05,82.09,11775.0
82.075,82.085,82.07,82.07,14793.0
82.105,82.11,82.07,82.0751,22500.0
82.13,82.135,82.1,82.11,27703.0
82.145,82.15,82.115,82.14,103066.0
82.1644,82.17,82.1357,82.14,13252.0
82.115,82.17,82.11,82.165,7955.0
82.11,82.145,82.08,82.11,22493.0
82.05,82.1,82.05,82.1,12544.0
82.09,82.09,82.045,82.045,15887.0
82.07,82.1,82.07,82.09,13650.0
82.06,82.07,82.05,82.05,9668.0
82.065,82.07,82.06,82.0614,8704.0
82.065,82.07,82.04,82.065,18147.0
82.075,82.095,82.05,82.06,24454.0
82.0526,82.075,82.035,82.075,15483.0
82.075,82.08,82.06,82.06,5870.0
82.0601,82.075,82.05,82.075,12106.0
82.06,82.07,82.05,82.06,12714.0
82.075,82.08,82.06,82.07,11053.0
82.11,82.115,82.075,82.08,26334.0
82.115,82.115,82.085,82.105,22716.0
82.14,82.17,82.115,82.12,26504.0
82.19,82.25,82.12,82.14,36994.0
82.18,82.21,82.165,82.19,39347.0
82.171,82.2,82.17,82.185,18923.0
82.155,82.19,82.15,82.175,15950.0
82.14,82.176,82.13,82.155,23291.0
82.155,82.16,82.12,82.135,27634.0
82.18,82.18,82.145,82.155,8504.0
82.14,82.18,82.14,82.18,8976.0
82.085,82.15,82.075,82.135,23513.0
82.09,82.12,82.09,82.1,20417.0
82.105,82.12,82.08,82.09,11898.0
82.08,82.1,82.05,82.1,61475.0
82.09,82.11,82.05,82.07,63288.0
82.05,82.085,82.045,82.08,37577.0
82.08,82.085,82.02,82.05,23321.0
82.09,82.095,82.07,82.09,19908.0
82.115,82.12,82.08,82.085,14935.0
82.11,82.13,82.11,82.11,20030.0
82.08,82.11,82.08,82.1,15425.0
82.085,82.095,82.07,82.08,25098.0
82.11,82.11,82.07,82.0876,49847.0
82.0746,82.115,82.06,82.11,21112.0
82.06,82.0778,82.05,82.075,15803.0
82.07,82.075,82.04,82.06,22569.0
82.07,82.07,82.04,82.0642,14750.0
82.065,82.07,82.04,82.065,25464.0
82.0746,82.1,82.065,82.065,16341.0
82.085,82.095,82.07,82.07,21158.0
82.06,82.095,82.05,82.09,53421.0
81.9839,82.0501,81.98,82.0501,46851.0
81.92,81.985,81.9,81.98,24410.0
81.925,81.93,81.9,81.925,25930.0
81.86,81.9286,81.86,81.9286,11174.0
81.87,81.87,81.845,81.86,19576.0
81.87,81.87,81.83,81.8654,31392.0
81.905,81.9125,81.87,81.87,29258.0
81.895,81.925,81.885,81.91,28271.0
81.84,81.91,81.8208,81.91,92339.0
81.76,81.84,81.745,81.84,60570.0
81.715,81.765,81.705,81.76,48280.0
81.705,81.79,81.7,81.72,40131.0
81.65,81.72,81.61,81.705,51247.0
81.62,81.69,81.61,81.65,87138.0
81.63,81.66,81.615,81.615,31946.0
81.68,81.68,81.6,81.63,100562.0
81.7407,81.75,81.65,81.69,90546.0
81.785,81.81,81.74,81.75,35700.0
81.81,81.81,81.745,81.795,34196.0
81.7857,81.81,81.76,81.8,25126.0
81.79,81.79,81.75,81.78,40253.0
81.77,81.81,81.77,81.78,17284.0
81.75,81.77,81.7,81.77,30309.0
81.74,81.76,81.705,81.76,20500.0
81.785,81.785,81.72,81.7333,17846.0
81.83,81.84,81.77,81.79,43110.0
81.8166,81.8505,81.81,81.83,29486.0
81.86,81.86,81.805,81.81,20703.0
81.84,81.86,81.82,81.852,16460.0
81.82,81.84,81.81,81.835,22799.0
81.8,81.81,81.774,81.81,21540.0
81.83,81.83,81.765,81.79,19148.0
81.84,81.84,81.79,81.83,30118.0
81.87,81.88,81.77,81.84,34348.0
81.8,81.86,81.75,81.86,39097.0
81.7901,81.8,81.74,81.79,40726.0
81.7899,81.82,81.76,81.79,28448.0
81.785,81.81,81.75,81.78,18155.0
81.79,81.81,81.76,81.78,19980.0
81.77,81.79,81.76,81.78,8589.0
81.73,81.7643,81.72,81.7643,15507.0
81.72,81.73,81.7,81.73,21742.0
81.775,81.79,81.7,81.7207,35160.0
81.81,81.84,81.76,81.775,30550.0
81.82,81.82,81.78,81.805,14856.0
81.81,81.84,81.81,81.82,16256.0
81.74,81.8,81.74,81.8,19977.0
81.76,81.78,81.74,81.7401,14432.0
81.71,81.76,81.7032,81.75,18663.0
81.73,81.74,81.68,81.72,37662.0
81.71,81.745,81.69,81.72,18425.0
81.7,81.72,81.67,81.71,22907.0
81.69,81.7205,81.66,81.7,20733.0
81.7901,81.8,81.7,81.7,20519.0
81.785,81.82,81.77,81.79,9997.0
81.7946,81.8,81.7846,81.79,9730.0
81.76,81.8,81.76,81.79,18278.0
81.81,81.8254,81.76,81.76,19075.0
81.8271,81.83,81.79,81.805,11770.0
81.845,81.85,81.805,81.83,29883.0
