Open,High,Low,Close,Volume
15.18,15.22,15.18,15.22,445.0
15.21,15.21,15.14,15.14,1032.0
15.08,15.22,15.08,15.21,800.0
15.125,15.15,15.125,15.15,400.0
15.15,15.15,15.15,15.15,205.0
15.15,15.17,15.1336,15.1336,1900.0
15.2,15.2,15.15,15.15,300.0
15.19,15.19,15.19,15.19,200.0
15.12,15.14,15.12,15.14,800.0
15.0991,15.0991,15.0991,15.0991,2000.0
15.08,15.08,15.08,15.08,100.0
15.0899,15.0899,15.0899,15.0899,600.0
15.09,15.09,15.09,15.09,400.0
15.07,15.09,15.07,15.09,300.0
15.075,15.075,15.075,15.075,500.0
15.09,15.09,15.09,15.09,542.0
15.09,15.09,15.09,15.09,700.0
15.07,15.07,15.06,15.07,500.0
15.1,15.1,15.1,15.1,300.0
15.12,15.12,15.12,15.12,100.0
15.11,15.12,15.11,15.12,300.0
15.11,15.11,15.11,15.11,200.0
15.08,15.11,15.06,15.11,1200.0
15.07,15.07,15.07,15.07,100.0
15.1,15.1,15.1,15.1,100.0
15.1,15.1,15.1,15.1,105.0
15.1,15.1,15.1,15.1,200.0
15.07,15.07,15.07,15.07,100.0
15.09,15.1,15.09,15.1,400.0
15.1,15.1,15.1,15.1,500.0
15.1,15.1,15.1,15.1,100.0
15.11,15.11,15.11,15.11,100.0
15.1,15.1,15.08,15.1,800.0
15.12,15.12,15.11,15.11,1200.0
15.13,15.15,15.13,15.13,800.0
15.1602,15.1602,15.1602,15.1602,200.0
15.13,15.15,15.13,15.15,500.0
15.14,15.14,15.14,15.14,200.0
15.14,15.14,15.14,15.14,100.0
15.15,15.15,15.15,15.15,100.0
15.16,15.16,15.16,15.16,100.0
15.1599,15.1599,15.1599,15.1599,240.0
15.12,15.13,15.12,15.13,900.0
15.1001,15.12,15.1001,15.12,300.0
15.1,15.1,15.1,15.1,400.0
15.09,15.09,15.08,15.09,500.0
15.09,15.09,15.09,15.09,100.0
15.06,15.06,15.06,15.06,100.0
15.07,15.07,15.055,15.06,650.0
15.07,15.07,15.07,15.07,200.0
15.07,15.07,15.065,15.07,1278.0
15.05,15.05,15.04,15.05,800.0
15.05,15.05,15.05,15.05,100.0
15.03,15.03,15.03,15.03,200.0
15.02,15.02,15.02,15.02,100.0
15.01,15.01,15.01,15.01,200.0
15.02,15.02,15.02,15.02,100.0
15.02,15.02,15.02,15.02,200.0
15.03,15.03,15.03,15.03,100.0
15.01,15.01,15.005,15.01,500.0
15.01,15.01,15.01,15.01,100.0
14.98,15.02,14.98,15.02,1746.0
15.0,15.0,15.0,15.0,100.0
15.0,15.0,15.0,15.0,300.0
14.99,14.99,14.99,14.99,100.0
14.99,15.005,14.99,14.99,600.0
14.99,14.99,14.99,14.99,492.0
14.985,14.985,14.985,14.985,100.0
14.9952,14.9952,14.9952,14.9952,100.0
14.98,14.98,14.98,14.98,100.0
15.0,15.0,15.0,15.0,300.0
15.02,15.02,15.02,15.02,100.0
15.01,15.02,15.005,15.005,700.0
15.01,15.01,15.01,15.01,100.0
15.0,15.0,15.0,15.0,391.0
