Open,High,Low,Close,Volume
13.5,13.5,13.5,13.5,186.0
13.5,13.5,13.45,13.45,3413.0
13.4705,13.4705,13.4705,13.4705,115.0
13.5,13.5,13.46,13.46,700.0
13.5,13.5,13.475,13.475,1500.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.4585,13.4585,5300.0
13.476,13.476,13.476,13.476,1800.0
13.455,13.455,13.455,13.455,310.0
13.4749,13.4749,13.4749,13.4749,200.0
13.5,13.5,13.4794,13.4794,1600.0
13.475,13.475,13.475,13.475,200.0
13.5,13.5,13.5,13.5,100.0
13.4639,13.4663,13.4639,13.4663,1000.0
13.4663,13.4663,13.4663,13.4663,500.0
13.4908,13.4908,13.4908,13.4908,240.0
13.475,13.475,13.475,13.475,150.0
13.475,13.475,13.475,13.475,308.0
13.5,13.5,13.5,13.5,200.0
13.55,13.55,13.55,13.55,100.0
13.5,13.5,13.5,13.5,100.0
13.465,13.465,13.465,13.465,1500.0
13.5,13.5,13.5,13.5,100.0
13.5,13.55,13.5,13.5,3500.0
13.5,13.5,13.5,13.5,400.0
13.5,13.5,13.5,13.5,700.0
13.45,13.45,13.45,13.45,100.0
13.5,13.5,13.5,13.5,500.0
13.5,13.5,13.5,13.5,900.0
13.4848,13.4848,13.4848,13.4848,600.0
13.45,13.45,13.45,13.45,100.0
13.495,13.495,13.495,13.495,420.0
13.475,13.475,13.475,13.475,200.0
13.45,13.45,13.45,13.45,100.0
13.5,13.5,13.5,13.5,900.0
13.5,13.5,13.5,13.5,860.0
13.5,13.5,13.5,13.5,1100.0
13.483,13.483,13.483,13.483,440.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.45,13.45,200.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,300.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,100.0
13.45,13.5,13.45,13.5,200.0
13.5,13.5,13.5,13.5,100.0
13.475,13.475,13.475,13.475,549.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,100.0
13.45,13.45,13.45,13.45,100.0
13.45,13.45,13.45,13.45,100.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,100.0
13.45,13.45,13.45,13.45,100.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,100.0
13.45,13.45,13.45,13.45,100.0
13.495,13.5,13.475,13.475,2700.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,100.0
13.45,13.45,13.45,13.45,100.0
13.45,13.45,13.45,13.45,200.0
13.4595,13.4595,13.4595,13.4595,100.0
13.475,13.475,13.475,13.475,140.0
13.5,13.5,13.45,13.475,3387.0
