Open,High,Low,Close,Volume
2.85,2.85,2.85,2.85,100.0
2.85,2.85,2.85,2.85,100.0
2.85,2.85,2.85,2.85,782.0
2.85,2.85,2.85,2.85,709.0
2.85,2.85,2.85,2.85,100.0
2.86,2.86,2.86,2.86,100.0
2.8799,2.8799,2.8799,2.8799,200.0
2.8799,2.8799,2.8799,2.8799,200.0
2.8779,2.8779,2.8779,2.8779,200.0
2.8799,2.8799,2.8799,2.8799,200.0
2.8799,2.8799,2.8799,2.8799,300.0
2.85,2.85,2.85,2.85,100.0
2.85,2.85,2.85,2.85,100.0
2.88,2.88,2.88,2.88,200.0
2.88,2.88,2.88,2.88,100.0
2.87,2.91,2.87,2.88,679.0
2.8982,2.8982,2.8982,2.8982,200.0
2.9,2.9,2.9,2.9,100.0
2.8999,2.8999,2.8999,2.8999,200.0
2.9,2.9,2.885,2.885,300.0
2.8754,2.8754,2.8754,2.8754,1000.0
2.8986,2.8986,2.8986,2.8986,200.0
2.8999,2.8999,2.8999,2.8999,200.0
2.8999,2.8999,2.8999,2.8999,300.0
2.9,2.9,2.9,2.9,200.0
2.91,2.91,2.91,2.91,800.0
2.9,2.9,2.9,2.9,300.0
2.9,2.9,2.9,2.9,700.0
2.9001,2.9001,2.9001,2.9001,500.0
2.9001,2.9001,2.9001,2.9001,500.0
2.9001,2.9001,2.9001,2.9001,500.0
2.9,2.9,2.9,2.9,200.0
2.9,2.9,2.9,2.9,100.0
2.9,2.9,2.9,2.9,610.0
