Open,High,Low,Close,Volume
1.1824,1.1824,1.1824,1.1824,150.0
1.1766,1.1766,1.1639,1.1639,659.0
1.1601,1.1601,1.16,1.16,10000.0
1.1724,1.1724,1.1724,1.1724,125.0
1.18,1.18,1.18,1.18,800.0
1.1799,1.1799,1.165,1.165,5000.0
1.1718,1.19,1.1718,1.19,500.0
1.178,1.178,1.1701,1.1701,934.0
1.189,1.189,1.189,1.189,10000.0
1.1886,1.1886,1.1886,1.1886,139.0
1.1828,1.1828,1.1828,1.1828,600.0
1.19,1.19,1.19,1.19,10000.0
1.1732,1.1732,1.1732,1.1732,300.0
1.1714,1.1714,1.1714,1.1714,1000.0
1.1752,1.1752,1.1752,1.1752,200.0
1.1728,1.1728,1.1728,1.1728,320.0
1.1894,1.1894,1.1894,1.1894,100.0
1.1801,1.1801,1.1801,1.1801,2231.0
1.184,1.184,1.184,1.184,1500.0
1.1861,1.1861,1.1861,1.1861,280.0
1.1848,1.19,1.1825,1.1861,1370.0
1.19,1.19,1.19,1.19,5125.0
1.1889,1.1889,1.1889,1.1889,1250.0
1.19,1.19,1.19,1.19,3626.0
1.1722,1.1722,1.17,1.17,925.0
1.1701,1.1701,1.1701,1.1701,200.0
1.175,1.175,1.175,1.175,400.0
1.1806,1.1806,1.1806,1.1806,100.0
1.24,1.24,1.19,1.19,10740.0
1.19,1.19,1.161,1.19,20590.0
1.19,1.19,1.19,1.19,600.0
1.188,1.188,1.188,1.188,2000.0
1.15,1.17,1.15,1.17,11900.0
1.16,1.16,1.16,1.16,100.0
1.1782,1.1782,1.16,1.16,10599.0
1.1635,1.164,1.1635,1.164,743.0
1.17,1.17,1.17,1.17,100.0
1.1796,1.1796,1.1796,1.1796,140.0
1.17,1.17,1.17,1.17,997.0
1.1783,1.1783,1.16,1.16,9693.0
1.1698,1.1698,1.1698,1.1698,450.0
1.1686,1.1686,1.1686,1.1686,559.0
1.16,1.16,1.16,1.16,100.0
1.15,1.15,1.15,1.15,240.0
1.1683,1.1683,1.1683,1.1683,4500.0
1.16,1.16,1.15,1.15,1100.0
1.15,1.15,1.15,1.15,100.0
1.15,1.15,1.15,1.15,1100.0
1.1595,1.1595,1.1595,1.1595,100.0
1.16,1.16,1.16,1.16,100.0
1.15,1.1599,1.15,1.1599,5200.0
1.15,1.15,1.15,1.15,1800.0
1.1599,1.1599,1.1599,1.1599,150.0
1.16,1.16,1.16,1.16,2000.0
1.15,1.15,1.15,1.15,3804.0
1.1596,1.1596,1.1596,1.1596,120.0
1.156,1.156,1.156,1.156,100.0
1.15,1.15,1.15,1.15,675.0
1.15,1.15,1.15,1.15,2600.0
1.1582,1.1582,1.1582,1.1582,425.0
1.1515,1.1525,1.1515,1.1525,10000.0
1.155,1.155,1.155,1.155,100.0
1.15,1.15,1.15,1.15,100.0
1.1595,1.1595,1.1592,1.1592,2000.0
1.151,1.151,1.151,1.151,150.0
1.1592,1.1592,1.1592,1.1592,500.0
1.15,1.15,1.15,1.15,1200.0
1.15,1.15,1.15,1.15,500.0
1.1592,1.1592,1.1592,1.1592,150.0
1.16,1.16,1.16,1.16,2100.0
1.15,1.15,1.15,1.15,100.0
1.16,1.16,1.16,1.16,700.0
1.15,1.15,1.15,1.15,100.0
1.15,1.153,1.15,1.153,4260.0
1.15,1.16,1.15,1.1559,5578.0
1.1522,1.1522,1.1522,1.1522,4000.0
1.15,1.15,1.15,1.15,1300.0
1.15,1.152,1.15,1.152,7270.0
1.15,1.15,1.15,1.15,1600.0
1.15,1.1503,1.15,1.15,5300.0
1.1522,1.1522,1.1522,1.1522,500.0
1.1518,1.1518,1.1518,1.1518,500.0
1.16,1.16,1.16,1.16,1000.0
1.1597,1.1597,1.1597,1.1597,300.0
1.1515,1.1537,1.1515,1.1537,2000.0
1.16,1.16,1.16,1.16,5444.0
1.17,1.17,1.17,1.17,943.0
1.16,1.16,1.16,1.16,1113.0
1.16,1.16,1.16,1.16,902.0
