Open,High,Low,Close,Volume
14.657,14.89,14.657,14.87,4488.0
14.8258,14.8258,14.6301,14.6876,1538.0
14.9,14.9,14.7736,14.8036,2630.0
14.8252,14.9,14.8252,14.877,1800.0
14.9,14.95,14.8,14.8532,5980.0
14.7736,14.795,14.705,14.795,3400.0
14.69,14.77,14.69,14.7428,3260.0
14.7816,14.87,14.77,14.77,1300.0
14.7,14.72,14.7,14.7081,3400.0
14.78,14.789,14.7464,14.767,1600.0
14.8,14.89,14.8,14.849,11200.0
14.6893,14.7699,14.6893,14.75,900.0
14.83,14.83,14.78,14.78,545.0
14.85,14.85,14.73,14.73,2050.0
14.8473,14.85,14.8473,14.85,450.0
14.821,14.821,14.821,14.821,500.0
14.9,14.9,14.85,14.85,1000.0
14.87,14.87,14.87,14.87,300.0
14.8975,14.94,14.87,14.87,3498.0
14.8774,14.8774,14.875,14.875,2500.0
14.8924,14.8924,14.8924,14.8924,600.0
15.0,15.0,14.895,14.92,33928.0
15.0133,15.099,15.0133,15.026,4250.0
15.0133,15.021,15.0133,15.021,2000.0
15.12,15.14,15.0201,15.08,3300.0
15.08,15.16,15.08,15.1399,4306.0
15.08,15.08,15.08,15.08,840.0
15.05,15.11,15.0219,15.1045,3000.0
14.97,15.03,14.9424,15.0,4188.0
14.91,14.96,14.91,14.96,1000.0
15.01,15.08,14.94,14.96,2375.0
15.05,15.06,15.045,15.045,1000.0
14.961,15.025,14.9008,15.025,4275.0
14.91,14.9532,14.91,14.9474,2268.0
14.9071,14.9071,14.9071,14.9071,500.0
14.92,14.92,14.92,14.92,500.0
15.03,15.03,14.94,14.94,15927.0
15.0252,15.0252,15.0252,15.0252,133.0
14.99,15.0,14.99,15.0,6000.0
15.05,15.05,15.01,15.01,3689.0
15.1594,15.1779,15.1,15.1,2149.0
15.25,15.25,15.15,15.19,6400.0
15.23,15.2735,15.23,15.25,3588.0
15.25,15.27,15.21,15.26,2600.0
15.2263,15.25,15.2,15.25,4300.0
