Open,High,Low,Close,Volume
13.1,13.15,13.1,13.15,400.0
13.0,13.0,13.0,13.0,100.0
13.1,13.1,13.1,13.1,100.0
13.15,13.15,13.15,13.15,200.0
13.15,13.15,13.15,13.15,100.0
13.15,13.15,13.05,13.05,600.0
13.15,13.15,13.15,13.15,100.0
13.075,13.15,13.075,13.15,200.0
13.15,13.15,13.15,13.15,200.0
13.2,13.2,13.15,13.15,200.0
13.2,13.2,13.2,13.2,100.0
13.25,13.25,13.2,13.2,400.0
13.325,13.325,13.325,13.325,100.0
13.4,13.4,13.4,13.4,100.0
13.4,13.4,13.4,13.4,100.0
13.4,13.4,13.4,13.4,100.0
13.4,13.4,13.4,13.4,300.0
13.4,13.4,13.4,13.4,100.0
13.5,13.5,13.5,13.5,200.0
13.5,13.6,13.5,13.6,335.0
13.55,13.55,13.55,13.55,100.0
13.55,13.55,13.55,13.55,100.0
13.6,13.6,13.6,13.6,100.0
13.525,13.525,13.525,13.525,100.0
13.6,13.6,13.6,13.6,100.0
13.55,13.55,13.55,13.55,100.0
13.65,13.65,13.65,13.65,200.0
13.65,13.65,13.65,13.65,100.0
13.65,13.65,13.65,13.65,191.0
13.65,13.65,13.65,13.65,100.0
13.75,13.75,13.75,13.75,100.0
13.7255,13.7255,13.7255,13.7255,100.0
13.7,13.7,13.7,13.7,100.0
13.75,13.75,13.75,13.75,100.0
13.7,13.7,13.65,13.65,200.0
13.65,13.65,13.65,13.65,300.0
13.7,13.7,13.7,13.7,100.0
13.625,13.625,13.625,13.625,100.0
13.625,13.65,13.625,13.65,200.0
13.625,13.7,13.625,13.7,200.0
13.6,13.6,13.6,13.6,100.0
13.55,13.55,13.55,13.55,200.0
13.525,13.525,13.525,13.525,100.0
13.5,13.5,13.5,13.5,450.0
13.5,13.5,13.5,13.5,100.0
13.45,13.45,13.45,13.45,100.0
13.5,13.5,13.5,13.5,700.0
13.5,13.5,13.5,13.5,100.0
13.5,13.5,13.5,13.5,100.0
13.4,13.4,13.4,13.4,100.0
13.4,13.4,13.4,13.4,100.0
13.45,13.45,13.45,13.45,625.0
13.5,13.5,13.5,13.5,121.0
13.5,13.5,13.5,13.5,100.0
13.525,13.5259,13.525,13.5259,1100.0
13.5,13.5,13.5,13.5,200.0
13.55,13.55,13.55,13.55,1100.0
13.55,13.55,13.55,13.55,100.0
13.5,13.5,13.5,13.5,300.0
13.55,13.55,13.55,13.55,100.0
13.5,13.5,13.5,13.5,100.0
13.45,13.45,13.45,13.45,214.0
13.5,13.5,13.45,13.475,4654.0
