Open,High,Low,Close,Volume
4.48,4.48,4.48,4.48,200.0
4.475,4.475,4.475,4.475,100.0
4.42,4.475,4.42,4.475,1151.0
4.4,4.405,4.4,4.405,7617.0
4.37,4.37,4.37,4.37,500.0
4.395,4.395,4.395,4.395,200.0
4.35,4.375,4.35,4.375,1100.0
4.2,4.35,4.2,4.35,5060.0
4.25,4.25,4.25,4.25,200.0
4.25,4.25,4.25,4.25,1405.0
4.35,4.35,4.2936,4.295,3070.0
4.325,4.325,4.325,4.325,100.0
4.35,4.35,4.35,4.35,2000.0
4.35,4.35,4.325,4.325,500.0
4.375,4.375,4.375,4.375,100.0
4.35,4.35,4.35,4.35,2500.0
4.3,4.35,4.3,4.35,5930.0
4.325,4.325,4.325,4.325,100.0
4.3,4.345,4.3,4.345,200.0
4.3255,4.3255,4.3255,4.3255,1000.0
4.3,4.3,4.3,4.3,300.0
4.325,4.325,4.3,4.3,850.0
4.305,4.305,4.3,4.3,2850.0
4.275,4.275,4.25,4.25,200.0
4.295,4.295,4.295,4.295,500.0
4.25,4.25,4.25,4.25,100.0
4.3,4.3,4.3,4.3,402.0
4.295,4.295,4.295,4.295,1000.0
4.295,4.295,4.295,4.295,100.0
4.295,4.295,4.295,4.295,100.0
4.2635,4.2635,4.2635,4.2635,300.0
4.3,4.3,4.275,4.275,2000.0
4.275,4.275,4.25,4.25,400.0
4.3,4.3,4.3,4.3,1200.0
4.25,4.25,4.25,4.25,338.0
4.25,4.275,4.25,4.2723,1125.0
4.275,4.275,4.25,4.25,600.0
4.295,4.295,4.295,4.295,5250.0
4.3,4.3,4.3,4.3,400.0
4.295,4.295,4.295,4.295,470.0
4.25,4.25,4.25,4.25,100.0
4.25,4.275,4.25,4.255,1370.0
4.25,4.25,4.25,4.25,1120.0
4.275,4.275,4.275,4.275,100.0
4.2759,4.2928,4.2759,4.2928,633.0
4.275,4.275,4.275,4.275,100.0
4.295,4.295,4.295,4.295,1504.0
4.3,4.3,4.3,4.3,300.0
4.275,4.275,4.275,4.275,100.0
4.27,4.27,4.27,4.27,100.0
4.25,4.25,4.25,4.25,100.0
4.275,4.275,4.275,4.275,800.0
4.3,4.3,4.295,4.295,3100.0
4.3,4.3,4.3,4.3,3742.0
4.35,4.375,4.35,4.3572,3360.0
4.35,4.35,4.35,4.35,600.0
4.35,4.35,4.35,4.35,400.0
4.325,4.325,4.325,4.325,100.0
4.3,4.3051,4.3,4.3051,1800.0
4.35,4.35,4.35,4.35,100.0
4.35,4.35,4.35,4.35,100.0
4.35,4.35,4.35,4.35,100.0
4.4,4.4,4.35,4.35,1000.0
4.35,4.35,4.35,4.35,500.0
4.35,4.35,4.35,4.35,100.0
4.35,4.35,4.35,4.35,100.0
4.35,4.395,4.35,4.395,250.0
4.3616,4.3616,4.3616,4.3616,400.0
4.35,4.35,4.35,4.35,1400.0
4.375,4.4,4.375,4.38,1900.0
4.4,4.4,4.4,4.4,200.0
4.4,4.4,4.375,4.4,899.0
