Open,High,Low,Close,Volume
6.9765,7.155,6.9765,7.155,7100.0
6.99,7.0,6.99,6.99,871.0
7.01,7.01,6.99,6.99,200.0
6.96,6.96,6.96,6.96,300.0
6.91,6.91,6.91,6.91,400.0
6.92,6.92,6.9,6.91,500.0
6.91,6.91,6.9,6.9,300.0
6.91,6.92,6.9,6.91,500.0
6.9,6.9,6.9,6.9,200.0
6.92,6.94,6.91,6.91,1400.0
6.92,6.9325,6.92,6.9325,200.0
6.93,6.93,6.93,6.93,100.0
6.96,6.96,6.94,6.95,1200.0
6.95,6.95,6.95,6.95,100.0
6.88,6.96,6.88,6.96,800.0
6.85,6.88,6.85,6.88,1989.0
6.85,6.85,6.85,6.85,311.0
6.85,6.85,6.85,6.85,100.0
6.83,6.83,6.82,6.82,200.0
6.86,6.86,6.83,6.83,295.0
6.88,6.88,6.88,6.88,100.0
6.925,6.925,6.9,6.91,1046.0
6.9,6.92,6.9,6.92,400.0
6.89,6.89,6.89,6.89,100.0
6.89,6.89,6.89,6.89,300.0
6.9,6.91,6.8975,6.8975,3100.0
6.915,6.915,6.915,6.915,100.0
6.8501,6.906,6.8501,6.9,800.0
6.8501,6.8501,6.8501,6.8501,659.0
6.83,6.85,6.83,6.85,600.0
6.84,6.84,6.84,6.84,100.0
6.87,6.87,6.86,6.86,1000.0
6.9,6.9,6.89,6.89,400.0
6.89,6.92,6.89,6.92,300.0
6.9,6.93,6.9,6.9,2100.0
6.86,6.86,6.86,6.86,100.0
6.8787,6.8787,6.8787,6.8787,200.0
6.88,6.89,6.87,6.89,1350.0
6.86,6.88,6.86,6.88,406.0
6.86,6.86,6.86,6.86,100.0
6.86,6.86,6.86,6.86,100.0
6.87,6.87,6.87,6.87,100.0
6.8697,6.87,6.86,6.87,652.0
6.82,6.86,6.82,6.86,200.0
6.83,6.83,6.83,6.83,400.0
6.82,6.82,6.82,6.82,500.0
6.85,6.85,6.82,6.82,700.0
6.8524,6.8524,6.8524,6.8524,550.0
6.8496,6.85,6.8496,6.85,1070.0
6.83,6.83,6.83,6.83,200.0
6.83,6.83,6.83,6.83,100.0
6.83,6.83,6.83,6.83,100.0
6.82,6.83,6.82,6.83,900.0
6.82,6.82,6.82,6.82,100.0
6.82,6.82,6.82,6.82,100.0
6.82,6.82,6.82,6.82,300.0
6.82,6.82,6.82,6.82,700.0
6.8327,6.8327,6.82,6.82,300.0
6.82,6.82,6.82,6.82,100.0
6.83,6.83,6.83,6.83,100.0
6.82,6.82,6.81,6.82,9062.0
6.77,6.81,6.77,6.81,2900.0
6.76,6.77,6.76,6.77,400.0
6.8,6.8,6.77,6.77,1750.0
6.78,6.8074,6.78,6.8,1000.0
6.77,6.78,6.77,6.7722,3272.0
6.78,6.78,6.76,6.7633,3900.0
6.86,6.86,6.77,6.78,7919.0
6.845,6.845,6.845,6.845,17700.0
6.84,6.85,6.83,6.83,1624.0
6.86,6.86,6.84,6.84,1700.0
6.86,6.8799,6.86,6.8799,300.0
6.86,6.87,6.86,6.86,1500.0
6.87,6.88,6.87,6.88,2100.0
6.885,6.885,6.885,6.885,22800.0
6.89,6.89,6.8775,6.88,1480.0
6.82,6.88,6.82,6.87,700.0
6.85,6.85,6.85,6.85,200.0
6.85,6.85,6.85,6.85,200.0
6.85,6.85,6.84,6.85,732.0
6.86,6.86,6.86,6.86,600.0
6.86,6.86,6.86,6.86,100.0
6.86,6.86,6.86,6.86,600.0
6.77,6.84,6.74,6.84,1300.0
6.78,6.78,6.78,6.78,300.0
6.77,6.77,6.77,6.77,400.0
6.74,6.74,6.74,6.74,100.0
6.77,6.77,6.74,6.74,200.0
6.77,6.77,6.77,6.77,100.0
6.75,6.75,6.75,6.75,100.0
6.8,6.8,6.77,6.77,1100.0
6.82,6.82,6.82,6.82,100.0
6.83,6.83,6.83,6.83,100.0
6.82,6.82,6.8098,6.82,800.0
6.87,6.87,6.82,6.82,1100.0
6.86,6.87,6.86,6.87,200.0
6.85,6.9,6.85,6.9,1294.0
6.85,6.85,6.85,6.85,600.0
6.84,6.84,6.84,6.84,200.0
6.83,6.83,6.83,6.83,100.0
6.83,6.83,6.83,6.83,100.0
6.82,6.83,6.82,6.83,1200.0
6.83,6.83,6.83,6.83,700.0
6.86,6.86,6.86,6.86,200.0
6.87,6.88,6.86,6.86,400.0
6.88,6.89,6.87,6.87,2000.0
6.88,6.88,6.88,6.88,750.0
6.87,6.89,6.87,6.88,780.0
6.87,6.87,6.87,6.87,100.0
6.8601,6.87,6.8601,6.87,765.0
6.89,6.89,6.89,6.89,400.0
6.91,6.91,6.91,6.91,100.0
6.91,6.91,6.91,6.91,100.0
6.89,6.91,6.89,6.91,1128.0
6.85,6.87,6.85,6.87,200.0
6.85,6.87,6.85,6.87,400.0
6.86,6.86,6.86,6.86,300.0
6.82,6.85,6.82,6.85,500.0
6.82,6.82,6.82,6.82,300.0
6.79,6.8164,6.79,6.8164,600.0
6.77,6.77,6.77,6.77,100.0
6.75,6.75,6.75,6.75,100.0
6.75,6.75,6.75,6.75,100.0
6.764,6.764,6.764,6.764,1000.0
6.75,6.75,6.75,6.75,100.0
6.77,6.78,6.75,6.75,1400.0
6.8094,6.8094,6.8094,6.8094,500.0
6.8,6.8199,6.8,6.8199,700.0
6.79,6.79,6.79,6.79,300.0
6.78,6.78,6.78,6.78,100.0
6.78,6.78,6.78,6.78,200.0
6.82,6.8599,6.79,6.79,2207.0
6.85,6.85,6.8499,6.8499,700.0
6.8636,6.8636,6.8636,6.8636,500.0
6.85,6.85,6.85,6.85,600.0
6.85,6.85,6.85,6.85,700.0
6.85,6.85,6.85,6.85,200.0
6.848,6.85,6.848,6.85,1000.0
6.84,6.85,6.83,6.85,800.0
6.82,6.82,6.82,6.82,600.0
6.8,6.8,6.8,6.8,300.0
6.8,6.8,6.8,6.8,100.0
6.84,6.84,6.8,6.8,1267.0
6.845,6.845,6.83,6.845,800.0
6.85,6.85,6.84,6.84,900.0
6.87,6.88,6.86,6.86,1400.0
6.88,6.895,6.87,6.875,14136.0
6.91,6.91,6.9,6.905,500.0
6.9,6.9,6.9,6.9,310.0
6.88,6.88,6.88,6.88,200.0
6.85,6.85,6.85,6.85,200.0
6.85,6.85,6.85,6.85,100.0
6.87,6.87,6.86,6.86,1200.0
