Open,High,Low,Close,Volume
50.85,51.0,50.85,51.0,618.0
50.89,50.89,50.85,50.85,300.0
50.9,50.96,50.9,50.91,1119.0
50.855,50.855,50.855,50.855,500.0
50.9347,50.9347,50.9347,50.9347,100.0
50.865,50.95,50.8568,50.8568,550.0
50.97,50.97,50.8675,50.93,1400.0
50.99,51.0,50.9064,50.98,750.0
50.95,51.02,50.9325,51.01,2100.0
50.98,50.98,50.92,50.94,900.0
50.96,50.96,50.9,50.92,400.0
50.9525,50.9525,50.91,50.91,200.0
51.0,51.01,50.96,50.97,4000.0
51.0,51.03,51.0,51.02,2100.0
51.05,51.05,51.0299,51.03,1100.0
51.09,51.09,51.0151,51.07,1410.0
51.09,51.09,51.09,51.09,200.0
51.11,51.11,51.06,51.09,2434.0
51.0925,51.0925,51.0925,51.0925,600.0
51.11,51.18,51.11,51.12,2800.0
51.14,51.14,51.07,51.115,600.0
51.13,51.16,51.12,51.15,2400.0
51.135,51.135,51.12,51.12,500.0
51.135,51.14,51.135,51.14,400.0
51.15,51.15,51.11,51.11,901.0
51.16,51.16,51.12,51.16,800.0
51.22,51.22,51.1512,51.1512,1807.0
51.2,51.22,51.19,51.22,1700.0
51.24,51.27,51.22,51.22,2175.0
51.255,51.255,51.255,51.255,200.0
51.27,51.27,51.25,51.27,1800.0
51.35,51.35,51.29,51.29,650.0
51.35,51.35,51.34,51.34,400.0
51.325,51.335,51.18,51.31,620.0
51.2877,51.2877,51.2877,51.2877,100.0
51.3,51.3,51.3,51.3,500.0
51.275,51.275,51.275,51.275,400.0
51.275,51.315,51.221,51.221,410.0
51.33,51.33,51.26,51.26,1000.0
51.33,51.362,51.33,51.362,6200.0
51.32,51.38,51.28,51.33,3000.0
51.39,51.395,51.39,51.39,500.0
51.45,51.45,51.405,51.405,600.0
51.48,51.49,51.48,51.49,700.0
51.483,51.58,51.48,51.48,2520.0
51.48,51.6,51.48,51.56,2030.0
51.5,51.5,51.5,51.5,100.0
51.5,51.52,51.475,51.48,1509.0
51.4,51.475,51.4,51.475,200.0
51.4494,51.4604,51.4494,51.4604,400.0
51.39,51.43,51.36,51.4,1800.0
51.23,51.35,51.23,51.35,1675.0
51.28,51.28,51.28,51.28,500.0
51.23,51.29,51.23,51.29,1000.0
51.215,51.22,51.2,51.22,400.0
51.13,51.21,51.13,51.21,400.0
51.17,51.2,51.11,51.2,800.0
51.1201,51.16,51.1201,51.16,600.0
51.12,51.155,51.12,51.155,3913.0
51.22,51.22,51.14,51.16,3300.0
51.18,51.2986,51.17,51.23,1900.0
51.175,51.175,51.175,51.175,752.0
51.19,51.2,51.19,51.2,1339.0
51.17,51.17,51.135,51.16,2100.0
51.165,51.1755,51.165,51.17,700.0
51.2,51.2,51.2,51.2,1748.0
51.24,51.29,51.24,51.29,800.0
51.18,51.23,51.18,51.23,400.0
51.2,51.2,51.1501,51.1501,1330.0
51.21,51.22,51.21,51.22,200.0
51.2503,51.2773,51.2503,51.2773,300.0
51.225,51.28,51.225,51.28,600.0
51.28,51.28,51.225,51.225,600.0
51.28,51.28,51.27,51.27,600.0
51.2324,51.2324,51.2324,51.2324,140.0
51.28,51.355,51.28,51.355,1000.0
51.219,51.32,51.219,51.32,2469.0
51.2959,51.2959,51.28,51.28,900.0
51.31,51.31,51.28,51.285,500.0
51.28,51.29,51.28,51.29,1035.0
51.24,51.26,51.24,51.26,800.0
51.24,51.24,51.24,51.24,100.0
51.24,51.24,51.2399,51.24,300.0
51.148,51.2499,51.148,51.22,2680.0
51.1,51.15,51.1,51.12,1100.0
51.095,51.095,51.095,51.095,211.0
51.15,51.15,51.14,51.14,300.0
51.17,51.17,51.17,51.17,100.0
51.14,51.14,51.12,51.12,500.0
51.13,51.13,51.13,51.13,100.0
51.15,51.18,51.15,51.18,500.0
51.179,51.179,51.179,51.179,100.0
51.16,51.18,51.15,51.1714,2615.0
51.13,51.15,51.13,51.15,500.0
51.11,51.11,51.11,51.11,100.0
51.09,51.1,51.09,51.1,400.0
51.03,51.1,51.0,51.1,2415.0
51.0,51.0098,51.0,51.0098,900.0
50.989,50.989,50.95,50.97,400.0
51.0,51.0,50.96,50.98,1367.0
51.02,51.02,51.02,51.02,297.0
51.1,51.1,51.05,51.05,400.0
51.09,51.09,51.05,51.06,600.0
51.06,51.06,51.06,51.06,200.0
51.1,51.11,51.1,51.1,500.0
51.11,51.11,51.065,51.065,1000.0
51.18,51.18,51.18,51.18,200.0
51.1684,51.1684,51.1684,51.1684,980.0
51.2,51.2,51.19,51.19,200.0
51.2,51.2,51.167,51.167,400.0
51.16,51.19,51.16,51.16,600.0
51.19,51.19,51.16,51.16,600.0
51.17,51.21,51.17,51.21,1200.0
51.186,51.205,51.18,51.18,1500.0
51.29,51.29,51.21,51.21,900.0
51.293,51.293,51.293,51.293,675.0
51.29,51.29,51.2611,51.2611,774.0
51.27,51.27,51.27,51.27,100.0
51.3,51.3,51.3,51.3,500.0
51.296,51.3,51.29,51.29,1200.0
51.31,51.31,51.3,51.3,2050.0
51.33,51.33,51.33,51.33,200.0
51.34,51.34,51.33,51.33,200.0
51.35,51.35,51.35,51.35,100.0
51.36,51.36,51.36,51.36,100.0
51.36,51.36,51.36,51.36,100.0
51.37,51.37,51.37,51.37,100.0
51.38,51.38,51.38,51.38,100.0
51.375,51.375,51.375,51.375,100.0
51.33,51.35,51.33,51.35,700.0
51.315,51.33,51.315,51.33,500.0
51.27,51.29,51.27,51.29,200.0
51.28,51.28,51.28,51.28,350.0
51.3,51.3,51.3,51.3,100.0
51.31,51.31,51.31,51.31,200.0
51.28,51.36,51.28,51.33,1323.0
51.32,51.32,51.32,51.32,100.0
51.3399,51.3399,51.33,51.33,700.0
51.34,51.34,51.34,51.34,400.0
51.3517,51.37,51.3517,51.365,700.0
51.33,51.33,51.28,51.33,900.0
51.25,51.27,51.25,51.27,400.0
51.32,51.32,51.31,51.31,800.0
51.26,51.34,51.26,51.29,800.0
51.21,51.21,51.21,51.21,200.0
51.24,51.305,51.24,51.305,500.0
51.22,51.24,51.19,51.24,2100.0
51.25,51.2599,51.25,51.2599,250.0
51.25,51.25,51.2359,51.2359,500.0
51.25,51.25,51.25,51.25,100.0
51.25,51.25,51.25,51.25,100.0
51.28,51.28,51.25,51.25,300.0
51.28,51.28,51.28,51.28,100.0
51.29,51.29,51.29,51.29,200.0
51.2,51.275,51.2,51.25,400.0
51.25,51.25,51.25,51.25,200.0
51.29,51.29,51.26,51.26,200.0
51.29,51.3,51.29,51.3,300.0
51.3,51.3,51.29,51.29,200.0
51.32,51.32,51.2999,51.3,3304.0
51.298,51.33,51.298,51.33,240.0
51.34,51.34,51.34,51.34,300.0
51.3367,51.3367,51.33,51.33,525.0
51.36,51.38,51.36,51.38,380.0
51.3,51.34,51.27,51.34,3262.0
51.3663,51.3663,51.3663,51.3663,124.0
51.32,51.32,51.32,51.32,100.0
51.32,51.35,51.31,51.32,600.0
51.32,51.32,51.31,51.31,300.0
51.3392,51.3392,51.32,51.3372,500.0
51.31,51.33,51.31,51.33,300.0
51.31,51.31,51.31,51.31,200.0
51.3323,51.3323,51.32,51.32,505.0
51.34,51.34,51.34,51.34,500.0
51.3572,51.3572,51.3572,51.3572,100.0
51.38,51.38,51.35,51.36,1000.0
51.38,51.38,51.38,51.38,100.0
51.38,51.38,51.38,51.38,100.0
51.33,51.37,51.33,51.37,400.0
51.36,51.36,51.36,51.36,100.0
51.36,51.36,51.35,51.35,300.0
51.35,51.35,51.35,51.35,100.0
51.35,51.36,51.35,51.35,800.0
51.36,51.36,51.36,51.36,100.0
51.37,51.37,51.37,51.37,100.0
51.34,51.34,51.33,51.34,300.0
51.36,51.36,51.33,51.33,200.0
