Open,High,Low,Close,Volume
27.96,27.96,27.83,27.91,6272.0
27.97,27.98,27.96,27.98,800.0
27.96,27.96,27.95,27.95,300.0
27.96,27.96,27.96,27.96,500.0
27.97,27.97,27.96,27.96,1600.0
27.97,28.0,27.97,27.99,1200.0
27.86,27.92,27.85,27.92,4071.0
27.87,27.87,27.83,27.84,1400.0
27.88,27.89,27.85,27.85,2732.0
27.91,27.91,27.86,27.86,3200.0
27.925,27.935,27.9,27.9,5300.0
27.94,27.97,27.93,27.93,5800.0
27.92,27.95,27.92,27.95,1400.0
27.94,27.94,27.922,27.925,1100.0
27.955,27.955,27.92,27.93,3505.0
27.91,27.99,27.91,27.955,5800.0
27.89,27.92,27.89,27.92,1500.0
27.95,27.95,27.89,27.89,3000.0
27.92,27.95,27.92,27.95,1500.0
27.92,27.94,27.92,27.92,3400.0
27.92,27.93,27.92,27.92,700.0
27.93,27.94,27.92,27.9201,2000.0
27.93,27.93,27.92,27.93,1500.0
27.935,27.94,27.91,27.92,3891.0
27.95,27.95,27.935,27.935,1500.0
28.015,28.015,27.96,27.96,6700.0
27.995,28.01,27.995,28.01,12600.0
28.02,28.035,28.005,28.01,3900.0
28.01,28.015,27.99,28.01,3100.0
28.03,28.035,28.0,28.0,5926.0
28.0,28.0218,27.99,28.02,13567.0
27.995,28.0,27.99,27.995,13450.0
27.995,28.01,27.99,27.99,20154.0
27.99,28.0,27.98,28.0,19012.0
27.95,27.99,27.94,27.99,8180.0
27.93,27.95,27.93,27.95,1600.0
27.94,27.95,27.93,27.94,2100.0
27.95,27.95,27.94,27.94,2359.0
27.94,27.94,27.94,27.94,1088.0
27.91,27.93,27.91,27.93,1967.0
27.94,27.94,27.91,27.91,3800.0
27.92,27.93,27.92,27.93,600.0
27.9358,27.9358,27.905,27.92,7860.0
27.93,27.935,27.93,27.93,600.0
27.9,27.94,27.895,27.935,10260.0
27.9,27.9,27.885,27.895,16541.0
27.87,27.91,27.86,27.9,13789.0
27.86,27.87,27.86,27.87,1800.0
27.88,27.88,27.855,27.855,6500.0
27.9,27.905,27.88,27.88,9231.0
27.89,27.9,27.885,27.895,5620.0
27.9,27.9,27.89,27.89,2297.0
27.89,27.895,27.89,27.895,200.0
27.9,27.9,27.895,27.9,1265.0
27.88,27.9,27.88,27.89,12565.0
27.87,27.88,27.865,27.88,18302.0
