Open,High,Low,Close,Volume
2.1,2.25,2.1,2.15,4753.0
2.25,2.25,2.242,2.25,900.0
2.25,2.3,2.225,2.25,6127.0
2.25,2.25,2.245,2.25,3982.0
2.3,2.3,2.25,2.25,2100.0
2.295,2.3,2.295,2.295,7000.0
2.3,2.3,2.3,2.3,3000.0
2.3,2.3,2.3,2.3,2000.0
2.3,2.3,2.3,2.3,3000.0
2.295,2.3,2.295,2.3,600.0
2.275,2.275,2.275,2.275,300.0
2.275,2.3,2.275,2.3,280.0
2.275,2.275,2.275,2.275,100.0
2.275,2.3,2.275,2.275,5600.0
2.25,2.275,2.25,2.275,4550.0
2.3,2.3,2.275,2.275,10500.0
2.3,2.3,2.275,2.3,800.0
2.275,2.3,2.275,2.275,1400.0
2.275,2.3,2.25,2.275,9514.0
2.275,2.275,2.275,2.275,200.0
2.275,2.28,2.275,2.28,529.0
2.275,2.275,2.275,2.275,100.0
2.275,2.3,2.255,2.255,5500.0
2.275,2.275,2.275,2.275,100.0
2.25,2.25,2.25,2.25,100.0
2.3,2.3,2.3,2.3,100.0
2.3,2.3,2.3,2.3,100.0
2.3,2.3,2.275,2.275,6368.0
2.275,2.275,2.275,2.275,300.0
2.3,2.3,2.275,2.275,1250.0
2.3,2.3,2.275,2.275,300.0
2.275,2.3,2.275,2.275,400.0
2.275,2.3,2.275,2.275,300.0
2.3,2.3,2.275,2.275,200.0
2.3,2.3,2.275,2.3,390.0
2.3,2.3,2.275,2.275,200.0
2.3,2.3,2.3,2.3,100.0
2.3,2.3,2.3,2.3,100.0
2.3,2.3,2.275,2.275,200.0
2.3,2.3,2.26,2.26,757.0
2.3,2.3,2.275,2.275,200.0
2.275,2.275,2.275,2.275,100.0
2.3,2.3,2.275,2.2875,700.0
2.3,2.3,2.275,2.275,200.0
2.3,2.3,2.3,2.3,100.0
2.275,2.3,2.25,2.275,4265.0
2.275,2.275,2.255,2.275,950.0
2.275,2.275,2.275,2.275,100.0
2.275,2.275,2.275,2.275,100.0
2.275,2.275,2.25,2.25,400.0
2.275,2.275,2.275,2.275,100.0
2.275,2.275,2.275,2.275,100.0
2.275,2.3,2.25,2.25,3300.0
2.275,2.275,2.25,2.275,500.0
2.275,2.275,2.275,2.275,100.0
2.275,2.275,2.25,2.25,800.0
2.275,2.275,2.275,2.275,100.0
2.275,2.275,2.275,2.275,100.0
2.275,2.3,2.275,2.275,4400.0
2.295,2.295,2.295,2.295,1096.0
2.2733,2.2733,2.2733,2.2733,1400.0
2.295,2.295,2.25,2.25,800.0
2.275,2.275,2.25,2.25,9342.0
2.275,2.275,2.275,2.275,100.0
2.2927,2.2927,2.2927,2.2927,300.0
2.25,2.25,2.25,2.25,100.0
2.255,2.255,2.255,2.255,5550.0
2.25,2.25,2.25,2.25,335.0
2.275,2.275,2.275,2.275,3000.0
2.275,2.275,2.275,2.275,1000.0
2.275,2.3,2.275,2.3,600.0
2.3,2.3,2.3,2.3,100.0
2.3,2.3,2.3,2.3,100.0
2.275,2.275,2.275,2.275,100.0
2.25,2.3,2.25,2.3,5300.0
2.275,2.3,2.275,2.3,200.0
2.275,2.3,2.275,2.3,200.0
2.2722,2.2722,2.2722,2.2722,186.0
2.3,2.3,2.3,2.3,200.0
2.275,2.3,2.275,2.3,200.0
2.3,2.3,2.3,2.3,100.0
2.275,2.275,2.275,2.275,100.0
2.3,2.3,2.3,2.3,100.0
2.3,2.3,2.3,2.3,200.0
2.275,2.3,2.275,2.3,200.0
2.275,2.3,2.25,2.275,8000.0
2.275,2.275,2.25,2.275,500.0
2.275,2.3,2.275,2.3,2700.0
2.275,2.275,2.275,2.275,100.0
2.3,2.3,2.3,2.3,100.0
2.275,2.275,2.275,2.275,100.0
2.275,2.3,2.275,2.3,200.0
2.275,2.3,2.275,2.3,200.0
2.3,2.3,2.275,2.275,200.0
2.3,2.3,2.3,2.3,100.0
2.275,2.275,2.275,2.275,100.0
2.2913,2.2913,2.2913,2.2913,2000.0
2.275,2.275,2.275,2.275,100.0
2.275,2.295,2.2727,2.275,6000.0
2.3,2.3,2.275,2.275,200.0
2.275,2.275,2.275,2.275,300.0
2.3,2.3,2.275,2.275,2531.0
2.3,2.3,2.3,2.3,100.0
2.275,2.275,2.275,2.275,4400.0
2.275,2.275,2.275,2.275,100.0
2.275,2.3,2.275,2.3,200.0
2.275,2.3,2.275,2.291,575.0
2.3,2.3,2.3,2.3,5000.0
2.275,2.275,2.275,2.275,200.0
2.3,2.3,2.3,2.3,100.0
2.275,2.3,2.275,2.275,13527.0
2.3,2.3,2.275,2.275,27055.0
2.325,2.35,2.275,2.3,16562.0
2.3,2.35,2.3,2.35,606.0
2.35,2.35,2.35,2.35,100.0
2.325,2.325,2.325,2.325,100.0
2.35,2.35,2.3,2.3,810.0
2.325,2.325,2.325,2.325,100.0
2.35,2.35,2.325,2.325,200.0
2.35,2.35,2.35,2.35,500.0
2.325,2.325,2.325,2.325,100.0
2.325,2.325,2.325,2.325,100.0
2.325,2.325,2.325,2.325,100.0
2.325,2.325,2.325,2.325,200.0
2.325,2.325,2.325,2.325,200.0
2.35,2.35,2.35,2.35,100.0
2.3,2.3,2.3,2.3,500.0
2.3,2.3,2.3,2.3,1000.0
2.3,2.3,2.3,2.3,600.0
2.325,2.325,2.325,2.325,100.0
2.325,2.325,2.325,2.325,100.0
2.325,2.325,2.325,2.325,100.0
2.345,2.345,2.325,2.325,1000.0
2.35,2.35,2.325,2.35,3300.0
2.35,2.35,2.35,2.35,100.0
2.35,2.35,2.35,2.35,200.0
2.35,2.35,2.35,2.35,100.0
2.35,2.35,2.35,2.35,100.0
2.35,2.35,2.35,2.35,100.0
2.35,2.35,2.35,2.35,300.0
2.35,2.35,2.35,2.35,100.0
2.35,2.35,2.35,2.35,200.0
2.35,2.35,2.35,2.35,100.0
2.325,2.325,2.325,2.325,300.0
2.325,2.35,2.325,2.35,600.0
2.325,2.35,2.325,2.325,400.0
2.35,2.35,2.325,2.325,800.0
2.35,2.35,2.35,2.35,100.0
2.35,2.35,2.35,2.35,200.0
2.325,2.325,2.325,2.325,200.0
2.35,2.35,2.325,2.325,500.0
2.35,2.35,2.35,2.35,200.0
2.35,2.35,2.35,2.35,100.0
2.35,2.35,2.325,2.325,200.0
2.35,2.35,2.325,2.325,200.0
2.325,2.325,2.325,2.325,300.0
2.35,2.35,2.325,2.325,300.0
2.325,2.325,2.325,2.325,900.0
2.325,2.35,2.325,2.325,400.0
2.35,2.35,2.325,2.325,200.0
2.325,2.325,2.325,2.325,2300.0
2.325,2.35,2.325,2.325,1500.0
2.325,2.325,2.325,2.325,100.0
2.325,2.35,2.3,2.3,3651.0
2.325,2.325,2.325,2.325,500.0
2.325,2.35,2.325,2.325,500.0
2.35,2.35,2.35,2.35,200.0
2.35,2.35,2.325,2.325,5300.0
2.325,2.325,2.325,2.325,100.0
2.35,2.35,2.35,2.35,200.0
2.35,2.35,2.35,2.35,300.0
2.35,2.35,2.35,2.35,400.0
2.325,2.35,2.325,2.35,1300.0
2.35,2.35,2.35,2.35,100.0
2.35,2.35,2.35,2.35,100.0
2.35,2.35,2.325,2.325,200.0
2.325,2.325,2.325,2.325,300.0
2.35,2.35,2.3,2.325,23440.0
2.325,2.35,2.325,2.35,15300.0
2.325,2.325,2.325,2.325,9600.0
2.325,2.325,2.325,2.325,100.0
2.35,2.35,2.35,2.35,100.0
2.325,2.325,2.325,2.325,400.0
2.35,2.35,2.35,2.35,100.0
2.35,2.35,2.35,2.35,100.0
2.325,2.35,2.325,2.35,600.0
2.325,2.35,2.325,2.35,500.0
2.325,2.35,2.325,2.325,12200.0
2.325,2.325,2.325,2.325,200.0
2.325,2.325,2.325,2.325,100.0
2.325,2.325,2.325,2.325,100.0
2.325,2.325,2.325,2.325,200.0
2.35,2.35,2.325,2.325,4100.0
2.325,2.325,2.325,2.325,200.0
2.35,2.35,2.325,2.325,13871.0
2.35,2.4,2.35,2.35,19067.0
2.4,2.4,2.4,2.4,800.0
2.375,2.4,2.375,2.4,400.0
2.375,2.375,2.375,2.375,1450.0
2.4,2.4,2.4,2.4,100.0
2.355,2.395,2.355,2.375,12425.0
2.375,2.375,2.375,2.375,100.0
2.4,2.4,2.375,2.375,200.0
2.375,2.375,2.375,2.375,100.0
2.3598,2.3598,2.3598,2.3598,125.0
2.375,2.375,2.375,2.375,100.0
2.375,2.375,2.375,2.375,100.0
2.3903,2.3903,2.3903,2.3903,2000.0
2.375,2.375,2.375,2.375,400.0
2.375,2.375,2.375,2.375,300.0
2.375,2.375,2.375,2.375,100.0
2.35,2.35,2.35,2.35,100.0
2.375,2.375,2.375,2.375,100.0
2.4,2.4,2.375,2.375,4900.0
2.375,2.375,2.35,2.375,2699.0
2.35,2.4,2.35,2.35,14723.0
