Open,High,Low,Close,Volume
18.35,18.49,18.16,18.184,12151.0
18.28,18.35,18.28,18.35,2240.0
18.18,18.18,18.18,18.18,100.0
18.1791,18.1791,18.1791,18.1791,500.0
18.1077,18.1077,18.1077,18.1077,498.0
17.97,18.06,17.88,18.06,9241.0
17.96,17.96,17.95,17.95,300.0
18.0,18.0,18.0,18.0,200.0
18.1,18.1,18.03,18.03,600.0
18.099,18.099,18.099,18.099,276.0
18.13,18.13,18.1,18.1,300.0
18.11,18.11,18.1,18.1,1300.0
18.0713,18.0713,18.0713,18.0713,155.0
18.08,18.12,18.075,18.09,1700.0
18.13,18.13,18.13,18.13,100.0
18.14,18.14,18.14,18.14,10000.0
18.0968,18.0968,18.0968,18.0968,1200.0
18.1718,18.1718,18.13,18.13,1410.0
18.18,18.228,18.18,18.21,7500.0
18.18,18.18,18.18,18.18,300.0
18.18,18.18,18.18,18.18,100.0
18.1717,18.1717,18.1717,18.1717,500.0
18.16,18.18,18.16,18.18,500.0
18.17,18.17,18.16,18.16,900.0
18.21,18.21,18.18,18.18,200.0
18.2,18.2,18.2,18.2,100.0
18.22,18.22,18.22,18.22,100.0
18.2797,18.28,18.2,18.2,1900.0
18.2326,18.25,18.2326,18.25,1591.0
18.21,18.21,18.21,18.21,900.0
18.2,18.2,18.2,18.2,100.0
18.19,18.19,18.17,18.17,200.0
18.19,18.19,18.19,18.19,300.0
18.1903,18.23,18.1903,18.2,3897.0
18.18,18.18,18.18,18.18,200.0
18.18,18.18,18.18,18.18,100.0
18.2,18.21,18.184,18.2,1940.0
18.23,18.23,18.21,18.21,700.0
18.22,18.23,18.21,18.23,1100.0
18.23,18.23,18.205,18.205,900.0
18.27,18.27,18.2299,18.2299,2110.0
18.28,18.28,18.28,18.28,200.0
18.34,18.34,18.32,18.32,900.0
18.34,18.34,18.34,18.34,461.0
18.33,18.34,18.33,18.34,200.0
18.34,18.34,18.32,18.33,2900.0
18.33,18.34,18.32,18.33,3800.0
18.33,18.335,18.33,18.33,4322.0
18.35,18.35,18.33,18.33,1400.0
18.35,18.36,18.33,18.3457,3712.0
18.345,18.35,18.34,18.34,1008.0
18.34,18.35,18.34,18.35,900.0
18.35,18.36,18.33,18.33,1520.0
18.35,18.35,18.3489,18.3489,436.0
18.34,18.34,18.33,18.33,800.0
18.35,18.35,18.34,18.34,1400.0
18.36,18.36,18.35,18.36,1400.0
18.39,18.39,18.36,18.36,1000.0
18.39,18.4,18.39,18.39,1188.0
18.4,18.4,18.39,18.39,1303.0
18.4,18.4,18.39,18.3973,550.0
18.388,18.4,18.3867,18.3867,1100.0
18.39,18.39,18.39,18.39,1000.0
18.38,18.39,18.38,18.385,600.0
18.37,18.385,18.37,18.385,753.0
18.37,18.37,18.37,18.37,200.0
18.39,18.39,18.3726,18.3726,2000.0
18.37,18.37,18.37,18.37,100.0
18.36,18.37,18.36,18.37,2383.0
18.3,18.34,18.3,18.34,761.0
18.3,18.3,18.3,18.3,100.0
18.29,18.29,18.28,18.29,300.0
18.29,18.29,18.2768,18.28,800.0
18.27,18.27,18.27,18.27,100.0
18.29,18.29,18.27,18.27,900.0
18.2909,18.2909,18.2909,18.2909,200.0
18.28,18.28,18.28,18.28,100.0
18.29,18.29,18.28,18.28,700.0
