Open,High,Low,Close,Volume
2.9001,2.9001,2.9001,2.9001,370.0
2.94,2.94,2.94,2.94,500.0
2.95,2.95,2.95,2.95,200.0
2.95,2.95,2.95,2.95,100.0
2.95,2.95,2.95,2.95,100.0
2.9305,2.9305,2.9305,2.9305,100.0
2.925,2.925,2.925,2.925,100.0
2.95,2.95,2.95,2.95,100.0
2.95,2.95,2.925,2.95,500.0
2.95,2.95,2.95,2.95,200.0
2.95,2.95,2.901,2.901,2481.0
2.95,2.95,2.95,2.95,100.0
2.95,2.95,2.95,2.95,600.0
2.95,2.95,2.95,2.95,100.0
2.95,2.95,2.9068,2.9068,555.0
2.925,2.95,2.925,2.95,1200.0
2.95,2.95,2.95,2.95,600.0
2.95,2.95,2.95,2.95,100.0
2.95,2.95,2.925,2.9442,1510.0
2.95,2.95,2.95,2.95,100.0
3.0,3.0,2.95,2.95,7368.0
3.0,3.0,3.0,3.0,1200.0
3.025,3.025,3.025,3.025,100.0
3.1,3.1,3.0454,3.05,10100.0
3.1,3.1,3.1,3.1,100.0
3.0528,3.0528,3.0528,3.0528,2000.0
3.1,3.1,3.1,3.1,100.0
3.1,3.1,3.1,3.1,950.0
3.101,3.125,3.101,3.125,2525.0
3.15,3.15,3.15,3.15,200.0
3.15,3.15,3.15,3.15,100.0
