Open,High,Low,Close,Volume
155.11,155.48,154.97,154.97,4245.0
155.25,155.46,155.25,155.3,5512.0
155.135,155.15,154.83,155.05,5150.0
155.18,155.2,155.18,155.2,400.0
154.91,154.91,154.91,154.91,200.0
155.085,155.095,154.89,155.095,300.0
154.61,155.12,154.61,155.11,2526.0
154.41,154.54,154.41,154.54,500.0
154.31,154.61,154.21,154.21,1900.0
154.37,154.49,154.31,154.31,500.0
154.58,154.58,154.58,154.58,100.0
154.495,154.495,154.4,154.42,800.0
154.37,154.495,154.37,154.495,1600.0
154.57,154.64,154.45,154.5,3700.0
154.678,154.678,154.678,154.678,234.0
154.63,154.67,154.6225,154.6225,700.0
154.4,154.62,154.4,154.62,1002.0
154.49,154.51,154.49,154.51,500.0
154.55,154.55,154.55,154.55,100.0
154.59,154.61,154.44,154.44,3260.0
154.51,154.64,154.44,154.61,1700.0
154.63,154.63,154.4,154.4,1200.0
154.64,154.68,154.46,154.46,1800.0
154.595,154.595,154.595,154.595,300.0
154.49,154.54,154.49,154.54,500.0
154.45,154.56,154.45,154.47,713.0
154.43,154.52,154.43,154.515,696.0
154.43,154.46,154.41,154.41,800.0
154.43,154.43,154.43,154.43,100.0
154.5,154.56,154.44,154.5,3000.0
154.68,154.68,154.56,154.58,3100.0
154.8,154.8,154.71,154.71,1000.0
154.83,154.89,154.8,154.85,1702.0
154.89,154.89,154.8,154.8,1300.0
155.1548,155.1548,155.0975,155.15,300.0
155.15,155.15,154.98,155.07,1805.0
154.97,154.97,154.84,154.97,2417.0
155.06,155.11,155.0,155.0,1600.0
155.04,155.185,155.04,155.185,1000.0
155.13,155.17,155.03,155.08,1901.0
155.0,155.09,155.0,155.08,2900.0
154.91,155.11,154.85,154.93,10511.0
155.11,155.11,154.87,154.88,4575.0
154.9,155.07,154.9,155.07,1300.0
154.83,154.83,154.83,154.83,100.0
154.81,154.87,154.81,154.86,1100.0
154.74,154.845,154.74,154.845,1187.0
154.71,154.71,154.61,154.68,1000.0
154.51,154.51,154.51,154.51,200.0
154.41,154.51,154.41,154.51,900.0
154.33,154.39,154.33,154.39,589.0
154.325,154.325,154.25,154.25,1400.0
154.615,154.615,154.325,154.325,5300.0
154.66,154.66,154.66,154.66,100.0
154.66,154.68,154.63,154.63,1877.0
154.8,154.82,154.63,154.65,1530.0
154.91,154.91,154.87,154.87,200.0
154.84,154.91,154.84,154.91,1000.0
154.81,154.82,154.8,154.82,400.0
154.69,154.75,154.69,154.75,800.0
154.585,154.65,154.54,154.615,600.0
154.65,154.7,154.56,154.615,2700.0
154.62,154.675,154.57,154.675,2700.0
154.77,154.89,154.77,154.81,1200.0
154.805,154.805,154.805,154.805,100.0
154.57,154.76,154.57,154.72,1500.0
154.47,154.52,154.47,154.52,400.0
154.645,154.645,154.485,154.485,2800.0
154.6799,154.6799,154.65,154.665,500.0
154.57,154.63,154.57,154.63,300.0
154.68,154.72,154.67,154.69,1144.0
154.68,154.74,154.68,154.725,1174.0
154.64,154.685,154.64,154.685,200.0
154.9,154.9,154.7,154.7,1400.0
154.855,154.87,154.85,154.87,500.0
154.73,154.81,154.73,154.78,500.0
154.82,154.82,154.73,154.73,700.0
154.73,154.8,154.73,154.76,1300.0
154.73,154.73,154.73,154.73,300.0
154.61,154.685,154.52,154.65,955.0
154.48,154.53,154.48,154.53,700.0
154.21,154.47,154.21,154.46,1100.0
154.49,154.5,154.31,154.31,4947.0
154.58,154.58,154.45,154.49,2800.0
154.65,154.65,154.65,154.65,300.0
154.75,154.75,154.61,154.61,1000.0
154.785,154.785,154.785,154.785,100.0
154.7201,154.78,154.7201,154.78,300.0
154.84,154.85,154.78,154.83,1000.0
154.85,154.85,154.85,154.85,100.0
154.7,154.81,154.69,154.81,2300.0
154.75,154.8,154.72,154.72,1467.0
154.9,154.9,154.805,154.85,900.0
155.0,155.0,154.95,154.95,500.0
155.0,155.0,154.95,155.0,1251.0
154.9,154.92,154.9,154.92,500.0
154.825,154.83,154.78,154.83,900.0
154.81,154.81,154.81,154.81,100.0
154.8129,154.8129,154.77,154.78,410.0
154.92,154.965,154.815,154.86,1200.0
155.01,155.01,155.01,155.01,100.0
155.08,155.08,155.02,155.06,400.0
155.06,155.06,154.98,155.05,900.0
155.24,155.24,155.1,155.1,1800.0
155.1,155.19,155.1,155.19,800.0
155.01,155.07,155.01,155.07,900.0
155.03,155.05,155.0,155.0,1400.0
154.95,155.0,154.95,155.0,700.0
154.9,154.95,154.87,154.94,1700.0
154.81,154.85,154.78,154.85,500.0
154.85,154.85,154.73,154.84,1500.0
154.79,154.79,154.79,154.79,100.0
154.68,154.78,154.68,154.78,900.0
154.88,154.88,154.76,154.76,1839.0
154.85,154.89,154.84,154.89,900.0
154.89,154.89,154.79,154.82,2400.0
154.79,154.89,154.73,154.89,1500.0
154.83,154.85,154.8,154.8,1400.0
154.87,154.87,154.87,154.87,100.0
154.8,154.81,154.8,154.81,200.0
154.75,154.79,154.68,154.76,1400.0
154.76,154.76,154.76,154.76,200.0
154.72,154.81,154.72,154.81,1100.0
154.68,154.68,154.68,154.68,200.0
154.58,154.66,154.58,154.65,600.0
154.59,154.61,154.57,154.61,995.0
154.7,154.7,154.57,154.58,4750.0
154.65,154.68,154.59,154.63,4400.0
154.71,154.73,154.69,154.73,400.0
154.64,154.7,154.64,154.7,2100.0
154.83,154.83,154.665,154.665,3275.0
154.89,154.92,154.84,154.84,1637.0
154.79,154.92,154.76,154.92,1100.0
154.94,155.0,154.8,154.8,600.0
154.99,154.99,154.89,154.93,1800.0
154.94,155.0,154.93,154.93,1400.0
155.08,155.08,154.92,154.92,1100.0
155.02,155.03,155.0,155.03,600.0
154.87,154.96,154.87,154.95,1100.0
154.94,154.95,154.94,154.94,700.0
154.89,154.915,154.84,154.89,1100.0
154.93,154.94,154.8,154.8,1742.0
154.94,154.94,154.94,154.94,100.0
154.93,154.965,154.93,154.965,300.0
155.05,155.05,154.95,154.95,1700.0
155.05,155.05,155.005,155.005,400.0
155.15,155.15,155.09,155.09,800.0
155.1125,155.12,155.07,155.07,1300.0
155.04,155.06,154.98,155.03,1800.0
155.06,155.1,155.04,155.08,1900.0
155.13,155.13,155.13,155.13,100.0
155.1,155.13,155.1,155.12,500.0
155.17,155.17,155.07,155.07,700.0
155.22,155.23,155.09,155.145,6550.0
155.26,155.27,155.17,155.18,3200.0
155.21,155.25,155.1925,155.25,1301.0
155.15,155.21,155.15,155.21,500.0
155.0593,155.17,155.0593,155.16,1800.0
155.095,155.095,155.05,155.09,1000.0
155.015,155.03,154.98,155.01,900.0
155.12,155.12,155.03,155.03,2185.0
155.11,155.11,155.07,155.07,600.0
155.12,155.12,155.12,155.12,200.0
155.115,155.14,155.07,155.14,3175.0
155.08,155.115,155.08,155.115,600.0
155.04,155.04,155.04,155.04,100.0
155.14,155.14,155.08,155.085,867.0
155.17,155.17,155.17,155.17,100.0
155.25,155.25,155.16,155.16,1000.0
155.265,155.265,155.22,155.22,200.0
155.23,155.25,155.2,155.22,1200.0
155.22,155.23,155.22,155.22,500.0
155.215,155.24,155.19,155.22,1778.0
155.185,155.21,155.16,155.19,1525.0
155.1925,155.21,155.15,155.21,1500.0
155.07,155.16,155.07,155.16,1039.0
155.09,155.09,155.065,155.065,300.0
155.08,155.08,155.06,155.075,700.0
155.03,155.045,155.0,155.03,900.0
155.035,155.035,155.035,155.035,100.0
155.14,155.15,155.03,155.03,3799.0
155.13,155.18,155.12,155.12,1600.0
155.18,155.18,155.13,155.13,600.0
155.08,155.08,155.08,155.08,100.0
155.17,155.17,155.13,155.13,1400.0
155.16,155.16,155.14,155.16,750.0
155.22,155.24,155.16,155.16,2100.0
155.14,155.18,155.14,155.18,1200.0
155.17,155.17,155.14,155.14,600.0
155.21,155.21,155.2,155.2,1300.0
155.175,155.24,155.14,155.24,2900.0
155.14,155.15,155.14,155.15,800.0
155.16,155.16,155.09,155.09,500.0
155.1,155.1,155.1,155.1,100.0
155.06,155.06,155.06,155.06,100.0
155.07,155.07,155.07,155.07,100.0
155.15,155.15,155.05,155.09,2900.0
