Open,High,Low,Close,Volume
63.02,63.076,62.88,63.0,93391.0
63.06,63.13,63.02,63.02,9639.0
63.3,63.3,63.06,63.0828,17629.0
63.25,63.38,63.24,63.305,14324.0
63.25,63.27,63.2,63.25,6639.0
63.18,63.22,63.18,63.22,12296.0
63.15,63.2,63.15,63.18,7860.0
63.182,63.19,63.13,63.17,3671.0
63.24,63.24,63.18,63.2,8918.0
63.23,63.2344,63.211,63.23,4449.0
63.26,63.32,63.23,63.23,15385.0
63.17,63.27,63.17,63.27,9417.0
63.16,63.1899,63.145,63.17,8878.0
63.16,63.17,63.14,63.17,6475.0
63.12,63.16,63.09,63.16,11600.0
63.08,63.13,63.06,63.12,9851.0
63.075,63.09,63.06,63.08,16057.0
63.16,63.17,63.08,63.08,19830.0
63.25,63.25,63.15,63.15,22074.0
63.32,63.37,63.26,63.26,30753.0
63.285,63.32,63.28,63.32,13437.0
63.32,63.33,63.275,63.29,11834.0
63.32,63.33,63.28,63.32,19705.0
63.3589,63.36,63.3,63.32,19367.0
63.375,63.39,63.35,63.3542,18176.0
63.33,63.37,63.33,63.35,19228.0
63.35,63.36,63.33,63.335,11228.0
63.33,63.35,63.33,63.35,10753.0
63.4,63.47,63.34,63.34,35198.0
63.425,63.45,63.39,63.4089,14513.0
63.37,63.43,63.35,63.42,22185.0
63.4,63.4,63.37,63.38,8433.0
63.4,63.42,63.34,63.38,11625.0
63.4,63.42,63.4,63.4,10712.0
63.3899,63.41,63.38,63.4099,6944.0
63.37,63.3857,63.35,63.3857,14799.0
63.3235,63.37,63.32,63.37,10113.0
63.33,63.33,63.3122,63.32,8903.0
63.37,63.38,63.33,63.335,12122.0
63.41,63.41,63.375,63.38,7761.0
63.39,63.42,63.39,63.42,4442.0
63.4,63.4,63.36,63.3901,17541.0
63.365,63.405,63.365,63.4,10426.0
63.3799,63.3799,63.36,63.36,5801.0
63.35,63.375,63.35,63.37,14588.0
63.3725,63.3899,63.34,63.35,11753.0
63.385,63.385,63.36,63.37,11744.0
63.42,63.42,63.36,63.3899,12513.0
63.43,63.44,63.42,63.42,13427.0
63.47,63.47,63.44,63.44,7808.0
63.4257,63.47,63.4251,63.47,13556.0
63.435,63.44,63.42,63.4266,7622.0
63.39,63.435,63.39,63.43,12100.0
63.4,63.405,63.39,63.391,7856.0
63.4,63.4148,63.38,63.4,14271.0
63.41,63.415,63.395,63.4,5800.0
63.41,63.425,63.4,63.41,7835.0
63.39,63.41,63.39,63.41,6291.0
63.36,63.3999,63.36,63.39,7048.0
63.32,63.36,63.32,63.36,11455.0
63.33,63.33,63.3,63.32,19837.0
63.31,63.33,63.295,63.33,16208.0
63.3399,63.3399,63.295,63.31,21852.0
63.32,63.34,63.32,63.34,6496.0
63.34,63.34,63.32,63.325,7476.0
63.3299,63.34,63.31,63.34,28870.0
63.3,63.33,63.295,63.33,14876.0
63.31,63.31,63.295,63.3,19526.0
63.3,63.32,63.3,63.31,11624.0
63.31,63.317,63.3,63.3,13107.0
63.315,63.32,63.3,63.31,12852.0
63.309,63.32,63.295,63.32,12941.0
63.26,63.305,63.26,63.3043,29636.0
63.25,63.26,63.25,63.26,25092.0
63.23,63.26,63.21,63.26,21589.0
63.225,63.23,63.21,63.22,13096.0
63.235,63.25,63.22,63.225,18576.0
63.26,63.26,63.24,63.24,7059.0
63.29,63.29,63.235,63.27,91640.0
63.26,63.29,63.25,63.29,7967.0
63.27,63.28,63.26,63.27,9740.0
63.24,63.27,63.24,63.27,8724.0
63.24,63.249,63.23,63.24,8460.0
63.24,63.24,63.23,63.24,6501.0
63.235,63.24,63.23,63.24,9638.0
63.24,63.24,63.23,63.23,7380.0
63.29,63.29,63.2,63.24,35207.0
63.27,63.299,63.27,63.2943,14571.0
63.27,63.27,63.25,63.27,6217.0
63.29,63.29,63.26,63.27,8368.0
63.25,63.29,63.25,63.29,8131.0
63.237,63.2551,63.237,63.25,6420.0
63.2382,63.25,63.2343,63.24,8780.0
63.245,63.245,63.23,63.24,7068.0
63.25,63.25,63.24,63.2499,13664.0
63.2965,63.2999,63.25,63.25,7773.0
63.31,63.33,63.28,63.2982,12943.0
63.35,63.35,63.31,63.31,8914.0
63.35,63.36,63.35,63.35,8851.0
63.35,63.3547,63.32,63.35,9934.0
63.35,63.35,63.34,63.35,5322.0
63.3451,63.35,63.33,63.35,7205.0
63.33,63.34,63.33,63.34,1634.0
63.3735,63.38,63.33,63.335,35566.0
63.369,63.37,63.345,63.37,14055.0
63.36,63.36,63.34,63.36,7183.0
63.3599,63.36,63.35,63.36,2785.0
63.34,63.35,63.33,63.35,3303.0
63.34,63.34,63.32,63.34,18944.0
63.365,63.369,63.33,63.3348,8244.0
63.341,63.38,63.33,63.37,6340.0
63.34,63.3466,63.33,63.341,5527.0
63.331,63.34,63.325,63.34,4015.0
63.31,63.3353,63.31,63.33,7615.0
63.301,63.315,63.3,63.315,3660.0
63.32,63.33,63.29,63.3,11299.0
63.33,63.339,63.33,63.33,2648.0
63.349,63.35,63.33,63.33,6458.0
63.34,63.35,63.34,63.345,4440.0
63.34,63.3466,63.33,63.34,17190.0
63.3454,63.3465,63.34,63.344,637.0
63.315,63.34,63.31,63.34,11847.0
63.3,63.33,63.3,63.32,9906.0
63.31,63.31,63.3,63.3,3138.0
63.31,63.3154,63.3,63.31,3742.0
63.3499,63.3499,63.3,63.31,9380.0
63.35,63.3501,63.335,63.34,6312.0
63.35,63.3566,63.35,63.35,3100.0
63.33,63.35,63.325,63.35,18265.0
63.32,63.335,63.32,63.33,5391.0
63.32,63.33,63.32,63.3263,10771.0
63.34,63.35,63.32,63.32,12612.0
63.34,63.34,63.33,63.34,3791.0
63.37,63.37,63.33,63.34,6768.0
63.38,63.389,63.37,63.37,5300.0
63.39,63.395,63.375,63.38,4914.0
63.39,63.399,63.38,63.3901,7889.0
63.407,63.41,63.3943,63.3943,11777.0
63.41,63.42,63.4,63.409,8265.0
63.41,63.4154,63.41,63.41,5207.0
63.44,63.44,63.42,63.42,5967.0
63.44,63.46,63.44,63.45,10585.0
63.4237,63.44,63.42,63.44,4205.0
63.415,63.429,63.41,63.42,7165.0
63.3961,63.42,63.39,63.41,27258.0
63.4,63.4,63.39,63.39,7540.0
63.38,63.4057,63.38,63.4005,6015.0
63.36,63.38,63.36,63.38,2745.0
63.34,63.3566,63.34,63.35,5833.0
63.36,63.37,63.34,63.34,4186.0
63.36,63.3651,63.36,63.3646,7828.0
63.37,63.37,63.36,63.36,4083.0
63.365,63.38,63.365,63.371,5084.0
63.3761,63.3828,63.375,63.38,5243.0
63.405,63.41,63.37,63.3736,6694.0
63.4032,63.409,63.4032,63.4034,2600.0
63.43,63.44,63.4038,63.4038,9867.0
63.431,63.44,63.43,63.43,5960.0
63.44,63.44,63.43,63.439,5241.0
63.4485,63.47,63.44,63.44,7427.0
63.449,63.46,63.44,63.4435,6071.0
63.4547,63.46,63.45,63.45,7058.0
63.465,63.4689,63.46,63.46,3601.0
63.47,63.47,63.46,63.46,3236.0
63.4551,63.475,63.4501,63.47,5520.0
63.46,63.46,63.44,63.4583,9111.0
63.4652,63.4652,63.4652,63.4652,500.0
63.48,63.48,63.465,63.465,4607.0
63.4864,63.495,63.48,63.489,7168.0
63.473,63.48,63.47,63.48,3982.0
63.4612,63.474,63.46,63.474,3703.0
63.4701,63.4734,63.45,63.4634,8826.0
63.4733,63.476,63.4729,63.4738,4654.0
63.52,63.53,63.4733,63.4735,22229.0
63.52,63.53,63.52,63.52,11664.0
63.52,63.533,63.52,63.53,6339.0
63.5455,63.5665,63.53,63.53,14868.0
63.535,63.545,63.53,63.545,10351.0
63.565,63.565,63.545,63.545,8743.0
63.5533,63.56,63.5533,63.56,4800.0
63.5332,63.56,63.52,63.55,17322.0
63.54,63.557,63.53,63.53,10883.0
63.545,63.55,63.54,63.54,6569.0
63.546,63.56,63.54,63.5436,9551.0
63.54,63.545,63.53,63.54,9409.0
63.54,63.55,63.53,63.55,7290.0
63.53,63.54,63.51,63.54,11054.0
63.53,63.54,63.52,63.53,4092.0
63.53,63.537,63.52,63.5338,8333.0
63.535,63.54,63.53,63.54,4300.0
63.515,63.53,63.51,63.53,12074.0
63.52,63.52,63.51,63.511,7731.0
63.5437,63.555,63.511,63.511,12978.0
