Open,High,Low,Close,Volume
72.72,72.72,72.37,72.37,300.0
72.27,72.4512,72.27,72.33,19941.0
72.24,72.28,72.24,72.28,500.0
72.22,72.27,72.21,72.24,900.0
72.21,72.22,72.2,72.22,1650.0
72.27,72.27,72.21,72.23,1221.0
72.22,72.22,72.22,72.22,200.0
72.31,72.31,72.22,72.24,1906.0
72.37,72.37,72.318,72.35,571.0
72.32,72.35,72.32,72.34,1300.0
72.299,72.31,72.29,72.31,650.0
72.22,72.26,72.22,72.26,1439.0
72.32,72.33,72.25,72.25,2225.0
72.34,72.34,72.323,72.323,2739.0
72.3525,72.4,72.35,72.38,3244.0
72.3,72.33,72.3,72.33,300.0
72.35,72.36,72.29,72.29,922.0
72.35,72.35,72.35,72.35,170.0
72.36,72.36,72.32,72.35,1900.0
72.4,72.4,72.36,72.36,1019.0
72.405,72.4155,72.405,72.4155,320.0
72.42,72.42,72.4,72.4,3900.0
72.43,72.44,72.42,72.42,2900.0
72.472,72.48,72.44,72.44,2117.0
72.48,72.5,72.48,72.49,1400.0
72.5175,72.55,72.475,72.475,13065.0
72.51,72.51,72.51,72.51,100.0
72.46,72.5,72.43,72.5,1300.0
72.45,72.45,72.45,72.45,300.0
72.47,72.47,72.43,72.43,1776.0
72.485,72.485,72.45,72.47,795.0
72.51,72.51,72.49,72.49,2636.0
72.545,72.545,72.5,72.5,1900.0
72.56,72.56,72.54,72.54,500.0
72.52,72.555,72.5,72.55,2803.0
72.5,72.53,72.5,72.53,1600.0
72.49,72.5,72.46,72.5,5800.0
72.505,72.51,72.49,72.5,2417.0
72.465,72.5,72.46,72.5,6403.0
72.46,72.48,72.45,72.48,3453.0
72.45,72.45,72.44,72.45,1958.0
72.4646,72.465,72.45,72.45,2444.0
72.4,72.465,72.38,72.46,5356.0
72.41,72.41,72.4,72.4022,500.0
72.44,72.45,72.42,72.42,1300.0
72.41,72.44,72.41,72.44,1838.0
72.43,72.45,72.42,72.42,2233.0
72.43,72.43,72.41,72.41,900.0
72.37,72.41,72.37,72.405,4200.0
72.41,72.41,72.39,72.39,1800.0
72.42,72.4201,72.42,72.4201,2537.0
72.435,72.435,72.42,72.42,1079.0
72.41,72.43,72.41,72.43,2401.0
72.4,72.41,72.4,72.41,1700.0
72.41,72.41,72.41,72.41,808.0
72.3806,72.42,72.35,72.42,9529.0
72.41,72.41,72.39,72.39,1299.0
72.395,72.42,72.395,72.41,1800.0
72.39,72.4175,72.39,72.4,3731.0
72.39,72.39,72.38,72.39,4458.0
72.35,72.38,72.35,72.38,2200.0
72.37,72.39,72.35,72.35,3835.0
72.4,72.4,72.38,72.38,2300.0
72.36,72.39,72.36,72.39,1216.0
72.31,72.3798,72.31,72.36,6508.0
72.34,72.385,72.34,72.35,3000.0
72.32,72.35,72.32,72.35,5051.0
72.33,72.33,72.32,72.33,600.0
72.33,72.34,72.33,72.34,1000.0
72.32,72.365,72.32,72.35,2500.0
72.32,72.33,72.29,72.33,6100.0
72.32,72.32,72.31,72.32,800.0
72.34,72.34,72.326,72.326,300.0
72.36,72.4,72.355,72.355,2900.0
72.34,72.37,72.33,72.36,3195.0
72.34,72.355,72.34,72.34,1100.0
72.36,72.36,72.35,72.35,801.0
72.34,72.36,72.31,72.36,2258.0
72.35,72.35,72.34,72.34,785.0
72.3,72.35,72.297,72.35,2150.0
72.31,72.32,72.3,72.3,2500.0
72.34,72.34,72.3,72.3,1723.0
72.36,72.36,72.35,72.359,316.0
72.34,72.37,72.34,72.36,2074.0
72.32,72.34,72.32,72.34,400.0
72.32,72.32,72.32,72.32,1000.0
72.3,72.32,72.3,72.31,1600.0
72.32,72.32,72.29,72.29,2096.0
72.33,72.33,72.315,72.315,1400.0
72.3,72.34,72.3,72.34,3456.0
72.3,72.3,72.25,72.29,2357.0
72.289,72.3,72.27,72.29,2703.0
72.24,72.278,72.23,72.278,2643.0
72.18,72.25,72.18,72.25,4494.0
72.19,72.19,72.19,72.19,801.0
72.17,72.2,72.14,72.2,5901.0
72.155,72.18,72.155,72.17,1480.0
72.15,72.17,72.15,72.17,900.0
72.2,72.2,72.15,72.18,3071.0
72.19,72.21,72.19,72.2099,2052.0
72.15,72.2,72.15,72.2,4610.0
72.15,72.16,72.15,72.16,1304.0
72.14,72.17,72.13,72.15,4305.0
72.14,72.14,72.11,72.13,2300.0
72.12,72.14,72.11,72.135,8348.0
72.14,72.14,72.12,72.12,800.0
72.15,72.16,72.14,72.16,1500.0
72.16,72.16,72.1497,72.1497,395.0
72.15,72.16,72.15,72.16,800.0
72.12,72.14,72.115,72.13,4100.0
72.13,72.13,72.115,72.12,1300.0
72.12,72.13,72.12,72.13,1129.0
72.09,72.11,72.09,72.11,2300.0
72.13,72.13,72.095,72.095,2400.0
72.15,72.15,72.13,72.13,2762.0
72.14,72.1622,72.14,72.155,3176.0
72.1485,72.1599,72.13,72.14,2179.0
72.19,72.19,72.15,72.15,1700.0
72.16,72.2,72.16,72.2,1718.0
72.16,72.17,72.16,72.16,2673.0
72.0997,72.17,72.08,72.165,28417.0
72.08,72.1,72.08,72.09,5200.0
72.03,72.08,72.03,72.08,3400.0
72.02,72.03,72.015,72.03,4600.0
72.02,72.03,72.02,72.02,2403.0
72.04,72.04,72.01,72.01,1917.0
72.04,72.04,72.02,72.035,1650.0
72.08,72.08,72.04,72.04,2797.0
72.05,72.08,72.05,72.08,1311.0
72.03,72.05,72.03,72.04,1799.0
72.0485,72.06,72.01,72.03,5294.0
72.08,72.1,72.08,72.1,1603.0
72.07,72.07,72.07,72.07,300.0
72.05,72.06,72.05,72.06,800.0
72.06,72.06,72.02,72.04,3566.0
