Open,High,Low,Close,Volume
91.93,91.93,91.93,91.93,12947.0
91.445,92.13,91.445,92.13,6619.0
91.151,91.596,91.151,91.5,3165.0
91.39,91.39,91.02,91.2253,558.0
91.2528,91.39,91.08,91.37,1200.0
91.42,91.5,91.091,91.1,3830.0
91.52,91.52,91.344,91.3764,3670.0
91.531,91.59,91.531,91.58,660.0
91.8116,91.88,91.74,91.74,3130.0
91.86,91.88,91.79,91.79,700.0
91.88,91.88,91.77,91.835,4027.0
91.87,91.92,91.87,91.91,1000.0
91.96,92.0,91.955,91.99,624.0
92.1,92.15,92.075,92.11,1900.0
92.18,92.18,92.13,92.15,500.0
92.12,92.22,92.12,92.205,2981.0
92.06,92.145,92.06,92.145,400.0
92.05,92.09,92.05,92.09,1720.0
91.96,92.0,91.96,92.0,200.0
91.95,91.98,91.95,91.96,4448.0
92.08,92.09,91.97,91.99,3500.0
92.05,92.05,92.03,92.04,1269.0
91.98,92.03,91.98,92.03,300.0
92.11,92.11,92.0,92.0,8500.0
92.0818,92.0818,92.0818,92.0818,106.0
92.12,92.15,92.12,92.12,3052.0
92.22,92.22,92.14,92.14,1558.0
92.205,92.21,92.205,92.21,1100.0
92.28,92.28,92.141,92.185,900.0
92.42,92.42,92.371,92.371,800.0
92.34,92.45,92.34,92.42,4157.0
92.355,92.36,92.32,92.36,500.0
92.336,92.355,92.3298,92.3298,300.0
92.441,92.45,92.36,92.4,1846.0
92.37,92.46,92.37,92.46,1326.0
92.42,92.42,92.42,92.42,200.0
92.47,92.47,92.4,92.4,1300.0
92.51,92.51,92.49,92.49,200.0
92.55,92.55,92.51,92.51,300.0
92.495,92.495,92.495,92.495,100.0
92.57,92.57,92.42,92.5,13336.0
92.61,92.63,92.55,92.57,3633.0
92.87,92.87,92.59,92.64,3053.0
92.87,92.87,92.81,92.829,1750.0
92.92,92.92,92.85,92.885,1400.0
92.79,92.93,92.79,92.93,1938.0
92.72,92.744,92.72,92.744,600.0
92.755,92.755,92.755,92.755,200.0
92.73,92.79,92.73,92.79,1700.0
92.8,92.83,92.7,92.7,5143.0
92.755,92.795,92.755,92.795,695.0
92.75,92.755,92.72,92.72,600.0
92.7391,92.78,92.7391,92.77,1000.0
92.72,92.745,92.71,92.745,700.0
92.73,92.74,92.68,92.72,2138.0
