Open,High,Low,Close,Volume
100.08,100.08,99.91,99.91,1000.0
99.41,100.09,99.41,99.91,17641.0
99.07,99.245,99.05,99.245,700.0
99.275,99.275,99.03,99.03,600.0
98.88,99.14,98.88,99.1,2378.0
98.9122,98.9122,98.83,98.89,500.0
98.73,99.24,98.73,99.02,3941.0
98.75,98.9,98.6,98.64,3099.0
98.7174,98.7514,98.63,98.735,2101.0
98.752,98.83,98.71,98.71,1626.0
98.94,99.055,98.79,98.79,1150.0
98.9325,99.0093,98.89,98.95,2900.0
99.1988,99.21,98.97,98.97,3407.0
99.1182,99.205,99.06,99.15,1715.0
99.04,99.155,99.04,99.06,600.0
99.12,99.18,99.04,99.115,1396.0
99.16,99.31,99.15,99.22,6170.0
99.0137,99.2419,99.01,99.16,2540.0
99.16,99.17,98.98,99.03,3418.0
99.0747,99.0747,99.0747,99.0747,400.0
98.91,99.095,98.91,99.095,5380.0
98.98,98.98,98.81,98.91,2275.0
98.9295,99.04,98.85,98.92,4235.0
99.01,99.01,98.9351,98.9871,1679.0
99.08,99.08,98.9874,99.0,4100.0
99.0592,99.16,99.0592,99.095,1500.0
99.14,99.14,99.14,99.14,100.0
99.33,99.34,99.06,99.12,4200.0
99.24,99.24,99.15,99.18,500.0
99.1225,99.28,99.1225,99.23,2001.0
99.3,99.32,99.17,99.17,700.0
99.43,99.43,99.246,99.31,3461.0
99.47,99.47,99.47,99.47,100.0
99.605,99.62,99.49,99.49,1400.0
99.5167,99.592,99.42,99.58,9700.0
99.53,99.53,99.46,99.47,2106.0
99.56,99.6,99.51,99.55,2423.0
99.475,99.56,99.45,99.56,1200.0
99.4028,99.475,99.4,99.43,778.0
99.25,99.39,99.16,99.38,4202.0
99.17,99.24,99.16,99.24,1300.0
99.16,99.19,99.14,99.18,1500.0
99.1,99.14,99.01,99.12,3952.0
99.19,99.19,99.1,99.11,802.0
99.08,99.16,99.07,99.16,1999.0
99.1,99.13,99.0628,99.0628,4269.0
99.29,99.29,99.14,99.14,1100.0
99.22,99.255,99.17,99.23,2800.0
99.215,99.25,99.215,99.25,300.0
99.2492,99.29,99.2,99.2333,1361.0
99.47,99.47,99.2674,99.2674,4865.0
99.53,99.58,99.4,99.41,8833.0
