Open,High,Low,Close,Volume
54.09,54.14,54.09,54.09,1936.0
54.1,54.1,54.1,54.1,100.0
54.04,54.09,54.04,54.08,1200.0
54.065,54.065,53.99,53.99,1070.0
54.03,54.1,53.99,54.1,1700.0
54.065,54.08,54.065,54.07,400.0
54.2,54.2,54.18,54.18,378.0
54.22,54.22,54.21,54.21,200.0
54.22,54.24,54.22,54.24,300.0
54.2,54.2,54.2,54.2,300.0
54.17,54.17,54.17,54.17,200.0
54.27,54.27,54.185,54.185,900.0
54.22,54.22,54.22,54.22,100.0
54.14,54.14,54.14,54.14,200.0
54.14,54.16,54.14,54.16,600.0
54.12,54.14,54.12,54.14,1100.0
54.1,54.1,54.09,54.1,1200.0
54.12,54.12,54.1,54.1,1200.0
54.18,54.18,54.16,54.16,930.0
54.2,54.2,54.2,54.2,500.0
54.14,54.19,54.14,54.19,4010.0
54.08,54.15,54.05,54.15,4802.0
54.08,54.08,54.07,54.07,410.0
54.04,54.05,54.03,54.04,500.0
53.98,54.0,53.97,53.99,1600.0
53.99,53.99,53.97,53.97,800.0
53.98,53.98,53.98,53.98,400.0
54.0,54.0,53.96,53.96,3595.0
54.05,54.05,53.99,53.99,1455.0
54.05,54.1,54.05,54.07,1129.0
54.06,54.06,54.06,54.06,400.0
54.07,54.08,54.06,54.07,1673.0
54.1,54.11,54.09,54.09,800.0
54.12,54.14,54.07,54.09,4373.0
54.13,54.17,54.12,54.14,6467.0
54.15,54.15,54.13,54.13,1000.0
54.14,54.16,54.14,54.14,600.0
54.14,54.14,54.11,54.12,1394.0
54.15,54.15,54.13,54.13,700.0
54.18,54.19,54.14,54.14,700.0
54.11,54.17,54.11,54.17,1300.0
54.1,54.11,54.1,54.11,500.0
54.13,54.13,54.1,54.1,4615.0
54.14,54.14,54.14,54.14,100.0
54.09,54.11,54.09,54.11,500.0
54.15,54.15,54.11,54.11,1289.0
54.19,54.19,54.15,54.15,1080.0
54.17,54.17,54.17,54.17,200.0
54.17,54.17,54.12,54.13,2157.0
54.18,54.18,54.18,54.18,100.0
54.18,54.2,54.16,54.16,2492.0
54.18,54.18,54.18,54.18,100.0
54.21,54.21,54.18,54.18,1200.0
54.21,54.21,54.18,54.2,700.0
54.16,54.22,54.16,54.22,1994.0
54.13,54.18,54.13,54.18,1567.0
54.14,54.15,54.11,54.13,2523.0
54.17,54.18,54.15,54.15,1500.0
54.19,54.2,54.19,54.2,900.0
54.18,54.19,54.18,54.19,500.0
54.21,54.23,54.19,54.19,1600.0
54.23,54.23,54.22,54.22,800.0
54.25,54.25,54.24,54.24,1200.0
54.22,54.22,54.22,54.22,300.0
54.2,54.22,54.2,54.22,1183.0
54.15,54.19,54.15,54.19,1800.0
54.17,54.18,54.16,54.17,400.0
54.14,54.14,54.14,54.14,300.0
54.12,54.14,54.12,54.14,779.0
54.13,54.13,54.13,54.13,300.0
54.08,54.13,54.08,54.13,900.0
54.09,54.1,54.06,54.06,2800.0
54.07,54.07,54.07,54.07,100.0
54.06,54.07,54.06,54.07,927.0
54.06,54.06,54.05,54.05,400.0
54.04,54.04,54.04,54.04,600.0
54.02,54.03,54.01,54.03,1500.0
54.05,54.05,54.04,54.04,500.0
54.05,54.05,54.05,54.05,100.0
54.07,54.07,54.05,54.06,1200.0
54.07,54.07,54.07,54.07,418.0
54.09,54.09,54.06,54.08,800.0
54.05,54.08,54.05,54.08,1404.0
54.03,54.03,54.03,54.03,700.0
54.05,54.05,54.05,54.05,100.0
54.02,54.05,54.0,54.05,3900.0
53.99,54.02,53.99,54.02,999.0
54.0,54.0,53.98,53.98,3802.0
54.0,54.0,54.0,54.0,100.0
54.01,54.01,53.97,53.98,800.0
