Open,High,Low,Close,Volume
177.1869,177.4,177.14,177.4,47237.0
177.6199,177.75,177.06,177.06,31033.0
177.58,177.7,177.4345,177.4701,6913.0
177.52,177.68,177.35,177.62,7252.0
177.3,177.665,177.18,177.56,10745.0
177.12,177.29,177.06,177.2219,10634.0
177.04,177.2,176.71,177.19,21465.0
177.02,177.1699,176.95,177.05,5481.0
176.75,176.98,176.7,176.98,12273.0
176.7,176.86,176.63,176.71,11738.0
176.7256,176.82,176.58,176.7,12959.0
176.675,176.84,176.58,176.78,12842.0
176.58,176.78,176.58,176.675,13956.0
176.7,176.79,176.58,176.62,16743.0
176.7,176.75,176.6268,176.68,5766.0
176.69,176.8499,176.65,176.7301,5054.0
176.84,176.86,176.64,176.66,4960.0
176.6501,177.0,176.62,176.94,20914.0
176.75,176.9,176.65,176.65,15589.0
176.62,176.83,176.58,176.6896,19900.0
176.41,176.65,176.28,176.6273,18983.0
176.5282,176.66,176.3051,176.425,6923.0
176.965,177.12,176.625,176.64,12085.0
177.12,177.18,176.965,177.01,4700.0
177.06,177.19,177.05,177.051,4154.0
177.1138,177.12,176.96,177.02,4879.0
177.19,177.32,177.01,177.16,4865.0
177.1575,177.1699,177.04,177.06,3121.0
177.24,177.3145,177.13,177.24,3480.0
177.07,177.23,177.0698,177.23,5425.0
177.03,177.23,176.97,177.13,6888.0
177.27,177.28,177.02,177.12,6980.0
177.435,177.5,177.23,177.24,2885.0
177.34,177.49,177.23,177.48,7811.0
177.09,177.39,177.09,177.3,9302.0
177.27,177.3,177.16,177.18,8059.0
177.24,177.4,177.15,177.25,8713.0
177.37,177.41,177.19,177.19,2207.0
177.105,177.39,177.09,177.39,4168.0
177.29,177.29,177.0741,177.09,3200.0
177.09,177.31,177.09,177.31,2117.0
177.27,177.28,177.09,177.1039,4927.0
177.1,177.23,177.0,177.195,10433.0
177.06,177.13,177.04,177.04,2140.0
177.0607,177.11,176.99,177.06,8773.0
176.969,177.09,176.969,177.08,11234.0
176.73,176.9431,176.713,176.94,5176.0
176.82,176.83,176.66,176.73,6997.0
176.775,176.84,176.74,176.7974,7104.0
177.0,177.0,176.7901,176.7936,8386.0
177.13,177.13,176.97,177.0,6500.0
176.94,177.15,176.93,177.1096,8893.0
176.9401,176.99,176.89,176.92,4430.0
177.03,177.06,176.95,176.97,7491.0
177.25,177.25,177.0,177.03,6893.0
177.23,177.2699,177.15,177.25,4595.0
177.34,177.34,177.21,177.24,2782.0
177.5,177.5,177.3599,177.3599,2980.0
177.56,177.66,177.4975,177.55,5751.0
177.57,177.63,177.5601,177.585,4032.0
177.46,177.57,177.46,177.57,22248.0
177.5,177.52,177.41,177.5,35638.0
177.4049,177.46,177.33,177.46,7136.0
177.56,177.56,177.39,177.39,5140.0
177.41,177.58,177.37,177.56,8475.0
177.4901,177.51,177.42,177.42,3811.0
177.52,177.57,177.48,177.51,3719.0
177.6209,177.64,177.49,177.5,2718.0
177.7508,177.7726,177.64,177.66,2800.0
177.78,177.82,177.75,177.7611,6820.0
177.84,177.86,177.74,177.81,8360.0
177.91,177.91,177.77,177.8438,4900.0
177.96,177.96,177.89,177.93,3452.0
178.0,178.14,177.97,177.97,10224.0
177.93,178.02,177.92,178.0,3340.0
177.9736,178.0,177.88,177.91,4200.0
177.9,177.96,177.86,177.94,2500.0
177.98,177.98,177.89,177.91,4400.0
178.05,178.11,177.99,177.99,6360.0
178.02,178.06,178.02,178.05,1800.0
177.87,178.03,177.83,178.01,6577.0
177.84,177.88,177.83,177.84,3300.0
177.84,177.9,177.79,177.88,5013.0
177.99,177.99,177.89,177.89,3164.0
177.915,178.01,177.89,178.01,2978.0
177.835,177.95,177.835,177.92,4276.0
177.77,177.83,177.76,177.81,4263.0
177.87,177.87,177.81,177.81,2031.0
177.76,177.85,177.72,177.85,4142.0
177.875,177.88,177.8,177.8,4052.0
177.83,177.85,177.75,177.83,8263.0
177.911,177.94,177.81,177.81,2920.0
178.04,178.04,177.95,177.95,3206.0
177.92,178.03,177.92,178.0,9485.0
178.06,178.09,177.94,177.94,6900.0
178.03,178.06,177.97,178.06,8000.0
177.93,178.09,177.87,178.07,7487.0
177.94,177.97,177.94,177.94,1001.0
177.94,177.97,177.94,177.97,500.0
177.9,177.97,177.87,177.9101,5900.0
178.0,178.0,177.884,177.884,3525.0
177.9101,177.96,177.9,177.96,3319.0
177.9212,177.93,177.85,177.91,5301.0
177.9,177.924,177.9,177.915,800.0
178.0,178.0,177.9001,177.94,3142.0
178.01,178.02,177.95,178.01,4882.0
178.02,178.07,177.99,178.02,3711.0
178.02,178.03,178.0,178.0,3200.0
177.98,178.01,177.96,178.0,3125.0
178.03,178.06,177.98,177.98,3392.0
178.08,178.09,178.0201,178.06,2689.0
178.0,178.05,177.95,178.04,3850.0
178.02,178.1,178.02,178.04,3350.0
178.12,178.12,177.9401,178.02,5217.0
178.14,178.14,178.0824,178.12,972.0
178.2,178.2,178.15,178.15,1300.0
178.13,178.185,178.09,178.18,1700.0
177.93,178.15,177.8,178.12,9366.0
177.93,178.01,177.86,177.93,6750.0
177.86,178.0,177.86,177.96,3200.0
177.79,177.9,177.76,177.84,3100.0
177.99,177.99,177.7281,177.76,4483.0
177.97,178.03,177.905,178.02,2421.0
177.94,177.96,177.846,177.9151,3325.0
177.95,177.95,177.8,177.94,3700.0
177.96,178.01,177.908,178.01,2991.0
177.85,178.01,177.85,177.96,4700.0
177.8,177.91,177.78,177.89,7070.0
