Open,High,Low,Close,Volume
27.5,27.55,27.27,27.38,56847.0
27.325,27.5,27.3,27.452,6025.0
27.3979,27.47,27.3114,27.33,21162.0
27.3851,27.3851,27.32,27.37,4176.0
27.25,27.3599,27.25,27.3599,9913.0
27.22,27.27,27.22,27.25,1802.0
27.19,27.22,27.1501,27.18,13507.0
27.26,27.26,27.22,27.24,300.0
27.12,27.33,27.12,27.29,41041.0
27.23,27.23,27.14,27.19,1600.0
27.2699,27.28,27.26,27.28,1165.0
27.21,27.32,27.21,27.27,3981.0
27.2116,27.2204,27.2,27.22,3900.0
27.17,27.2,27.16,27.2,2100.0
27.19,27.21,27.15,27.16,4199.0
27.13,27.21,27.13,27.2,8100.0
27.11,27.15,27.1,27.14,11050.0
27.12,27.13,27.08,27.105,4951.0
27.11,27.11,27.09,27.1,2800.0
27.0851,27.11,27.0851,27.1016,2960.0
27.09,27.1,27.09,27.09,2633.0
27.1,27.11,27.09,27.1,1999.0
27.05,27.1,27.05,27.1,5695.0
27.07,27.07,27.03,27.05,7004.0
27.05,27.08,27.05,27.07,2388.0
27.03,27.06,27.03,27.04,1316.0
27.05,27.05,27.03,27.03,1886.0
27.06,27.07,27.0396,27.0396,2158.0
27.05,27.07,27.05,27.06,1900.0
27.1,27.1,27.06,27.06,2200.0
27.13,27.13,27.12,27.12,1708.0
27.13,27.1348,27.13,27.13,600.0
27.13,27.13,27.11,27.12,4300.0
27.1101,27.1361,27.1101,27.1361,1755.0
27.09,27.12,27.08,27.12,4850.0
27.09,27.1,27.075,27.09,4833.0
27.0999,27.1,27.09,27.09,1467.0
27.09,27.12,27.09,27.0901,1186.0
27.055,27.09,27.05,27.0899,5558.0
27.08,27.08,27.04,27.04,3273.0
27.05,27.06,27.04,27.06,4300.0
27.01,27.06,27.01,27.06,5589.0
27.01,27.02,26.99,27.01,4740.0
27.05,27.07,27.01,27.01,5600.0
27.07,27.075,27.04,27.04,3201.0
27.035,27.065,27.035,27.06,4832.0
27.04,27.04,27.035,27.04,1400.0
27.025,27.04,27.025,27.04,3900.0
27.005,27.03,27.0,27.03,7016.0
27.03,27.06,26.975,27.0,41530.0
