Open,High,Low,Close,Volume
52.45,52.45,52.45,52.45,100.0
52.46,52.47,52.46,52.47,200.0
52.45,52.49,52.44,52.49,1700.0
52.45,52.46,52.45,52.45,1972.0
52.53,52.53,52.47,52.48,3740.0
52.585,52.585,52.51,52.52,1900.0
52.64,52.65,52.59,52.59,3700.0
52.67,52.67,52.66,52.66,300.0
52.64,52.65,52.64,52.65,200.0
52.62,52.62,52.62,52.62,100.0
52.6302,52.6499,52.61,52.61,816.0
52.62,52.62,52.62,52.62,200.0
52.6,52.63,52.59,52.63,900.0
52.56,52.59,52.56,52.56,500.0
52.57,52.59,52.56,52.57,1250.0
52.56,52.57,52.56,52.56,1030.0
52.565,52.5699,52.56,52.56,345.0
52.56,52.56,52.56,52.56,1001.0
52.59,52.59,52.565,52.565,3606.0
52.585,52.6,52.585,52.6,8133.0
52.58,52.62,52.57,52.58,9840.0
52.58,52.58,52.56,52.57,800.0
52.55,52.58,52.54,52.56,11907.0
52.565,52.6,52.55,52.55,24864.0
52.565,52.57,52.56,52.56,9380.0
52.58,52.595,52.56,52.565,37455.0
52.57,52.58,52.56,52.57,6000.0
52.56,52.565,52.545,52.565,15496.0
52.535,52.585,52.51,52.56,30028.0
52.56,52.56,52.54,52.54,6362.0
52.57,52.57,52.555,52.555,5802.0
52.58,52.59,52.58,52.58,13151.0
52.565,52.58,52.565,52.5701,921.0
52.555,52.57,52.55,52.57,6254.0
52.555,52.57,52.55,52.56,6941.0
52.57,52.58,52.56,52.56,4899.0
52.605,52.615,52.555,52.56,20235.0
52.6,52.61,52.6,52.605,1198.0
52.62,52.62,52.56,52.595,17750.0
52.65,52.65,52.6,52.615,9648.0
52.66,52.665,52.65,52.65,2850.0
52.69,52.69,52.66,52.66,4165.0
52.68,52.76,52.67,52.69,5828.0
52.68,52.68,52.67,52.67,1500.0
52.71,52.71,52.69,52.69,3800.0
52.72,52.72,52.68,52.71,12701.0
52.73,52.73,52.7075,52.72,6700.0
52.74,52.75,52.73,52.7301,1866.0
52.76,52.76,52.73,52.735,1500.0
52.7,52.76,52.69,52.76,13065.0
52.71,52.73,52.68,52.69,6700.0
52.69,52.71,52.69,52.71,5901.0
52.7,52.7,52.69,52.69,1760.0
52.705,52.71,52.69,52.695,11501.0
52.725,52.73,52.7,52.7,4300.0
52.73,52.73,52.72,52.7249,1400.0
52.69,52.74,52.69,52.73,4336.0
52.71,52.72,52.69,52.69,4300.0
52.7,52.7075,52.69,52.7,4621.0
52.7,52.7,52.69,52.69,2353.0
52.71,52.71,52.69,52.69,4242.0
52.69,52.72,52.69,52.71,8725.0
52.71,52.71,52.69,52.69,9128.0
52.71,52.71,52.7,52.71,609.0
52.725,52.74,52.7,52.7,14028.0
52.76,52.76,52.72,52.72,5913.0
52.73,52.76,52.73,52.76,2773.0
52.73,52.73,52.72,52.72,2504.0
52.71,52.72,52.71,52.72,1312.0
52.71,52.715,52.7,52.71,8050.0
52.74,52.74,52.71,52.71,8329.0
52.74,52.745,52.72,52.73,1700.0
52.74,52.76,52.72,52.73,10337.0
52.7234,52.75,52.7234,52.75,750.0
52.72,52.72,52.72,52.72,1735.0
52.72,52.73,52.71,52.72,3601.0
52.71,52.72,52.71,52.71,7209.0
52.73,52.73,52.7,52.7,11605.0
52.725,52.74,52.705,52.74,13620.0
52.73,52.76,52.725,52.725,22846.0
52.73,52.73,52.72,52.72,4000.0
52.72,52.723,52.71,52.72,7556.0
52.71,52.72,52.71,52.72,5239.0
52.74,52.75,52.72,52.72,17181.0
52.73,52.735,52.725,52.73,39201.0
52.73,52.73,52.72,52.72,5429.0
52.73,52.73,52.72,52.72,4936.0
52.72,52.73,52.72,52.73,2638.0
52.76,52.76,52.7216,52.7216,14583.0
52.75,52.77,52.74,52.76,38455.0
52.735,52.75,52.735,52.75,13640.0
52.73,52.74,52.73,52.73,11739.0
52.725,52.73,52.72,52.73,3899.0
52.73,52.74,52.72,52.72,7810.0
52.725,52.735,52.71,52.73,20344.0
52.73,52.735,52.72,52.725,13852.0
52.73,52.74,52.73,52.735,3348.0
52.735,52.74,52.73,52.73,7868.0
52.73,52.74,52.72,52.735,21136.0
52.7325,52.74,52.72,52.72,4819.0
52.73,52.74,52.73,52.73,5319.0
52.735,52.735,52.73,52.735,2400.0
52.75,52.755,52.735,52.74,27343.0
52.78,52.78,52.75,52.76,8350.0
52.76,52.79,52.76,52.78,4568.0
52.78,52.79,52.76,52.76,9056.0
52.8,52.8066,52.77,52.79,10291.0
52.79,52.81,52.789,52.79,6240.0
52.76,52.8,52.76,52.79,2918.0
