Open,High,Low,Close,Volume
185.23,185.31,185.22,185.22,7193.0
185.44,185.5,185.21,185.355,974.0
185.3,185.5181,185.3,185.5181,2031.0
185.29,185.29,185.29,185.29,100.0
185.61,185.61,185.61,185.61,100.0
185.45,185.585,185.45,185.585,375.0
185.02,185.62,184.86,185.49,2709.0
185.22,185.22,185.05,185.05,799.0
185.4,185.4,185.4,185.4,200.0
185.4,185.41,185.255,185.38,800.0
185.44,185.44,185.21,185.39,2395.0
185.66,185.66,185.3,185.54,600.0
185.7,185.7,185.4795,185.4795,400.0
185.37,185.47,185.29,185.47,900.0
185.3053,185.51,185.3053,185.51,229.0
185.3,185.36,185.29,185.29,900.0
185.23,185.27,185.0,185.19,600.0
185.35,185.35,185.015,185.27,700.0
185.19,185.27,185.19,185.27,300.0
185.28,185.28,185.28,185.28,273.0
185.24,185.25,185.06,185.11,1515.0
185.12,185.12,185.12,185.12,100.0
185.12,185.12,185.12,185.12,100.0
185.27,185.27,185.25,185.26,668.0
185.2619,185.2619,185.2619,185.2619,168.0
185.32,185.37,185.25,185.25,600.0
185.3,185.46,185.21,185.43,1517.0
185.26,185.26,185.26,185.26,100.0
185.27,185.2983,185.27,185.2983,236.0
185.46,185.51,185.4151,185.42,5515.0
185.44,185.48,185.39,185.48,470.0
185.32,185.34,185.27,185.34,800.0
185.43,185.43,185.3,185.3,600.0
185.32,185.39,185.32,185.39,800.0
185.22,185.22,185.22,185.22,200.0
185.28,185.3,185.28,185.29,300.0
185.27,185.29,185.27,185.29,400.0
185.31,185.31,185.27,185.27,800.0
185.17,185.2677,185.17,185.26,1100.0
185.18,185.18,185.18,185.18,100.0
185.27,185.27,185.17,185.18,600.0
185.19,185.24,185.19,185.24,400.0
185.16,185.175,185.12,185.175,700.0
185.09,185.09,185.08,185.08,200.0
185.08,185.21,185.08,185.16,600.0
185.18,185.18,185.08,185.08,1746.0
185.04,185.1076,185.04,185.1076,625.0
184.9952,184.9952,184.9952,184.9952,100.0
184.92,184.99,184.92,184.99,300.0
184.89,184.9606,184.89,184.9606,200.0
184.92,184.92,184.84,184.91,5359.0
184.92,184.97,184.86,184.86,1902.0
184.95,185.03,184.95,185.03,400.0
184.93,185.01,184.93,185.01,639.0
184.86,184.93,184.86,184.93,700.0
184.92,184.92,184.92,184.92,100.0
184.905,184.94,184.905,184.94,200.0
184.74,184.86,184.74,184.86,1208.0
184.75,184.76,184.74,184.74,400.0
184.74,184.81,184.74,184.745,800.0
184.75,184.77,184.75,184.77,400.0
184.71,184.74,184.71,184.71,300.0
184.65,184.77,184.65,184.74,1200.0
184.61,184.64,184.61,184.64,800.0
184.37,184.56,184.37,184.56,700.0
184.39,184.39,184.39,184.39,100.0
184.55,184.55,184.4123,184.4123,1979.0
184.7259,184.7259,184.59,184.59,2502.0
184.8,184.8,184.75,184.75,200.0
184.89,184.89,184.81,184.82,300.0
184.83,184.94,184.83,184.94,1200.0
184.69,184.78,184.68,184.73,854.0
184.69,184.69,184.69,184.69,100.0
184.67,184.67,184.67,184.67,100.0
184.6,184.67,184.6,184.67,500.0
184.55,184.61,184.55,184.61,1700.0
184.46,184.55,184.46,184.55,400.0
184.51,184.55,184.47,184.47,580.0
184.43,184.51,184.43,184.48,1310.0
184.34,184.47,184.34,184.47,1000.0
