Open,High,Low,Close,Volume
55.98,55.98,55.92,55.92,213227.0
55.97,56.09,55.93,55.93,50158.0
56.14,56.14,55.965,56.0,66618.0
56.085,56.18,56.08,56.14,37045.0
56.1,56.16,56.085,56.085,32169.0
56.175,56.2,56.0615,56.1,35658.0
56.11,56.19,56.11,56.1703,33647.0
56.03,56.12,56.0,56.11,30505.0
56.08,56.12,56.02,56.04,28004.0
56.06,56.09,56.03,56.08,23708.0
56.1,56.12,56.033,56.07,34121.0
56.02,56.09,56.02,56.09,43491.0
55.95,56.07,55.93,56.02,39689.0
55.99,56.0,55.9486,55.9486,22167.0
55.95,56.0,55.92,56.0,19647.0
55.98,56.0,55.94,55.96,28071.0
55.98,56.0,55.96,55.98,33868.0
55.8914,56.0,55.89,55.99,36136.0
55.97,55.97,55.875,55.89,37979.0
56.0,56.0,55.96,55.98,25940.0
55.96,56.02,55.94,56.01,50726.0
56.04,56.05,55.9601,55.975,14575.0
56.0,56.08,55.985,56.046,22422.0
56.05,56.0563,56.0,56.0,15223.0
56.02,56.08,56.0,56.04,19695.0
56.0135,56.02,56.0,56.019,19615.0
56.01,56.02,55.99,56.0,19810.0
56.01,56.01,55.97,56.0,18235.0
56.03,56.045,55.9892,55.9892,13713.0
56.01,56.04,55.98,56.04,19822.0
56.06,56.088,56.01,56.0251,22002.0
56.04,56.08,56.01,56.07,33152.0
56.02,56.05,56.01,56.05,15519.0
56.0219,56.07,56.0219,56.025,15153.0
56.0449,56.0449,56.01,56.02,13107.0
56.04,56.05,56.0,56.05,25928.0
56.02,56.05,56.01,56.05,9268.0
56.0137,56.03,56.0,56.02,7867.0
56.05,56.05,56.0133,56.02,12299.0
56.1,56.1,56.02,56.05,21924.0
56.07,56.1,56.04,56.093,47157.0
56.06,56.07,56.02,56.07,19567.0
56.025,56.07,56.02,56.06,14119.0
56.05,56.06,56.02,56.03,13246.0
56.0578,56.06,56.01,56.0499,16332.0
