Open,High,Low,Close,Volume
135.545,135.56,135.44,135.44,3246.0
135.37,135.44,135.26,135.29,800.0
135.47,135.48,135.45,135.48,500.0
135.63,135.63,135.6,135.6,400.0
135.43,135.43,135.43,135.43,200.0
135.44,135.55,135.33,135.33,700.0
135.43,135.5752,135.43,135.5752,311.0
135.59,135.59,135.46,135.49,700.0
135.585,135.59,135.58,135.59,500.0
135.49,135.6,135.48,135.48,900.0
135.29,135.41,135.19,135.19,600.0
135.22,135.22,135.22,135.22,100.0
135.35,135.36,135.35,135.36,200.0
135.36,135.37,135.1904,135.1904,602.0
135.35,135.35,135.14,135.2,1100.0
135.37,135.385,135.37,135.385,600.0
135.37,135.49,135.37,135.45,2200.0
135.33,135.33,135.29,135.3,500.0
135.39,135.39,135.12,135.12,600.0
135.5075,135.58,135.39,135.39,3500.0
135.5,135.5,135.44,135.44,300.0
135.2425,135.29,135.2425,135.29,900.0
135.34,135.34,135.19,135.19,2300.0
135.42,135.44,135.3,135.3,1000.0
135.46,135.46,135.46,135.46,100.0
135.44,135.44,135.42,135.42,200.0
135.29,135.29,135.29,135.29,200.0
135.42,135.42,135.23,135.23,400.0
135.4019,135.41,135.33,135.41,700.0
135.42,135.44,135.42,135.44,300.0
135.46,135.46,135.38,135.41,1226.0
135.5,135.65,135.44,135.46,3600.0
135.405,135.53,135.405,135.5,1700.0
135.4101,135.52,135.4101,135.47,1000.0
135.53,135.53,135.41,135.41,1414.0
135.49,135.53,135.49,135.53,300.0
135.51,135.53,135.5,135.53,700.0
135.36,135.505,135.36,135.505,1800.0
135.46,135.46,135.38,135.41,600.0
135.51,135.51,135.4725,135.4725,650.0
135.33,135.48,135.33,135.48,400.0
135.46,135.46,135.43,135.43,200.0
135.34,135.34,135.34,135.34,200.0
135.16,135.16,135.16,135.16,100.0
135.07,135.2,135.07,135.07,1112.0
135.26,135.26,135.155,135.17,400.0
135.275,135.31,135.27,135.27,600.0
135.35,135.35,135.2946,135.2946,208.0
135.33,135.33,135.33,135.33,200.0
135.57,135.57,135.57,135.57,100.0
135.34,135.37,135.3,135.37,500.0
135.4,135.4,135.36,135.36,400.0
135.4184,135.4184,135.4184,135.4184,360.0
135.33,135.33,135.33,135.33,400.0
135.31,135.31,135.31,135.31,200.0
135.42,135.42,135.33,135.33,300.0
135.36,135.38,135.36,135.38,300.0
135.23,135.24,135.23,135.24,500.0
135.31,135.31,135.31,135.31,100.0
135.26,135.39,135.26,135.3,400.0
135.37,135.38,135.32,135.38,500.0
135.43,135.43,135.33,135.33,200.0
135.535,135.535,135.38,135.38,1100.0
135.48,135.48,135.48,135.48,300.0
135.42,135.42,135.36,135.39,1902.0
135.5,135.55,135.43,135.45,1600.0
135.5,135.55,135.48,135.5,4126.0
135.505,135.505,135.46,135.46,2900.0
135.49,135.505,135.49,135.5,400.0
135.49,135.54,135.49,135.51,2295.0
135.54,135.55,135.5,135.5,4717.0
135.53,135.56,135.49,135.52,1200.0
135.49,135.57,135.49,135.57,2962.0
135.47,135.47,135.47,135.47,100.0
135.44,135.45,135.44,135.45,200.0
135.43,135.43,135.42,135.4258,650.0
135.45,135.53,135.43,135.47,4180.0
135.49,135.49,135.49,135.49,100.0
135.54,135.54,135.49,135.49,900.0
135.5,135.56,135.5,135.55,400.0
135.42,135.52,135.42,135.5,3385.0
135.44,135.44,135.4,135.4,300.0
135.39,135.4,135.39,135.4,400.0
135.37,135.39,135.37,135.39,500.0
135.43,135.49,135.43,135.49,300.0
135.48,135.49,135.48,135.49,300.0
135.47,135.47,135.42,135.42,400.0
135.44,135.47,135.41,135.47,600.0
135.4264,135.46,135.4264,135.46,216.0
135.35,135.42,135.34,135.42,1349.0
135.33,135.33,135.33,135.33,100.0
135.41,135.41,135.33,135.33,987.0
135.43,135.43,135.41,135.43,400.0
135.42,135.42,135.42,135.42,200.0
135.36,135.36,135.36,135.36,200.0
135.28,135.32,135.28,135.32,200.0
135.25,135.25,135.25,135.25,401.0
135.35,135.35,135.24,135.24,800.0
135.34,135.34,135.32,135.32,200.0
135.27,135.27,135.25,135.25,200.0
135.22,135.25,135.215,135.25,900.0
135.125,135.2,135.09,135.2,300.0
134.97,134.98,134.96,134.98,400.0
134.96,135.0,134.96,134.98,857.0
134.925,134.96,134.925,134.96,700.0
134.95,134.97,134.86,134.86,400.0
134.95,134.95,134.95,134.95,100.0
135.0,135.0,135.0,135.0,100.0
134.97,134.97,134.97,134.97,200.0
134.97,134.98,134.92,134.92,400.0
134.86,134.86,134.86,134.86,100.0
134.85,134.85,134.85,134.85,100.0
134.85,134.895,134.85,134.86,500.0
134.93,134.96,134.92,134.96,600.0
134.93,134.93,134.93,134.93,300.0
134.99,134.99,134.96,134.96,200.0
134.94,134.985,134.94,134.98,700.0
134.97,134.98,134.955,134.955,1254.0
134.97,134.98,134.95,134.975,900.0
134.96,135.0,134.95,134.98,1527.0
134.9,134.985,134.89,134.97,1200.0
134.96,134.975,134.92,134.92,1200.0
134.96,135.02,134.96,135.01,500.0
135.08,135.08,135.08,135.08,100.0
135.05,135.05,135.05,135.05,100.0
135.13,135.13,135.13,135.13,100.0
135.14,135.14,135.14,135.14,500.0
135.26,135.26,135.25,135.25,300.0
135.23,135.265,135.23,135.26,600.0
135.28,135.28,135.2,135.2,400.0
135.37,135.37,135.27,135.27,200.0
135.28,135.34,135.26,135.34,400.0
135.37,135.37,135.31,135.33,300.0
135.4,135.41,135.4,135.41,200.0
135.455,135.455,135.37,135.37,400.0
135.4,135.44,135.4,135.43,900.0
135.44,135.445,135.4,135.41,800.0
135.45,135.475,135.41,135.41,400.0
135.4,135.42,135.4,135.42,300.0
135.42,135.42,135.38,135.38,500.0
135.35,135.35,135.35,135.35,200.0
135.334,135.35,135.29,135.35,738.0
135.31,135.31,135.31,135.31,200.0
135.37,135.37,135.31,135.31,750.0
135.36,135.44,135.36,135.39,900.0
135.4,135.4,135.36,135.36,435.0
135.38,135.41,135.38,135.38,400.0
135.38,135.3917,135.38,135.3917,574.0
135.45,135.45,135.3925,135.41,600.0
135.5,135.54,135.46,135.46,1600.0
135.525,135.525,135.525,135.525,100.0
135.51,135.51,135.49,135.49,300.0
135.49,135.51,135.49,135.51,400.0
135.5,135.54,135.47,135.47,2990.0
135.44,135.5,135.44,135.45,600.0
135.46,135.49,135.45,135.45,700.0
135.48,135.49,135.44,135.49,300.0
135.41,135.44,135.41,135.42,300.0
135.4625,135.4625,135.4,135.4,319.0
135.465,135.465,135.465,135.465,100.0
135.44,135.48,135.44,135.48,500.0
135.42,135.43,135.41,135.43,400.0
135.51,135.51,135.43,135.43,1034.0
135.49,135.49,135.49,135.49,100.0
135.42,135.42,135.42,135.42,100.0
135.45,135.49,135.45,135.49,300.0
135.5,135.5,135.49,135.49,536.0
135.5,135.54,135.5,135.53,1400.0
135.5,135.535,135.5,135.5,300.0
135.52,135.52,135.48,135.52,900.0
135.47,135.51,135.47,135.5,600.0
135.51,135.51,135.46,135.46,800.0
135.48,135.48,135.42,135.42,600.0
