Open,High,Low,Close,Volume
68.16,68.16,68.16,68.16,12159.0
68.27,68.27,68.27,68.27,100.0
68.306,68.306,68.306,68.306,800.0
68.32,68.32,68.195,68.28,553.0
68.49,68.49,68.24,68.29,8346.0
68.34,68.5,68.34,68.3901,6355.0
68.28,68.33,68.26,68.28,2800.0
68.23,68.23,68.23,68.23,100.0
68.25,68.28,68.25,68.27,2393.0
68.28,68.3,68.25,68.25,1854.0
68.24,68.3,68.22,68.3,2790.0
68.25,68.28,68.22,68.24,2900.0
68.23,68.24,68.22,68.22,900.0
68.26,68.26,68.23,68.23,1200.0
68.2,68.28,68.2,68.26,3849.0
68.18,68.2,68.18,68.2,1500.0
68.2,68.2,68.2,68.2,1087.0
68.193,68.2,68.193,68.2,300.0
68.12,68.18,68.12,68.18,15140.0
68.09,68.14,68.09,68.14,2400.0
68.12,68.14,68.11,68.115,6017.0
68.16,68.175,68.14,68.14,2300.0
68.14,68.15,68.14,68.14,2690.0
68.12,68.15,68.12,68.15,3300.0
68.09,68.13,68.09,68.13,1268.0
68.07,68.11,68.06,68.11,2502.0
68.06,68.08,68.04,68.06,4023.0
68.0696,68.0696,68.0696,68.0696,200.0
68.15,68.1732,68.06,68.06,3140.0
68.21,68.2205,68.15,68.15,4320.0
68.2101,68.235,68.2101,68.215,3963.0
68.18,68.22,68.18,68.22,1408.0
68.22,68.22,68.17,68.17,3000.0
68.26,68.26,68.25,68.25,600.0
68.2,68.25,68.17,68.25,2308.0
68.19,68.2,68.1701,68.1701,962.0
68.14,68.19,68.12,68.17,4242.0
68.13,68.14,68.11,68.125,2500.0
68.08,68.13,68.08,68.1,4302.0
68.05,68.08,68.05,68.08,5965.0
68.07,68.08,68.05,68.05,5600.0
68.03,68.08,68.03,68.07,4582.0
67.99,68.015,67.99,68.01,2695.0
67.93,67.97,67.92,67.97,6538.0
67.96,67.96,67.92,67.92,1315.0
67.96,67.98,67.96,67.97,2597.0
67.9562,67.9562,67.9562,67.9562,777.0
67.89,67.95,67.88,67.95,3816.0
67.88,67.88,67.88,67.88,300.0
67.88,67.89,67.87,67.88,3187.0
67.84,67.875,67.82,67.875,4903.0
67.84,67.87,67.84,67.84,4101.0
67.87,67.87,67.84,67.84,2200.0
67.845,67.87,67.835,67.87,2135.0
67.82,67.83,67.79,67.83,5718.0
67.84,67.85,67.84,67.85,1490.0
67.81,67.8325,67.8,67.83,5965.0
67.76,67.81,67.75,67.8,5551.0
67.78,67.79,67.75,67.77,3700.0
67.78,67.8,67.775,67.8,3833.0
67.79,67.81,67.79,67.8,2473.0
67.81,67.82,67.79,67.8,4400.0
67.87,67.88,67.82,67.83,2962.0
67.85,67.88,67.85,67.88,4400.0
67.83,67.85,67.83,67.85,4901.0
67.78,67.84,67.78,67.84,9817.0
67.79,67.79,67.75,67.7798,8500.0
67.74,67.79,67.74,67.79,2900.0
67.75,67.76,67.74,67.76,1530.0
67.66,67.74,67.66,67.74,18080.0
67.68,67.71,67.66,67.67,10087.0
67.68,67.68,67.62,67.66,8100.0
67.62,67.7,67.62,67.68,10051.0
67.63,67.64,67.59,67.63,8138.0
