Open,High,Low,Close,Volume
93.12,93.15,92.85,93.15,16980.0
93.15,93.15,92.91,93.09,2175.0
93.0,93.15,93.0,93.14,2323.0
93.16,93.2,93.1,93.1,2300.0
93.03,93.14,93.0,93.13,3868.0
93.12,93.15,93.07,93.07,6700.0
92.98,93.14,92.98,93.14,2900.0
93.06,93.06,92.99,92.99,3400.0
93.13,93.13,93.06,93.06,1444.0
93.13,93.13,93.084,93.084,600.0
92.98,93.12,92.98,93.12,800.0
92.97,93.01,92.92,93.01,3233.0
92.96,92.96,92.8985,92.925,600.0
93.04,93.04,92.96,92.96,1061.0
93.0316,93.05,93.0316,93.04,1235.0
92.99,93.02,92.96,93.02,1500.0
93.0,93.01,92.92,92.94,1813.0
92.978,92.978,92.978,92.978,100.0
93.01,93.015,93.01,93.015,305.0
92.96,92.99,92.94,92.99,1500.0
92.943,92.943,92.9,92.93,757.0
92.88,92.89,92.85,92.89,500.0
92.8009,92.83,92.8009,92.83,1031.0
92.91,92.91,92.81,92.81,1916.0
92.94,92.97,92.94,92.97,200.0
93.03,93.03,92.95,92.95,1320.0
93.04,93.04,93.0122,93.0122,3670.0
92.99,92.99,92.97,92.99,957.0
93.04,93.17,92.95,92.95,8749.0
93.015,93.022,92.996,93.02,2097.0
93.14,93.14,93.01,93.01,2767.0
93.17,93.17,93.1424,93.15,503.0
93.145,93.17,93.145,93.17,300.0
93.27,93.27,93.17,93.17,2100.0
93.17,93.23,93.17,93.23,2829.0
93.18,93.18,93.12,93.16,1346.0
93.16,93.17,93.16,93.17,300.0
93.24,93.24,93.125,93.15,2745.0
93.25,93.25,93.2,93.2,1197.0
93.29,93.32,93.28,93.28,2500.0
93.2628,93.32,93.2628,93.32,1500.0
93.27,93.27,93.26,93.26,650.0
93.32,93.34,93.28,93.28,5503.0
93.315,93.33,93.315,93.325,785.0
93.38,93.38,93.29,93.29,2333.0
93.49,93.49,93.4,93.4073,1097.0
93.59,93.59,93.49,93.49,1500.0
93.6,93.62,93.6,93.62,400.0
93.57,93.615,93.55,93.615,3916.0
93.5,93.5625,93.49,93.54,2741.0
93.425,93.425,93.425,93.425,100.0
93.41,93.43,93.41,93.425,300.0
93.49,93.49,93.4,93.41,3919.0
93.52,93.52,93.509,93.51,1700.0
93.535,93.535,93.53,93.53,400.0
93.58,93.595,93.53,93.53,23801.0
93.58,93.6524,93.58,93.62,1115.0
93.5805,93.6,93.5779,93.58,1624.0
93.41,93.5105,93.41,93.5,1160.0
93.4,93.43,93.4,93.41,1300.0
93.4,93.45,93.39,93.39,2393.0
93.3996,93.3996,93.3996,93.3996,375.0
93.34,93.38,93.34,93.37,900.0
93.31,93.35,93.31,93.32,2316.0
93.26,93.32,93.26,93.29,593.0
93.22,93.25,93.18,93.23,3100.0
93.24,93.24,93.2,93.2,300.0
93.24,93.28,93.21,93.22,4395.0
93.24,93.27,93.2206,93.2206,1158.0
93.21,93.22,93.2,93.2,500.0
93.17,93.19,93.15,93.19,1160.0
93.13,93.175,93.13,93.1722,739.0
93.12,93.14,93.11,93.12,700.0
93.12,93.125,93.05,93.125,1740.0
93.01,93.19,93.0,93.05,14155.0
93.015,93.03,92.99,93.0,3200.0
93.15,93.15,93.0,93.04,3557.0
93.0379,93.14,93.01,93.13,10151.0
93.0,93.07,93.0,93.02,7300.0
93.09,93.09,93.01,93.01,4204.0
93.03,93.09,93.0,93.075,4888.0
93.069,93.07,93.04,93.07,347.0
93.0,93.04,93.0,93.04,1350.0
