Open,High,Low,Close,Volume
30.79,30.79,30.79,30.79,1100.0
30.73,30.79,30.73,30.79,32744.0
30.61,30.835,30.6,30.835,11949.0
30.46,30.65,30.42,30.64,39771.0
30.665,30.74,30.49,30.51,9345.0
30.67,30.7,30.61,30.65,5601.0
30.59,30.705,30.57,30.67,6470.0
30.64,30.7,30.6,30.6,9418.0
30.61,30.62,30.585,30.62,1500.0
30.65,30.67,30.619,30.619,4600.0
30.75,30.75,30.63,30.63,2251.0
30.71,30.77,30.69,30.735,11710.0
30.7025,30.72,30.68,30.72,5500.0
30.86,30.87,30.6848,30.6848,17848.0
30.79,30.88,30.79,30.8612,9650.0
30.8,30.84,30.79,30.8,103603.0
30.79,30.81,30.79,30.79,3906.0
30.79,30.82,30.79,30.81,911.0
30.8,30.81,30.72,30.8,19476.0
30.79,30.83,30.78,30.79,5803.0
30.82,30.83,30.815,30.82,2238.0
30.9,30.91,30.85,30.85,3264.0
30.93,30.93,30.92,30.9234,1500.0
30.917,30.93,30.86,30.91,7950.0
30.95,30.97,30.91,30.91,3920.0
30.92,30.98,30.86,30.98,16582.0
30.86,30.99,30.84,30.9,23147.0
30.88,30.88,30.88,30.88,600.0
30.86,30.87,30.7925,30.87,8900.0
30.8,30.87,30.8,30.87,3600.0
30.72,30.79,30.72,30.79,4937.0
30.74,30.74,30.69,30.71,5242.0
30.76,30.77,30.74,30.75,5491.0
30.82,30.83,30.76,30.76,7700.0
30.84,30.86,30.83,30.86,1200.0
30.89,30.91,30.86,30.86,800.0
30.83,30.89,30.83,30.89,8817.0
30.8,30.83,30.79,30.81,3400.0
30.79,30.82,30.76,30.81,6021.0
30.76,30.81,30.76,30.79,10699.0
30.76,30.77,30.74,30.75,6050.0
30.74,30.79,30.74,30.7795,4176.0
30.78,30.78,30.75,30.75,2400.0
30.76,30.79,30.76,30.78,3401.0
30.8,30.81,30.74,30.74,8300.0
30.85,30.85,30.81,30.81,2200.0
30.85,30.87,30.84,30.85,9208.0
30.87,30.87,30.85,30.85,3365.0
30.8,30.87,30.775,30.87,41986.0
30.79,30.81,30.79,30.8,6799.0
30.74,30.79,30.74,30.79,2000.0
30.72,30.75,30.72,30.73,6247.0
30.75,30.75,30.73,30.73,4467.0
30.74,30.77,30.74,30.76,3297.0
30.75,30.75,30.735,30.74,9236.0
30.8,30.81,30.76,30.76,4624.0
30.775,30.8,30.771,30.795,6400.0
30.78,30.78,30.7638,30.77,3390.0
30.76,30.77,30.745,30.77,6997.0
30.775,30.775,30.75,30.77,2346.0
30.79,30.83,30.78,30.78,5700.0
30.81,30.81,30.79,30.8,6400.0
30.79,30.81,30.78,30.81,2840.0
30.7776,30.8,30.775,30.78,11000.0
30.78,30.8,30.77,30.779,14850.0
30.81,30.82,30.77,30.78,6539.0
30.77,30.82,30.77,30.8,3828.0
30.78,30.8,30.775,30.775,5972.0
30.78,30.79,30.77,30.78,4127.0
30.82,30.82,30.77,30.78,8775.0
30.8,30.83,30.75,30.82,98347.0
30.77,30.79,30.77,30.79,15222.0
30.75,30.775,30.75,30.77,6069.0
30.74,30.75,30.72,30.745,5089.0
30.76,30.76,30.715,30.73,19976.0
30.77,30.8,30.77,30.77,5731.0
30.78,30.79,30.76,30.79,3799.0
30.805,30.81,30.79,30.79,3600.0
30.79,30.82,30.79,30.81,3100.0
30.78,30.79,30.78,30.79,3737.0
30.775,30.775,30.77,30.77,400.0
30.72,30.77,30.72,30.77,4050.0
30.69,30.72,30.69,30.72,3564.0
30.69,30.72,30.68,30.69,10500.0
30.71,30.725,30.6925,30.6925,6100.0
30.77,30.77,30.725,30.725,4700.0
30.81,30.81,30.7501,30.77,6446.0
30.785,30.83,30.78,30.82,8301.0
30.74,30.785,30.74,30.77,5600.0
30.74,30.74,30.7315,30.735,1200.0
30.75,30.75,30.74,30.74,2900.0
30.74,30.765,30.74,30.765,5733.0
30.74,30.74,30.73,30.735,3190.0
30.78,30.78,30.74,30.75,4018.0
30.775,30.79,30.77,30.77,5245.0
30.755,30.785,30.755,30.7714,4363.0
30.76,30.77,30.755,30.76,7429.0
30.75,30.76,30.73,30.76,16200.0
30.764,30.77,30.75,30.755,3800.0
30.78,30.79,30.76,30.76,6804.0
30.76,30.78,30.76,30.78,2700.0
30.78,30.79,30.755,30.76,5752.0
30.77,30.79,30.77,30.79,1100.0
30.77,30.79,30.75,30.76,5370.0
30.795,30.795,30.775,30.775,4300.0
30.81,30.81,30.79,30.79,2520.0
30.82,30.83,30.79,30.8,10309.0
30.83,30.84,30.815,30.82,2900.0
30.83,30.85,30.83,30.83,2300.0
30.83,30.8392,30.82,30.8392,4600.0
30.85,30.85,30.84,30.84,2800.0
30.82,30.83,30.82,30.83,1400.0
30.81,30.85,30.81,30.82,6344.0
30.785,30.805,30.785,30.805,24400.0
30.81,30.82,30.79,30.79,11008.0
30.8,30.81,30.79,30.81,8412.0
30.8,30.8,30.8,30.8,2125.0
30.78,30.8,30.78,30.8,4598.0
30.79,30.79,30.78,30.785,3500.0
30.76,30.78,30.75,30.78,13001.0
30.77,30.77,30.76,30.76,278.0
30.76,30.77,30.75,30.77,5075.0
30.77,30.77,30.76,30.76,1768.0
30.75,30.78,30.745,30.77,6892.0
30.76,30.76,30.75,30.75,1600.0
30.76,30.77,30.755,30.76,3529.0
30.75,30.76,30.75,30.75,4514.0
30.73,30.76,30.73,30.75,7237.0
30.735,30.74,30.71,30.72,6379.0
30.725,30.735,30.72,30.73,9273.0
30.73,30.73,30.705,30.725,5514.0
30.7,30.73,30.695,30.73,7692.0
30.71,30.725,30.695,30.7,6622.0
30.72,30.735,30.695,30.71,15886.0
30.69,30.705,30.68,30.7,3500.0
30.68,30.685,30.675,30.685,5640.0
30.63,30.68,30.63,30.6775,9453.0
30.62,30.655,30.62,30.6275,10339.0
30.63,30.64,30.61,30.61,3676.0
30.6,30.62,30.595,30.62,10757.0
30.59,30.61,30.59,30.595,6656.0
30.6,30.62,30.5838,30.6,7145.0
30.64,30.64,30.595,30.595,12606.0
30.6,30.635,30.59,30.635,4929.0
30.59,30.6,30.58,30.6,1740.0
30.57,30.59,30.56,30.575,4592.0
30.59,30.6,30.57,30.57,29801.0
30.59,30.61,30.59,30.59,3350.0
30.615,30.63,30.57,30.57,11896.0
30.61,30.615,30.61,30.615,600.0
30.62,30.64,30.595,30.605,30699.0
30.62,30.63,30.58,30.62,37150.0
30.62,30.66,30.62,30.63,9674.0
30.6534,30.66,30.62,30.625,1250.0
30.63,30.665,30.63,30.655,3559.0
30.66,30.66,30.61,30.62,2405.0
30.67,30.68,30.64,30.67,5047.0
30.69,30.7,30.66,30.67,6078.0
30.715,30.72,30.685,30.685,5157.0
30.71,30.72,30.7,30.715,4403.0
30.68,30.72,30.68,30.71,3100.0
30.715,30.715,30.69,30.69,1000.0
30.73,30.73,30.715,30.715,6212.0
30.75,30.75,30.74,30.74,3044.0
