Open,High,Low,Close,Volume
36.47,36.61,36.44,36.55,6398.0
36.43,36.48,36.43,36.46,15026.0
36.34,36.43,36.34,36.43,7287.0
36.31,36.36,36.3,36.351,4172.0
36.38,36.42,36.3,36.3,14133.0
36.34,36.36,36.29,36.36,11949.0
36.33,36.35,36.3,36.32,62287.0
36.28,36.33,36.28,36.33,4240.0
36.21,36.31,36.21,36.3,11172.0
36.2101,36.25,36.2,36.23,5260.0
36.17,36.23,36.15,36.21,6910.0
36.2,36.2,36.16,36.17,5119.0
36.19,36.21,36.184,36.2,2642.0
36.17,36.2018,36.15,36.2018,4807.0
36.21,36.22,36.17,36.19,18358.0
36.19,36.205,36.18,36.205,3140.0
36.19,36.19,36.17,36.19,2000.0
36.12,36.19,36.12,36.18,3487.0
36.1,36.14,36.1,36.14,45546.0
36.12,36.14,36.11,36.11,9499.0
36.125,36.125,36.1,36.12,15281.0
36.11,36.13,36.11,36.12,8285.0
36.14,36.14,36.1,36.105,15200.0
36.13,36.15,36.12,36.15,12223.0
36.12,36.125,36.09,36.125,24338.0
36.11,36.12,36.1,36.1,59624.0
36.1001,36.12,36.1,36.1,13022.0
36.05,36.105,36.05,36.1,31186.0
36.02,36.05,36.01,36.05,7438.0
35.92,36.02,35.92,36.02,34093.0
35.76,35.91,35.76,35.91,44382.0
35.76,35.79,35.76,35.77,8420.0
35.79,35.79,35.75,35.755,14554.0
35.87,35.87,35.79,35.795,19040.0
35.88,35.92,35.87,35.87,4801.0
35.855,35.88,35.835,35.88,9580.0
35.87,35.87,35.855,35.855,4472.0
35.815,35.86,35.795,35.86,13464.0
35.78,35.82,35.77,35.815,28667.0
35.86,35.86,35.77,35.78,50317.0
35.92,35.92,35.86,35.86,5574.0
35.94,35.96,35.91,35.92,12205.0
35.91,35.94,35.91,35.94,6586.0
35.853,35.9,35.85,35.899,8900.0
35.75,35.83,35.74,35.83,35479.0
35.695,35.77,35.69,35.755,10433.0
35.75,35.76,35.69,35.695,13514.0
35.785,35.79,35.76,35.76,28448.0
35.79,35.796,35.78,35.785,20733.0
35.79,35.81,35.79,35.795,4381.0
35.8,35.81,35.79,35.79,4100.0
35.81,35.81,35.775,35.79,38163.0
35.84,35.8499,35.8,35.81,26684.0
35.89,35.9,35.84,35.84,4300.0
35.85,35.88,35.825,35.87,8002.0
35.79,35.875,35.79,35.85,30162.0
35.81,35.82,35.78,35.78,6864.0
35.8,35.815,35.74,35.79,49614.0
35.79,35.815,35.76,35.79,45129.0
35.76,35.8,35.74,35.78,31297.0
35.77,35.785,35.72,35.77,42667.0
35.78,35.78,35.75,35.765,29138.0
35.75,35.8,35.75,35.78,7456.0
35.72,35.75,35.715,35.74,31267.0
35.73,35.74,35.71,35.725,63952.0
35.755,35.76,35.7299,35.73,21729.0
35.79,35.7901,35.74,35.75,23495.0
35.775,35.79,35.775,35.785,8378.0
35.76,35.775,35.75,35.77,7361.0
35.7637,35.79,35.72,35.75,52975.0
35.785,35.8,35.76,35.765,14829.0
35.82,35.82,35.79,35.79,8907.0
35.81,35.83,35.81,35.82,13959.0
35.8,35.82,35.79,35.815,7687.0
35.78,35.8,35.76,35.8,6706.0
35.78,35.79,35.75,35.77,20847.0
35.775,35.78,35.76,35.78,8951.0
35.79,35.79,35.77,35.78,19508.0
35.75,35.785,35.72,35.78,40698.0
35.7,35.75,35.7,35.75,19436.0
