Open,High,Low,Close,Volume
49.38,49.38,49.38,49.38,16621.0
49.52,49.54,49.466,49.466,5900.0
49.365,49.45,49.32,49.45,50800.0
49.4,49.4,49.4,49.4,500.0
49.42,49.42,49.35,49.35,5550.0
49.49,49.49,49.38,49.38,4600.0
49.45,49.49,49.44,49.48,6957.0
49.51,49.51,49.42,49.4799,1761.0
49.5,49.52,49.49,49.51,6294.0
49.53,49.53,49.49,49.49,2700.0
49.62,49.62,49.53,49.53,8024.0
49.65,49.66,49.64,49.65,6068.0
49.62,49.65,49.61,49.65,3123.0
49.63,49.63,49.6048,49.6048,7722.0
49.63,49.66,49.62,49.65,11269.0
49.66,49.67,49.59,49.62,2900.0
49.67,49.67,49.64,49.66,7200.0
49.65,49.67,49.65,49.66,3300.0
49.68,49.69,49.67,49.68,1800.0
49.68,49.71,49.66,49.68,5495.0
49.67,49.68,49.67,49.68,2762.0
49.75,49.75,49.68,49.68,5209.0
49.82,49.82,49.75,49.75,10366.0
49.82,49.845,49.81,49.82,7400.0
49.81,49.84,49.81,49.83,8194.0
49.79,49.82,49.78,49.82,6977.0
49.8,49.81,49.79,49.8,8100.0
49.81,49.81,49.77,49.79,4200.0
49.81,49.81,49.78,49.81,2742.0
49.8,49.81,49.79,49.8,3341.0
49.75,49.81,49.74,49.81,3280.0
49.7,49.76,49.68,49.76,4545.0
49.7,49.72,49.69,49.7,3886.0
49.75,49.75,49.69,49.69,2242.0
49.75,49.75,49.72,49.74,3710.0
49.73,49.74,49.73,49.73,1711.0
49.7,49.73,49.69,49.73,2608.0
49.67,49.69,49.67,49.69,1600.0
49.72,49.72,49.67,49.67,4050.0
49.72,49.73,49.72,49.72,2700.0
49.73,49.73,49.73,49.73,1166.0
49.69,49.72,49.69,49.72,1500.0
49.69,49.69,49.67,49.69,3185.0
49.705,49.71,49.69,49.695,3841.0
49.69,49.7,49.69,49.7,1963.0
49.68,49.69,49.675,49.68,900.0
49.66,49.68,49.65,49.68,3842.0
49.66,49.67,49.65,49.67,2442.0
