Open,High,Low,Close,Volume
80.9,81.12,80.9,81.12,12851.0
80.78,80.95,80.78,80.95,2090.0
80.72,80.72,80.62,80.62,240.0
80.66,80.66,80.66,80.66,200.0
80.71,80.77,80.71,80.745,400.0
80.8,80.83,80.73,80.76,3100.0
80.87,80.87,80.87,80.87,100.0
80.75,80.77,80.75,80.77,200.0
80.8286,80.84,80.82,80.82,1760.0
80.84,80.84,80.79,80.82,2300.0
80.87,80.87,80.84,80.85,700.0
80.86,80.89,80.86,80.89,800.0
80.81,80.91,80.78,80.91,2800.0
80.81,80.85,80.81,80.82,500.0
80.79,80.79,80.79,80.79,200.0
80.84,80.84,80.81,80.81,800.0
80.86,80.88,80.83,80.85,1300.0
80.79,80.84,80.79,80.84,600.0
80.73,80.82,80.73,80.81,1106.0
80.77,80.77,80.725,80.73,780.0
80.77,80.776,80.77,80.776,350.0
80.77,80.79,80.77,80.79,900.0
80.799,80.799,80.799,80.799,100.0
80.85,80.86,80.82,80.82,2521.0
80.85,80.85,80.85,80.85,100.0
80.85,80.86,80.85,80.86,400.0
80.93,80.93,80.86,80.86,1739.0
80.88,80.92,80.88,80.92,603.0
80.84,80.87,80.84,80.87,2000.0
80.82,80.84,80.82,80.84,300.0
80.73,80.8,80.73,80.8,700.0
80.75,80.77,80.71,80.71,1400.0
80.79,80.8,80.74,80.76,2200.0
80.76,80.76,80.76,80.76,100.0
80.73,80.73,80.7,80.72,1100.0
80.72,80.72,80.69,80.69,300.0
80.66,80.72,80.66,80.71,1800.0
80.68,80.68,80.68,80.68,322.0
80.679,80.679,80.679,80.679,100.0
80.74,80.74,80.68,80.68,2100.0
80.73,80.74,80.7,80.711,1243.0
80.79,80.79,80.74,80.74,700.0
80.83,80.83,80.8,80.8,200.0
80.86,80.86,80.85,80.85,700.0
80.84,80.85,80.81,80.84,2200.0
80.87,80.87,80.85,80.85,700.0
80.82,80.86,80.82,80.86,300.0
80.79,80.79,80.79,80.79,200.0
80.76,80.76,80.76,80.76,100.0
80.72,80.75,80.72,80.75,200.0
80.71,80.71,80.71,80.71,200.0
80.74,80.74,80.74,80.74,100.0
80.7,80.75,80.7,80.75,944.0
80.7,80.7,80.7,80.7,200.0
80.68,80.68,80.67,80.67,500.0
80.64,80.64,80.64,80.64,100.0
80.66,80.67,80.62,80.64,13065.0
80.68,80.68,80.665,80.665,5784.0
80.66,80.675,80.66,80.675,700.0
80.67,80.67,80.65,80.65,400.0
80.681,80.7,80.67,80.67,600.0
80.663,80.684,80.66,80.68,4200.0
80.66,80.66,80.66,80.66,200.0
80.652,80.652,80.65,80.652,4500.0
80.59,80.654,80.59,80.65,2498.0
80.6,80.6,80.59,80.59,900.0
80.6,80.64,80.6,80.6,600.0
80.66,80.66,80.66,80.66,200.0
80.67,80.67,80.67,80.67,800.0
80.64,80.67,80.64,80.67,1180.0
80.64,80.66,80.64,80.64,600.0
80.66,80.66,80.66,80.66,100.0
80.67,80.68,80.67,80.67,713.0
80.65,80.66,80.65,80.66,500.0
80.63,80.63,80.63,80.63,185.0
80.63,80.63,80.63,80.63,200.0
80.64,80.645,80.63,80.63,1300.0
80.61,80.64,80.61,80.64,1368.0
80.63,80.63,80.6069,80.6069,901.0
80.64,80.64,80.64,80.64,168.0
80.62,80.62,80.61,80.61,300.0
80.694,80.694,80.63,80.63,2197.0
80.7,80.7,80.7,80.7,1057.0
80.68,80.69,80.68,80.69,500.0
80.64,80.67,80.64,80.67,1300.0
80.69,80.69,80.64,80.64,2099.0
80.67,80.68,80.67,80.68,400.0
80.6,80.64,80.6,80.64,2290.0
80.55,80.58,80.54,80.58,600.0
80.5542,80.555,80.5542,80.555,245.0
80.5,80.54,80.5,80.53,1000.0
80.48,80.48,80.48,80.48,100.0
80.51,80.52,80.49,80.5,1300.0
80.52,80.52,80.51,80.51,400.0
80.54,80.54,80.54,80.54,200.0
80.54,80.54,80.53,80.54,800.0
80.55,80.55,80.55,80.55,300.0
80.57,80.57,80.57,80.57,100.0
80.54,80.57,80.53,80.57,1775.0
80.4757,80.51,80.4757,80.51,1238.0
80.4899,80.4899,80.4899,80.4899,132.0
80.43,80.46,80.43,80.44,300.0
80.45,80.47,80.45,80.47,400.0
80.44,80.45,80.44,80.45,500.0
80.45,80.45,80.44,80.44,900.0
80.44,80.45,80.42,80.43,1600.0
80.41,80.41,80.41,80.41,400.0
80.417,80.417,80.41,80.41,200.0
80.44,80.44,80.4,80.4,1200.0
80.43,80.43,80.43,80.43,200.0
80.43,80.43,80.43,80.43,100.0
80.46,80.46,80.45,80.45,500.0
80.46,80.46,80.46,80.46,100.0
80.51,80.51,80.47,80.48,2927.0
80.515,80.53,80.515,80.53,243.0
80.55,80.55,80.54,80.54,200.0
80.5301,80.55,80.5301,80.55,951.0
80.5599,80.5599,80.5599,80.5599,103.0
80.54,80.54,80.53,80.531,1300.0
