Open,High,Low,Close,Volume
38.0,38.0,38.0,38.0,26310.0
37.93,38.0,37.9,37.96,9785.0
38.12,38.13,37.93,37.93,3771.0
38.141,38.17,38.12,38.12,3320.0
38.19,38.23,38.135,38.15,8050.0
38.285,38.33,38.19,38.19,11930.0
38.32,38.37,38.28,38.3,46019.0
38.44,38.44,38.31,38.31,9923.0
38.34,38.43,38.33,38.43,13388.0
38.5,38.5,38.36,38.36,8857.0
38.39,38.48,38.38,38.48,17367.0
38.36,38.375,38.34,38.375,17189.0
38.27,38.36,38.26,38.36,8051.0
38.35,38.35,38.24,38.27,11185.0
38.3,38.33,38.245,38.33,3812.0
38.35,38.35,38.31,38.31,1100.0
38.35,38.36,38.29,38.33,5715.0
38.35,38.35,38.31,38.35,5347.0
38.42,38.42,38.35,38.35,5482.0
38.3,38.42,38.3,38.42,6100.0
38.45,38.45,38.3,38.3,8918.0
38.42,38.45,38.39,38.45,8312.0
38.44,38.45,38.41,38.43,8727.0
38.39,38.46,38.38,38.44,6176.0
38.41,38.42,38.38,38.4,2995.0
38.44,38.45,38.39,38.405,33600.0
38.45,38.45,38.44,38.445,6506.0
38.53,38.565,38.45,38.45,34662.0
38.57,38.57,38.525,38.525,6658.0
38.63,38.63,38.57,38.57,7437.0
38.67,38.68,38.61,38.62,15035.0
38.62,38.66,38.56,38.65,12277.0
38.63,38.645,38.61,38.62,2802.0
38.62,38.63,38.58,38.63,15968.0
38.67,38.67,38.6,38.62,50011.0
38.72,38.75,38.66,38.665,28175.0
38.72,38.74,38.71,38.735,12584.0
38.7,38.725,38.69,38.71,13413.0
38.7,38.7,38.68,38.695,7398.0
38.75,38.77,38.7,38.7,42134.0
38.81,38.81,38.7497,38.75,29742.0
38.85,38.86,38.8089,38.82,11604.0
38.76,38.85,38.7303,38.84,19577.0
38.75,38.76,38.7425,38.76,14625.0
38.7101,38.75,38.71,38.75,15159.0
38.74,38.75,38.72,38.72,8134.0
38.75,38.77,38.73,38.74,26925.0
38.77,38.78,38.76,38.76,7901.0
38.8199,38.82,38.77,38.78,5454.0
38.8399,38.8499,38.82,38.82,13443.0
38.8399,38.84,38.77,38.835,13454.0
38.78,38.83,38.78,38.83,7316.0
38.7899,38.79,38.72,38.775,21624.0
38.77,38.79,38.764,38.78,5751.0
38.755,38.7699,38.75,38.765,4800.0
38.76,38.79,38.725,38.755,34587.0
38.8,38.8,38.74,38.755,10258.0
38.84,38.86,38.8,38.8,8901.0
38.83,38.84,38.81,38.835,19418.0
