Open,High,Low,Close,Volume
195.46,195.46,195.46,195.46,2665.0
194.7,194.7,194.7,194.7,300.0
194.96,195.385,194.96,195.385,200.0
194.9,194.9,194.56,194.71,1250.0
194.81,194.81,194.81,194.81,100.0
194.88,194.88,194.83,194.83,400.0
195.7099,195.7099,195.7099,195.7099,110.0
195.155,195.155,195.155,195.155,100.0
195.43,195.43,195.43,195.43,100.0
195.65,195.65,195.65,195.65,100.0
195.565,195.565,195.565,195.565,104.0
195.5,195.505,195.48,195.505,300.0
195.67,195.67,195.67,195.67,100.0
195.68,195.68,195.65,195.65,300.0
195.8014,195.8014,195.8014,195.8014,363.0
195.96,195.96,195.96,195.96,100.0
195.86,196.25,195.86,195.99,800.0
195.914,196.05,195.914,196.02,600.0
195.87,196.02,195.87,195.9,3000.0
195.65,195.88,195.62,195.88,1896.0
195.4,195.67,195.27,195.67,2880.0
195.35,195.35,195.35,195.35,100.0
195.22,195.22,195.16,195.16,200.0
194.785,195.127,194.785,195.127,2600.0
194.59,194.76,194.59,194.76,500.0
194.72,194.72,194.72,194.72,100.0
194.4,194.56,194.4,194.56,500.0
194.27,194.27,194.27,194.27,100.0
194.3,194.3,194.26,194.26,200.0
194.36,194.36,194.3,194.3,740.0
194.18,194.33,194.05,194.33,2175.0
194.01,194.21,194.01,194.21,300.0
194.01,194.01,194.01,194.01,401.0
194.33,194.33,194.11,194.11,2020.0
194.25,194.25,194.25,194.25,100.0
194.33,194.33,194.24,194.25,440.0
194.17,194.17,194.1501,194.1501,691.0
194.45,194.45,194.39,194.39,600.0
194.56,194.56,194.56,194.56,100.0
194.56,194.56,194.465,194.55,300.0
194.6,194.6,194.6,194.6,100.0
194.66,194.66,194.53,194.53,701.0
194.28,194.53,194.28,194.53,400.0
194.335,194.45,194.29,194.38,2100.0
194.3,194.3,194.3,194.3,100.0
194.18,194.21,194.18,194.21,300.0
194.18,194.18,194.07,194.07,200.0
194.135,194.135,194.135,194.135,100.0
194.17,194.23,194.11,194.11,1600.0
194.25,194.25,194.16,194.16,300.0
194.15,194.15,194.15,194.15,100.0
194.03,194.09,194.03,194.09,300.0
193.72,193.91,193.72,193.91,400.0
193.735,193.77,193.69,193.69,1500.0
193.74,193.74,193.74,193.74,200.0
193.715,193.715,193.715,193.715,100.0
194.04,194.04,193.79,193.85,500.0
194.05,194.05,194.05,194.05,100.0
193.92,193.96,193.92,193.96,500.0
193.87,193.87,193.87,193.87,100.0
193.79,193.87,193.79,193.87,200.0
194.0,194.0,193.85,193.905,700.0
193.85,193.85,193.85,193.85,100.0
193.74,193.82,193.74,193.82,600.0
193.82,193.82,193.8,193.8,400.0
193.8,193.85,193.8,193.85,600.0
193.69,193.82,193.69,193.82,600.0
193.755,193.77,193.68,193.68,900.0
193.82,193.82,193.77,193.82,400.0
193.725,193.805,193.64,193.78,1600.0
193.57,193.71,193.56,193.71,1200.0
193.74,193.74,193.54,193.54,300.0
193.75,193.76,193.74,193.74,900.0
193.94,193.955,193.75,193.75,2300.0
193.91,193.925,193.83,193.9,700.0
194.0,194.0,193.99,193.99,400.0
194.01,194.06,194.01,194.05,400.0
194.09,194.21,193.98,194.105,2795.0
194.04,194.04,194.04,194.04,400.0
194.03,194.03,194.03,194.03,100.0
193.96,194.05,193.88,194.05,700.0
194.01,194.03,193.94,193.94,1000.0
194.01,194.05,193.98,194.05,1000.0
194.085,194.085,194.085,194.085,100.0
