Open,High,Low,Close,Volume
168.0,168.06,167.77,168.06,741277.0
167.4,168.06,167.39,167.81,7281.0
167.35,167.53,167.26,167.41,11650.0
167.24,167.455,167.08,167.455,3163.0
167.6497,167.77,167.24,167.24,2900.0
167.57,167.67,167.4,167.63,5380.0
167.5,167.67,167.42,167.575,8457.0
167.8,167.8,167.54,167.54,14429.0
167.8,167.85,167.67,167.75,15259.0
167.77,167.83,167.74,167.77,5960.0
167.87,167.87,167.75,167.75,3190.0
168.01,168.01,167.9002,167.9002,3332.0
167.7775,168.06,167.7501,167.965,9224.0
167.58,167.805,167.5,167.75,6429.0
167.6,167.61,167.36,167.53,6840.0
167.59,167.66,167.39,167.607,4341.0
167.725,167.725,167.5925,167.6,1291.0
167.82,167.82,167.73,167.73,2178.0
167.74,167.795,167.68,167.76,6328.0
167.61,167.71,167.53,167.7094,2152.0
167.65,167.66,167.53,167.53,1062.0
167.38,167.58,167.38,167.58,6080.0
167.39,167.46,167.32,167.38,3085.0
167.425,167.53,167.41,167.44,1547.0
167.6,167.6,167.395,167.42,2860.0
167.59,167.72,167.54,167.62,4800.0
167.52,167.64,167.47,167.6012,2300.0
167.51,167.51,167.37,167.46,3815.0
167.27,167.445,167.27,167.41,800.0
167.3,167.38,167.27,167.27,1600.0
167.36,167.36,167.22,167.24,3400.0
167.34,167.455,167.26,167.39,5113.0
167.25,167.37,167.2,167.33,4177.0
167.23,167.25,167.218,167.23,1800.0
167.24,167.27,167.22,167.23,3662.0
167.27,167.271,167.2,167.21,3748.0
167.18,167.26,167.13,167.26,2700.0
167.23,167.23,167.1695,167.1695,400.0
167.23,167.23,167.19,167.225,1000.0
167.36,167.36,167.23,167.23,1300.0
167.31,167.42,167.2,167.37,6698.0
167.1692,167.27,167.1692,167.27,1223.0
167.17,167.17,167.07,167.15,7151.0
167.2,167.21,167.11,167.17,2600.0
167.2299,167.25,167.17,167.1767,3757.0
167.29,167.29,167.17,167.21,10158.0
167.27,167.325,167.27,167.31,6684.0
167.3601,167.37,167.26,167.26,1450.0
167.39,167.39,167.37,167.385,1400.0
167.43,167.43,167.409,167.409,600.0
167.489,167.49,167.43,167.45,2306.0
167.55,167.55,167.36,167.44,9757.0
167.59,167.59,167.53,167.56,1300.0
167.6,167.64,167.57,167.58,4999.0
167.51,167.66,167.49,167.63,3500.0
167.56,167.56,167.49,167.51,1600.0
167.65,167.66,167.57,167.57,2720.0
167.66,167.73,167.63,167.63,10560.0
167.73,167.73,167.63,167.67,7000.0
167.72,167.78,167.69,167.725,5779.0
167.79,167.79,167.72,167.72,3943.0
167.7,167.8,167.7,167.8,6821.0
167.71,167.73,167.685,167.685,1100.0
167.65,167.74,167.61,167.72,3100.0
167.6299,167.715,167.58,167.7,5221.0
167.595,167.61,167.57,167.61,1400.0
167.66,167.665,167.6,167.6,5399.0
167.66,167.7,167.62,167.65,11149.0
167.66,167.695,167.64,167.66,2300.0
167.68,167.68,167.61,167.66,2320.0
167.68,167.69,167.66,167.66,1800.0
167.73,167.74,167.675,167.72,3999.0
167.76,167.76,167.69,167.745,3799.0
167.73,167.78,167.69,167.765,2850.0
167.715,167.76,167.71,167.74,2257.0
167.67,167.76,167.66,167.75,3321.0
