Open,High,Low,Close,Volume
28.51,28.68,28.51,28.68,14884.0
28.505,28.585,28.505,28.54,400.0
28.59,28.61,28.55,28.58,6800.0
28.58,28.59,28.54,28.59,4930.0
28.55,28.6,28.55,28.57,6067.0
28.53,28.54,28.53,28.54,400.0
28.515,28.53,28.51,28.52,2801.0
28.5,28.515,28.5,28.5,650.0
28.48,28.5,28.48,28.5,1300.0
28.51,28.51,28.49,28.51,2000.0
28.51,28.51,28.51,28.51,100.0
28.52,28.52,28.52,28.52,103.0
28.52,28.52,28.52,28.52,100.0
28.49,28.51,28.48,28.48,840.0
28.5,28.51,28.5,28.51,200.0
28.53,28.53,28.51,28.51,1299.0
28.55,28.55,28.52,28.52,2439.0
28.6,28.6,28.56,28.56,800.0
28.58,28.61,28.58,28.6,800.0
28.57,28.57,28.55,28.56,1100.0
28.6,28.6,28.585,28.585,1200.0
28.57,28.6,28.57,28.6,1100.0
28.57,28.57,28.57,28.57,1400.0
28.57,28.57,28.57,28.57,600.0
28.6,28.6,28.575,28.58,2000.0
28.58,28.6,28.58,28.6,1000.0
28.62,28.62,28.5875,28.61,1400.0
28.65,28.65,28.62,28.62,3962.0
28.66,28.66,28.66,28.66,200.0
28.67,28.7,28.67,28.67,2325.0
28.64,28.64,28.64,28.64,600.0
28.67,28.67,28.66,28.66,600.0
28.68,28.68,28.65,28.66,4608.0
28.68,28.7,28.68,28.68,1400.0
28.69,28.7,28.69,28.7,300.0
28.71,28.71,28.68,28.69,6743.0
28.69,28.7,28.69,28.7,1300.0
28.7,28.7,28.7,28.7,300.0
28.69,28.69,28.69,28.69,400.0
28.69,28.71,28.69,28.71,900.0
28.7,28.71,28.68,28.69,5043.0
28.68,28.71,28.68,28.695,1800.0
28.7,28.7,28.68,28.69,1716.0
28.71,28.71,28.71,28.71,100.0
28.69,28.7,28.69,28.7,1200.0
28.73,28.73,28.71,28.71,1800.0
28.71,28.72,28.7044,28.72,2419.0
28.66,28.71,28.66,28.71,1600.0
28.7,28.7,28.65,28.65,1100.0
28.69,28.72,28.69,28.715,1200.0
28.7183,28.7183,28.7,28.7,300.0
28.71,28.71,28.71,28.71,300.0
28.68,28.71,28.68,28.71,900.0
28.68,28.68,28.68,28.68,200.0
28.68,28.69,28.68,28.68,1300.0
28.69,28.72,28.69,28.7,2300.0
28.71,28.71,28.71,28.71,700.0
28.7,28.71,28.7,28.71,1807.0
28.7,28.7,28.7,28.7,400.0
28.68,28.7,28.68,28.7,1000.0
28.68,28.695,28.68,28.695,700.0
28.65,28.67,28.63,28.67,5200.0
28.64,28.64,28.64,28.64,100.0
28.64,28.65,28.64,28.65,1000.0
28.64,28.65,28.63,28.64,2100.0
28.64,28.64,28.64,28.64,600.0
28.62,28.63,28.62,28.63,500.0
28.65,28.65,28.625,28.63,2282.0
28.64,28.65,28.63,28.65,800.0
28.62,28.645,28.62,28.645,1020.0
28.61,28.64,28.61,28.64,800.0
28.59,28.61,28.59,28.61,1000.0
28.6197,28.6197,28.6197,28.6197,210.0
28.6,28.6,28.6,28.6,800.0
28.58,28.59,28.58,28.59,500.0
28.56,28.58,28.56,28.58,1100.0
28.55,28.59,28.55,28.56,1653.0
28.57,28.57,28.55,28.55,400.0
28.57,28.57,28.55,28.55,2499.0
28.57,28.58,28.56,28.565,2298.0
28.56,28.56,28.56,28.56,800.0
28.57,28.57,28.55,28.57,2100.0
28.58,28.58,28.5601,28.5604,2337.0
28.59,28.59,28.58,28.58,300.0
28.59,28.59,28.58,28.58,1570.0
28.58,28.58,28.58,28.58,600.0
28.56,28.58,28.56,28.58,2900.0
28.58,28.58,28.56,28.56,1000.0
28.57,28.58,28.57,28.58,200.0
28.56,28.57,28.55,28.57,1600.0
28.55,28.5509,28.55,28.5509,339.0
28.54,28.565,28.54,28.55,1500.0
28.54,28.54,28.54,28.54,100.0
28.53,28.54,28.53,28.54,800.0
28.56,28.56,28.5325,28.5325,3500.0
28.55,28.58,28.55,28.57,2200.0
28.55,28.55,28.54,28.54,300.0
28.56,28.56,28.56,28.56,400.0
28.54,28.58,28.54,28.58,2200.0
28.53,28.54,28.52,28.54,3691.0
28.52,28.52,28.52,28.52,300.0
28.49,28.52,28.49,28.52,1400.0
28.51,28.51,28.5,28.5,900.0
28.52,28.52,28.5,28.5,3000.0
28.51,28.52,28.5,28.52,1800.0
28.49,28.5,28.49,28.5,1400.0
28.49,28.49,28.49,28.49,1600.0
28.5,28.51,28.48,28.49,4295.0
28.47,28.49,28.45,28.48,3400.0
28.48,28.49,28.47,28.47,700.0
28.49,28.49,28.48,28.48,1423.0
28.47,28.47,28.47,28.47,100.0
28.48,28.48,28.46,28.47,1380.0
28.48,28.48,28.48,28.48,100.0
28.48,28.48,28.48,28.48,100.0
28.46,28.47,28.46,28.47,600.0
28.48,28.48,28.47,28.47,1300.0
28.5,28.5,28.48,28.48,800.0
28.48,28.495,28.48,28.495,570.0
28.49,28.49,28.49,28.49,1000.0
28.5,28.5,28.495,28.5,440.0
28.5,28.505,28.495,28.5,800.0
28.505,28.505,28.495,28.5,1000.0
28.52,28.53,28.505,28.505,10600.0
28.495,28.515,28.49,28.515,1100.0
28.5,28.5,28.49,28.4999,2400.0
28.51,28.51,28.5,28.5,700.0
28.52,28.52,28.51,28.51,3599.0
28.53,28.53,28.525,28.53,4611.0
28.53,28.53,28.53,28.53,1800.0
28.53,28.53,28.53,28.53,600.0
28.52,28.52,28.52,28.52,900.0
28.52,28.52,28.52,28.52,100.0
28.51,28.51,28.51,28.51,1300.0
28.49,28.5,28.49,28.5,800.0
28.46,28.48,28.46,28.48,2576.0
28.46,28.46,28.46,28.46,100.0
28.475,28.48,28.46,28.47,3000.0
28.48,28.48,28.475,28.48,700.0
28.48,28.48,28.48,28.48,1500.0
28.47,28.48,28.47,28.48,400.0
28.48,28.48,28.48,28.48,200.0
28.47,28.47,28.47,28.47,100.0
28.47,28.48,28.47,28.48,1700.0
28.48,28.48,28.48,28.48,100.0
28.47,28.47,28.47,28.47,500.0
28.47,28.47,28.47,28.47,200.0
28.4801,28.49,28.47,28.48,3400.0
28.5,28.5,28.48,28.49,800.0
28.5,28.5,28.5,28.5,100.0
28.48,28.49,28.48,28.49,552.0
28.4618,28.47,28.45,28.47,1300.0
28.45,28.45,28.45,28.45,100.0
28.45,28.45,28.45,28.45,200.0
28.465,28.47,28.465,28.47,2000.0
28.47,28.48,28.46,28.47,1300.0
28.5,28.5,28.48,28.48,1000.0
28.4901,28.4901,28.4901,28.4901,200.0
28.5,28.5,28.49,28.495,800.0
28.51,28.51,28.5,28.5,200.0
28.46,28.5,28.46,28.5,2386.0
28.49,28.49,28.475,28.48,1025.0
28.5,28.5,28.49,28.49,500.0
28.49,28.49,28.49,28.49,156.0
28.47,28.51,28.47,28.49,2800.0
28.49,28.49,28.47,28.4703,2200.0
28.486,28.486,28.486,28.486,123.0
28.46,28.48,28.46,28.48,400.0
28.46,28.4631,28.46,28.4631,351.0
28.46,28.46,28.46,28.46,800.0
28.47,28.47,28.455,28.455,2500.0
28.46,28.46,28.46,28.46,100.0
28.46,28.46,28.46,28.46,200.0
28.4601,28.465,28.4601,28.465,1048.0
28.46,28.46,28.45,28.46,700.0
28.45,28.45,28.45,28.45,100.0
28.45,28.45,28.45,28.45,100.0
28.46,28.4603,28.455,28.46,2800.0
28.4501,28.46,28.45,28.46,1400.0
28.46,28.47,28.46,28.47,300.0
28.46,28.46,28.46,28.46,200.0
28.475,28.48,28.46,28.47,1700.0
28.48,28.4899,28.48,28.4899,300.0
28.49,28.49,28.49,28.49,694.0
28.5,28.5,28.49,28.49,600.0
28.49,28.49,28.48,28.49,1000.0
28.49,28.49,28.48,28.49,900.0
28.49,28.49,28.48,28.49,1400.0
28.49,28.495,28.49,28.49,900.0
28.49,28.49,28.49,28.49,500.0
28.4901,28.5,28.4901,28.5,600.0
28.4903,28.4903,28.4903,28.4903,100.0
28.49,28.495,28.49,28.49,1000.0
28.47,28.49,28.47,28.49,800.0
28.465,28.47,28.465,28.47,1000.0
28.47,28.48,28.46,28.475,30900.0
28.46,28.46,28.46,28.46,200.0
28.4601,28.4601,28.46,28.46,1086.0
28.4603,28.47,28.4603,28.47,1400.0
28.46,28.47,28.46,28.46,400.0
28.47,28.47,28.4601,28.469,800.0
28.46,28.46,28.46,28.46,100.0
28.46,28.46,28.46,28.46,100.0
28.47,28.47,28.47,28.47,200.0
28.45,28.46,28.45,28.46,1881.0
28.45,28.45,28.45,28.45,100.0
28.43,28.46,28.43,28.46,3441.0
28.43,28.44,28.42,28.43,2200.0
28.42,28.43,28.42,28.43,1000.0
28.42,28.4343,28.42,28.425,2120.0
28.43,28.43,28.43,28.43,300.0
28.44,28.44,28.43,28.43,500.0
28.43,28.44,28.43,28.44,774.0
28.42,28.44,28.42,28.43,2400.0
28.42,28.42,28.42,28.42,300.0
28.4,28.42,28.4,28.41,12200.0
28.4003,28.41,28.4,28.4,2810.0
28.41,28.41,28.4,28.41,600.0
28.4,28.41,28.4,28.41,1300.0
28.4,28.4,28.4,28.4,100.0
28.41,28.41,28.41,28.41,100.0
28.39,28.4,28.39,28.4,1600.0
28.38,28.39,28.37,28.39,1700.0
28.36,28.38,28.355,28.38,18100.0
28.36,28.36,28.36,28.36,200.0
28.365,28.365,28.35,28.36,1708.0
28.36,28.37,28.36,28.37,300.0
28.38,28.39,28.37,28.37,2332.0
28.39,28.39,28.39,28.39,100.0
28.38,28.38,28.38,28.38,300.0
28.38,28.38,28.38,28.38,400.0
28.38,28.38,28.38,28.38,100.0
28.38,28.385,28.38,28.385,200.0
28.39,28.39,28.38,28.39,700.0
28.3801,28.39,28.38,28.39,6768.0
28.39,28.39,28.3864,28.3864,268.0
28.36,28.39,28.36,28.3801,3669.0
28.36,28.37,28.35,28.36,3800.0
28.37,28.37,28.36,28.37,1853.0
28.35,28.37,28.35,28.37,1708.0
28.36,28.36,28.35,28.35,300.0
28.36,28.36,28.35,28.35,600.0
28.3601,28.37,28.36,28.36,2001.0
28.37,28.37,28.37,28.37,200.0
28.36,28.36,28.36,28.36,200.0
28.35,28.361,28.35,28.361,2100.0
28.345,28.3505,28.34,28.3505,1162.0
28.35,28.355,28.33,28.34,8000.0
28.35,28.35,28.34,28.35,1500.0
28.35,28.35,28.33,28.35,1300.0
28.35,28.35,28.34,28.35,400.0
28.355,28.36,28.35,28.35,2057.0
28.34,28.36,28.33,28.35,1700.0
28.335,28.335,28.335,28.335,1000.0
28.34,28.35,28.3301,28.335,1500.0
28.34,28.35,28.34,28.35,200.0
28.33,28.34,28.33,28.34,397.0
28.33,28.34,28.33,28.34,600.0
28.34,28.34,28.34,28.34,800.0
28.31,28.34,28.3,28.34,4787.0
28.32,28.32,28.31,28.31,1700.0
28.34,28.34,28.33,28.33,1300.0
28.34,28.35,28.34,28.34,1515.0
28.345,28.35,28.345,28.35,2285.0
28.345,28.345,28.34,28.34,200.0
28.34,28.34,28.34,28.34,100.0
28.35,28.35,28.345,28.35,300.0
28.345,28.35,28.345,28.345,700.0
28.375,28.375,28.345,28.35,5588.0
28.4,28.405,28.3759,28.3759,4081.0
28.38,28.4,28.38,28.4,1901.0
28.37,28.385,28.37,28.38,2000.0
28.37,28.38,28.37,28.375,500.0
28.39,28.39,28.37,28.37,2600.0
28.39,28.39,28.39,28.39,100.0
28.385,28.39,28.38,28.38,800.0
28.38,28.39,28.38,28.39,714.0
28.38,28.39,28.38,28.38,300.0
28.38,28.39,28.38,28.3875,7600.0
28.41,28.41,28.38,28.3801,6307.0
28.41,28.41,28.4,28.405,1600.0
28.41,28.41,28.4,28.4,1500.0
28.39,28.4,28.39,28.4,1500.0
28.39,28.4,28.38,28.39,2600.0
28.39,28.4,28.38,28.4,1100.0
28.37,28.39,28.37,28.385,1828.0
28.3737,28.38,28.3737,28.38,217.0
28.37,28.38,28.37,28.38,1300.0
28.37,28.37,28.36,28.37,1801.0
28.355,28.37,28.3525,28.36,2847.0
28.34,28.35,28.34,28.35,2764.0
28.36,28.36,28.345,28.345,3554.0
28.36,28.37,28.35,28.36,4700.0
28.36,28.36,28.36,28.36,600.0
28.37,28.37,28.36,28.36,2100.0
28.38,28.38,28.36,28.37,3400.0
28.38,28.38,28.37,28.37,2050.0
28.38,28.39,28.37,28.38,20800.0
28.38,28.39,28.37,28.38,3000.0
28.36,28.38,28.36,28.37,8069.0
28.39,28.39,28.38,28.38,5434.0
28.39,28.395,28.39,28.395,2800.0
28.4,28.41,28.39,28.39,4100.0
28.43,28.44,28.41,28.41,4700.0
28.43,28.44,28.43,28.435,11900.0
28.425,28.43,28.425,28.43,200.0
28.4299,28.43,28.42,28.42,700.0
28.4225,28.43,28.42,28.42,6355.0
28.43,28.44,28.4225,28.43,3734.0
28.43,28.44,28.43,28.44,500.0
28.42,28.43,28.42,28.43,4501.0
28.41,28.42,28.4,28.42,1770.0
28.4,28.4068,28.4,28.405,922.0
28.41,28.41,28.4,28.405,6067.0
28.42,28.42,28.41,28.41,3300.0
28.405,28.42,28.4,28.415,6959.0
28.4,28.41,28.4,28.4,1800.0
28.39,28.41,28.38,28.4,6000.0
28.38,28.39,28.38,28.38,2100.0
28.37,28.38,28.37,28.38,2600.0
28.39,28.39,28.37,28.37,2875.0
28.4,28.4,28.38,28.38,2312.0
28.41,28.41,28.39,28.39,5694.0
28.39,28.4,28.39,28.4,4275.0
28.38,28.4,28.38,28.39,14132.0
28.4,28.4,28.3825,28.39,6117.0
28.4,28.4,28.39,28.4,1700.0
28.39,28.4,28.39,28.39,17563.0
28.41,28.41,28.41,28.41,200.0
28.41,28.41,28.4,28.4025,2200.0
28.4025,28.41,28.4,28.405,1400.0
28.42,28.43,28.4,28.4,15696.0
28.44,28.44,28.42,28.43,10389.0
28.445,28.45,28.44,28.44,9905.0
28.445,28.45,28.44,28.45,3979.0
28.44,28.45,28.44,28.445,5095.0
28.455,28.46,28.44,28.44,13383.0
28.5,28.5,28.45,28.45,17347.0
28.49,28.5,28.49,28.5,15690.0
28.5,28.5,28.49,28.5,13866.0
28.5,28.505,28.4925,28.5,12529.0
28.4925,28.51,28.49,28.495,19874.0
28.49,28.51,28.47,28.5,44484.0
