Open,High,Low,Close,Volume
59.3,59.82,59.3,59.75,38667.0
59.41,59.42,59.26,59.3,6962.0
59.4,59.43,59.36,59.41,4635.0
59.42,59.42,59.35,59.4,2000.0
59.44,59.45,59.3901,59.42,6125.0
59.47,59.47,59.43,59.43,3775.0
59.5,59.55,59.45,59.48,22341.0
59.48,59.48,59.48,59.48,100.0
59.52,59.53,59.48,59.48,5903.0
59.66,59.66,59.53,59.53,16859.0
59.66,59.71,59.655,59.68,8277.0
59.61,59.68,59.61,59.65,7433.0
59.69,59.69,59.595,59.61,7693.0
59.72,59.74,59.69,59.69,9013.0
59.78,59.79,59.69,59.72,8491.0
59.7,59.78,59.7,59.78,6750.0
59.68,59.71,59.67,59.71,5200.0
59.7467,59.76,59.69,59.69,8279.0
59.795,59.795,59.73,59.75,5479.0
59.83,59.84,59.8,59.8,8591.0
59.81,59.835,59.8,59.835,3875.0
59.795,59.795,59.72,59.79,26586.0
59.83,59.83,59.8,59.8,9351.0
59.81,59.83,59.81,59.82,3111.0
59.8175,59.8444,59.8175,59.83,1745.0
59.83,59.83,59.82,59.82,1773.0
59.845,59.87,59.84,59.84,7431.0
59.84,59.865,59.805,59.85,27325.0
59.825,59.86,59.82,59.845,8375.0
59.825,59.845,59.825,59.83,7840.0
59.86,59.87,59.81,59.82,8830.0
59.89,59.89,59.855,59.86,4850.0
59.9135,59.92,59.88,59.89,10434.0
59.97,59.99,59.915,59.92,16208.0
59.99,59.99,59.97,59.97,5000.0
59.97,60.0,59.96,59.99,9376.0
59.95,59.975,59.95,59.97,4300.0
59.96,59.97,59.95,59.95,3161.0
59.97,59.98,59.9544,59.9544,5153.0
59.9542,59.97,59.9501,59.97,2446.0
59.96,59.98,59.95,59.9543,6151.0
59.95,59.95,59.94,59.95,3623.0
59.91,59.94,59.9,59.94,5304.0
59.85,59.91,59.85,59.9,6110.0
59.84,59.865,59.8,59.85,5596.0
59.9,59.9,59.835,59.84,5305.0
59.89,59.9,59.88,59.8942,9958.0
59.89,59.9,59.88,59.88,3974.0
59.86,59.89,59.85,59.88,11100.0
59.895,59.9,59.85,59.85,47496.0
59.87,59.89,59.855,59.89,6331.0
59.8569,59.87,59.845,59.87,24187.0
59.86,59.87,59.84,59.855,18469.0
59.845,59.86,59.845,59.86,3600.0
59.82,59.84,59.805,59.84,6803.0
59.8,59.81,59.78,59.81,8399.0
59.8,59.81,59.795,59.8,5215.0
59.81,59.81,59.76,59.8,12444.0
