Open,High,Low,Close,Volume
109.475,109.7,109.475,109.65,3908.0
109.26,109.4,109.26,109.36,4600.0
109.4,109.43,109.14,109.25,2500.0
109.44,109.44,109.245,109.2658,2200.0
109.51,109.52,109.34,109.34,5404.0
109.47,109.62,109.47,109.47,1764.0
109.77,109.77,109.43,109.43,9162.0
109.64,109.87,109.63,109.75,10828.0
109.63,109.665,109.61,109.64,1234.0
109.51,109.62,109.38,109.62,7350.0
109.6804,109.6804,109.53,109.55,4237.0
109.63,109.665,109.6,109.65,2687.0
109.675,109.69,109.64,109.69,2500.0
109.655,109.67,109.58,109.65,4695.0
109.86,109.86,109.655,109.68,3398.0
109.875,109.88,109.81,109.83,2720.0
109.87,109.99,109.87,109.87,2678.0
109.92,109.98,109.87,109.9,4539.0
109.815,109.92,109.815,109.9,1025.0
109.83,109.83,109.78,109.81,800.0
109.81,109.81,109.81,109.81,1700.0
109.83,109.87,109.83,109.8615,7778.0
109.8,109.83,109.7426,109.83,2113.0
109.7,109.78,109.7,109.78,501.0
109.53,109.626,109.53,109.626,1210.0
109.48,109.5,109.46,109.48,600.0
109.45,109.45,109.45,109.45,300.0
109.48,109.48,109.4238,109.4238,502.0
109.46,109.46,109.46,109.46,100.0
109.41,109.455,109.39,109.45,2020.0
109.46,109.46,109.371,109.4,1250.0
109.62,109.65,109.44,109.44,3680.0
109.55,109.56,109.55,109.56,200.0
109.5,109.585,109.32,109.5698,9233.0
109.45,109.59,109.45,109.5,5649.0
109.49,109.55,109.49,109.5,1504.0
109.52,109.52,109.52,109.52,200.0
109.47,109.535,109.46,109.51,1700.0
109.5,109.5,109.39,109.48,1467.0
109.5,109.58,109.49,109.49,1300.0
109.4,109.47,109.34,109.47,1700.0
109.381,109.4,109.33,109.38,3050.0
109.32,109.38,109.32,109.38,550.0
109.26,109.35,109.26,109.32,2350.0
109.29,109.33,109.27,109.32,9100.0
109.25,109.3299,109.25,109.3,2800.0
109.22,109.24,109.19,109.23,1100.0
109.2458,109.25,109.19,109.2,5017.0
109.215,109.22,109.15,109.2,4816.0
109.22,109.25,109.18,109.2008,1431.0
109.39,109.44,109.26,109.26,5148.0
109.39,109.39,109.31,109.38,3000.0
109.37,109.48,109.35,109.35,4800.0
109.321,109.3575,109.32,109.35,3550.0
109.3168,109.3168,109.3152,109.3152,500.0
109.34,109.34,109.3,109.3,1009.0
109.4,109.4,109.37,109.37,600.0
109.37,109.435,109.37,109.41,1346.0
109.28,109.3394,109.23,109.3394,3173.0
109.31,109.4,109.26,109.26,5492.0
109.23,109.27,109.15,109.27,1999.0
109.21,109.25,109.21,109.25,1224.0
109.13,109.19,109.1,109.19,6172.0
109.2,109.2,109.13,109.13,1300.0
109.36,109.36,109.23,109.23,3250.0
109.39,109.41,109.341,109.341,5952.0
109.48,109.48,109.385,109.385,1330.0
109.46,109.51,109.44,109.5,2906.0
109.415,109.48,109.39,109.45,4252.0
109.58,109.58,109.44,109.44,1800.0
109.59,109.63,109.561,109.57,2830.0
109.51,109.57,109.51,109.57,1974.0
109.3801,109.5,109.3801,109.5,1354.0
109.44,109.44,109.41,109.41,1300.0
109.4,109.43,109.39,109.43,800.0
109.4,109.42,109.39,109.39,1000.0
109.43,109.43,109.43,109.43,100.0
109.39,109.4499,109.39,109.42,2601.0
109.38,109.39,109.36,109.375,12234.0
