Open,High,Low,Close,Volume
76.32,76.32,76.32,76.32,20966.0
76.3,76.32,75.98,76.0,5301.0
76.8378,77.0,76.16,76.31,21702.0
76.76,76.865,76.668,76.865,4327.0
76.76,76.84,76.575,76.575,4833.0
76.85,76.85,76.584,76.76,8560.0
76.67,76.72,76.45,76.72,9680.0
76.66,76.81,76.575,76.68,11676.0
76.69,76.79,76.61,76.61,12401.0
76.8,76.8,76.66,76.69,5500.0
76.79,76.88,76.7,76.8,13964.0
76.94,77.02,76.79,76.84,5205.0
76.99,76.99,76.7812,76.94,43370.0
77.04,77.05,76.9,77.03,10829.0
76.83,77.06,76.78,77.06,8000.0
76.86,76.86,76.66,76.79,3859.0
76.9,76.9,76.82,76.89,2000.0
76.9,76.93,76.81,76.9,10411.0
76.94,76.95,76.88,76.9,5900.0
76.89,76.94,76.89,76.94,3827.0
76.91,76.96,76.86,76.9,5500.0
76.845,76.92,76.81,76.82,2000.0
76.81,76.86,76.7664,76.86,5664.0
76.81,76.81,76.771,76.8,3414.0
76.705,76.78,76.67,76.76,4105.0
76.46,76.705,76.42,76.68,6540.0
76.58,76.59,76.41,76.41,4850.0
76.58,76.59,76.52,76.58,13017.0
76.65,76.67,76.55,76.58,7809.0
76.55,76.72,76.55,76.67,5200.0
76.79,76.79,76.58,76.595,9300.0
76.79,76.83,76.69,76.8,5149.0
76.82,76.82,76.755,76.79,4900.0
76.59,76.82,76.59,76.82,7200.0
76.55,76.64,76.53,76.6,4700.0
76.56,76.57,76.43,76.555,5183.0
76.53,76.57,76.47,76.57,5668.0
76.35,76.555,76.35,76.555,6116.0
76.35,76.44,76.35,76.36,4315.0
76.3,76.39,76.29,76.33,6500.0
76.27,76.33,76.27,76.29,4305.0
76.31,76.34,76.26,76.27,5861.0
76.31,76.32,76.31,76.32,1900.0
76.31,76.33,76.28,76.29,9458.0
76.29,76.29,76.22,76.28,3405.0
76.2189,76.3,76.2189,76.29,6800.0
76.26,76.27,76.235,76.235,4100.0
76.07,76.26,76.07,76.25,8895.0
