Open,High,Low,Close,Volume
98.01,98.01,98.01,98.01,5323.0
97.76,97.8521,97.6,97.63,1500.0
97.97,97.97,97.92,97.92,200.0
97.9,97.99,97.9,97.99,696.0
97.92,97.92,97.89,97.9,800.0
97.873,97.873,97.873,97.873,175.0
98.01,98.02,97.97,97.97,600.0
98.01,98.01,98.0,98.01,455.0
98.0,98.02,98.0,98.0,1100.0
98.1,98.1,98.1,98.1,100.0
98.055,98.055,98.055,98.055,500.0
98.14,98.18,98.08,98.08,2402.0
98.13,98.13,98.13,98.13,100.0
98.1,98.13,98.08,98.11,1300.0
98.06,98.14,98.06,98.12,600.0
98.05,98.05,98.05,98.05,300.0
98.06,98.06,98.04,98.04,550.0
98.02,98.06,98.02,98.06,200.0
98.01,98.01,98.0,98.0,200.0
98.06,98.06,98.04,98.05,600.0
98.02,98.02,98.02,98.02,200.0
98.05,98.07,98.05,98.06,1405.0
98.06,98.06,98.04,98.04,745.0
98.05,98.07,98.05,98.06,650.0
98.06,98.06,98.05,98.05,500.0
98.08,98.08,98.06,98.06,1300.0
98.04,98.07,98.04,98.07,600.0
98.09,98.09,98.04,98.04,1300.0
98.12,98.13,98.095,98.095,1195.0
98.12,98.13,98.12,98.12,600.0
98.1,98.14,98.1,98.13,600.0
98.11,98.13,98.11,98.12,400.0
98.22,98.22,98.15,98.15,2540.0
98.22,98.23,98.22,98.23,200.0
98.23,98.24,98.22,98.22,1100.0
98.18,98.22,98.18,98.22,540.0
98.2,98.2,98.16,98.16,500.0
98.21,98.21,98.21,98.21,449.0
98.2,98.21,98.2,98.21,399.0
98.19,98.19,98.19,98.19,200.0
98.18,98.21,98.18,98.21,1856.0
98.195,98.195,98.16,98.18,600.0
98.18,98.18,98.17,98.18,700.0
98.19,98.217,98.19,98.205,1009.0
98.2,98.2,98.2,98.2,100.0
98.24,98.24,98.21,98.21,600.0
98.22,98.23,98.22,98.23,700.0
98.23,98.23,98.22,98.22,2061.0
98.22,98.23,98.22,98.23,1000.0
98.25,98.25,98.2,98.22,700.0
98.23,98.24,98.23,98.24,300.0
98.2295,98.25,98.22,98.25,918.0
98.24,98.24,98.19,98.21,1100.0
98.25,98.26,98.25,98.25,300.0
98.21,98.23,98.21,98.23,350.0
98.2,98.2,98.17,98.17,200.0
98.19,98.19,98.18,98.19,600.0
98.2,98.21,98.19,98.21,600.0
98.2,98.21,98.185,98.185,400.0
98.22,98.22,98.2,98.2,200.0
98.24,98.26,98.23,98.24,1697.0
98.25,98.2598,98.25,98.25,400.0
98.24,98.24,98.24,98.24,322.0
98.27,98.27,98.26,98.26,600.0
98.27,98.27,98.26,98.26,900.0
98.2833,98.29,98.28,98.28,524.0
98.28,98.3,98.28,98.29,500.0
98.3,98.31,98.29,98.29,900.0
98.29,98.29,98.28,98.28,400.0
98.3,98.31,98.3,98.31,300.0
98.3,98.3,98.29,98.29,900.0
98.31,98.31,98.29,98.29,400.0
98.34,98.34,98.3,98.31,900.0
98.31,98.32,98.31,98.32,284.0
98.32,98.34,98.32,98.34,432.0
98.34,98.34,98.32,98.32,600.0
98.28,98.34,98.28,98.34,1363.0
98.31,98.31,98.27,98.27,400.0
98.32,98.32,98.305,98.31,1026.0
98.32,98.33,98.32,98.33,200.0
98.33,98.34,98.32,98.32,500.0
98.33,98.33,98.33,98.33,100.0
98.36,98.36,98.34,98.34,909.0
98.36,98.36,98.32,98.35,1000.0
98.35,98.44,98.35,98.36,2600.0
98.38,98.4,98.38,98.39,1087.0
98.4,98.4,98.39,98.39,300.0
98.36,98.4,98.36,98.4,786.0
98.3895,98.39,98.36,98.39,506.0
98.43,98.43,98.41,98.41,700.0
98.41,98.41,98.41,98.41,100.0
98.45,98.45,98.42,98.42,1504.0
98.4,98.45,98.4,98.45,1500.0
98.38,98.38,98.38,98.38,100.0
98.4,98.41,98.4,98.41,900.0
98.42,98.43,98.42,98.42,374.0
98.45,98.45,98.42,98.42,500.0
98.47,98.47,98.47,98.47,100.0
98.51,98.51,98.48,98.48,700.0
98.54,98.54,98.53,98.54,800.0
98.53,98.54,98.53,98.54,200.0
98.57,98.57,98.55,98.55,977.0
98.57,98.57,98.57,98.57,799.0
98.59,98.6,98.59,98.6,1000.0
98.53,98.56,98.51,98.56,700.0
98.54,98.56,98.54,98.54,800.0
98.51,98.51,98.51,98.51,100.0
98.55,98.55,98.53,98.53,451.0
98.5,98.5,98.5,98.5,100.0
98.4795,98.53,98.4795,98.51,728.0
98.48,98.48,98.48,98.48,300.0
98.46,98.48,98.46,98.48,200.0
98.46,98.46,98.46,98.46,200.0
98.49,98.5,98.47,98.47,600.0
98.42,98.46,98.42,98.46,500.0
98.46,98.47,98.44,98.44,500.0
98.4535,98.46,98.4535,98.46,400.0
98.46,98.46,98.46,98.46,500.0
98.45,98.45,98.45,98.45,100.0
98.43,98.45,98.43,98.45,900.0
98.44,98.44,98.42,98.42,600.0
98.43,98.43,98.41,98.41,400.0
98.43,98.43,98.43,98.43,300.0
98.36,98.42,98.36,98.42,300.0
98.39,98.39,98.37,98.37,700.0
98.38,98.38,98.38,98.38,300.0
98.42,98.42,98.42,98.42,200.0
98.42,98.42,98.42,98.42,308.0
98.4268,98.4268,98.4268,98.4268,1107.0
98.45,98.46,98.44,98.46,700.0
98.45,98.45,98.45,98.45,100.0
98.45,98.45,98.45,98.45,300.0
98.44,98.45,98.44,98.45,315.0
98.42,98.43,98.42,98.43,200.0
98.43,98.43,98.41,98.41,400.0
98.44,98.44,98.43,98.44,500.0
98.45,98.45,98.45,98.45,200.0
98.43,98.44,98.43,98.44,542.0
98.4,98.43,98.4,98.42,1400.0
98.42,98.42,98.42,98.42,200.0
98.41,98.42,98.41,98.42,675.0
98.37,98.37,98.37,98.37,100.0
98.35,98.35,98.35,98.35,100.0
98.36,98.36,98.36,98.36,400.0
98.35,98.36,98.34,98.36,600.0
98.34,98.36,98.34,98.36,300.0
98.31,98.34,98.3,98.34,1694.0
98.35,98.35,98.3288,98.3288,415.0
98.34,98.35,98.34,98.35,300.0
98.36,98.36,98.36,98.36,100.0
98.39,98.39,98.39,98.39,200.0
98.38,98.39,98.38,98.39,590.0
98.37,98.37,98.37,98.37,500.0
98.38,98.38,98.38,98.38,303.0
98.37,98.38,98.37,98.38,252.0
98.37,98.37,98.37,98.37,100.0
98.37,98.37,98.35,98.35,600.0
98.34,98.4,98.34,98.39,700.0
98.354,98.354,98.354,98.354,100.0
98.36,98.36,98.36,98.36,100.0
98.33,98.34,98.33,98.34,300.0
98.3434,98.36,98.3434,98.36,445.0
98.39,98.39,98.365,98.38,400.0
98.38,98.38,98.38,98.38,500.0
98.39,98.4,98.39,98.4,300.0
98.385,98.385,98.38,98.38,200.0
98.41,98.41,98.39,98.39,700.0
98.42,98.42,98.42,98.42,100.0
98.415,98.42,98.41,98.42,728.0
98.41,98.42,98.39,98.4,900.0
98.42,98.42,98.42,98.42,200.0
98.43,98.43,98.43,98.43,200.0
98.4,98.43,98.4,98.43,400.0
98.39,98.4,98.39,98.4,708.0
98.36,98.37,98.36,98.37,306.0
98.4,98.4,98.39,98.39,405.0
98.39,98.41,98.39,98.41,1000.0
98.39,98.39,98.39,98.39,100.0
98.4,98.4,98.39,98.39,400.0
98.42,98.42,98.3989,98.3989,200.0
98.42,98.42,98.42,98.42,100.0
98.41,98.41,98.4,98.41,879.0
98.39,98.39,98.39,98.39,100.0
98.4,98.4,98.4,98.4,500.0
98.39,98.39,98.39,98.39,200.0
98.39,98.39,98.39,98.39,400.0
98.36,98.39,98.36,98.39,621.0
98.31,98.32,98.31,98.32,200.0
98.32,98.32,98.32,98.32,100.0
98.25,98.325,98.25,98.325,850.0
98.2,98.25,98.2,98.23,1600.0
98.18,98.2,98.18,98.2,800.0
98.11,98.11,98.11,98.11,100.0
98.17,98.19,98.16,98.16,600.0
98.16,98.16,98.16,98.16,100.0
98.15,98.17,98.15,98.16,1150.0
98.1267,98.14,98.1267,98.14,1060.0
98.13,98.13,98.11,98.12,1662.0
98.15,98.15,98.15,98.15,300.0
98.12,98.14,98.12,98.14,482.0
98.15,98.15,98.15,98.15,100.0
98.16,98.16,98.16,98.16,2414.0
98.14,98.15,98.14,98.15,600.0
98.12,98.12,98.12,98.12,100.0
98.14,98.14,98.13,98.13,600.0
98.13,98.13,98.13,98.13,500.0
98.11,98.11,98.11,98.11,100.0
98.12,98.12,98.12,98.12,100.0
98.13,98.13,98.12,98.12,700.0
98.16,98.16,98.15,98.15,300.0
98.16,98.16,98.16,98.16,800.0
98.13,98.16,98.13,98.16,1100.0
98.1202,98.14,98.12,98.14,748.0
98.13,98.13,98.13,98.13,300.0
98.12,98.12,98.12,98.12,100.0
98.07,98.11,98.07,98.11,500.0
97.99,98.07,97.99,98.05,4626.0
97.91,97.96,97.91,97.96,1200.0
97.89,97.89,97.85,97.85,1100.0
97.88,97.89,97.88,97.89,419.0
97.9,97.9,97.89,97.89,449.0
97.8999,97.8999,97.88,97.88,309.0
97.9,97.9,97.89,97.89,400.0
97.9,97.94,97.9,97.94,1001.0
97.92,97.92,97.92,97.92,200.0
97.889,97.91,97.88,97.91,1698.0
97.85,97.88,97.85,97.88,300.0
97.76,97.81,97.76,97.81,1994.0
97.81,97.81,97.775,97.775,300.0
97.8,97.81,97.79,97.81,953.0
97.8,97.8,97.8,97.8,100.0
97.85,97.855,97.81,97.81,1054.0
97.85,97.85,97.85,97.85,100.0
97.87,97.87,97.87,97.87,100.0
97.88,97.88,97.87,97.87,400.0
97.86,97.89,97.86,97.88,1364.0
97.91,97.91,97.88,97.88,300.0
97.92,97.93,97.92,97.92,800.0
97.9,97.9,97.9,97.9,100.0
97.91,97.91,97.91,97.91,100.0
97.9,97.94,97.9,97.94,1400.0
97.9105,97.9105,97.9105,97.9105,400.0
97.9,97.9,97.9,97.9,100.0
97.9594,97.9594,97.93,97.93,1000.0
98.0,98.0,97.95,97.95,400.0
97.98,98.02,97.98,98.02,1400.0
98.0,98.0,97.98,97.98,800.0
97.97,97.99,97.97,97.99,1297.0
97.91,97.91,97.89,97.89,600.0
97.89,97.92,97.88,97.92,700.0
97.9,97.9,97.9,97.9,200.0
97.9289,97.94,97.88,97.88,1100.0
97.92,97.9499,97.92,97.9499,227.0
97.94,97.94,97.94,97.94,300.0
97.98,97.98,97.95,97.95,238.0
97.9741,98.0,97.96,97.98,2112.0
97.97,97.99,97.97,97.99,223.0
97.97,97.97,97.97,97.97,100.0
97.97,97.97,97.97,97.97,900.0
98.01,98.01,97.99,97.99,300.0
98.02,98.02,98.02,98.02,100.0
98.03,98.045,98.02,98.02,900.0
98.02,98.02,98.01,98.01,300.0
97.99,98.02,97.99,98.02,500.0
98.0014,98.0014,98.0014,98.0014,101.0
98.06,98.06,97.99,97.99,1700.0
98.07,98.08,98.07,98.08,300.0
98.05,98.06,98.05,98.05,400.0
98.09,98.1,98.05,98.05,1400.0
98.15,98.15,98.12,98.12,2191.0
98.13,98.15,98.13,98.15,1500.0
98.13,98.13,98.11,98.11,1200.0
98.12,98.16,98.11,98.13,3209.0
98.13,98.13,98.13,98.13,200.0
98.13,98.15,98.13,98.15,1100.0
98.15,98.15,98.12,98.12,200.0
98.12,98.15,98.12,98.15,750.0
