Open,High,Low,Close,Volume
31.94,31.94,31.94,31.94,27737.0
31.875,31.875,31.875,31.875,100.0
31.891,31.9,31.89,31.89,1727.0
31.93,31.95,31.81,31.81,4866.0
31.92,31.9379,31.9,31.93,5228.0
31.91,31.93,31.9,31.92,6946.0
31.93,31.955,31.88,31.915,12100.0
31.99,32.0,31.905,31.92,21589.0
31.9101,31.99,31.91,31.99,5735.0
31.87,31.915,31.86,31.915,6000.0
31.84,31.86,31.81,31.86,7051.0
31.81,31.84,31.8,31.83,6200.0
31.8,31.82,31.8,31.81,7170.0
31.83,31.83,31.78,31.78,9725.0
31.79,31.84,31.79,31.84,4600.0
31.82,31.82,31.79,31.795,4400.0
31.86,31.86,31.8,31.8,1720.0
31.81,31.85,31.81,31.85,2799.0
31.81,31.82,31.78,31.81,8200.0
31.835,31.835,31.82,31.82,3000.0
31.8,31.845,31.79,31.845,4740.0
31.77,31.78,31.74,31.78,9832.0
31.81,31.83,31.78,31.78,6320.0
31.87,31.87,31.825,31.825,4996.0
31.88,31.88,31.865,31.87,2200.0
31.89,31.89,31.86,31.8845,3900.0
31.93,31.96,31.9,31.9,8600.0
31.95,31.96,31.91,31.92,7500.0
31.985,32.01,31.95,31.95,7205.0
31.97,31.99,31.97,31.9801,4100.0
31.955,31.97,31.95,31.96,4601.0
31.965,31.965,31.925,31.94,9900.0
31.97,31.97,31.95,31.97,5807.0
31.955,31.97,31.94,31.97,4594.0
32.02,32.02,31.95,31.97,21812.0
32.02,32.035,32.01,32.02,4450.0
32.02,32.03,32.0,32.02,26689.0
32.045,32.045,32.0,32.01,21026.0
32.03,32.06,32.03,32.045,13134.0
32.01,32.04,32.0,32.025,81701.0
32.04,32.065,31.99,32.01,49461.0
32.01,32.05,32.01,32.04,8339.0
32.01,32.04,32.0,32.01,34833.0
32.0,32.025,31.995,32.02,22218.0
31.95,32.0,31.945,32.0,13512.0
31.9353,31.965,31.93,31.96,8695.0
31.87,31.93,31.865,31.93,8712.0
31.93,31.93,31.855,31.86,33507.0
31.945,31.945,31.925,31.93,10400.0
31.955,31.955,31.92,31.945,67151.0
31.99,32.0,31.94,31.955,18467.0
31.97,32.0,31.97,31.995,11574.0
31.97,31.99,31.96,31.975,3709.0
31.9775,31.985,31.97,31.97,3100.0
31.945,32.0,31.945,31.98,44796.0
31.94,31.96,31.935,31.9495,7000.0
31.945,31.96,31.935,31.95,5865.0
31.94,31.95,31.925,31.95,18686.0
31.905,31.96,31.905,31.94,24113.0
31.875,31.9,31.86,31.9,24346.0
31.855,31.875,31.85,31.87,3709.0
31.85,31.87,31.84,31.855,5961.0
31.89,31.89,31.84,31.85,9511.0
31.89,31.89,31.86,31.88,7600.0
31.88,31.89,31.86,31.89,11340.0
31.845,31.88,31.845,31.88,3000.0
31.85,31.87,31.845,31.85,3889.0
31.82,31.84,31.82,31.84,1800.0
31.825,31.84,31.82,31.825,5093.0
31.845,31.85,31.81,31.82,9450.0
31.85,31.86,31.84,31.85,4822.0
31.835,31.86,31.835,31.85,1883.0
31.84,31.84,31.8,31.83,17278.0
31.89,31.89,31.84,31.85,44376.0
31.9,31.9,31.88,31.885,5938.0
31.93,31.93,31.88,31.89,19571.0
31.88,31.93,31.88,31.93,10170.0
31.85,31.88,31.845,31.88,4600.0
31.83,31.86,31.83,31.845,6300.0
31.85,31.85,31.83,31.83,2118.0
31.93,31.95,31.845,31.85,45416.0
31.92,31.9351,31.915,31.92,7901.0
31.93,31.93,31.92,31.92,1449.0
31.94,31.94,31.91,31.92,5837.0
31.93,31.935,31.92,31.935,5207.0
31.93,31.94,31.915,31.93,9488.0
31.95,31.96,31.925,31.94,7558.0
31.94,31.95,31.93,31.95,2248.0
31.92,31.94,31.92,31.94,6500.0
31.93,31.935,31.92,31.92,4259.0
31.95,31.95,31.93,31.93,2800.0
31.92,31.96,31.92,31.95,2210.0
31.915,31.92,31.91,31.92,6425.0
31.92,31.92,31.9,31.91,9071.0
31.92,31.92,31.895,31.92,13554.0
31.99,31.99,31.92,31.92,27995.0
31.975,31.99,31.9738,31.98,5624.0
31.99,31.99,31.96,31.97,7405.0
31.98,32.0,31.98,31.99,4821.0
31.975,31.985,31.96,31.985,5727.0
31.94,31.97,31.92,31.97,11198.0
31.955,31.955,31.94,31.95,2720.0
32.0,32.0,31.94,31.96,16594.0
31.99,32.0,31.98,31.995,9210.0
32.0,32.0,31.97,31.99,8296.0
32.01,32.01,31.99,32.0,11377.0
32.02,32.02,32.005,32.01,6056.0
32.03,32.03,32.01,32.015,17142.0
32.02,32.03,32.015,32.02,4486.0
32.02,32.02,32.01,32.015,5408.0
32.04,32.04,32.01,32.02,9448.0
32.03,32.04,32.02,32.035,5125.0
32.025,32.0371,32.02,32.0371,3642.0
32.03,32.03,32.0,32.02,23326.0
32.03,32.05,32.01,32.02,9133.0
32.08,32.08,32.03,32.03,8939.0
32.08,32.08,32.055,32.08,7106.0
32.06,32.08,32.06,32.075,4248.0
32.05,32.07,32.04,32.06,4368.0
32.03,32.05,32.025,32.05,2874.0
32.03,32.04,32.025,32.03,4200.0
32.01,32.03,32.01,32.03,63413.0
32.11,32.11,32.01,32.01,24654.0
32.13,32.14,32.1,32.105,8900.0
32.14,32.14,32.12,32.125,3000.0
32.14,32.15,32.13,32.135,9905.0
32.12,32.13,32.115,32.13,2383.0
32.12,32.13,32.105,32.11,4545.0
32.13,32.15,32.125,32.13,5400.0
32.13,32.14,32.12,32.14,4425.0
32.13,32.14,32.1265,32.13,3690.0
32.115,32.13,32.1,32.13,8444.0
32.08,32.11,32.08,32.11,5420.0
32.075,32.08,32.065,32.07,10594.0
32.1,32.1,32.065,32.075,7749.0
32.105,32.11,32.085,32.0935,8850.0
32.09,32.11,32.09,32.105,4200.0
32.075,32.09,32.0749,32.09,1900.0
32.06,32.08,32.055,32.08,8800.0
32.05,32.07,32.05,32.06,6290.0
32.1,32.1,32.055,32.06,12425.0
32.08,32.095,32.08,32.095,2911.0
32.08,32.08,32.07,32.08,1300.0
32.08,32.08,32.065,32.08,5504.0
32.11,32.11,32.08,32.08,4806.0
32.09,32.1,32.08,32.1,3041.0
32.09,32.095,32.09,32.09,978.0
32.09,32.11,32.09,32.095,6180.0
32.159,32.16,32.09,32.09,18682.0
32.125,32.155,32.125,32.155,1829.0
32.1,32.12,32.09,32.12,4601.0
32.11,32.11,32.1,32.1,6419.0
32.105,32.115,32.1,32.11,3868.0
32.14,32.14,32.095,32.105,9747.0
32.15,32.15,32.13,32.135,7684.0
32.17,32.17,32.14,32.15,9838.0
32.14,32.16,32.12,32.16,3998.0
32.12,32.135,32.115,32.13,3515.0
32.125,32.125,32.07,32.11,36629.0
32.125,32.13,32.11,32.12,17439.0
32.115,32.13,32.1,32.12,5377.0
32.09,32.12,32.09,32.12,6300.0
32.1,32.1,32.075,32.08,4186.0
32.11,32.11,32.085,32.09,11704.0
32.08,32.11,32.08,32.11,4433.0
32.075,32.085,32.07,32.08,6701.0
32.07,32.095,32.06,32.08,12900.0
32.07,32.08,32.07,32.07,3700.0
32.055,32.07,32.05,32.07,5099.0
32.075,32.075,32.05,32.05,6100.0
32.08,32.09,32.07,32.08,14700.0
32.09,32.115,32.085,32.09,24139.0
32.07,32.09,32.06,32.09,6100.0
32.045,32.07,32.04,32.06,5950.0
32.04,32.06,32.03,32.045,11262.0
32.01,32.0369,32.01,32.03,9091.0
32.01,32.02,32.0,32.01,3310.0
32.01,32.02,32.0,32.01,3697.0
32.02,32.02,32.0,32.01,7800.0
32.04,32.04,32.015,32.02,12058.0
32.02,32.035,32.01,32.0325,5450.0
32.01,32.01,32.0,32.01,12002.0
32.02,32.03,32.01,32.01,4927.0
32.03,32.04,32.01,32.03,6000.0
32.02,32.03,32.02,32.03,827.0
32.04,32.04,32.02,32.02,3381.0
32.04,32.05,32.025,32.05,3600.0
32.05,32.05,32.03,32.03,1309.0
32.02,32.05,32.02,32.05,8801.0
32.04,32.04,32.025,32.025,3541.0
32.03,32.04,32.03,32.04,1401.0
32.035,32.04,32.0347,32.035,1940.0
32.03,32.04,32.03,32.04,1377.0
32.035,32.04,32.005,32.03,14674.0
32.04,32.04,32.02,32.035,5829.0
32.02,32.03,32.02,32.03,3248.0
32.02,32.02,32.01,32.02,6683.0
32.02,32.03,32.02,32.03,1000.0
32.035,32.04,32.02,32.02,3350.0
32.04,32.05,32.04,32.04,3600.0
32.04,32.04,32.03,32.035,2000.0
32.03,32.035,32.02,32.03,7627.0
32.03,32.04,32.025,32.03,2602.0
32.04,32.04,32.025,32.03,16757.0
32.025,32.04,32.025,32.04,4000.0
32.005,32.025,32.005,32.025,2666.0
32.005,32.01,32.0,32.0,20549.0
32.005,32.005,32.0,32.0,1300.0
32.0,32.01,32.0,32.005,1900.0
32.005,32.005,32.0,32.005,1800.0
32.0,32.01,32.0,32.0,5850.0
32.0,32.005,32.0,32.005,3607.0
32.04,32.045,31.995,32.0,11473.0
32.035,32.04,32.035,32.04,1994.0
32.035,32.05,32.035,32.035,5500.0
32.04,32.045,32.035,32.035,1583.0
32.05,32.05,32.03,32.03,2850.0
32.045,32.05,32.0404,32.05,1016.0
32.07,32.07,32.045,32.0462,5801.0
32.05,32.07,32.04,32.07,6030.0
32.06,32.06,32.04,32.05,7833.0
32.045,32.0583,32.04,32.0583,2000.0
32.06,32.06,32.03,32.04,8359.0
32.05,32.07,32.05,32.06,4315.0
32.04,32.05,32.03,32.05,4100.0
32.05,32.055,32.045,32.05,3199.0
32.0335,32.05,32.03,32.05,4497.0
32.035,32.035,32.02,32.03,2700.0
32.03,32.04,32.02,32.03,3400.0
