Open,High,Low,Close,Volume
27.38,27.38,27.38,27.38,15582.0
27.21,27.37,27.21,27.37,713.0
27.34,27.34,27.33,27.33,300.0
27.26,27.36,27.26,27.35,2556.0
27.25,27.36,27.25,27.3,3583.0
27.32,27.32,27.27,27.285,2200.0
27.34,27.34,27.34,27.34,400.0
27.37,27.39,27.36,27.375,6279.0
27.38,27.4,27.38,27.3871,4254.0
27.37,27.38,27.35,27.36,2200.0
27.33,27.36,27.32,27.36,2888.0
27.35,27.35,27.32,27.34,3583.0
27.35,27.36,27.35,27.35,1900.0
27.33,27.37,27.32,27.34,3900.0
27.28,27.35,27.27,27.34,4219.0
27.32,27.32,27.27,27.27,2500.0
27.27,27.32,27.25,27.32,9024.0
27.27,27.27,27.24,27.27,3979.0
27.26,27.3,27.26,27.28,3671.0
27.29,27.3,27.27,27.27,4552.0
27.29,27.31,27.29,27.295,3512.0
27.32,27.32,27.3,27.3,2400.0
27.32,27.34,27.31,27.32,3700.0
27.305,27.32,27.305,27.32,2212.0
27.3,27.35,27.3,27.305,10315.0
27.32,27.32,27.3,27.3,3023.0
27.28,27.32,27.28,27.32,6016.0
27.27,27.28,27.25,27.28,5985.0
27.28,27.29,27.25,27.26,6815.0
27.27,27.3,27.24,27.295,5802.0
27.24,27.28,27.24,27.27,3332.0
27.23,27.24,27.2,27.23,4952.0
27.21,27.225,27.21,27.225,1200.0
27.2,27.21,27.19,27.21,2584.0
27.2,27.24,27.2,27.21,4844.0
27.22,27.22,27.2,27.2,4490.0
27.23,27.23,27.21,27.22,5356.0
27.255,27.255,27.235,27.235,1700.0
27.25,27.26,27.24,27.255,5100.0
27.25,27.26,27.25,27.26,725.0
27.24,27.25,27.24,27.24,800.0
27.17,27.24,27.17,27.24,3302.0
27.15,27.19,27.15,27.16,5337.0
27.1418,27.17,27.14,27.17,1500.0
27.14,27.15,27.14,27.15,2000.0
27.13,27.15,27.13,27.15,4300.0
27.11,27.13,27.11,27.13,2000.0
27.1,27.1,27.1,27.1,1800.0
27.08,27.1,27.07,27.1,3956.0
27.09,27.09,27.07,27.08,3195.0
27.09,27.1,27.09,27.1,2952.0
27.07,27.09,27.07,27.09,1724.0
27.07,27.07,27.06,27.07,2100.0
27.1,27.1,27.08,27.08,1892.0
27.09,27.1,27.09,27.1,3573.0
27.1,27.1,27.09,27.09,1300.0
27.1,27.11,27.1,27.1,3000.0
27.1,27.11,27.1,27.11,20021.0
27.12,27.12,27.1,27.1,5000.0
27.115,27.12,27.115,27.12,1200.0
27.125,27.13,27.105,27.11,4308.0
