Open,High,Low,Close,Volume
78.76,78.93,78.61,78.93,22744.0
78.585,78.585,78.48,78.49,500.0
78.54,78.65,78.5,78.54,3649.0
78.55,78.55,78.55,78.55,300.0
78.7,78.7,78.61,78.61,555.0
78.7,78.73,78.63,78.685,1014.0
78.65,78.65,78.61,78.65,700.0
78.62,78.64,78.57,78.59,830.0
78.59,78.7,78.55,78.55,5216.0
78.62,78.62,78.6,78.6,1100.0
78.595,78.595,78.57,78.57,200.0
78.62,78.62,78.56,78.57,1900.0
78.64,78.67,78.61,78.61,1757.0
78.64,78.68,78.6348,78.67,885.0
78.69,78.69,78.65,78.65,1177.0
78.7,78.72,78.67,78.71,1600.0
78.65,78.72,78.65,78.72,2500.0
78.71,78.72,78.64,78.64,1081.0
78.73,78.73,78.7124,78.7124,369.0
78.77,78.77,78.73,78.73,1184.0
78.69,78.76,78.69,78.76,2400.0
78.71,78.71,78.69,78.69,633.0
78.75,78.75,78.69,78.71,1513.0
78.78,78.78,78.74,78.74,1909.0
78.83,78.84,78.76,78.76,3200.0
78.8,78.85,78.8,78.82,6071.0
78.82,78.83,78.79,78.79,5536.0
78.82,78.88,78.81,78.83,4485.0
78.91,78.91,78.83,78.83,9209.0
78.96,78.98,78.905,78.93,3500.0
78.9,78.99,78.86,78.97,3458.0
78.84,78.88,78.83,78.86,1400.0
78.82,78.88,78.82,78.83,3644.0
78.82,78.82,78.78,78.81,2100.0
78.88,78.88,78.83,78.83,789.0
78.88,78.9,78.85,78.88,3000.0
78.95,78.95,78.9,78.92,2000.0
78.98,78.98,78.95,78.95,2800.0
79.0,79.02,78.97,78.97,6013.0
78.98,79.0075,78.97,79.005,3550.0
79.0,79.02,78.98,78.98,8201.0
78.93,78.99,78.93,78.99,3152.0
78.96,78.97,78.9,78.91,2413.0
78.93,78.97,78.93,78.97,2600.0
78.94,78.94,78.9,78.93,1700.0
79.0,79.0,78.94,78.94,2603.0
79.0,79.0,78.98,78.99,2500.0
78.96,79.01,78.96,79.0,3300.0
78.975,78.99,78.95,78.96,1400.0
78.97,79.0,78.96,78.99,1800.0
78.98,78.98,78.97,78.98,300.0
79.08,79.08,78.98,78.98,2750.0
79.11,79.15,79.08,79.08,4400.0
79.1,79.1,79.07,79.1,2502.0
79.08,79.08,79.06,79.08,1706.0
79.13,79.13,79.08,79.09,900.0
79.14,79.16,79.11,79.11,2100.0
79.16,79.18,79.12,79.12,600.0
79.15,79.15,79.12,79.15,2100.0
79.21,79.21,79.15,79.15,1315.0
79.15,79.2,79.15,79.19,3601.0
79.09,79.14,79.09,79.14,400.0
79.11,79.13,79.09,79.09,1081.0
79.11,79.16,79.11,79.12,3568.0
79.1,79.12,79.08,79.1,2733.0
79.12,79.14,79.11,79.11,2809.0
79.12,79.14,79.11,79.12,1200.0
79.16,79.18,79.12,79.13,4301.0
79.13,79.17,79.13,79.16,2400.0
79.14,79.17,79.12,79.12,3227.0
79.085,79.13,79.07,79.12,1712.0
79.06,79.09,79.06,79.09,1108.0
79.06,79.06,79.05,79.05,3220.0
79.07,79.07,79.04,79.06,3529.0
78.99,79.07,78.99,79.07,3004.0
78.98,79.01,78.97,79.0,5380.0
79.0,79.01,78.97,78.97,1711.0
79.0,79.01,78.98,79.0,4400.0
78.97,79.005,78.96,79.0,2200.0
78.97,78.97,78.96,78.97,700.0
78.9,78.97,78.9,78.97,2200.0
78.925,78.925,78.88,78.9,6154.0
78.96,78.96,78.92,78.92,400.0
78.97,78.97,78.93,78.94,800.0
78.93,78.99,78.93,78.98,2700.0
78.88,78.91,78.88,78.89,4700.0
78.88,78.8875,78.85,78.88,4124.0
78.89,78.92,78.89,78.89,800.0
78.9,78.901,78.89,78.9,2300.0
78.89,78.9008,78.89,78.9,1774.0
78.88,78.91,78.88,78.9,1004.0
78.94,78.94,78.9,78.9,1100.0
78.84,78.93,78.84,78.92,1935.0
78.88,78.88,78.85,78.86,2692.0
78.895,78.91,78.875,78.88,1800.0
78.89,78.91,78.89,78.9,2201.0
78.87,78.895,78.84,78.89,3843.0
78.88,78.88,78.87,78.87,800.0
78.87,78.89,78.855,78.8899,2947.0
78.885,78.92,78.88,78.88,5608.0
78.905,78.905,78.9,78.9,500.0
78.9225,78.9225,78.91,78.92,1302.0
78.94,78.94,78.9,78.9,2050.0
78.94,78.955,78.935,78.95,1700.0
78.95,78.96,78.94,78.94,2900.0
78.995,79.01,78.95,78.95,2937.0
79.03,79.03,78.98,78.99,1603.0
79.03,79.03,78.995,79.02,3756.0
79.03,79.065,79.03,79.05,2655.0
79.0525,79.0525,79.025,79.03,1288.0
79.06,79.06,79.06,79.06,400.0
79.08,79.08,79.06,79.07,2662.0
79.13,79.13,79.07,79.07,3849.0
79.14,79.14,79.12,79.12,1402.0
79.12,79.15,79.12,79.15,1300.0
79.11,79.12,79.105,79.11,1009.0
79.14,79.14,79.11,79.11,700.0
79.12,79.13,79.11,79.12,1450.0
79.1,79.11,79.09,79.11,1600.0
79.07,79.09,79.06,79.08,1100.0
79.08,79.08,79.07,79.07,1200.0
79.08,79.09,79.06,79.09,1635.0
79.03,79.05,79.03,79.05,350.0
79.01,79.03,79.01,79.01,1443.0
79.0013,79.03,79.0,79.03,795.0
79.01,79.01,78.993,79.01,1700.0
78.99,79.01,78.97,79.0,2125.0
79.0,79.01,78.98,78.98,700.0
79.04,79.05,79.02,79.02,710.0
79.03,79.04,79.03,79.03,1086.0
79.03,79.03,79.0268,79.03,1125.0
78.98,79.025,78.98,79.02,5204.0
78.96,78.99,78.96,78.98,7384.0
78.99,78.99,78.94,78.95,6302.0
78.995,79.0057,78.97,78.97,5248.0
79.02,79.02,78.9914,78.9914,1450.0
79.02,79.05,79.02,79.03,1350.0
79.01,79.01,78.98,79.01,1300.0
