Open,High,Low,Close,Volume
96.34,96.39,96.27,96.31,6755.0
96.37,96.49,96.31,96.32,1800.0
96.56,96.56,96.38,96.38,2353.0
96.375,96.592,96.32,96.53,3449.0
96.44,96.54,96.39,96.425,3418.0
96.3,96.49,96.3,96.41,1500.0
96.3,96.47,96.3,96.31,2350.0
96.34,96.44,96.3,96.3,4764.0
96.28,96.31,96.25,96.3,1000.0
96.4,96.4,96.28,96.28,2470.0
96.28,96.4699,96.28,96.4,3024.0
96.23,96.23,96.17,96.17,1000.0
96.25,96.35,96.22,96.22,2179.0
96.26,96.34,96.24,96.29,4522.0
96.22,96.27,96.16,96.25,2804.0
96.02,96.264,96.02,96.24,3195.0
96.2,96.2,96.0,96.0,3900.0
96.1,96.22,96.1,96.16,7945.0
95.96,96.04,95.94,96.04,900.0
96.01,96.08,95.96,96.0176,3500.0
96.0,96.07,96.0,96.02,2500.0
96.01,96.03,95.99,96.0,7596.0
96.0,96.002,95.99,96.0,1022.0
95.99,96.05,95.99,96.0,1700.0
95.98,96.03,95.97,95.97,1500.0
96.3,96.3,95.98,95.98,8499.0
96.23,96.28,96.23,96.26,1600.0
96.28,96.29,96.23,96.23,4400.0
96.2,96.27,96.2,96.27,2652.0
96.03,96.22,96.03,96.2,2100.0
96.01,96.1,96.01,96.07,3000.0
96.03,96.03,95.96,96.01,2805.0
96.05,96.075,95.9,95.95,9795.0
96.14,96.18,96.02,96.02,3316.0
96.21,96.21,96.1,96.1,3080.0
96.15,96.29,96.15,96.19,5399.0
96.13,96.17,96.13,96.16,1679.0
95.97,96.13,95.96,96.13,2400.0
95.99,96.01,95.98,95.98,1600.0
95.97,95.995,95.97,95.98,1900.0
95.99,96.01,95.93,96.01,3900.0
95.99,96.04,95.96,95.96,2602.0
96.08,96.12,95.99,96.01,8504.0
96.09,96.12,96.08,96.09,4928.0
95.97,96.09,95.94,96.08,6788.0
96.02,96.11,96.0,96.0,3599.0
96.07,96.1899,96.01,96.01,22808.0
96.1,96.13,96.05,96.05,5316.0
96.084,96.12,96.02,96.1,5837.0
96.11,96.17,96.11,96.12,2300.0
96.01,96.14,96.0,96.11,3100.0
95.995,96.02,95.98,96.02,2450.0
96.03,96.06,95.98,96.0,5425.0
95.92,96.05,95.92,96.03,6570.0
95.785,95.9152,95.785,95.91,2235.0
95.74,95.79,95.74,95.77,2875.0
95.75,95.7752,95.72,95.72,1900.0
95.6558,95.74,95.6201,95.74,9528.0
95.54,95.63,95.48,95.63,14419.0
95.44,95.52,95.44,95.5,3973.0
95.5,95.51,95.42,95.45,3652.0
95.63,95.66,95.52,95.52,6127.0
95.75,95.77,95.63,95.63,4202.0
95.63,95.74,95.59,95.72,2700.0
95.72,95.76,95.54,95.6,7883.0
95.72,95.72,95.67,95.69,1600.0
95.77,95.78,95.67,95.67,2300.0
95.71,95.74,95.69,95.72,1803.0
95.75,95.75,95.68,95.68,2576.0
95.75,95.77,95.72,95.735,2538.0
95.695,95.75,95.68,95.73,2500.0
95.685,95.74,95.65,95.71,2500.0
95.705,95.71,95.67,95.67,4094.0
95.68,95.705,95.64,95.7,7093.0
95.75,95.76,95.68,95.68,2502.0
95.7,95.74,95.7,95.74,2519.0
95.595,95.7,95.58,95.7,2815.0
95.58,95.61,95.56,95.58,2700.0
95.525,95.6,95.5,95.59,1600.0
95.5,95.55,95.49,95.53,5200.0
95.57,95.57,95.48,95.5,3587.0
95.64,95.64,95.58,95.6,2901.0
95.56,95.66,95.55,95.64,3466.0
95.5134,95.53,95.48,95.53,3800.0
95.46,95.54,95.46,95.54,1125.0
95.4,95.45,95.39,95.45,3100.0
95.41,95.49,95.39,95.4,2700.0
95.29,95.39,95.26,95.39,2477.0
95.37,95.42,95.28,95.3,6350.0
95.38,95.39,95.33,95.365,4400.0
95.44,95.44,95.38,95.39,3000.0
95.35,95.44,95.35,95.421,3022.0
