Open,High,Low,Close,Volume
57.43,57.43,57.43,57.43,130.0
56.94,56.94,56.94,56.94,100.0
57.39,57.4028,57.03,57.11,1900.0
57.395,57.395,57.395,57.395,100.0
57.5,57.5,57.47,57.47,300.0
57.41,57.59,57.41,57.42,3225.0
57.45,57.45,57.415,57.42,600.0
57.135,57.3872,57.12,57.3872,2200.0
57.16,57.21,57.09,57.16,2700.0
57.22,57.26,57.16,57.16,1901.0
57.14,57.2099,57.12,57.12,7371.0
57.18,57.18,57.15,57.15,1213.0
57.34,57.4,57.2,57.2,3403.0
57.39,57.39,57.31,57.37,2000.0
57.34,57.35,57.3,57.35,2224.0
57.38,57.489,57.36,57.37,4372.0
57.37,57.4,57.37,57.4,1100.0
57.33,57.37,57.28,57.36,3154.0
57.24,57.3,57.24,57.3,310.0
57.16,57.215,57.16,57.21,1700.0
57.12,57.18,57.09,57.18,1560.0
57.07,57.11,57.05,57.11,1850.0
56.87,57.04,56.87,57.04,7734.0
56.9,56.91,56.81,56.87,2498.0
56.98,56.98,56.84,56.84,1799.0
56.96,56.97,56.92,56.94,400.0
57.0,57.0,56.97,56.97,1305.0
57.03,57.03,57.02,57.02,700.0
57.05,57.05,57.0111,57.03,1540.0
57.0,57.05,56.94,57.05,1084.0
56.92,56.97,56.9,56.97,700.0
56.91,56.92,56.89,56.91,1892.0
57.05,57.05,56.8933,56.8933,3355.0
57.04,57.04,57.02,57.03,1286.0
56.99,57.0,56.99,57.0,300.0
56.97,57.0,56.97,57.0,800.0
57.0,57.0,56.97,56.97,1903.0
57.11,57.11,56.97,56.97,2500.0
57.21,57.21,57.15,57.15,600.0
57.1364,57.21,57.1364,57.19,1301.0
57.11,57.195,57.11,57.18,4032.0
57.03,57.1,57.03,57.1,1300.0
57.04,57.04,57.01,57.04,1100.0
57.08,57.09,57.08,57.09,400.0
57.07,57.12,57.06,57.12,3000.0
57.13,57.13,57.11,57.11,1200.0
57.08,57.14,57.08,57.14,1800.0
57.03,57.05,57.02,57.05,1100.0
57.09,57.09,57.02,57.03,1600.0
57.12,57.12,57.0778,57.08,1901.0
57.17,57.17,57.11,57.11,800.0
57.23,57.27,57.22,57.23,4100.0
57.2,57.28,57.2,57.24,900.0
57.24,57.24,57.24,57.24,200.0
57.16,57.19,57.15,57.17,4150.0
57.13,57.18,57.13,57.17,2100.0
57.19,57.22,57.1243,57.1243,1930.0
57.19,57.19,57.16,57.18,1800.0
57.11,57.2328,57.11,57.21,3321.0
57.07,57.09,57.07,57.09,600.0
56.87,57.07,56.87,57.07,732.0
56.93,56.93,56.88,56.89,1648.0
56.84,56.84,56.84,56.84,100.0
56.81,56.81,56.78,56.78,821.0
56.9875,56.9875,56.82,56.82,4095.0
56.99,57.015,56.99,57.015,1800.0
57.03,57.03,56.95,56.97,3343.0
57.06,57.16,57.05,57.05,2299.0
57.08,57.12,57.08,57.09,1400.0
57.255,57.255,57.12,57.12,2500.0
57.25,57.25,57.23,57.23,200.0
57.2,57.3,57.2,57.26,2544.0
57.03,57.2,57.03,57.2,800.0
57.04,57.07,57.04,57.07,200.0
57.03,57.03,56.99,57.02,1800.0
57.04,57.04,57.04,57.04,200.0
57.0201,57.03,56.99,57.0,3801.0
57.09,57.09,57.02,57.035,1906.0
57.03,57.1,57.03,57.08,2404.0
56.98,57.03,56.98,57.02,1400.0
56.97,56.98,56.94,56.97,710.0
57.04,57.06,57.0,57.0,3000.0
57.08,57.09,57.03,57.06,4500.0
57.09,57.09,57.09,57.09,500.0
56.98,57.06,56.97,57.06,2400.0
56.99,56.99,56.93,56.93,1851.0
57.05,57.06,56.985,56.985,1900.0
57.04,57.05,57.01,57.05,2700.0
57.03,57.14,57.02,57.04,4764.0
57.05,57.05,57.0,57.04,1379.0
56.98,57.03,56.98,57.03,3100.0
56.88,56.95,56.88,56.95,400.0
56.94,56.94,56.89,56.89,3174.0
56.99,56.99,56.93,56.93,900.0
56.9,56.9546,56.9,56.9546,1060.0
56.97,56.97,56.9,56.9,1501.0
56.92,57.01,56.92,56.99,3734.0
56.87,56.94,56.87,56.89,800.0
56.91,56.94,56.89,56.89,1000.0
56.86,56.92,56.85,56.906,1500.0
56.82,56.91,56.82,56.88,2900.0
56.84,56.84,56.84,56.84,100.0
56.83,56.9,56.82,56.825,4255.0
56.9,56.94,56.82,56.82,16867.0
56.92,56.92,56.87,56.9,2599.0
56.93,56.96,56.92,56.92,1139.0
57.01,57.01,56.91,56.93,4900.0
56.96,57.02,56.96,57.0,2800.0
56.91,56.96,56.91,56.96,300.0
56.88,56.92,56.88,56.9,2200.0
56.92,56.92,56.86,56.86,1910.0
56.945,56.97,56.915,56.93,4211.0
56.98,57.03,56.97,56.97,3734.0
56.9,56.99,56.9,56.98,1400.0
56.88,56.9,56.88,56.9,400.0
56.79,56.84,56.79,56.84,800.0
56.79,56.79,56.79,56.79,100.0
56.735,56.79,56.735,56.79,2529.0
56.71,56.72,56.71,56.72,200.0
56.66,56.68,56.625,56.68,3990.0
56.65,56.68,56.64,56.67,2521.0
56.69,56.69,56.64,56.64,2400.0
56.6277,56.66,56.61,56.66,4000.0
56.57,56.62,56.57,56.61,603.0
56.53,56.64,56.53,56.58,3348.0
56.5446,56.55,56.53,56.53,2208.0
56.6,56.6,56.56,56.56,1570.0
56.7,56.71,56.61,56.61,4701.0
56.79,56.79,56.7,56.74,2800.0
56.78,56.79,56.78,56.79,800.0
56.72,56.77,56.72,56.77,2000.0
56.81,56.84,56.73,56.74,2221.0
56.79,56.79,56.77,56.78,700.0
56.77,56.78,56.715,56.78,4264.0
56.87,56.87,56.79,56.79,2300.0
56.8,56.85,56.7975,56.85,3016.0
56.73,56.785,56.73,56.785,500.0
56.76,56.78,56.75,56.75,2100.0
56.81,56.81,56.75,56.77,1200.0
56.78,56.805,56.78,56.805,3200.0
56.76,56.83,56.76,56.77,3202.0
56.74,56.76,56.74,56.76,300.0
56.665,56.72,56.64,56.72,1407.0
56.69,56.69,56.645,56.655,4228.0
56.66,56.67,56.64,56.67,3633.0
56.7,56.7,56.67,56.67,1400.0
56.775,56.78,56.67,56.7,2900.0
56.74,56.775,56.74,56.775,1400.0
56.67,56.72,56.67,56.72,1500.0
56.63,56.65,56.63,56.65,400.0
56.6699,56.6699,56.59,56.63,1900.0
56.645,56.645,56.645,56.645,100.0
56.645,56.645,56.645,56.645,100.0
56.6,56.67,56.6,56.64,2744.0
56.5678,56.6,56.56,56.59,3850.0
56.57,56.62,56.565,56.6,2300.0
56.55,56.57,56.55,56.57,2700.0
56.57,56.58,56.56,56.56,1100.0
56.57,56.59,56.54,56.56,8100.0
56.58,56.58,56.53,56.56,4200.0
56.5,56.55,56.48,56.55,1727.0
56.49,56.505,56.48,56.48,700.0
56.48,56.49,56.46,56.46,1100.0
56.39,56.49,56.39,56.46,4640.0
56.44,56.47,56.42,56.43,1400.0
56.38,56.46,56.38,56.46,1000.0
56.42,56.42,56.39,56.4,2807.0
56.46,56.46,56.42,56.44,6100.0
56.45,56.45,56.45,56.45,100.0
56.44,56.45,56.43,56.45,1801.0
56.43,56.46,56.43,56.44,1000.0
56.44,56.44,56.385,56.43,5701.0
56.47,56.47,56.45,56.45,1205.0
56.51,56.52,56.484,56.49,10005.0
56.54,56.54,56.49,56.49,1620.0
56.57,56.57,56.55,56.55,400.0
56.63,56.64,56.55,56.57,2700.0
56.66,56.66,56.64,56.64,500.0
56.7,56.71,56.6572,56.6572,1404.0
56.69,56.69,56.67,56.69,1400.0
56.71,56.725,56.71,56.71,600.0
56.73,56.75,56.72,56.72,1300.0
56.7,56.76,56.69,56.74,2089.0
56.68,56.71,56.68,56.71,600.0
56.69,56.73,56.6899,56.69,3494.0
56.71,56.74,56.71,56.74,3686.0
56.67,56.68,56.66,56.68,1000.0
56.63,56.67,56.62,56.67,1400.0
56.6,56.63,56.6,56.63,1300.0
56.56,56.56,56.56,56.56,500.0
56.55,56.56,56.55,56.56,400.0
56.55,56.56,56.55,56.55,600.0
56.57,56.6,56.57,56.57,2326.0
56.56,56.56,56.56,56.56,800.0
