Open,High,Low,Close,Volume
35.215,35.26,35.0239,35.03,14121.0
35.0,35.26,35.0,35.25,5061.0
34.91,34.91,34.91,34.91,100.0
34.98,35.04,34.98,35.02,300.0
35.13,35.13,34.995,35.0404,1200.0
35.02,35.05,35.0,35.02,2903.0
35.02,35.06,34.99,35.01,9722.0
34.94,35.0,34.94,35.0,2800.0
34.95,34.985,34.94,34.98,2400.0
34.93,34.94,34.93,34.93,500.0
34.88,34.94,34.88,34.936,2419.0
34.97,34.97,34.89,34.9,6140.0
34.92,34.94,34.92,34.94,1320.0
34.96,34.96,34.91,34.93,3200.0
34.99,35.03,34.96,34.96,3566.0
34.95,34.99,34.94,34.99,4700.0
34.97,34.97,34.955,34.955,1578.0
34.96,34.98,34.95,34.97,5100.0
34.94,34.97,34.94,34.96,2300.0
34.9,34.935,34.89,34.935,3400.0
34.8851,34.9092,34.8851,34.9,3082.0
34.865,34.88,34.86,34.88,2300.0
34.89,34.89,34.85,34.86,5787.0
34.85,34.91,34.85,34.885,9405.0
34.85,34.86,34.84,34.855,3840.0
34.86,34.86,34.845,34.85,4507.0
34.86,34.86,34.85,34.86,700.0
34.885,34.94,34.865,34.94,24402.0
34.87,34.885,34.85,34.885,3748.0
34.81,34.87,34.81,34.87,3385.0
34.74,34.81,34.74,34.81,10725.0
34.74,34.76,34.735,34.74,5435.0
34.76,34.76,34.72,34.73,5348.0
34.78,34.8,34.755,34.755,6969.0
34.79,34.82,34.79,34.79,5805.0
34.79,34.79,34.77,34.78,2195.0
34.79,34.79,34.77,34.775,2100.0
34.72,34.79,34.72,34.79,3507.0
34.705,34.72,34.69,34.72,5410.0
34.72,34.72,34.69,34.7,2580.0
34.755,34.755,34.725,34.73,1700.0
34.75,34.755,34.73,34.755,3500.0
34.72,34.75,34.72,34.75,3189.0
34.71,34.7199,34.7,34.7199,2300.0
34.65,34.71,34.65,34.71,5950.0
34.62,34.65,34.62,34.65,2900.0
34.66,34.66,34.63,34.63,3751.0
34.6566,34.6566,34.64,34.65,5121.0
34.68,34.68,34.65,34.65,4500.0
34.66,34.675,34.66,34.67,3478.0
34.66,34.67,34.66,34.6675,2000.0
34.66,34.66,34.65,34.66,1000.0
34.67,34.67,34.65,34.66,1800.0
34.72,34.73,34.675,34.675,5000.0
34.66,34.72,34.66,34.72,3925.0
34.66,34.69,34.66,34.67,3000.0
34.66,34.67,34.64,34.65,3132.0
34.63,34.66,34.59,34.66,14933.0
34.64,34.64,34.585,34.63,3600.0
34.6,34.63,34.6,34.63,1405.0
34.575,34.59,34.56,34.59,4400.0
34.6,34.6,34.5725,34.58,1925.0
34.59,34.63,34.59,34.6,3330.0
34.54,34.59,34.54,34.59,4727.0
34.57,34.575,34.53,34.54,4000.0
34.57,34.58,34.565,34.565,2198.0
34.6,34.61,34.56,34.57,11225.0
34.59,34.601,34.585,34.6,5840.0
34.578,34.595,34.575,34.58,3213.0
34.57,34.57,34.54,34.57,5524.0
34.565,34.59,34.56,34.565,3100.0
34.6,34.6,34.57,34.57,2400.0
34.59,34.61,34.59,34.61,3200.0
34.56,34.6,34.56,34.595,3800.0
34.55,34.565,34.55,34.56,3200.0
34.54,34.55,34.52,34.55,2922.0
34.525,34.535,34.5,34.53,5298.0
34.51,34.53,34.51,34.53,2700.0
34.5,34.515,34.48,34.51,9160.0
34.51,34.52,34.51,34.51,2300.0
34.47,34.5,34.46,34.5,5600.0
34.42,34.465,34.42,34.46,11836.0
34.41,34.45,34.41,34.43,4100.0
34.45,34.46,34.39,34.41,49168.0
34.41,34.44,34.37,34.44,25152.0
34.38,34.41,34.38,34.41,4449.0
34.36,34.4,34.36,34.38,7649.0
34.32,34.35,34.305,34.35,14175.0
34.33,34.34,34.31,34.32,5421.0
34.35,34.35,34.31,34.34,8138.0
34.37,34.37,34.36,34.36,1431.0
34.31,34.355,34.3,34.35,12379.0
34.34,34.34,34.31,34.31,4500.0
34.31,34.33,34.27,34.33,18685.0
34.23,34.31,34.23,34.31,3118.0
34.19,34.23,34.16,34.23,6752.0
34.19,34.23,34.17,34.2,6795.0
34.13,34.18,34.13,34.18,3970.0
34.155,34.155,34.13,34.14,7756.0
34.14,34.15,34.13,34.15,5319.0
34.13,34.15,34.13,34.14,3428.0
34.12,34.13,34.11,34.13,3539.0
34.09,34.12,34.04,34.12,12250.0
34.07,34.09,34.035,34.09,4798.0
34.035,34.07,33.9853,34.07,39652.0
34.0,34.04,33.99,34.03,5530.0
33.98,33.99,33.945,33.99,5773.0
33.93,33.99,33.92,33.99,5399.0
33.86,33.92,33.85,33.91,6510.0
33.72,33.85,33.72,33.84,10564.0
33.76,33.7697,33.68,33.75,19500.0
33.8,33.82,33.76,33.77,10374.0
33.82,33.83,33.78,33.8,5900.0
33.81,33.85,33.75,33.82,50859.0
33.84,33.86,33.8,33.8,7600.0
33.85,33.87,33.82,33.85,18639.0
33.86,33.86,33.85,33.86,16543.0
33.87,33.88,33.84,33.86,68171.0
33.93,33.93,33.87,33.87,5463.0
33.945,33.95,33.8999,33.92,21281.0
33.93,33.97,33.92,33.94,17199.0
33.92,33.935,33.9,33.925,20678.0
33.91,33.945,33.91,33.92,17632.0
33.92,33.94,33.89,33.91,29379.0
33.88,33.92,33.88,33.92,13355.0
33.89,33.93,33.87,33.875,8710.0
33.86,33.91,33.86,33.89,12736.0
33.79,33.88,33.785,33.86,10911.0
33.83,33.83,33.795,33.795,8263.0
33.83,33.86,33.82,33.83,6909.0
33.82,33.82,33.8,33.82,8610.0
33.84,33.86,33.82,33.82,2722.0
33.84,33.86,33.83,33.84,16845.0
33.82,33.85,33.82,33.84,17354.0
33.95,33.95,33.8,33.82,55600.0
33.95,33.96,33.915,33.95,7313.0
33.95,33.95,33.92,33.94,8002.0
34.04,34.04,33.96,33.96,19288.0
34.02,34.07,33.995,34.04,18445.0
34.03,34.04,33.995,34.02,53481.0
34.05,34.05,34.01,34.03,13877.0
34.05,34.05,34.01,34.05,11901.0
34.07,34.07,34.03,34.05,9736.0
34.06,34.1,34.06,34.075,6021.0
34.05,34.07,34.03,34.05,16976.0
34.08,34.08,34.05,34.05,5819.0
34.06,34.085,34.05,34.08,6634.0
34.07,34.07,34.04,34.05,7684.0
34.11,34.11,34.06,34.07,12642.0
34.12,34.12,34.0855,34.11,10143.0
34.1054,34.12,34.09,34.11,8607.0
34.12,34.13,34.04,34.1,48985.0
34.11,34.12,34.1,34.11,35162.0
34.13,34.15,34.1,34.11,19864.0
34.16,34.2,34.125,34.13,24273.0
34.13,34.165,34.12,34.165,6397.0
34.13,34.14,34.115,34.12,6325.0
34.18,34.2,34.13,34.13,4836.0
34.12,34.18,34.12,34.18,6700.0
34.13,34.13,34.09,34.11,5289.0
34.09,34.135,34.09,34.135,3383.0
34.06,34.09,34.05,34.09,5276.0
34.05,34.06,34.02,34.05,6671.0
34.02,34.0755,34.02,34.055,3723.0
34.01,34.02,34.01,34.01,3747.0
33.95,34.0,33.95,34.0,6954.0
33.91,33.97,33.91,33.96,5244.0
33.94,33.95,33.9,33.905,28600.0
33.93,33.94,33.92,33.94,2401.0
33.96,33.96,33.93,33.93,62940.0
34.0,34.0,33.97,33.97,2767.0
34.01,34.02,33.99,33.99,4916.0
33.99,34.005,33.99,34.0,3940.0
33.95,33.99,33.94,33.99,6989.0
33.94,33.95,33.92,33.95,29288.0
33.94,33.94,33.92,33.94,4470.0
33.96,33.98,33.95,33.95,3040.0
33.94,33.96,33.94,33.96,3600.0
33.96,33.98,33.945,33.945,3400.0
33.9401,33.97,33.9201,33.97,7167.0
33.96,33.97,33.94,33.94,3600.0
33.98,33.98,33.945,33.96,6450.0
33.935,33.99,33.93,33.98,6000.0
33.91,33.93,33.9,33.93,6719.0
33.91,33.915,33.9,33.905,4680.0
33.9,33.91,33.88,33.91,4260.0
33.94,33.94,33.89,33.89,5482.0
33.91,33.935,33.91,33.935,2165.0
33.9,33.93,33.89,33.92,6841.0
33.91,33.91,33.9,33.9,3165.0
33.91,33.92,33.9,33.92,1500.0
33.91,33.91,33.89,33.9,9773.0
33.9401,33.9401,33.92,33.92,4200.0
33.955,33.9576,33.9469,33.9469,3201.0
33.91,33.95,33.91,33.95,5800.0
33.9,33.9101,33.88,33.9101,7696.0
33.86,33.89,33.86,33.89,4244.0
33.86,33.86,33.845,33.86,4294.0
33.835,33.86,33.83,33.86,4779.0
33.84,33.84,33.83,33.83,400.0
33.855,33.86,33.84,33.84,4395.0
33.82,33.87,33.81,33.86,13951.0
33.81,33.82,33.8,33.8098,5512.0
33.87,33.88,33.81,33.82,3746.0
33.89,33.89,33.865,33.88,3946.0
33.92,33.92,33.885,33.885,1610.0
33.94,33.94,33.91,33.92,6615.0
33.92,33.935,33.915,33.935,5630.0
33.89,33.93,33.89,33.93,3472.0
33.87,33.88,33.87,33.88,1590.0
33.87,33.875,33.865,33.865,1600.0
33.87,33.87,33.85,33.87,4151.0
33.835,33.86,33.835,33.86,4632.0
33.85,33.85,33.83,33.83,2139.0
33.86,33.86,33.85,33.85,2100.0
33.855,33.87,33.855,33.87,1257.0
33.84,33.855,33.84,33.855,700.0
33.82,33.84,33.82,33.84,2307.0
33.83,33.85,33.825,33.83,4651.0
33.81,33.84,33.81,33.835,4400.0
33.84,33.85,33.8,33.8,4821.0
33.85,33.85,33.83,33.83,4998.0
33.8,33.85,33.8,33.85,4599.0
33.8,33.81,33.78,33.81,4770.0
33.785,33.8,33.77,33.8,12450.0
33.81,33.815,33.79,33.79,7485.0
33.8,33.81,33.785,33.81,8184.0
33.8,33.815,33.79,33.79,4292.0
33.795,33.8,33.79,33.79,5430.0
33.82,33.82,33.78,33.795,3983.0
33.8,33.826,33.8,33.826,3941.0
33.81,33.81,33.8,33.8,2400.0
33.81,33.82,33.8,33.81,8672.0
33.8,33.82,33.79,33.8,6830.0
33.8,33.805,33.75,33.8,11231.0
33.8,33.83,33.8,33.8,7250.0
33.82,33.83,33.81,33.81,3978.0
33.82,33.83,33.81,33.82,3058.0
33.85,33.85,33.81,33.81,9743.0
33.87,33.88,33.84,33.845,4285.0
33.9,33.91,33.875,33.875,2706.0
33.92,33.96,33.895,33.895,38615.0
33.87,33.95,33.86,33.91,29031.0
33.875,33.875,33.87,33.87,2300.0
33.84,33.875,33.83,33.875,4100.0
33.82,33.84,33.82,33.84,4366.0
33.86,33.86,33.81,33.81,12457.0
33.87,33.87,33.84,33.855,7044.0
33.82,33.86,33.81,33.86,7690.0
33.845,33.85,33.825,33.83,1831.0
33.855,33.86,33.84,33.84,3838.0
33.84,33.86,33.835,33.85,5099.0
33.83,33.85,33.83,33.85,4438.0
33.82,33.84,33.82,33.84,1900.0
33.83,33.83,33.81,33.81,8323.0
33.8,33.825,33.8,33.825,2200.0
33.82,33.82,33.795,33.806,6588.0
33.795,33.825,33.795,33.82,3800.0
33.785,33.8,33.78,33.79,15096.0
33.8,33.81,33.775,33.78,4973.0
33.805,33.82,33.8,33.8,3059.0
33.7857,33.8,33.775,33.8,3712.0
33.78,33.805,33.78,33.785,28221.0
33.77,33.78,33.77,33.78,3912.0
33.75,33.765,33.75,33.765,18450.0
33.79,33.79,33.75,33.75,3627.0
33.79,33.79,33.78,33.79,10099.0
33.8,33.8,33.78,33.7954,17223.0
33.76,33.805,33.76,33.805,16963.0
33.76,33.77,33.75,33.765,4531.0
33.81,33.81,33.765,33.765,5345.0
33.81,33.815,33.8,33.815,4956.0
33.79,33.81,33.78,33.805,5500.0
33.79,33.795,33.78,33.79,7129.0
33.77,33.79,33.77,33.79,8579.0
33.82,33.82,33.77,33.77,13993.0
33.82,33.83,33.81,33.82,7855.0
33.81,33.83,33.81,33.82,5000.0
33.91,33.915,33.82,33.82,17231.0
33.93,33.94,33.9,33.9,15151.0
33.93,33.945,33.9,33.93,9800.0
33.91,33.935,33.89,33.93,7026.0
33.9075,33.91,33.885,33.91,19968.0
33.955,33.965,33.905,33.905,31853.0
33.98,33.99,33.955,33.96,12579.0
33.98,34.0,33.97,33.98,18525.0
33.98,33.99,33.965,33.99,8922.0
33.965,33.98,33.96,33.98,7399.0
34.025,34.025,33.96,33.96,17871.0
34.01,34.04,34.01,34.03,7676.0
34.01,34.02,33.99,34.01,11784.0
33.98,34.0066,33.98,34.0,7489.0
34.0,34.0,33.965,33.98,4740.0
33.97,33.99,33.97,33.99,6807.0
33.944,33.96,33.944,33.96,6442.0
33.97,33.97,33.95,33.95,7510.0
33.98,33.98,33.955,33.97,20204.0
33.97,33.98,33.96,33.98,14685.0
33.97,33.98,33.95,33.98,10225.0
33.97,33.98,33.96,33.96,5507.0
33.97,33.98,33.96,33.97,12594.0
33.98,33.98,33.96,33.96,1300.0
33.96,33.975,33.95,33.97,9633.0
33.98,33.98,33.954,33.96,4663.0
34.0,34.02,33.98,33.98,7730.0
34.0,34.02,34.0,34.0,6560.0
34.0,34.0,33.98,34.0,6268.0
33.955,34.0,33.95,34.0,5350.0
33.955,33.97,33.945,33.9501,8046.0
33.95,33.95,33.94,33.95,5200.0
33.93,33.95,33.92,33.95,4689.0
33.92,33.94,33.91,33.92,5236.0
33.92,33.93,33.905,33.92,10257.0
33.92,33.92,33.91,33.92,2070.0
33.92,33.94,33.92,33.92,8596.0
33.87,33.92,33.86,33.92,6514.0
33.83,33.86,33.83,33.86,5700.0
33.835,33.835,33.815,33.82,3177.0
33.79,33.825,33.79,33.825,8670.0
33.82,33.82,33.79,33.79,4600.0
33.83,33.83,33.82,33.83,1050.0
33.79,33.825,33.77,33.82,65576.0
33.77,33.795,33.77,33.795,4400.0
33.77,33.79,33.77,33.775,8635.0
33.78,33.79,33.77,33.77,8254.0
33.84,33.85,33.78,33.785,14974.0
33.79,33.84,33.785,33.84,51489.0
33.77,33.8,33.765,33.8,23635.0
33.77,33.77,33.76,33.765,3400.0
33.77,33.79,33.77,33.78,11053.0
33.77,33.8,33.76,33.775,7478.0
33.78,33.78,33.75,33.76,5684.0
33.78,33.785,33.775,33.785,2800.0
33.77,33.78,33.76,33.78,5800.0
33.79,33.79,33.755,33.76,6473.0
33.805,33.805,33.78,33.79,3130.0
33.81,33.81,33.79,33.81,7077.0
33.82,33.845,33.82,33.82,5815.0
