Open,High,Low,Close,Volume
79.6,79.6,79.6,79.6,6214.0
79.075,79.64,79.05,79.64,2453.0
79.075,79.245,79.075,79.245,400.0
79.07,79.2497,79.07,79.2497,300.0
79.3,79.3,79.185,79.185,200.0
79.48,79.48,79.34,79.34,1600.0
79.63,79.63,79.51,79.55,1800.0
79.64,79.64,79.5301,79.5301,1000.0
79.57,79.59,79.57,79.59,541.0
79.275,79.54,79.255,79.54,1700.0
79.28,79.45,79.27,79.3472,1900.0
79.445,79.495,79.4,79.4,2300.0
79.53,79.53,79.49,79.49,800.0
79.6,79.68,79.595,79.68,300.0
79.5,79.55,79.5,79.54,600.0
79.5,79.57,79.48,79.57,500.0
79.56,79.56,79.56,79.56,100.0
79.58,79.58,79.56,79.56,300.0
79.5,79.58,79.5,79.57,400.0
79.52,79.565,79.44,79.44,700.0
79.54,79.54,79.54,79.54,300.0
79.57,79.62,79.525,79.54,1553.0
79.72,79.72,79.68,79.68,700.0
79.71,79.72,79.645,79.69,900.0
79.9,79.9,79.73,79.73,2300.0
79.85,79.92,79.84,79.92,5469.0
79.93,79.93,79.85,79.85,1401.0
79.92,79.96,79.875,79.88,2057.0
80.34,80.36,79.9375,79.96,2700.0
80.13,80.27,80.13,80.25,1200.0
80.08,80.14,80.05,80.14,887.0
80.1,80.12,80.045,80.08,2302.0
80.0201,80.09,79.975,80.08,2286.0
79.97,80.045,79.97,80.02,800.0
79.9,79.92,79.85,79.92,800.0
79.98,79.98,79.98,79.98,100.0
80.07,80.07,79.975,79.98,800.0
80.07,80.07,80.07,80.07,100.0
80.02,80.02,80.02,80.02,1254.0
80.0,80.0,80.0,80.0,200.0
80.01,80.11,80.01,80.11,200.0
80.03,80.08,80.03,80.08,305.0
80.1,80.13,80.1,80.13,620.0
80.11,80.156,80.07,80.156,883.0
80.03,80.07,80.03,80.07,200.0
80.0,80.0,79.97,79.99,600.0
79.98,80.02,79.98,80.02,500.0
79.97,79.98,79.9501,79.98,804.0
80.06,80.06,80.0,80.02,600.0
80.2,80.2,80.08,80.09,1223.0
80.2,80.2,80.2,80.2,100.0
80.23,80.23,80.23,80.23,100.0
80.19,80.21,80.19,80.19,1023.0
80.22,80.33,80.16,80.18,6445.0
80.24,80.24,80.19,80.19,900.0
80.2103,80.22,80.21,80.22,1005.0
80.23,80.25,80.23,80.23,800.0
80.25,80.25,80.24,80.24,200.0
80.22,80.245,80.21,80.2419,1450.0
80.17,80.17,80.17,80.17,200.0
80.02,80.09,80.02,80.09,400.0
80.01,80.04,79.98,79.98,900.0
80.021,80.021,80.021,80.021,450.0
79.83,80.01,79.83,80.0,4100.0
79.76,79.82,79.76,79.81,1022.0
79.72,79.805,79.72,79.8,4800.0
79.74,79.74,79.74,79.74,300.0
79.72,79.76,79.7,79.75,3682.0
79.72,79.73,79.7,79.73,988.0
79.72,79.77,79.71,79.76,1002.0
79.715,79.715,79.715,79.715,200.0
79.74,79.78,79.72,79.73,2494.0
79.745,79.745,79.71,79.71,200.0
79.78,79.78,79.735,79.735,1000.0
79.74,79.81,79.74,79.81,200.0
79.75,79.77,79.75,79.77,500.0
79.76,79.78,79.75,79.75,480.0
79.76,79.77,79.74,79.74,500.0
79.805,79.8295,79.805,79.81,474.0
79.87,79.87,79.85,79.85,530.0
79.89,79.89,79.89,79.89,100.0
79.87,79.87,79.87,79.87,100.0
79.9,79.9,79.86,79.86,900.0
79.8603,79.88,79.86,79.86,613.0
79.77,79.86,79.77,79.86,2200.0
79.75,79.8,79.75,79.8,200.0
79.72,79.72,79.72,79.72,100.0
79.7028,79.73,79.69,79.69,365.0
79.68,79.71,79.68,79.71,400.0
79.69,79.69,79.63,79.67,500.0
79.72,79.72,79.66,79.69,1200.0
79.72,79.72,79.72,79.72,100.0
79.76,79.76,79.74,79.74,500.0
79.73,79.74,79.73,79.73,500.0
79.71,79.71,79.71,79.71,500.0
79.69,79.69,79.69,79.69,200.0
79.65,79.69,79.65,79.67,500.0
79.655,79.655,79.6361,79.6361,202.0
79.6,79.67,79.6,79.67,900.0
79.56,79.61,79.56,79.59,950.0
79.52,79.6,79.52,79.585,1600.0
79.45,79.5,79.45,79.5,300.0
79.46,79.46,79.46,79.46,100.0
79.46,79.47,79.43,79.46,2036.0
79.44,79.46,79.44,79.46,300.0
79.48,79.51,79.44,79.44,2600.0
79.495,79.51,79.46,79.46,1400.0
79.52,79.53,79.51,79.51,1981.0
79.52,79.54,79.505,79.505,900.0
79.55,79.58,79.535,79.55,1900.0
79.6,79.615,79.58,79.59,2100.0
79.63,79.63,79.615,79.615,200.0
79.64,79.7,79.64,79.7,1300.0
79.66,79.69,79.65,79.655,700.0
79.64,79.64,79.64,79.64,100.0
79.62,79.63,79.62,79.62,500.0
79.66,79.66,79.64,79.64,714.0
79.64,79.64,79.62,79.62,400.0
79.61,79.61,79.61,79.61,300.0
79.56,79.56,79.55,79.55,300.0
79.59,79.59,79.53,79.53,470.0
79.57,79.59,79.57,79.5857,1217.0
79.54,79.54,79.54,79.54,200.0
79.51,79.53,79.51,79.53,300.0
79.54,79.54,79.51,79.51,1000.0
79.53,79.54,79.52,79.54,763.0
79.525,79.525,79.525,79.525,100.0
79.5,79.5244,79.5,79.5244,325.0
79.62,79.63,79.515,79.515,2184.0
79.66,79.72,79.615,79.63,800.0
79.68,79.68,79.65,79.65,600.0
79.69,79.71,79.69,79.71,200.0
79.6,79.69,79.6,79.67,974.0
79.69,79.69,79.67,79.67,546.0
79.69,79.69,79.69,79.69,100.0
79.66,79.66,79.66,79.66,400.0
79.655,79.655,79.655,79.655,100.0
79.67,79.67,79.67,79.67,100.0
79.72,79.72,79.67,79.67,821.0
79.715,79.7399,79.715,79.7399,200.0
79.75,79.75,79.72,79.72,600.0
79.71,79.73,79.695,79.71,6300.0
79.74,79.74,79.69,79.7,1000.0
79.73,79.73,79.71,79.71,500.0
