Open,High,Low,Close,Volume
57.88,57.88,57.88,57.88,7216.0
58.05,58.08,58.05,58.05,300.0
58.08,58.08,58.07,58.07,200.0
58.21,58.21,58.08,58.08,1100.0
58.32,58.32,58.23,58.25,950.0
58.32,58.32,58.32,58.32,300.0
58.19,58.27,58.14,58.24,2200.0
58.1,58.24,58.1,58.22,2614.0
58.16,58.16,58.11,58.11,1000.0
58.14,58.18,58.13,58.18,800.0
58.15,58.15,58.06,58.06,1100.0
58.12,58.2,58.12,58.19,2100.0
58.14,58.15,58.12,58.12,1210.0
58.015,58.13,58.015,58.1,1533.0
58.0325,58.08,58.0,58.03,6500.0
57.99,58.02,57.96,58.02,1300.0
58.0,58.02,57.95,57.95,2100.0
58.0,58.0,57.97,58.0,1577.0
57.95,58.0,57.95,58.0,600.0
58.0,58.0,57.956,57.96,1710.0
57.96,58.005,57.96,58.005,1100.0
57.87,57.935,57.85,57.935,3758.0
57.93,57.95,57.83,57.83,1200.0
57.95,58.0,57.91,57.92,2100.0
57.94,57.95,57.915,57.94,1278.0
57.985,57.985,57.95,57.95,1000.0
58.0,58.0,57.98,57.98,764.0
58.0,58.0,58.0,58.0,500.0
58.0,58.0,57.925,58.0,2374.0
58.0,58.0,58.0,58.0,800.0
58.0,58.01,57.995,57.995,700.0
57.95,58.0,57.945,57.98,1215.0
57.96,57.96,57.945,57.95,400.0
58.0,58.0,57.95,57.95,800.0
58.01,58.01,57.96,57.98,1300.0
58.0,58.01,57.995,57.995,3218.0
57.96,57.99,57.95,57.99,600.0
57.925,57.95,57.925,57.93,800.0
57.95,58.0,57.925,57.925,3300.0
58.0,58.0,57.96,57.96,1700.0
57.95,57.97,57.92,57.97,1300.0
57.935,57.96,57.925,57.925,1400.0
57.96,57.98,57.955,57.96,1200.0
57.94,57.97,57.9,57.955,2500.0
57.93,58.0,57.93,57.94,3659.0
57.94,57.95,57.92,57.95,1500.0
57.96,57.97,57.9,57.91,2100.0
57.975,58.0,57.96,57.96,1492.0
58.0,58.0,57.98,58.0,900.0
57.98,58.0,57.98,57.99,1500.0
57.9701,58.01,57.95,57.96,8696.0
57.96,58.01,57.96,58.0,1916.0
57.945,58.0,57.945,58.0,1000.0
58.0,58.0,57.95,57.95,3736.0
58.0,58.005,57.94,57.99,4291.0
58.0,58.01,57.96,58.005,2809.0
57.995,58.0,57.97,57.98,1500.0
57.97,58.0,57.97,58.0,1500.0
57.97,57.99,57.95,57.98,2424.0
57.99,57.99,57.97,57.97,700.0
57.96,58.0,57.92,57.99,2400.0
57.98,58.0,57.9401,57.96,2466.0
58.0,58.04,57.98,57.99,9412.0
57.995,58.02,57.98,58.015,1300.0
57.96,58.0,57.95,58.0,2200.0
57.98,58.0,57.97,57.975,2100.0
57.99,58.0,57.98,57.99,1200.0
58.0,58.0,57.98,57.9817,1305.0
57.94,57.98,57.94,57.98,22999.0
57.94,57.95,57.93,57.93,2918.0
57.905,57.95,57.89,57.95,4299.0
57.87,57.92,57.86,57.92,2600.0
57.88,57.89,57.86,57.86,1000.0
57.94,57.94,57.89,57.89,1570.0
57.92,57.95,57.9,57.95,1095.0
57.93,57.93,57.92,57.92,500.0
57.93,57.93,57.91,57.91,31360.0
57.91,57.95,57.89,57.93,2900.0
57.87,57.92,57.87,57.91,900.0
57.9,57.9,57.86,57.86,1754.0
57.87,57.9,57.87,57.875,775.0
57.87,57.87,57.82,57.855,1500.0
57.89,57.89,57.86,57.865,3900.0
57.88,57.88,57.86,57.88,400.0
57.885,57.9,57.88,57.88,900.0
57.94,57.94,57.9,57.9,500.0
57.93,57.93,57.91,57.93,1000.0
57.95,57.95,57.9,57.9,900.0
57.98,57.98,57.95,57.95,950.0
57.97,57.98,57.95,57.95,1900.0
58.0,58.0,57.97,57.97,700.0
57.99,58.0,57.98,57.98,1700.0
57.99,58.0,57.98,57.985,1340.0
57.93,57.98,57.92,57.98,1939.0
57.95,57.96,57.94,57.94,1000.0
57.96,57.96,57.95,57.95,800.0
57.92,57.97,57.92,57.97,4200.0
57.86,57.93,57.86,57.92,3800.0
57.87,57.89,57.87,57.89,3200.0
57.89,57.89,57.86,57.865,1895.0
57.87,57.883,57.86,57.88,763.0
57.89,57.9,57.87,57.88,6271.0
57.87,57.9,57.87,57.895,1688.0
57.86,57.86,57.86,57.86,111.0
57.8725,57.89,57.86,57.86,900.0
57.83,57.83,57.82,57.83,500.0
57.89,57.89,57.85,57.85,1040.0
57.86,57.895,57.86,57.88,3089.0
57.845,57.86,57.84,57.85,900.0
57.88,57.895,57.86,57.87,6100.0
57.88,57.89,57.87,57.87,2667.0
57.87,57.89,57.87,57.89,500.0
57.85,57.88,57.85,57.88,1402.0
57.85,57.85,57.83,57.83,800.0
57.88,57.88,57.85,57.85,1100.0
57.86,57.89,57.86,57.89,900.0
57.87,57.89,57.86,57.86,900.0
57.87,57.88,57.87,57.88,548.0
57.84,57.87,57.83,57.87,700.0
57.86,57.86,57.835,57.835,1200.0
57.87,57.87,57.86,57.86,200.0
57.85,57.85,57.825,57.84,400.0
57.84,57.85,57.81,57.84,2400.0
57.8,57.85,57.795,57.85,400.0
57.84,57.84,57.805,57.805,800.0
57.83,57.85,57.82,57.838,1747.0
57.84,57.84,57.81,57.825,959.0
57.85,57.87,57.85,57.87,552.0
57.81,57.855,57.81,57.85,600.0
57.83,57.83,57.805,57.805,852.0
57.85,57.85,57.83,57.83,1424.0
57.83,57.85,57.83,57.85,400.0
57.86,57.86,57.85,57.85,300.0
57.87,57.88,57.86,57.86,514.0
57.87,57.87,57.87,57.87,200.0
57.85,57.85,57.85,57.85,100.0
57.84,57.86,57.84,57.86,700.0
57.85,57.85,57.84,57.84,500.0
57.86,57.86,57.86,57.86,100.0
57.86,57.88,57.86,57.88,500.0
57.88,57.88,57.88,57.88,100.0
57.89,57.89,57.88,57.88,641.0
57.865,57.89,57.86,57.89,1000.0
57.87,57.87,57.86,57.86,500.0
57.875,57.88,57.875,57.88,700.0
57.87,57.87,57.86,57.87,600.0
57.89,57.89,57.88,57.88,500.0
57.87,57.89,57.87,57.88,400.0
57.84,57.87,57.84,57.86,1597.0
57.84,57.845,57.82,57.82,1500.0
57.85,57.85,57.84,57.84,700.0
57.85,57.85,57.845,57.85,603.0
57.825,57.86,57.825,57.86,1286.0
57.83,57.835,57.815,57.82,1374.0
57.86,57.86,57.83,57.84,4187.0
57.86,57.86,57.85,57.85,1250.0
57.86,57.865,57.83,57.86,1711.0
57.86,57.865,57.86,57.86,2300.0
57.86,57.865,57.85,57.85,2000.0
57.84,57.86,57.84,57.86,2059.0
57.845,57.85,57.845,57.85,200.0
57.85,57.85,57.82,57.84,2973.0
57.82,57.83,57.81,57.83,1700.0
57.835,57.84,57.815,57.82,1300.0
57.84,57.85,57.84,57.85,200.0
57.84,57.84,57.83,57.84,400.0
57.845,57.85,57.83,57.84,1400.0
57.84,57.86,57.84,57.8401,400.0
57.86,57.86,57.84,57.84,1061.0
57.85,57.85,57.845,57.85,300.0
57.86,57.86,57.86,57.86,421.0
57.86,57.86,57.85,57.85,1100.0
57.9,57.9,57.86,57.86,5200.0
57.87,57.91,57.87,57.89,2800.0
57.84,57.86,57.84,57.85,300.0
57.82,57.86,57.81,57.86,1900.0
57.85,57.85,57.82,57.82,1100.0
57.85,57.855,57.84,57.855,1178.0
57.88,57.88,57.86,57.86,1318.0
57.9,57.9,57.86,57.86,300.0
57.86,57.88,57.86,57.88,300.0
57.845,57.85,57.84,57.85,1900.0
57.87,57.87,57.83,57.84,1333.0
57.85,57.875,57.85,57.875,800.0
57.835,57.855,57.835,57.855,433.0
57.865,57.865,57.85,57.85,800.0
57.85,57.865,57.85,57.865,1600.0
57.85,57.865,57.85,57.85,4899.0
57.86,57.86,57.84,57.85,3713.0
57.875,57.875,57.85,57.85,2000.0
57.85,57.88,57.85,57.875,5600.0
57.85,57.87,57.84,57.85,2320.0
57.85,57.86,57.85,57.86,400.0
57.84,57.85,57.83,57.85,1800.0
57.85,57.85,57.84,57.84,200.0
57.855,57.855,57.855,57.855,200.0
57.865,57.87,57.85,57.87,1100.0
57.87,57.87,57.87,57.87,300.0
57.86,57.865,57.86,57.86,700.0
57.85,57.86,57.85,57.855,600.0
57.87,57.87,57.86,57.86,400.0
57.85,57.875,57.85,57.865,5567.0
57.85,57.85,57.85,57.85,1700.0
57.85,57.855,57.85,57.85,600.0
57.86,57.86,57.85,57.85,400.0
57.865,57.865,57.86,57.865,600.0
57.86,57.88,57.86,57.87,2524.0
57.87,57.87,57.85,57.85,4076.0
57.87,57.88,57.87,57.88,600.0
57.87,57.875,57.87,57.87,1200.0
57.87,57.88,57.86,57.865,1000.0
57.855,57.87,57.855,57.865,1500.0
57.855,57.86,57.855,57.86,400.0
57.855,57.86,57.85,57.86,1118.0
57.86,57.86,57.85,57.85,600.0
57.86,57.87,57.86,57.87,700.0
57.87,57.87,57.86,57.86,1600.0
57.89,57.89,57.88,57.88,300.0
57.93,57.93,57.93,57.93,700.0
57.97,57.97,57.925,57.93,3000.0
57.945,57.96,57.94,57.96,500.0
57.95,57.96,57.94,57.94,1281.0
57.965,57.965,57.95,57.95,700.0
57.96,57.96,57.9428,57.95,1605.0
57.98,57.98,57.97,57.97,500.0
57.98,57.98,57.98,57.98,200.0
57.97,57.98,57.96,57.98,2000.0
57.97,57.97,57.97,57.97,100.0
57.98,57.98,57.97,57.98,400.0
57.99,57.99,57.98,57.98,1556.0
58.0,58.0,58.0,58.0,500.0
57.951,57.98,57.951,57.98,706.0
57.97,57.97,57.96,57.97,300.0
57.98,57.98,57.97,57.97,400.0
57.99,57.99,57.975,57.98,300.0
57.98,58.0,57.97,58.0,2100.0
57.965,57.97,57.96,57.96,700.0
57.96,57.96,57.96,57.96,100.0
57.93,57.96,57.93,57.96,2000.0
57.95,57.95,57.94,57.94,200.0
57.96,57.96,57.95,57.95,1027.0
57.97,57.97,57.96,57.96,500.0
57.98,57.99,57.97,57.99,300.0
57.96,57.99,57.96,57.98,1000.0
57.94,57.955,57.94,57.955,300.0
57.94,57.9499,57.94,57.9499,345.0
57.94,57.94,57.94,57.94,500.0
57.92,57.94,57.91,57.94,1100.0
57.885,57.93,57.88,57.93,1000.0
57.875,57.89,57.854,57.88,952.0
57.85,57.89,57.85,57.89,800.0
57.87,57.8725,57.87,57.87,700.0
57.885,57.89,57.87,57.87,3367.0
57.885,57.89,57.88,57.89,2700.0
57.87,57.88,57.865,57.88,867.0
57.88,57.88,57.87,57.87,700.0
57.88,57.88,57.88,57.88,500.0
57.88,57.895,57.87,57.895,800.0
57.88,57.88,57.88,57.88,100.0
57.895,57.895,57.87,57.87,833.0
57.9,57.91,57.9,57.9,1000.0
57.89,57.905,57.89,57.905,816.0
57.875,57.875,57.85,57.87,1105.0
57.87,57.87,57.87,57.87,200.0
57.88,57.88,57.865,57.865,400.0
57.87,57.88,57.87,57.875,646.0
