Open,High,Low,Close,Volume
192.9,192.9,192.7,192.7,16730.0
192.62,192.9,192.53,192.9,10043.0
192.8899,192.8899,192.61,192.83,2940.0
192.61,192.8799,192.61,192.745,388.0
192.69,192.69,192.69,192.69,100.0
192.87,192.87,192.78,192.81,500.0
192.7156,192.7156,192.7156,192.7156,150.0
192.795,192.9,192.775,192.86,1359.0
192.63,192.78,192.63,192.78,3075.0
192.62,192.7163,192.62,192.6501,400.0
192.405,192.54,192.405,192.54,1600.0
192.47,192.67,192.21,192.67,4835.0
192.335,192.495,192.335,192.495,1700.0
192.4379,192.4379,192.36,192.36,800.0
192.66,192.66,192.405,192.48,3590.0
192.47,192.555,192.47,192.555,300.0
192.35,192.47,192.35,192.47,948.0
192.23,192.4122,192.23,192.4122,808.0
192.335,192.55,192.27,192.27,2365.0
192.36,192.36,192.33,192.33,900.0
192.33,192.35,192.33,192.35,700.0
192.22,192.43,192.22,192.34,3017.0
192.01,192.2825,192.01,192.2825,2901.0
191.9,192.05,191.9,192.03,2260.0
191.871,191.99,191.84,191.84,1361.0
191.99,192.0,191.87,191.9,1500.0
191.915,192.105,191.915,192.04,1500.0
192.06,192.13,191.99,192.09,3713.0
192.06,192.11,191.96,192.0,6493.0
192.07,192.12,192.01,192.12,810.0
192.12,192.12,192.01,192.01,200.0
192.12,192.12,192.12,192.12,100.0
192.12,192.19,192.1,192.1,1699.0
192.29,192.29,192.11,192.11,1300.0
192.17,192.2399,192.14,192.18,1700.0
192.16,192.268,192.16,192.21,2100.0
192.0,192.21,192.0,192.19,8100.0
192.03,192.07,192.02,192.035,2800.0
191.89,192.0125,191.89,192.01,9828.0
191.825,191.965,191.81,191.965,1400.0
191.8,191.87,191.78,191.87,700.0
191.8,191.9,191.79,191.86,5844.0
191.69,191.865,191.69,191.865,1850.0
191.68,191.7385,191.67,191.67,673.0
191.74,191.78,191.67,191.67,2829.0
191.7,191.79,191.66,191.73,1603.0
191.69,191.73,191.53,191.73,7682.0
191.82,191.84,191.67,191.71,7210.0
191.73,191.85,191.73,191.81,800.0
191.6763,191.69,191.6763,191.69,300.0
191.76,191.86,191.75,191.75,1544.0
191.8908,191.939,191.89,191.91,1250.0
192.0,192.08,191.94,191.94,2104.0
191.9,191.99,191.9,191.99,1100.0
191.82,191.95,191.82,191.9392,1231.0
191.82,191.885,191.82,191.84,700.0
191.73,191.86,191.7017,191.85,2100.0
191.59,191.735,191.58,191.735,2286.0
191.59,191.59,191.59,191.59,100.0
191.5892,191.65,191.57,191.63,2678.0
191.58,191.6,191.551,191.551,650.0
191.56,191.61,191.5,191.54,4203.0
191.645,191.68,191.565,191.6099,1521.0
191.6,191.66,191.53,191.645,6800.0
191.642,191.67,191.55,191.5898,3461.0
191.6801,191.69,191.63,191.63,1400.0
191.72,191.74,191.69,191.69,753.0
191.76,191.838,191.75,191.78,1400.0
191.74,191.76,191.71,191.71,1831.0
191.83,191.86,191.81,191.81,700.0
191.77,191.82,191.77,191.82,615.0
191.7,191.8,191.66,191.8,1400.0
191.79,191.79,191.64,191.6555,2416.0
191.88,191.9341,191.82,191.82,2099.0
191.83,191.87,191.81,191.84,1001.0
191.93,191.93,191.8475,191.8475,1153.0
192.04,192.04,192.01,192.01,1700.0
192.07,192.07,192.06,192.06,300.0
192.08,192.2,192.08,192.09,2760.0
192.06,192.11,192.06,192.11,900.0
192.15,192.15,192.13,192.13,720.0
192.12,192.205,192.12,192.19,1019.0
192.2,192.22,192.06,192.17,2800.0
192.23,192.23,192.2,192.21,500.0
192.2,192.36,192.1301,192.3,2171.0
192.1626,192.1626,192.1626,192.1626,150.0
192.09,192.1755,192.05,192.1755,1700.0
192.21,192.21,192.09,192.09,1701.0
192.26,192.26,192.26,192.26,200.0
192.34,192.47,192.34,192.36,2200.0
192.31,192.3736,192.31,192.3736,702.0
192.41,192.41,192.36,192.36,1100.0
192.43,192.43,192.43,192.43,426.0
192.53,192.57,192.4201,192.4201,2363.0
192.44,192.535,192.44,192.51,950.0
192.465,192.49,192.42,192.42,899.0
192.43,192.52,192.43,192.44,2331.0
192.43,192.43,192.43,192.43,200.0
192.27,192.38,192.27,192.35,1238.0
192.3471,192.36,192.298,192.3,1435.0
192.31,192.31,192.31,192.31,199.0
192.31,192.31,192.3,192.31,600.0
192.28,192.32,192.25,192.25,1300.0
192.291,192.291,192.291,192.291,500.0
192.08,192.24,192.0651,192.21,3900.0
192.0968,192.12,192.0304,192.0304,1900.0
192.14,192.15,192.14,192.14,700.0
192.19,192.19,192.19,192.19,239.0
192.27,192.31,192.1939,192.22,1318.0
192.31,192.32,192.31,192.31,500.0
192.52,192.52,192.39,192.39,500.0
192.32,192.47,192.29,192.46,4387.0
192.37,192.39,192.34,192.37,1100.0
192.3,192.34,192.1501,192.28,2959.0
192.22,192.28,192.22,192.26,630.0
192.1701,192.1701,192.17,192.17,700.0
192.2579,192.26,192.17,192.17,1385.0
192.36,192.37,192.2642,192.2642,1470.0
192.31,192.425,192.31,192.39,1718.0
192.37,192.37,192.37,192.37,500.0
192.32,192.3509,192.32,192.35,600.0
192.317,192.345,192.317,192.34,520.0
192.29,192.345,192.28,192.31,2100.0
192.32,192.35,192.31,192.31,1000.0
192.39,192.39,192.3466,192.3466,328.0
192.4533,192.49,192.44,192.44,583.0
192.49,192.51,192.49,192.51,300.0
192.48,192.48,192.412,192.412,400.0
192.4799,192.49,192.41,192.4125,3000.0
192.3947,192.45,192.39,192.45,724.0
192.45,192.45,192.375,192.43,1100.0
192.48,192.48,192.48,192.48,300.0
192.43,192.5199,192.35,192.5199,900.0
192.28,192.41,192.28,192.38,1703.0
192.1,192.26,192.1,192.25,1300.0
192.12,192.12,192.12,192.12,100.0
192.12,192.17,192.11,192.15,2500.0
192.09,192.09,192.09,192.09,100.0
192.07,192.07,192.0201,192.0201,1028.0
192.0655,192.07,192.05,192.05,334.0
192.09,192.14,192.09,192.09,1584.0
192.15,192.19,192.14,192.16,1300.0
192.15,192.15,192.15,192.15,200.0
192.16,192.28,192.16,192.24,2600.0
192.24,192.24,192.19,192.19,1027.0
192.15,192.19,192.15,192.19,400.0
192.08,192.1,192.08,192.1,300.0
192.1,192.14,192.1,192.1,800.0
192.1123,192.1123,192.1123,192.1123,200.0
192.07,192.07,192.07,192.07,200.0
192.07,192.105,192.03,192.105,2311.0
192.095,192.1757,192.07,192.07,6953.0
192.0,192.03,191.95,192.03,1700.0
191.85,191.91,191.85,191.91,1000.0
191.855,191.87,191.8,191.83,800.0
191.86,191.94,191.855,191.855,2500.0
191.88,191.88,191.86,191.86,400.0
191.81,191.8563,191.81,191.84,1800.0
191.81,191.85,191.81,191.81,900.0
191.73,191.81,191.73,191.8,2600.0
191.7,191.73,191.68,191.73,731.0
191.68,191.6902,191.65,191.6902,700.0
191.58,191.66,191.58,191.65,2163.0
191.615,191.67,191.61,191.65,1785.0
191.62,191.65,191.62,191.65,500.0
191.58,191.68,191.58,191.6434,1820.0
191.55,191.595,191.51,191.595,10114.0
191.46,191.56,191.46,191.56,2364.0
191.45,191.48,191.45,191.48,900.0
191.45,191.52,191.45,191.52,1544.0
191.4,191.46,191.3501,191.42,1600.0
191.5526,191.5526,191.36,191.36,4016.0
191.51,191.5674,191.51,191.56,800.0
191.51,191.52,191.48,191.52,2356.0
191.61,191.61,191.51,191.54,1800.0
191.5,191.55,191.5,191.55,1100.0
191.46,191.48,191.46,191.47,700.0
191.475,191.49,191.45,191.49,700.0
191.44,191.44,191.44,191.44,100.0
191.54,191.54,191.41,191.44,1778.0
191.46,191.52,191.46,191.52,487.0
191.485,191.485,191.43,191.435,400.0
191.49,191.49,191.49,191.49,100.0
191.48,191.49,191.48,191.49,300.0
191.42,191.46,191.42,191.46,700.0
191.5738,191.5738,191.47,191.49,5816.0
191.5,191.55,191.5,191.55,900.0
191.51,191.58,191.51,191.57,500.0
191.47,191.61,191.47,191.61,700.0
191.43,191.46,191.43,191.46,300.0
191.46,191.464,191.46,191.464,200.0
191.53,191.53,191.43,191.44,3023.0
191.55,191.55,191.47,191.47,600.0
191.575,191.6199,191.5,191.55,1600.0
191.54,191.6,191.54,191.54,1000.0
191.47,191.5525,191.47,191.53,2253.0
191.37,191.44,191.365,191.44,2104.0
191.37,191.38,191.37,191.38,600.0
191.35,191.38,191.32,191.37,800.0
191.38,191.45,191.28,191.28,3272.0
191.39,191.39,191.39,191.39,100.0
191.53,191.53,191.45,191.4517,2679.0
191.47,191.56,191.47,191.56,1800.0
191.46,191.48,191.46,191.48,795.0
191.49,191.49,191.42,191.44,2600.0
191.4701,191.53,191.4701,191.53,2512.0
191.58,191.6125,191.54,191.56,800.0
191.57,191.63,191.57,191.63,500.0
191.51,191.57,191.49,191.56,1600.0
191.48,191.51,191.48,191.51,500.0
191.56,191.56,191.5,191.5,1964.0
191.5999,191.5999,191.5999,191.5999,3000.0
191.49,191.54,191.45,191.54,1714.0
191.4,191.45,191.4,191.45,700.0
191.4,191.4,191.4,191.4,400.0
191.41,191.44,191.36,191.39,5144.0
191.38,191.41,191.38,191.41,322.0
191.36,191.36,191.35,191.35,400.0
191.3799,191.38,191.35,191.36,1028.0
191.21,191.36,191.21,191.34,1900.0
191.32,191.32,191.24,191.24,2061.0
191.34,191.34,191.34,191.34,300.0
191.33,191.38,191.33,191.38,1950.0
191.26,191.33,191.24,191.33,3736.0
191.17,191.25,191.17,191.21,2404.0
190.91,191.19,190.91,191.19,4597.0
190.94,190.95,190.88,190.94,5800.0
190.81,190.935,190.8,190.935,3190.0
190.76,190.8,190.76,190.8,300.0
190.86,190.93,190.85,190.8512,2440.0
190.78,190.82,190.72,190.82,1575.0
190.86,190.86,190.76,190.815,879.0
190.87,190.9173,190.83,190.83,2550.0
190.8,190.88,190.8,190.88,2502.0
190.76,190.8379,190.76,190.83,1100.0
190.82,190.82,190.81,190.81,1087.0
190.64,190.8,190.64,190.8,3413.0
190.71,190.73,190.65,190.67,3507.0
190.79,190.79,190.7,190.7,1853.0
190.76,190.805,190.72,190.78,3808.0
190.7375,190.7375,190.7375,190.7375,200.0
190.74,190.88,190.72,190.721,7191.0
190.77,190.77,190.77,190.77,250.0
190.81,190.86,190.81,190.82,1725.0
190.76,190.787,190.76,190.787,400.0
190.83,190.92,190.83,190.83,2345.0
190.8362,190.8362,190.8362,190.8362,200.0
190.82,190.85,190.81,190.81,900.0
190.81,190.82,190.81,190.82,200.0
190.83,190.88,190.83,190.852,1208.0
190.95,190.96,190.84,190.84,2583.0
190.895,190.96,190.895,190.96,200.0
190.87,190.94,190.83,190.94,2245.0
190.9242,190.93,190.845,190.845,2137.0
190.95,191.01,190.95,190.97,1500.0
190.9,190.97,190.855,190.97,2680.0
190.72,190.8111,190.71,190.8111,5215.0
190.6601,190.74,190.66,190.71,1815.0
190.46,190.645,190.39,190.61,8265.0
190.49,190.49,190.36,190.41,2300.0
190.38,190.49,190.38,190.46,1709.0
190.42,190.42,190.39,190.39,200.0
190.36,190.43,190.36,190.38,1300.0
190.53,190.53,190.34,190.38,4413.0
190.4747,190.49,190.4747,190.49,1000.0
190.4105,190.49,190.4105,190.47,1501.0
190.25,190.48,190.2,190.48,2800.0
190.285,190.3205,190.18,190.18,3848.0
190.22,190.2992,190.19,190.2992,1900.0
190.225,190.2499,190.19,190.2201,2700.0
190.21,190.21,190.0425,190.2,2867.0
190.22,190.275,190.15,190.215,1600.0
190.12,190.18,190.0,190.18,2982.0
190.11,190.14,190.085,190.11,1900.0
190.19,190.19,190.07,190.07,1900.0
190.19,190.23,190.14,190.165,4655.0
190.28,190.28,190.16,190.16,2300.0
190.245,190.25,190.21,190.24,500.0
190.16,190.23,190.15,190.21,2522.0
190.14,190.19,190.11,190.19,1800.0
190.15,190.21,190.15,190.18,3400.0
190.08,190.1495,190.08,190.1301,1038.0
190.25,190.26,190.08,190.115,3901.0
190.059,190.23,190.02,190.23,3420.0
190.11,190.1675,190.09,190.09,3598.0
190.03,190.1025,189.9875,190.09,10776.0
190.1,190.11,190.07,190.07,1800.0
190.053,190.12,190.04,190.12,1671.0
190.03,190.07,190.03,190.03,2960.0
190.02,190.06,190.0,190.01,4591.0
190.15,190.18,190.0,190.0,3895.0
190.04,190.17,190.04,190.17,2200.0
190.0,190.089,189.97,190.02,4510.0
189.98,190.0,189.98,190.0,600.0
189.96,190.0,189.9011,189.98,9847.0
189.91,190.0,189.9,189.93,4936.0
190.07,190.07,189.9001,189.91,4249.0
190.1,190.12,190.03,190.0899,10270.0
190.04,190.09,190.01,190.09,2255.0
190.04,190.065,190.04,190.065,300.0
190.0793,190.14,190.01,190.035,3737.0
190.03,190.04,189.97,190.01,3294.0
190.07,190.14,190.07,190.1,1300.0
190.01,190.07,190.01,190.07,1725.0
190.06,190.09,190.01,190.01,1400.0
190.2,190.229,190.085,190.11,2719.0
190.09,190.2042,190.09,190.2,3500.0
190.285,190.285,190.11,190.115,1790.0
190.2652,190.29,190.23,190.29,2512.0
190.24,190.305,190.23,190.26,4661.0
190.23,190.2521,190.1892,190.2,2337.0
190.1901,190.1901,190.1901,190.1901,100.0
190.31,190.31,190.26,190.27,1328.0
190.268,190.3101,190.25,190.3101,4538.0
190.2901,190.35,190.28,190.28,4843.0
190.46,190.46,190.28,190.305,4400.0
190.38,190.465,190.37,190.465,5200.0
190.29,190.4,190.29,190.38,3400.0
190.25,190.31,190.25,190.2801,2795.0
190.34,190.38,190.23,190.23,3871.0
190.26,190.39,190.26,190.36,3300.0
190.2888,190.31,190.2115,190.25,2494.0
190.39,190.455,190.32,190.32,3589.0
190.4101,190.45,190.39,190.425,1300.0
190.515,190.515,190.41,190.415,3642.0
190.61,190.61,190.49,190.515,2100.0
190.54,190.67,190.54,190.63,6206.0
190.465,190.525,190.4405,190.5,1900.0
190.46,190.545,190.4588,190.465,4585.0
190.49,190.49,190.41,190.4501,2592.0
190.54,190.58,190.505,190.505,3258.0
190.54,190.559,190.49,190.526,2100.0
190.56,190.58,190.5301,190.5301,1701.0
190.67,190.67,190.56,190.575,1925.0
190.54,190.66,190.52,190.66,4200.0
190.51,190.53,190.5,190.52,1500.0
190.46,190.51,190.4442,190.51,2884.0
190.46,190.48,190.44,190.44,611.0
190.38,190.49,190.38,190.48,3016.0
190.38,190.4289,190.37,190.4155,1648.0
190.41,190.4158,190.36,190.4158,2623.0
190.4,190.47,190.4,190.41,6001.0
190.425,190.46,190.34,190.4268,3257.0
190.46,190.46,190.41,190.43,1900.0
190.47,190.48,190.41,190.41,500.0
190.37,190.47,190.37,190.47,2894.0
190.52,190.52,190.39,190.41,2972.0
190.66,190.67,190.5,190.51,4138.0
190.66,190.67,190.628,190.628,2323.0
190.66,190.71,190.63,190.66,3870.0
190.85,190.85,190.66,190.68,5000.0
190.8125,190.89,190.8125,190.87,3055.0
190.92,190.92,190.77,190.81,17486.0
190.82,190.92,190.77,190.92,4775.0
190.89,190.9,190.81,190.81,7608.0
190.855,190.89,190.85,190.89,1943.0
190.96,190.99,190.88,190.88,4938.0
190.95,190.97,190.93,190.96,4906.0
191.08,191.09,190.93,190.98,6216.0
191.1,191.25,191.08,191.09,7381.0
191.1503,191.16,191.05,191.1,7192.0
191.14,191.18,191.11,191.12,3120.0
191.11,191.15,191.1,191.14,4166.0
191.05,191.12,191.04,191.1,6438.0
191.11,191.12,191.04,191.04,8985.0
191.08,191.11,191.02,191.1,12093.0
191.22,191.28,191.09,191.09,11045.0
191.3,191.31,191.21,191.22,10378.0
191.22,191.27,191.2,191.27,11303.0
191.32,191.37,191.2,191.2001,15208.0
191.34,191.35,191.29,191.33,11937.0
191.31,191.38,191.3,191.34,13036.0
191.32,191.37,191.28,191.31,16004.0
191.3,191.44,191.23,191.33,32954.0
