Open,High,Low,Close,Volume
144.01,144.01,144.01,144.01,6167.0
143.68,143.68,143.68,143.68,100.0
143.67,143.67,143.67,143.67,100.0
143.78,143.78,143.7,143.7,200.0
143.8,143.84,143.64,143.69,1500.0
143.54,143.865,143.54,143.54,800.0
143.47,143.47,143.31,143.32,800.0
143.64,143.66,143.485,143.485,1300.0
144.017,144.06,143.4901,143.59,2000.0
144.348,144.352,144.008,144.008,1400.0
144.351,144.36,144.349,144.349,500.0
144.09,144.12,143.945,144.12,600.0
143.9,143.9,143.68,143.68,344.0
143.62,143.82,143.6,143.82,500.0
144.05,144.1,143.8,143.8,1609.0
144.331,144.331,144.11,144.11,1600.0
144.55,144.55,144.19,144.377,1400.0
144.25,144.27,144.25,144.26,400.0
144.24,144.25,144.16,144.21,1000.0
144.14,144.25,144.14,144.25,2500.0
144.04,144.135,144.04,144.08,400.0
144.12,144.12,144.045,144.045,500.0
144.16,144.17,144.12,144.12,1800.0
144.22,144.22,144.02,144.18,1242.0
144.29,144.295,144.15,144.26,2031.0
144.09,144.21,144.09,144.21,300.0
144.222,144.222,144.222,144.222,200.0
144.28,144.28,144.23,144.23,1000.0
144.25,144.28,144.185,144.28,718.0
144.3,144.3,144.19,144.265,5244.0
144.34,144.34,144.25,144.25,5476.0
144.295,144.31,144.295,144.295,800.0
144.27,144.27,144.19,144.24,1300.0
144.37,144.37,144.31,144.335,400.0
144.38,144.38,144.38,144.38,200.0
144.59,144.59,144.39,144.39,600.0
144.92,144.92,144.5,144.6,1844.0
144.8506,144.965,144.8506,144.91,575.0
144.61,144.77,144.61,144.77,1173.0
144.76,144.76,144.59,144.68,1500.0
144.87,144.87,144.86,144.86,200.0
144.905,144.95,144.87,144.87,1331.0
144.936,144.943,144.88,144.88,1400.0
144.68,144.82,144.68,144.82,3038.0
144.53,144.53,144.53,144.53,100.0
144.55,144.55,144.53,144.53,200.0
144.55,144.55,144.55,144.55,100.0
144.7,144.7,144.59,144.6,1500.0
144.725,144.74,144.7,144.7,1063.0
144.7,144.74,144.6,144.67,1546.0
144.6876,144.705,144.6876,144.7,600.0
144.63,144.63,144.54,144.63,1100.0
144.52,144.58,144.48,144.5706,2308.0
144.5018,144.5018,144.5018,144.5018,100.0
144.56,144.56,144.54,144.54,700.0
144.67,144.67,144.56,144.56,1200.0
144.57,144.705,144.57,144.705,1900.0
144.41,144.575,144.37,144.575,1028.0
144.21,144.21,144.21,144.21,100.0
144.31,144.31,144.31,144.31,100.0
144.23,144.305,144.22,144.29,700.0
144.41,144.41,144.31,144.31,1200.0
144.54,144.61,144.43,144.43,500.0
144.42,144.567,144.42,144.567,800.0
144.281,144.29,144.265,144.29,500.0
144.3,144.3,144.29,144.29,600.0
144.54,144.54,144.3,144.3,1200.0
144.49,144.62,144.49,144.55,946.0
144.63,144.76,144.46,144.46,4998.0
144.58,144.67,144.54,144.54,2881.0
144.64,144.65,144.61,144.61,1278.0
144.75,144.75,144.63,144.63,711.0
144.61,144.61,144.6,144.61,500.0
144.47,144.57,144.45,144.506,5261.0
144.17,144.49,144.17,144.49,6506.0
144.2,144.2198,144.18,144.215,400.0
144.47,144.47,144.17,144.17,1774.0
144.61,144.63,144.49,144.49,1001.0
144.54,144.54,144.54,144.54,100.0
144.69,144.69,144.63,144.64,900.0
144.74,144.74,144.7,144.74,597.0
144.67,144.87,144.67,144.72,3080.0
144.63,144.64,144.59,144.64,300.0
144.63,144.63,144.625,144.625,300.0
144.625,144.63,144.625,144.63,200.0
144.55,144.55,144.55,144.55,100.0
144.57,144.57,144.57,144.57,100.0
144.71,144.71,144.635,144.67,900.0
144.78,144.78,144.68,144.7,600.0
144.87,144.87,144.7,144.82,500.0
144.97,144.97,144.8,144.96,400.0
145.0,145.0,144.98,144.98,300.0
144.877,144.885,144.87,144.88,800.0
144.88,144.88,144.86,144.86,200.0
144.91,144.91,144.89,144.89,400.0
144.98,144.98,144.97,144.97,200.0
145.07,145.07,145.0,145.0,300.0
145.117,145.117,145.117,145.117,100.0
144.9899,145.01,144.94,145.01,1149.0
145.0,145.0,144.99,144.99,800.0
145.05,145.05,144.96,144.96,900.0
145.22,145.22,145.19,145.19,500.0
145.25,145.25,145.24,145.24,603.0
145.27,145.27,145.14,145.27,400.0
145.316,145.37,145.23,145.37,1100.0
145.316,145.316,145.316,145.316,100.0
145.2494,145.2494,145.2494,145.2494,126.0
145.31,145.31,145.3,145.3,280.0
145.32,145.32,145.32,145.32,100.0
145.32,145.32,145.312,145.312,400.0
145.23,145.31,145.23,145.31,1100.0
145.12,145.255,145.12,145.21,517.0
145.06,145.21,145.035,145.21,1200.0
145.12,145.16,145.04,145.1,2128.0
145.02,145.07,145.02,145.07,200.0
145.01,145.01,145.01,145.01,100.0
145.04,145.06,145.04,145.05,718.0
145.1,145.1,145.1,145.1,100.0
145.184,145.293,145.184,145.293,210.0
145.31,145.31,145.31,145.31,400.0
145.298,145.298,145.298,145.298,100.0
145.29,145.31,145.281,145.31,400.0
145.31,145.31,145.3,145.3,600.0
145.3499,145.3499,145.31,145.31,276.0
145.4,145.41,145.31,145.35,1300.0
145.34,145.34,145.34,145.34,100.0
145.39,145.4,145.2815,145.2815,500.0
145.41,145.41,145.41,145.41,460.0
145.41,145.41,145.41,145.41,100.0
