Open,High,Low,Close,Volume
29.71,29.71,29.71,29.71,19908.0
29.7,29.7,29.7,29.7,400.0
29.67,29.69,29.67,29.69,700.0
29.67,29.67,29.67,29.67,100.0
29.69,29.72,29.67,29.69,8200.0
29.72,29.74,29.69,29.69,8157.0
29.78,29.78,29.729,29.729,18629.0
29.76,29.77,29.75,29.77,3100.0
29.74,29.76,29.74,29.76,4100.0
29.74,29.76,29.73,29.75,4292.0
29.73,29.73,29.72,29.73,2500.0
29.71,29.73,29.7,29.73,5047.0
29.71,29.72,29.705,29.71,5629.0
29.71,29.71,29.7,29.7066,3564.0
29.695,29.7,29.69,29.7,3501.0
29.68,29.69,29.67,29.69,4400.0
29.68,29.685,29.67,29.685,7998.0
29.67,29.68,29.67,29.68,1200.0
29.665,29.67,29.65,29.67,5090.0
29.66,29.67,29.66,29.665,838.0
29.64,29.65,29.635,29.65,9194.0
29.64,29.65,29.64,29.65,700.0
29.63,29.64,29.63,29.64,3600.0
29.63,29.65,29.63,29.64,1988.0
29.6,29.63,29.6,29.63,3300.0
29.58,29.61,29.58,29.6,2500.0
29.56,29.59,29.56,29.58,6654.0
29.55,29.57,29.53,29.57,6704.0
29.55,29.56,29.55,29.55,3500.0
29.52,29.55,29.49,29.55,20070.0
29.52,29.53,29.51,29.51,4737.0
29.55,29.55,29.53,29.54,3500.0
29.54,29.55,29.54,29.55,2899.0
29.54,29.55,29.54,29.55,2900.0
29.56,29.56,29.54,29.54,1797.0
29.58,29.58,29.555,29.56,3200.0
29.6,29.6,29.58,29.58,1710.0
29.64,29.64,29.6,29.6,2900.0
29.65,29.66,29.63,29.635,3006.0
29.65,29.66,29.65,29.65,2972.0
29.65,29.66,29.65,29.65,1100.0
29.66,29.66,29.65,29.65,2500.0
29.66,29.66,29.66,29.66,1000.0
29.66,29.66,29.65,29.66,3000.0
29.66,29.66,29.65,29.65,500.0
29.65,29.66,29.65,29.65,2300.0
29.65,29.66,29.65,29.66,1800.0
29.655,29.66,29.65,29.65,2200.0
29.66,29.66,29.65,29.66,400.0
29.66,29.67,29.64,29.67,8249.0
29.67,29.67,29.66,29.66,600.0
29.651,29.67,29.65,29.67,5298.0
29.68,29.68,29.65,29.6546,6591.0
29.71,29.71,29.68,29.68,2565.0
29.7,29.71,29.69,29.71,1500.0
29.7,29.7,29.7,29.7,1525.0
29.69,29.71,29.69,29.71,4500.0
29.72,29.72,29.7,29.7,13215.0
29.74,29.74,29.72,29.72,8854.0
29.73,29.75,29.73,29.74,4400.0
29.75,29.75,29.74,29.74,1855.0
29.74,29.74,29.735,29.74,1900.0
29.74,29.74,29.73,29.74,3100.0
29.74,29.75,29.74,29.74,2000.0
29.76,29.76,29.74,29.75,5900.0
29.76,29.77,29.76,29.76,10914.0
29.76,29.76,29.76,29.76,3000.0
29.78,29.78,29.77,29.77,4085.0
29.8,29.8,29.78,29.78,8900.0
29.82,29.82,29.795,29.8,5585.0
29.795,29.82,29.795,29.82,4200.0
29.8,29.8,29.795,29.8,1500.0
29.82,29.83,29.805,29.805,3400.0
29.84,29.84,29.825,29.825,14376.0
29.85,29.85,29.83,29.84,3323.0
29.83,29.85,29.83,29.85,1700.0
29.84,29.845,29.82,29.83,2000.0
29.85,29.86,29.84,29.84,5100.0
29.88,29.88,29.85,29.85,10619.0
29.86,29.87,29.86,29.87,800.0
29.88,29.88,29.86,29.86,1900.0
29.865,29.88,29.865,29.87,2500.0
29.86,29.865,29.86,29.86,1535.0
29.865,29.87,29.86,29.86,500.0
29.855,29.87,29.855,29.86,1500.0
29.85,29.855,29.85,29.85,400.0
29.85,29.855,29.85,29.855,900.0
29.85,29.855,29.845,29.85,9972.0
29.845,29.855,29.845,29.85,20423.0
29.83,29.85,29.83,29.845,14788.0
29.826,29.83,29.82,29.83,12630.0
29.785,29.825,29.78,29.82,33170.0
29.785,29.79,29.78,29.78,1300.0
29.81,29.81,29.78,29.78,8433.0
29.81,29.815,29.81,29.81,1100.0
29.82,29.82,29.81,29.81,3100.0
29.805,29.81,29.805,29.81,500.0
29.8,29.8,29.8,29.8,100.0
29.795,29.81,29.795,29.81,1725.0
29.7954,29.7954,29.79,29.79,320.0
29.8082,29.8082,29.79,29.8,2976.0
29.8,29.8,29.8,29.8,3396.0
29.81,29.81,29.79,29.805,76191.0
29.8,29.805,29.8,29.8,3302.0
29.81,29.81,29.8099,29.8099,350.0
29.84,29.84,29.81,29.81,6438.0
29.84,29.84,29.835,29.835,400.0
29.84,29.845,29.84,29.84,2727.0
29.84,29.85,29.84,29.84,4824.0
29.85,29.85,29.85,29.85,3170.0
29.85,29.85,29.84,29.85,1300.0
29.855,29.855,29.84,29.84,896.0
29.85,29.85,29.85,29.85,800.0
29.85,29.85,29.85,29.85,884.0
29.85,29.85,29.85,29.85,2054.0
29.845,29.85,29.845,29.85,500.0
29.85,29.85,29.845,29.845,1989.0
29.86,29.86,29.855,29.86,600.0
29.85,29.855,29.845,29.855,6110.0
29.825,29.85,29.825,29.85,2286.0
29.83,29.83,29.825,29.8287,573.0
29.84,29.84,29.83,29.83,1462.0
29.845,29.845,29.84,29.84,1000.0
29.83,29.84,29.82,29.84,3351.0
29.82,29.83,29.82,29.83,300.0
29.82,29.83,29.81,29.83,2200.0
29.81,29.8154,29.81,29.8154,430.0
29.805,29.82,29.805,29.82,3232.0
29.82,29.82,29.81,29.81,1078.0
29.83,29.83,29.82,29.82,4499.0
29.83,29.83,29.82,29.83,400.0
29.815,29.83,29.81,29.82,1700.0
29.81,29.82,29.81,29.82,800.0
29.81,29.82,29.81,29.81,300.0
29.82,29.82,29.82,29.82,400.0
29.82,29.82,29.82,29.82,800.0
29.82,29.82,29.82,29.82,300.0
29.83,29.83,29.82,29.82,2900.0
29.83,29.83,29.83,29.83,900.0
29.84,29.84,29.83,29.83,1800.0
29.85,29.85,29.835,29.84,2300.0
29.85,29.85,29.84,29.85,1400.0
29.85,29.85,29.85,29.85,500.0
29.86,29.86,29.85,29.85,1700.0
29.85,29.86,29.84,29.86,5500.0
29.85,29.855,29.85,29.85,300.0
29.86,29.86,29.86,29.86,300.0
29.87,29.87,29.85,29.86,4259.0
29.86,29.87,29.86,29.865,1100.0
29.87,29.87,29.86,29.86,20377.0
29.86,29.87,29.86,29.87,1410.0
29.87,29.87,29.86,29.86,2900.0
29.8676,29.87,29.8676,29.87,1100.0
29.86,29.87,29.86,29.87,1700.0
29.86,29.86,29.85,29.85,2300.0
29.85,29.85,29.85,29.85,100.0
29.855,29.855,29.85,29.855,600.0
29.855,29.855,29.85,29.85,300.0
29.87,29.87,29.855,29.855,2466.0
29.86,29.865,29.855,29.865,1400.0
29.885,29.885,29.86,29.86,2293.0
29.89,29.915,29.87,29.88,23395.0
29.89,29.89,29.89,29.89,300.0
29.89,29.89,29.875,29.89,3698.0
29.92,29.92,29.9,29.9,3651.0
29.91,29.915,29.9,29.915,3100.0
29.895,29.905,29.89,29.905,2400.0
29.89,29.89,29.885,29.89,2395.0
29.888,29.89,29.87,29.89,4149.0
29.88,29.885,29.88,29.88,800.0
29.875,29.88,29.875,29.88,1200.0
29.875,29.875,29.87,29.87,1000.0
29.88,29.88,29.875,29.88,1866.0
29.88,29.8876,29.88,29.8876,3540.0
29.88,29.89,29.88,29.89,1100.0
29.87,29.88,29.87,29.88,2200.0
29.875,29.875,29.87,29.87,1980.0
29.87,29.875,29.87,29.875,600.0
29.87,29.875,29.87,29.87,1700.0
29.875,29.875,29.87,29.87,12621.0
29.875,29.88,29.875,29.88,700.0
29.87,29.88,29.87,29.87,1800.0
29.87,29.87,29.87,29.87,100.0
29.87,29.87,29.87,29.87,769.0
29.87,29.87,29.865,29.87,7200.0
29.87,29.88,29.87,29.87,6668.0
