Open,High,Low,Close,Volume
31.23,31.3,31.23,31.28,20699.0
31.215,31.25,31.18,31.24,50178.0
31.24,31.26,31.21,31.21,16295.0
31.295,31.31,31.24,31.24,18148.0
31.33,31.34,31.29,31.29,24272.0
31.35,31.365,31.32,31.33,21563.0
31.32,31.365,31.31,31.355,17393.0
31.36,31.36,31.32,31.32,12412.0
31.32,31.35,31.31,31.35,6850.0
31.35,31.36,31.28,31.31,19006.0
31.34,31.36,31.34,31.35,12703.0
31.33,31.34,31.32,31.34,5014.0
31.36,31.36,31.33,31.34,13197.0
31.36,31.36,31.35,31.36,7280.0
31.34,31.39,31.34,31.36,17380.0
31.3,31.34,31.3,31.34,8311.0
31.34,31.34,31.3,31.3,5437.0
31.35,31.35,31.33,31.33,15984.0
31.3,31.35,31.3,31.35,9759.0
31.295,31.32,31.29,31.305,9179.0
31.265,31.29,31.255,31.29,4127.0
31.305,31.305,31.27,31.27,16252.0
31.3,31.33,31.29,31.305,24327.0
31.34,31.34,31.28,31.3,24306.0
31.335,31.34,31.32,31.33,9235.0
31.3,31.335,31.295,31.335,7957.0
31.3,31.31,31.295,31.3,7958.0
31.31,31.31,31.295,31.3,12056.0
31.275,31.305,31.27,31.305,9264.0
31.32,31.33,31.275,31.275,16850.0
31.29,31.315,31.29,31.315,4500.0
31.3,31.315,31.28,31.29,11087.0
31.305,31.32,31.305,31.31,2728.0
31.33,31.33,31.285,31.31,14512.0
31.32,31.33,31.3,31.33,4800.0
31.35,31.35,31.32,31.33,14173.0
31.33,31.345,31.33,31.345,1700.0
31.32,31.32,31.3,31.32,7628.0
31.34,31.34,31.32,31.32,3615.0
31.31,31.3485,31.31,31.34,4785.0
31.34,31.34,31.31,31.31,11048.0
31.3138,31.335,31.295,31.33,4430.0
31.33,31.33,31.32,31.32,4457.0
31.33,31.34,31.32,31.32,3800.0
31.32,31.33,31.31,31.32,6431.0
31.33,31.34,31.325,31.33,3921.0
31.32,31.33,31.315,31.33,3279.0
31.31,31.33,31.305,31.31,10059.0
31.335,31.34,31.305,31.32,12850.0
31.35,31.35,31.325,31.33,24214.0
31.36,31.365,31.35,31.35,29152.0
31.36,31.365,31.36,31.365,3800.0
31.37,31.38,31.35,31.37,19779.0
31.39,31.39,31.36,31.365,13733.0
31.39,31.39,31.375,31.38,3432.0
31.37,31.395,31.37,31.39,5545.0
31.385,31.385,31.365,31.365,2500.0
31.39,31.39,31.375,31.39,7452.0
31.37,31.4,31.36,31.4,11046.0
31.39,31.4,31.38,31.38,2690.0
31.385,31.385,31.38,31.38,1873.0
31.36,31.385,31.36,31.385,11036.0
31.375,31.375,31.37,31.37,7893.0
31.35,31.37,31.345,31.365,7165.0
31.34,31.35,31.33,31.35,5855.0
31.36,31.375,31.34,31.34,21653.0
31.39,31.39,31.36,31.36,14502.0
31.365,31.395,31.36,31.39,5590.0
31.38,31.395,31.365,31.365,13523.0
31.37,31.4,31.37,31.39,4270.0
31.37,31.38,31.365,31.37,6946.0
31.38,31.38,31.37,31.375,1800.0
31.38,31.38,31.375,31.38,1200.0
31.365,31.385,31.365,31.38,2785.0
31.39,31.39,31.36,31.36,9494.0
31.38,31.39,31.37,31.38,2983.0
31.365,31.38,31.365,31.37,4686.0
31.385,31.39,31.37,31.37,2645.0
31.39,31.39,31.39,31.39,400.0
31.42,31.5,31.39,31.39,74830.0
31.45,31.46,31.41,31.42,30055.0
31.48,31.49,31.43,31.45,27556.0
31.4901,31.52,31.48,31.48,18553.0
31.48,31.5,31.47,31.5,8515.0
31.445,31.49,31.445,31.49,7470.0
31.45,31.455,31.43,31.44,8738.0
31.4551,31.46,31.445,31.45,3504.0
31.43,31.45,31.43,31.45,3900.0
31.42,31.431,31.41,31.431,5583.0
31.445,31.46,31.42,31.42,10607.0
31.44,31.45,31.43,31.44,3073.0
31.42,31.46,31.42,31.44,4162.0
31.38,31.42,31.38,31.42,17542.0
31.39,31.42,31.38,31.38,8443.0
31.395,31.4,31.39,31.395,4032.0
31.4,31.415,31.395,31.405,4023.0
31.4,31.4,31.375,31.39,7044.0
31.4,31.405,31.395,31.4,4536.0
31.365,31.3999,31.36,31.3999,7024.0
31.35,31.37,31.35,31.37,6213.0
31.35,31.36,31.34,31.35,3000.0
31.315,31.345,31.31,31.345,12343.0
31.325,31.33,31.32,31.32,3201.0
31.315,31.325,31.305,31.325,5447.0
31.31,31.315,31.3,31.31,7313.0
31.325,31.325,31.32,31.32,4801.0
31.32,31.34,31.32,31.33,6800.0
31.32,31.33,31.32,31.33,1160.0
31.33,31.335,31.32,31.32,3300.0
31.31,31.32,31.29,31.32,4167.0
31.295,31.32,31.295,31.315,3200.0
31.315,31.315,31.29,31.3,11053.0
31.305,31.315,31.295,31.315,4941.0
31.315,31.32,31.31,31.31,4264.0
31.31,31.32,31.31,31.32,2614.0
31.325,31.325,31.32,31.32,1300.0
31.33,31.33,31.32,31.325,12416.0
