Open,High,Low,Close,Volume
2.5,2.5,2.49,2.49,261716.0
2.495,2.5,2.49,2.5,35327.0
2.51,2.51,2.49,2.4947,82830.0
2.51,2.51,2.49,2.5,85708.0
2.51,2.51,2.5,2.5,25876.0
2.505,2.51,2.5,2.51,187623.0
2.52,2.53,2.505,2.51,915126.0
2.515,2.52,2.51,2.515,33043.0
2.515,2.52,2.511,2.52,56150.0
2.511,2.52,2.51,2.518,38443.0
2.515,2.529,2.51,2.52,142272.0
2.51,2.52,2.51,2.515,46583.0
2.52,2.52,2.51,2.51,7575.0
2.515,2.52,2.51,2.52,26728.0
2.525,2.535,2.51,2.518,852883.0
2.535,2.54,2.5212,2.525,126218.0
2.54,2.55,2.535,2.54,113471.0
2.54,2.545,2.53,2.545,79648.0
2.54,2.54,2.53,2.54,27985.0
2.53,2.54,2.53,2.535,58512.0
2.525,2.54,2.52,2.535,433911.0
2.535,2.54,2.52,2.52,207374.0
2.5359,2.54,2.53,2.54,24905.0
2.53,2.54,2.53,2.5361,27810.0
2.54,2.54,2.53,2.535,29294.0
2.55,2.55,2.53,2.5301,200986.0
2.545,2.56,2.54,2.55,381510.0
2.55,2.56,2.54,2.545,146462.0
2.56,2.56,2.55,2.555,10662.0
2.56,2.56,2.55,2.55,35644.0
2.54,2.56,2.54,2.56,279454.0
2.56,2.56,2.54,2.54,239419.0
2.565,2.57,2.555,2.555,786427.0
2.57,2.57,2.56,2.5601,57720.0
2.56,2.57,2.56,2.56,85900.0
2.5675,2.57,2.56,2.57,37305.0
2.565,2.57,2.56,2.565,819154.0
2.57,2.57,2.56,2.565,167061.0
2.58,2.58,2.56,2.57,192925.0
2.6,2.6,2.57,2.58,209480.0
2.605,2.61,2.59,2.6,383911.0
2.59,2.615,2.59,2.61,836071.0
2.595,2.6,2.59,2.5999,31286.0
2.58,2.596,2.58,2.596,112669.0
2.58,2.59,2.57,2.585,95225.0
2.565,2.5799,2.56,2.575,179396.0
2.58,2.58,2.56,2.57,212924.0
2.59,2.59,2.571,2.58,149334.0
2.584,2.59,2.58,2.585,47809.0
2.585,2.59,2.58,2.5852,15943.0
2.585,2.59,2.58,2.59,19720.0
2.585,2.59,2.58,2.5899,16245.0
2.5855,2.59,2.58,2.58,10753.0
2.58,2.59,2.58,2.59,23748.0
2.58,2.59,2.58,2.59,11755.0
2.58,2.59,2.58,2.59,25851.0
2.585,2.59,2.58,2.59,73114.0
2.585,2.59,2.58,2.59,62511.0
2.5928,2.6,2.58,2.58,279401.0
2.595,2.6,2.59,2.6,35208.0
2.595,2.6,2.59,2.5995,36537.0
2.59,2.6,2.59,2.59,63180.0
2.5916,2.6,2.59,2.59,640744.0
2.595,2.6,2.59,2.59,67369.0
2.595,2.6,2.59,2.595,51013.0
2.595,2.6,2.59,2.6,27397.0
2.595,2.6,2.59,2.59,47901.0
2.595,2.6,2.59,2.595,20002.0
2.58,2.6,2.58,2.6,759293.0
2.58,2.59,2.58,2.5831,34800.0
