Open,High,Low,Close,Volume
23.63,23.63,23.63,23.63,700.0
23.64,23.67,23.59,23.59,26097.0
23.6,23.64,23.6,23.64,5748.0
23.61,23.64,23.58,23.6,10729.0
23.57,23.61,23.57,23.58,11487.0
23.59,23.62,23.57,23.57,11811.0
23.54,23.6,23.53,23.56,13878.0
23.56,23.56,23.52,23.53,2400.0
23.59,23.59,23.55,23.56,17562.0
23.61,23.61,23.58,23.59,38300.0
23.64,23.64,23.595,23.615,9487.0
23.65,23.66,23.63,23.64,17635.0
23.65,23.66,23.63,23.65,7523.0
23.67,23.68,23.655,23.66,13251.0
23.71,23.71,23.665,23.67,20962.0
23.73,23.75,23.7,23.71,11900.0
23.67,23.72,23.67,23.72,13371.0
23.64,23.66,23.64,23.66,10596.0
23.68,23.69,23.64,23.64,23580.0
23.67,23.7,23.66,23.69,36885.0
23.66,23.67,23.64,23.66,12776.0
23.66,23.66,23.65,23.66,5700.0
23.69,23.7,23.66,23.66,8702.0
23.68,23.69,23.67,23.68,9558.0
23.64,23.685,23.635,23.685,15220.0
23.6,23.64,23.6,23.64,22907.0
23.65,23.66,23.61,23.61,39592.0
23.68,23.68,23.65,23.65,52262.0
23.645,23.67,23.64,23.67,16209.0
23.66,23.68,23.64,23.64,9535.0
23.64,23.655,23.64,23.65,5315.0
23.66,23.665,23.62,23.635,38645.0
23.65,23.67,23.64,23.66,53574.0
23.64,23.65,23.64,23.65,14136.0
23.65,23.65,23.62,23.63,12849.0
23.645,23.65,23.64,23.65,12572.0
23.67,23.67,23.64,23.65,9347.0
23.635,23.68,23.635,23.67,7300.0
23.62,23.63,23.62,23.63,4200.0
23.69,23.69,23.625,23.625,19564.0
23.66,23.69,23.655,23.69,22801.0
23.62,23.66,23.62,23.66,26559.0
23.6,23.65,23.6,23.625,39000.0
23.635,23.6475,23.605,23.61,30064.0
23.64,23.65,23.63,23.64,13569.0
23.64,23.64,23.61,23.63,4700.0
23.645,23.65,23.625,23.63,7700.0
23.65,23.655,23.645,23.65,1501.0
23.65,23.66,23.65,23.65,9662.0
23.65,23.67,23.65,23.66,9800.0
23.64,23.65,23.64,23.65,22856.0
23.62,23.65,23.62,23.63,64679.0
23.6,23.62,23.6,23.62,21040.0
23.61,23.61,23.595,23.6,10497.0
23.62,23.62,23.61,23.61,14777.0
23.62,23.63,23.62,23.62,2182.0
23.59,23.62,23.585,23.62,13914.0
23.6,23.61,23.58,23.58,15300.0
23.57,23.6,23.57,23.6,28591.0
23.57,23.57,23.54,23.56,17991.0
23.59,23.59,23.57,23.57,7754.0
23.59,23.61,23.59,23.59,3989.0
23.58,23.59,23.57,23.59,2300.0
23.57,23.58,23.555,23.58,3756.0
23.57,23.57,23.57,23.57,2900.0
23.525,23.575,23.505,23.57,90920.0
23.54,23.54,23.525,23.53,11200.0
23.525,23.535,23.525,23.53,3001.0
23.51,23.54,23.51,23.53,6789.0
23.495,23.51,23.49,23.51,27772.0
23.46,23.495,23.46,23.49,16955.0
23.48,23.48,23.45,23.46,26132.0
23.495,23.495,23.48,23.48,2301.0
23.495,23.5,23.49,23.5,700.0
23.49,23.495,23.49,23.495,400.0
23.51,23.51,23.49,23.49,6000.0
23.52,23.525,23.515,23.52,9439.0
23.54,23.565,23.53,23.53,16966.0
23.58,23.58,23.54,23.54,3524.0
23.57,23.58,23.57,23.58,1701.0
23.57,23.58,23.57,23.57,3159.0
23.595,23.595,23.58,23.58,1763.0
23.5937,23.6,23.59,23.6,5424.0
23.61,23.61,23.6,23.6,4300.0
23.61,23.61,23.6,23.6,600.0
23.56,23.605,23.56,23.6,6303.0
23.565,23.565,23.55,23.56,8208.0
23.56,23.58,23.56,23.57,3674.0
23.56,23.56,23.545,23.56,2900.0
23.575,23.58,23.57,23.57,1100.0
23.59,23.59,23.575,23.58,2023.0
23.57,23.605,23.57,23.6,10230.0
23.55,23.57,23.545,23.57,3504.0
23.555,23.555,23.55,23.55,1700.0
23.535,23.55,23.53,23.55,3033.0
23.53,23.535,23.52,23.535,3870.0
23.55,23.55,23.53,23.535,2660.0
23.54,23.55,23.535,23.55,6300.0
23.55,23.555,23.53,23.54,9919.0
23.55,23.55,23.55,23.55,2214.0
23.555,23.555,23.545,23.55,2600.0
23.54,23.56,23.54,23.56,1654.0
23.55,23.55,23.545,23.55,300.0
23.565,23.565,23.545,23.545,3113.0
23.57,23.59,23.565,23.57,10202.0
23.6,23.6,23.57,23.57,14696.0
23.6101,23.62,23.595,23.595,8300.0
23.63,23.63,23.61,23.61,3097.0
23.625,23.63,23.625,23.625,400.0
23.6,23.63,23.595,23.63,18556.0
23.6111,23.62,23.595,23.6,7500.0
23.6,23.615,23.6,23.615,7001.0
23.6,23.605,23.595,23.6,12100.0
23.6,23.605,23.59,23.6,9409.0
23.605,23.61,23.59,23.6,6090.0
23.605,23.61,23.6,23.61,1700.0
23.61,23.62,23.6,23.6,4105.0
23.61,23.61,23.6,23.61,2801.0
23.59,23.61,23.58,23.61,11950.0
23.585,23.5866,23.585,23.5866,1800.0
23.555,23.585,23.555,23.58,3800.0
23.56,23.56,23.54,23.55,5027.0
23.57,23.57,23.555,23.56,3927.0
23.56,23.57,23.555,23.57,1300.0
23.575,23.575,23.555,23.56,3805.0
23.56,23.57,23.56,23.57,1200.0
23.545,23.55,23.545,23.55,3351.0
23.53,23.54,23.53,23.54,1900.0
23.55,23.55,23.53,23.53,4527.0
23.55,23.55,23.55,23.55,1500.0
23.535,23.545,23.535,23.545,2100.0
23.55,23.55,23.535,23.54,3857.0
23.55,23.555,23.55,23.55,1800.0
23.52,23.545,23.52,23.54,9189.0
23.515,23.52,23.515,23.52,3600.0
23.51,23.52,23.505,23.52,2200.0
23.53,23.53,23.505,23.505,13822.0
23.54,23.54,23.525,23.53,2400.0
23.54,23.55,23.54,23.55,2500.0
23.52,23.53,23.52,23.53,5032.0
23.52,23.525,23.52,23.52,3612.0
23.525,23.525,23.52,23.525,3100.0
23.525,23.525,23.52,23.525,1500.0
23.54,23.54,23.525,23.53,3077.0
23.56,23.56,23.54,23.55,45954.0
23.535,23.56,23.535,23.56,12600.0
23.545,23.55,23.535,23.535,2100.0
23.545,23.545,23.54,23.54,1100.0
23.545,23.545,23.535,23.54,2600.0
23.54,23.54,23.54,23.54,2000.0
23.54,23.54,23.53,23.53,2200.0
23.53,23.5451,23.53,23.54,4687.0
23.55,23.55,23.525,23.53,4927.0
23.52,23.54,23.52,23.54,2100.0
23.52,23.525,23.52,23.5243,2222.0
23.525,23.53,23.525,23.53,1300.0
23.525,23.525,23.525,23.525,100.0
23.53,23.53,23.52,23.53,2400.0
23.53,23.53,23.52,23.53,1100.0
23.515,23.525,23.51,23.525,5200.0
23.515,23.515,23.515,23.515,100.0
23.525,23.53,23.51,23.51,8415.0
23.525,23.525,23.52,23.52,1800.0
23.515,23.52,23.505,23.52,5727.0
23.525,23.53,23.515,23.515,2500.0
23.51,23.53,23.51,23.53,3000.0
23.515,23.52,23.51,23.51,1200.0
23.525,23.53,23.515,23.515,3100.0
23.53,23.53,23.53,23.53,400.0
23.525,23.525,23.525,23.525,100.0
23.52,23.525,23.51,23.52,8228.0
23.51,23.51,23.505,23.51,3257.0
23.515,23.515,23.515,23.515,100.0
23.515,23.515,23.515,23.515,300.0
23.51,23.515,23.51,23.515,1555.0
23.495,23.505,23.49,23.505,6002.0
23.48,23.49,23.48,23.49,3300.0
23.48,23.485,23.48,23.485,3300.0
23.475,23.485,23.47,23.485,2700.0
23.48,23.49,23.475,23.48,13687.0
23.49,23.49,23.49,23.49,100.0
23.475,23.49,23.475,23.49,2251.0
23.475,23.48,23.475,23.48,1800.0
23.475,23.475,23.47,23.47,300.0
23.465,23.475,23.465,23.475,4000.0
23.46,23.47,23.46,23.465,2510.0
23.455,23.46,23.455,23.46,2040.0
23.455,23.466,23.45,23.46,2796.0
23.455,23.455,23.45,23.45,400.0
23.46,23.46,23.45,23.45,5054.0
23.45,23.46,23.45,23.455,2168.0
23.46,23.47,23.455,23.46,6992.0
23.47,23.48,23.47,23.47,9478.0
23.465,23.47,23.465,23.47,600.0
23.47,23.47,23.46,23.465,2214.0
23.475,23.48,23.465,23.47,4027.0
23.475,23.475,23.47,23.47,9200.0
