Open,High,Low,Close,Volume
24.97,25.06,24.87,24.94,73820.0
24.88,25.047,24.87,24.93,22230.0
24.83,24.87,24.82,24.87,2417.0
24.81,24.84,24.69,24.83,14377.0
24.61,24.8,24.57,24.74,13825.0
24.656,24.67,24.58,24.63,11478.0
24.5625,24.66,24.56,24.64,20950.0
24.49,24.5813,24.49,24.5401,40889.0
24.47,24.5355,24.46,24.52,10822.0
24.475,24.5,24.4,24.47,25967.0
24.53,24.54,24.49,24.5,19099.0
24.49,24.53,24.44,24.52,48110.0
24.5,24.52,24.45,24.5,29718.0
24.42,24.52,24.41,24.49,120557.0
24.39,24.47,24.36,24.43,24116.0
24.48,24.5,24.34,24.36,25214.0
24.51,24.51,24.44,24.48,10904.0
24.52,24.55,24.48,24.49,4600.0
24.55,24.6,24.52,24.54,8657.0
24.51,24.56,24.48,24.56,14500.0
24.6,24.6,24.48,24.5,29074.0
24.6,24.695,24.6,24.6,62920.0
24.45,24.59,24.45,24.59,19244.0
24.44,24.5,24.43,24.455,25351.0
24.385,24.45,24.36,24.43,23250.0
24.31,24.385,24.31,24.385,21244.0
24.32,24.36,24.3,24.31,17164.0
24.36,24.39,24.31,24.325,42316.0
24.37,24.375,24.34,24.37,31847.0
24.35,24.37,24.34,24.37,18253.0
24.37,24.375,24.35,24.35,10043.0
24.38,24.38,24.325,24.35,30062.0
24.37,24.38,24.34,24.37,11518.0
24.47,24.49,24.36,24.36,16300.0
24.42,24.47,24.42,24.47,20016.0
24.33,24.41,24.32,24.41,21723.0
24.33,24.35,24.31,24.33,17859.0
24.3,24.33,24.3,24.33,13802.0
24.37,24.38,24.3,24.3,14810.0
24.3,24.38,24.295,24.38,13769.0
24.29,24.3,24.28,24.3,10890.0
24.3,24.31,24.274,24.29,12805.0
24.37,24.39,24.29,24.29,21542.0
24.31,24.37,24.31,24.37,9996.0
24.25,24.31,24.25,24.305,9727.0
24.32,24.321,24.25,24.25,12398.0
24.26,24.315,24.255,24.31,6869.0
24.26,24.32,24.26,24.27,12400.0
24.255,24.29,24.25,24.265,9574.0
24.336,24.336,24.25,24.25,14665.0
24.35,24.35,24.325,24.33,5128.0
24.32,24.35,24.32,24.345,14437.0
24.26,24.31,24.25,24.31,25093.0
24.24,24.26,24.21,24.26,19900.0
24.3,24.31,24.24,24.24,11388.0
24.34,24.37,24.28,24.3,24336.0
24.36,24.36,24.33,24.34,10705.0
24.36,24.36,24.34,24.36,9743.0
24.36,24.38,24.35,24.365,16772.0
24.37,24.4,24.35,24.355,13632.0
24.395,24.42,24.33,24.38,29269.0
24.43,24.44,24.39,24.395,21838.0
24.41,24.475,24.41,24.44,15182.0
24.36,24.4,24.36,24.4,12200.0
24.345,24.37,24.34,24.365,6379.0
24.345,24.36,24.32,24.34,13854.0
24.32,24.36,24.31,24.35,22211.0
24.325,24.325,24.29,24.315,12200.0
24.335,24.345,24.31,24.33,19683.0
24.34,24.34,24.315,24.325,9800.0
24.37,24.37,24.31,24.33,9287.0
24.43,24.45,24.355,24.37,27537.0
24.425,24.48,24.42,24.44,22341.0
24.41,24.44,24.41,24.42,12027.0
24.43,24.445,24.405,24.41,10300.0
24.38,24.425,24.38,24.425,16733.0
24.38,24.39,24.37,24.37,18651.0
24.38,24.4,24.37,24.38,23400.0
24.41,24.41,24.37,24.375,14332.0
24.43,24.46,24.41,24.415,29972.0
24.43,24.44,24.42,24.44,11304.0
24.39,24.44,24.39,24.43,10808.0
24.37,24.41,24.37,24.395,14929.0
24.335,24.37,24.33,24.37,18769.0
24.335,24.35,24.33,24.34,7545.0
24.275,24.335,24.27,24.335,40306.0
24.27,24.28,24.24,24.27,43222.0
24.28,24.28,24.24,24.27,21456.0
24.29,24.295,24.275,24.28,10981.0
24.34,24.34,24.29,24.29,5300.0
24.39,24.4,24.335,24.34,14661.0
24.42,24.445,24.37,24.39,20402.0
24.41,24.43,24.405,24.42,4685.0
24.42,24.43,24.39,24.41,11651.0
24.43,24.43,24.41,24.41,3400.0
24.47,24.48,24.425,24.425,24158.0
24.47,24.49,24.465,24.48,25993.0
24.47,24.47,24.435,24.47,25067.0
24.405,24.49,24.405,24.47,27907.0
24.305,24.4,24.3,24.4,42075.0
24.345,24.36,24.28,24.31,29060.0
24.32,24.385,24.32,24.35,20640.0
24.315,24.35,24.315,24.315,17494.0
24.3,24.32,24.295,24.315,13024.0
24.3,24.3042,24.29,24.3,4513.0
24.245,24.305,24.24,24.295,32887.0
24.25,24.26,24.22,24.24,12843.0
24.23,24.255,24.23,24.25,12662.0
24.24,24.24,24.21,24.23,12597.0
24.3,24.31,24.23,24.23,20895.0
24.26,24.3,24.245,24.3,16080.0
24.175,24.25,24.175,24.25,16107.0
24.155,24.18,24.15,24.175,20875.0
24.13,24.15,24.07,24.15,27193.0
24.12,24.18,24.12,24.13,15348.0
24.09,24.145,24.09,24.13,6400.0
24.095,24.105,24.08,24.1,11553.0
24.085,24.105,24.08,24.1,6811.0
24.03,24.1,24.03,24.09,20373.0
24.025,24.04,24.01,24.04,43106.0
24.055,24.055,23.98,24.02,86306.0
24.061,24.1,24.05,24.06,45196.0
24.09,24.11,24.0375,24.07,63519.0
24.085,24.11,24.07,24.09,24171.0
24.02,24.09,23.98,24.085,46276.0
24.02,24.055,23.99,24.01,28575.0
24.054,24.06,24.02,24.02,11423.0
24.04,24.055,24.03,24.055,22917.0
24.03,24.04,24.02,24.03,7963.0
24.02,24.0299,24.0,24.025,26910.0
24.04,24.04,24.01,24.015,23465.0
24.04,24.055,24.03,24.035,16699.0
24.04,24.045,24.02,24.03,9422.0
23.99,24.04,23.98,24.035,80439.0
23.985,23.995,23.97,23.98,31666.0
24.045,24.05,23.975,23.98,34056.0
24.115,24.12,24.04,24.05,19387.0
24.165,24.18,24.115,24.115,28452.0
24.18,24.235,24.16,24.16,43403.0
24.11,24.18,24.1,24.18,41177.0
24.195,24.24,24.11,24.11,63542.0
24.1761,24.205,24.155,24.2,18464.0
24.22,24.23,24.18,24.18,10600.0
24.23,24.23,24.2001,24.215,15836.0
24.21,24.265,24.21,24.23,11976.0
24.24,24.255,24.2,24.205,22853.0
24.205,24.24,24.205,24.24,14502.0
24.175,24.215,24.175,24.205,19049.0
24.15,24.19,24.15,24.18,7013.0
24.145,24.16,24.14,24.15,7360.0
24.18,24.18,24.12,24.145,18813.0
24.19,24.19,24.17,24.185,5918.0
24.205,24.21,24.19,24.2,9196.0
24.25,24.28,24.205,24.21,12400.0
24.27,24.28,24.24,24.26,8741.0
24.27,24.3,24.26,24.265,17121.0
24.275,24.28,24.265,24.265,2500.0
24.23,24.28,24.23,24.27,14971.0
24.24,24.24,24.21,24.22,5900.0
24.2,24.26,24.2,24.245,9900.0
24.21,24.22,24.18,24.2,19296.0
24.19,24.21,24.175,24.21,5500.0
24.175,24.21,24.175,24.19,11428.0
24.17,24.2,24.165,24.18,7193.0
24.18,24.18,24.15,24.17,7489.0
24.1942,24.1942,24.18,24.18,4591.0
24.2,24.22,24.195,24.2,24838.0
24.19,24.2,24.175,24.19,7500.0
24.16,24.18,24.16,24.18,4600.0
24.18,24.18,24.165,24.17,4400.0
24.2,24.2,24.18,24.18,4702.0
24.21,24.23,24.2,24.21,11825.0
24.23,24.23,24.205,24.22,4776.0
24.17,24.22,24.165,24.22,9649.0
24.2,24.21,24.17,24.17,8570.0
24.18,24.2,24.18,24.2,4535.0
24.14,24.19,24.14,24.18,7932.0
24.14,24.16,24.135,24.14,6600.0
24.12,24.13,24.115,24.13,5824.0
24.15,24.15,24.12,24.12,4226.0
24.155,24.17,24.14,24.145,8518.0
24.19,24.2,24.15,24.15,6897.0
24.19,24.2,24.165,24.18,10079.0
24.19,24.195,24.18,24.19,2300.0
24.16,24.19,24.155,24.185,10321.0
24.1565,24.17,24.155,24.16,4242.0
24.15,24.16,24.14,24.15,3100.0
24.14,24.155,24.14,24.15,4400.0
24.14,24.15,24.135,24.14,4715.0
24.14,24.15,24.135,24.15,6155.0
24.13,24.15,24.13,24.15,5421.0
24.14,24.16,24.125,24.13,7992.0
24.13,24.15,24.13,24.14,4044.0
24.15,24.16,24.13,24.13,5242.0
24.15,24.155,24.145,24.15,5321.0
24.15,24.15,24.125,24.15,9283.0
24.135,24.15,24.135,24.15,3100.0
24.12,24.13,24.12,24.13,7121.0
24.105,24.135,24.105,24.13,8000.0
24.13,24.135,24.105,24.105,8324.0
24.15,24.16,24.125,24.135,8187.0
24.13,24.14,24.13,24.14,1583.0
24.125,24.135,24.12,24.13,5400.0
24.13,24.14,24.125,24.13,12021.0
24.115,24.13,24.1138,24.13,5500.0
24.1242,24.13,24.11,24.115,3293.0
24.165,24.17,24.13,24.13,9886.0
24.195,24.195,24.1641,24.1641,5717.0
24.21,24.21,24.2,24.2,2600.0
24.26,24.26,24.21,24.21,7784.0
24.31,24.34,24.27,24.27,25849.0
24.255,24.31,24.255,24.3,8830.0
24.26,24.28,24.26,24.2673,8002.0
24.255,24.26,24.25,24.26,2313.0
24.21,24.26,24.205,24.25,17000.0
24.2,24.2,24.175,24.2,11428.0
24.21,24.215,24.2,24.21,5506.0
24.215,24.215,24.205,24.21,2000.0
24.2099,24.22,24.205,24.22,3436.0
24.21,24.22,24.205,24.205,8501.0
24.21,24.22,24.2,24.22,3485.0
24.19,24.21,24.19,24.21,7184.0
24.1865,24.2,24.18,24.19,9270.0
24.175,24.2,24.175,24.18,5504.0
24.19,24.2,24.175,24.18,7938.0
24.19,24.195,24.185,24.19,1450.0
24.2,24.21,24.185,24.19,14354.0
24.195,24.205,24.194,24.2,6168.0
24.2098,24.2098,24.2,24.2,2900.0
24.23,24.23,24.19,24.205,15350.0
24.25,24.25,24.22,24.22,8421.0
24.29,24.29,24.25,24.25,36241.0
24.285,24.31,24.28,24.29,19813.0
24.265,24.2898,24.265,24.285,3750.0
24.27,24.27,24.252,24.26,6427.0
24.255,24.265,24.2538,24.26,3454.0
24.33,24.33,24.265,24.27,22669.0
24.34,24.35,24.32,24.34,19801.0
24.32,24.355,24.32,24.34,15890.0
24.325,24.33,24.32,24.32,1000.0
24.3,24.34,24.3,24.33,15071.0
24.29,24.31,24.29,24.31,4057.0
24.33,24.33,24.28,24.295,12892.0
24.335,24.34,24.31,24.32,9601.0
24.31,24.325,24.31,24.32,5900.0
24.33,24.34,24.31,24.315,9106.0
24.31,24.335,24.31,24.33,5600.0
24.315,24.315,24.3,24.305,5315.0
24.315,24.325,24.315,24.315,6139.0
24.309,24.32,24.305,24.315,5012.0
24.315,24.32,24.305,24.305,3100.0
24.34,24.34,24.315,24.315,17153.0
24.34,24.35,24.335,24.34,10321.0
24.335,24.345,24.335,24.345,5525.0
24.31,24.335,24.31,24.335,7431.0
24.3098,24.315,24.3,24.31,6300.0
24.31,24.31,24.3,24.3,4629.0
24.305,24.3098,24.3,24.3,2000.0
24.2942,24.3,24.275,24.3,14890.0
24.27,24.295,24.27,24.295,6531.0
24.27,24.275,24.27,24.27,2685.0
24.26,24.275,24.25,24.275,10531.0
24.26,24.27,24.25,24.26,3069.0
24.26,24.265,24.255,24.265,5221.0
24.235,24.255,24.23,24.25,7559.0
24.25,24.26,24.235,24.235,8008.0
24.245,24.255,24.245,24.25,1277.0
24.24,24.254,24.23,24.25,13165.0
24.245,24.25,24.235,24.235,2700.0
24.25,24.25,24.24,24.24,400.0
24.2499,24.2499,24.24,24.245,1746.0
24.225,24.26,24.225,24.25,13712.0
24.25,24.25,24.225,24.225,8517.0
24.245,24.25,24.24,24.25,1566.0
24.25,24.255,24.24,24.245,6490.0
24.234,24.255,24.23,24.25,10040.0
24.27,24.27,24.2319,24.235,13372.0
24.265,24.27,24.255,24.26,9200.0
24.275,24.28,24.27,24.27,4153.0
24.265,24.28,24.26,24.28,7324.0
24.25,24.27,24.245,24.26,5557.0
24.275,24.285,24.255,24.26,13601.0
24.26,24.2785,24.26,24.2785,3163.0
24.264,24.265,24.255,24.26,7824.0
24.29,24.29,24.26,24.26,7809.0
24.29,24.3,24.29,24.3,5386.0
24.29,24.295,24.285,24.29,7821.0
24.28,24.295,24.28,24.295,11474.0
24.295,24.295,24.285,24.285,4786.0
24.3,24.31,24.285,24.29,8955.0
24.29,24.305,24.29,24.305,5808.0
24.3,24.3,24.29,24.3,2100.0
24.305,24.316,24.295,24.3,16945.0
24.31,24.31,24.3,24.3,3484.0
24.31,24.325,24.31,24.315,9321.0
24.305,24.315,24.3,24.31,4344.0
24.325,24.33,24.31,24.31,6704.0
24.35,24.38,24.32,24.32,27012.0
24.345,24.355,24.34,24.355,3570.0
24.34,24.345,24.34,24.345,4209.0
24.335,24.335,24.32,24.33,9261.0
24.36,24.36,24.335,24.335,9942.0
24.35,24.36,24.35,24.355,7499.0
24.33,24.345,24.33,24.34,8918.0
24.34,24.345,24.33,24.34,7896.0
24.345,24.36,24.34,24.34,7731.0
24.345,24.35,24.34,24.35,1400.0
24.34,24.345,24.33,24.345,7990.0
24.35,24.35,24.345,24.35,2400.0
24.345,24.345,24.34,24.34,9179.0
24.3439,24.355,24.34,24.35,14515.0
24.3275,24.345,24.325,24.345,12221.0
24.35,24.355,24.33,24.33,16892.0
24.315,24.35,24.315,24.35,5851.0
24.31,24.315,24.305,24.315,9636.0
24.3,24.32,24.3,24.31,5001.0
24.31,24.31,24.305,24.305,4883.0
24.31,24.315,24.31,24.315,4024.0
24.3,24.315,24.3,24.31,5033.0
24.305,24.315,24.3,24.3,11790.0
24.315,24.315,24.29,24.3,18522.0
24.32,24.33,24.305,24.32,16431.0
24.325,24.33,24.315,24.32,6521.0
24.345,24.345,24.33,24.33,5654.0
24.37,24.37,24.35,24.35,18975.0
24.36,24.37,24.36,24.36,16484.0
24.36,24.375,24.36,24.37,8220.0
24.37,24.37,24.36,24.37,8928.0
24.38,24.39,24.365,24.37,10244.0
24.39,24.39,24.374,24.38,10173.0
24.39,24.41,24.385,24.385,15342.0
24.38,24.385,24.37,24.385,15583.0
24.375,24.375,24.37,24.375,2700.0
24.36,24.37,24.36,24.37,4833.0
24.375,24.375,24.36,24.36,7548.0
24.39,24.4,24.37,24.375,14964.0
24.39,24.4,24.39,24.3947,4779.0
24.41,24.41,24.39,24.39,8500.0
24.395,24.41,24.39,24.405,9760.0
24.39,24.395,24.39,24.394,16930.0
24.42,24.42,24.39,24.39,15698.0
24.41,24.45,24.41,24.41,57398.0
24.415,24.42,24.395,24.415,27598.0
24.415,24.415,24.41,24.41,2400.0
24.43,24.43,24.41,24.41,8800.0
24.425,24.43,24.42,24.425,28667.0
24.435,24.45,24.43,24.43,16773.0
24.465,24.475,24.4499,24.45,20884.0
24.47,24.475,24.46,24.47,6000.0
24.465,24.475,24.465,24.475,6539.0
24.485,24.485,24.475,24.48,10170.0
24.505,24.505,24.48,24.48,16886.0
24.485,24.505,24.48,24.505,12186.0
24.48,24.49,24.48,24.485,13006.0
24.47,24.48,24.46,24.48,28950.0
24.475,24.48,24.475,24.475,2900.0
24.43,24.475,24.43,24.47,14084.0
24.43,24.44,24.43,24.435,6485.0
24.4,24.435,24.4,24.435,8924.0
24.39,24.4,24.39,24.4,6099.0
24.405,24.41,24.39,24.395,13101.0
24.41,24.42,24.4,24.4,10838.0
24.4,24.415,24.4,24.41,9505.0
24.4,24.41,24.4,24.405,6625.0
24.45,24.45,24.4,24.4,37625.0
24.455,24.46,24.44,24.44,8572.0
24.455,24.455,24.45,24.45,4346.0
24.47,24.47,24.45,24.455,22279.0
24.475,24.49,24.47,24.48,15154.0
24.465,24.48,24.46,24.475,22168.0
24.475,24.48,24.47,24.48,5578.0
24.46,24.48,24.455,24.475,24234.0
24.46,24.47,24.46,24.46,6287.0
24.46,24.47,24.46,24.46,10935.0
24.43,24.47,24.43,24.46,36782.0
24.43,24.435,24.42,24.435,18905.0
24.41,24.43,24.41,24.42,11758.0
24.435,24.435,24.395,24.41,52339.0
24.435,24.44,24.43,24.44,8427.0
24.435,24.44,24.43,24.43,9097.0
24.41,24.44,24.41,24.43,32685.0
24.42,24.43,24.42,24.42,28094.0
24.4,24.43,24.4,24.43,53244.0
24.42,24.42,24.4,24.4,33951.0
24.39,24.42,24.39,24.42,22823.0
24.38,24.4,24.375,24.395,43768.0
24.395,24.395,24.38,24.385,78085.0
24.375,24.395,24.37,24.39,27120.0
24.3499,24.37,24.33,24.37,64904.0
24.33,24.345,24.33,24.345,74965.0
24.335,24.34,24.32,24.335,132123.0
