Open,High,Low,Close,Volume
20.3301,20.37,20.3,20.33,44842.0
20.414,20.414,20.39,20.4,2125.0
20.4299,20.44,20.37,20.4135,8795.0
20.363,20.4044,20.36,20.4044,4714.0
20.32,20.3545,20.32,20.3545,2393.0
20.25,20.34,20.25,20.32,5100.0
20.28,20.29,20.22,20.2608,3198.0
20.34,20.34,20.28,20.28,998.0
20.3501,20.37,20.3419,20.35,981.0
20.3899,20.3899,20.3664,20.3664,754.0
20.3644,20.4,20.36,20.39,8900.0
20.41,20.41,20.35,20.37,9421.0
20.41,20.415,20.38,20.41,3271.0
20.425,20.43,20.39,20.41,16603.0
20.42,20.42,20.4,20.42,5728.0
20.42,20.4362,20.42,20.43,5224.0
20.44,20.45,20.42,20.42,8811.0
20.44,20.45,20.4327,20.4327,8100.0
20.45,20.46,20.4437,20.4437,4240.0
20.45,20.46,20.44,20.4461,7085.0
20.45,20.464,20.44,20.45,5445.0
20.47,20.47,20.46,20.46,700.0
20.48,20.48,20.4743,20.4743,1730.0
20.455,20.481,20.44,20.481,7525.0
20.4201,20.46,20.4201,20.455,4115.0
20.455,20.455,20.44,20.44,2500.0
20.45,20.46,20.45,20.451,5026.0
20.46,20.465,20.4452,20.4452,2700.0
20.45,20.452,20.44,20.45,3786.0
20.42,20.44,20.42,20.44,1800.0
20.44,20.4401,20.42,20.42,8700.0
20.44,20.44,20.4252,20.44,5312.0
20.45,20.45,20.44,20.44,1300.0
20.455,20.455,20.455,20.455,100.0
20.48,20.48,20.455,20.455,11302.0
20.495,20.5,20.48,20.48,6400.0
20.53,20.54,20.5,20.5,24324.0
20.54,20.54,20.5301,20.5301,2767.0
20.56,20.565,20.54,20.54,12224.0
20.56,20.585,20.55,20.57,19221.0
20.54,20.555,20.535,20.555,14995.0
20.51,20.54,20.51,20.54,6122.0
20.53,20.54,20.51,20.51,9340.0
20.51,20.53,20.49,20.53,11269.0
20.52,20.53,20.509,20.51,10979.0
20.53,20.53,20.51,20.52,4100.0
20.535,20.54,20.53,20.53,5117.0
20.511,20.535,20.51,20.535,5801.0
20.54,20.54,20.51,20.51,5812.0
20.5149,20.53,20.5002,20.53,5450.0
20.52,20.5301,20.52,20.52,6039.0
20.53,20.53,20.5,20.511,14280.0
20.54,20.54,20.525,20.525,3100.0
20.53,20.54,20.53,20.53,2000.0
20.56,20.565,20.535,20.535,10398.0
20.565,20.5665,20.55,20.56,3723.0
20.565,20.58,20.56,20.56,37002.0
20.5364,20.56,20.5364,20.56,9846.0
20.51,20.53,20.51,20.53,6545.0
20.53,20.53,20.505,20.505,2849.0
20.535,20.55,20.53,20.53,10107.0
20.52,20.54,20.52,20.52,8674.0
20.5233,20.53,20.52,20.5266,3078.0
20.525,20.525,20.52,20.52,886.0
20.53,20.53,20.525,20.525,1700.0
20.53,20.535,20.505,20.52,19807.0
20.55,20.55,20.53,20.53,11866.0
20.54,20.555,20.54,20.55,16202.0
20.5427,20.548,20.54,20.54,1230.0
20.555,20.555,20.54,20.54,6807.0
20.555,20.5569,20.55,20.555,4000.0
20.555,20.56,20.55,20.555,5270.0
20.555,20.56,20.55,20.56,3900.0
20.536,20.56,20.5101,20.56,20988.0
20.53,20.54,20.525,20.53,6790.0
20.53,20.53,20.52,20.52,2800.0
20.53,20.535,20.53,20.535,3608.0
20.535,20.54,20.53,20.53,2550.0
20.55,20.555,20.53,20.5399,10106.0
20.545,20.555,20.54,20.555,4800.0
20.55,20.55,20.53,20.54,8651.0
20.5501,20.555,20.545,20.55,8282.0
20.5159,20.555,20.511,20.555,38248.0
20.5161,20.52,20.5161,20.52,1771.0
20.515,20.52,20.515,20.515,1100.0
20.505,20.515,20.505,20.51,20300.0
20.4978,20.51,20.4901,20.505,7651.0
20.49,20.51,20.49,20.5,24791.0
20.49,20.5,20.48,20.48,9788.0
20.4805,20.49,20.48,20.49,675.0
20.495,20.495,20.485,20.485,10877.0
20.4944,20.4999,20.49,20.49,4722.0
20.5,20.51,20.5,20.5,16556.0
20.49,20.5,20.48,20.4964,7402.0
20.5,20.5,20.48,20.4923,15002.0
20.4999,20.4999,20.494,20.4942,2317.0
20.499,20.5,20.4957,20.5,2400.0
20.5,20.5,20.5,20.5,2600.0
20.495,20.5,20.49,20.4946,5418.0
20.495,20.496,20.495,20.495,3700.0
20.49,20.495,20.49,20.495,4793.0
20.495,20.5,20.49,20.495,19578.0
20.4908,20.496,20.4907,20.4907,1009.0
20.5,20.5,20.49,20.495,10867.0
